Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,bepler,no_transform,train,7.715426445007324
1,bepler,no_transform,test,7.869115352630615
2,bepler,no_transform,train,7.684964656829834
2,bepler,no_transform,test,7.773299217224121
3,bepler,no_transform,train,7.630578517913818
3,bepler,no_transform,test,7.71209192276001
4,bepler,no_transform,train,7.5873332023620605
4,bepler,no_transform,test,7.680274963378906
5,bepler,no_transform,train,7.550909519195557
5,bepler,no_transform,test,7.634709358215332
6,bepler,no_transform,train,7.5078020095825195
6,bepler,no_transform,test,7.582703590393066
7,bepler,no_transform,train,7.462043762207031
7,bepler,no_transform,test,7.530351638793945
8,bepler,no_transform,train,7.416452407836914
8,bepler,no_transform,test,7.460256099700928
9,bepler,no_transform,train,7.363638401031494
9,bepler,no_transform,test,7.345994472503662
10,bepler,no_transform,train,7.290818214416504
10,bepler,no_transform,test,7.168271541595459
11,bepler,no_transform,train,7.187080383300781
11,bepler,no_transform,test,6.91908597946167
12,bepler,no_transform,train,7.046105861663818
12,bepler,no_transform,test,6.597356796264648
13,bepler,no_transform,train,6.865297794342041
13,bepler,no_transform,test,6.204321384429932
14,bepler,no_transform,train,6.6439056396484375
14,bepler,no_transform,test,5.749014854431152
15,bepler,no_transform,train,6.382410049438477
15,bepler,no_transform,test,5.251862049102783
16,bepler,no_transform,train,6.082602500915527
16,bepler,no_transform,test,4.738730430603027
17,bepler,no_transform,train,5.748221397399902
17,bepler,no_transform,test,4.246097087860107
18,bepler,no_transform,train,5.385795593261719
18,bepler,no_transform,test,3.8244783878326416
19,bepler,no_transform,train,5.00429105758667
19,bepler,no_transform,test,3.536608934402466
20,bepler,no_transform,train,4.615595817565918
20,bepler,no_transform,test,3.462777614593506
21,bepler,no_transform,train,4.2365007400512695
21,bepler,no_transform,test,3.6920456886291504
22,bepler,no_transform,train,3.8893916606903076
22,bepler,no_transform,test,4.329405307769775
23,bepler,no_transform,train,3.60133957862854
23,bepler,no_transform,test,5.490520477294922
24,bepler,no_transform,train,3.401444435119629
24,bepler,no_transform,test,7.1666364669799805
25,bepler,no_transform,train,3.314772129058838
25,bepler,no_transform,test,8.977751731872559
26,bepler,no_transform,train,3.3455910682678223
26,bepler,no_transform,test,10.36131763458252
27,bepler,no_transform,train,3.457329511642456
27,bepler,no_transform,test,10.856101989746094
28,bepler,no_transform,train,3.5808756351470947
28,bepler,no_transform,test,10.335588455200195
29,bepler,no_transform,train,3.6493782997131348
29,bepler,no_transform,test,9.159584999084473
30,bepler,no_transform,train,3.6434154510498047
30,bepler,no_transform,test,7.747119903564453
31,bepler,no_transform,train,3.5806565284729004
31,bepler,no_transform,test,6.405969142913818
32,bepler,no_transform,train,3.491147756576538
32,bepler,no_transform,test,5.320703029632568
33,bepler,no_transform,train,3.4031968116760254
33,bepler,no_transform,test,4.536671161651611
34,bepler,no_transform,train,3.333425760269165
34,bepler,no_transform,test,4.024774074554443
35,bepler,no_transform,train,3.28893780708313
35,bepler,no_transform,test,3.717850923538208
36,bepler,no_transform,train,3.268035650253296
36,bepler,no_transform,test,3.5476791858673096
37,bepler,no_transform,train,3.2648816108703613
37,bepler,no_transform,test,3.459596872329712
38,bepler,no_transform,train,3.2722723484039307
38,bepler,no_transform,test,3.4181036949157715
39,bepler,no_transform,train,3.2836031913757324
39,bepler,no_transform,test,3.401792526245117
40,bepler,no_transform,train,3.293567180633545
40,bepler,no_transform,test,3.3973753452301025
41,bepler,no_transform,train,3.298809051513672
41,bepler,no_transform,test,3.3966970443725586
42,bepler,no_transform,train,3.297929048538208
42,bepler,no_transform,test,3.3954594135284424
43,bepler,no_transform,train,3.290961980819702
43,bepler,no_transform,test,3.3919763565063477
44,bepler,no_transform,train,3.279175043106079
44,bepler,no_transform,test,3.3870630264282227
45,bepler,no_transform,train,3.2646021842956543
45,bepler,no_transform,test,3.3821568489074707
46,bepler,no_transform,train,3.2493131160736084
46,bepler,no_transform,test,3.3787624835968018
47,bepler,no_transform,train,3.2350168228149414
47,bepler,no_transform,test,3.377823829650879
48,bepler,no_transform,train,3.223118305206299
48,bepler,no_transform,test,3.3796823024749756
49,bepler,no_transform,train,3.2142364978790283
49,bepler,no_transform,test,3.3840808868408203
50,bepler,no_transform,train,3.2084622383117676
50,bepler,no_transform,test,3.389986515045166
51,bepler,no_transform,train,3.2054011821746826
51,bepler,no_transform,test,3.394629955291748
52,bepler,no_transform,train,3.20388126373291
52,bepler,no_transform,test,3.395512819290161
53,bepler,no_transform,train,3.2026286125183105
53,bepler,no_transform,test,3.3927292823791504
54,bepler,no_transform,train,3.200819730758667
54,bepler,no_transform,test,3.3868422508239746
55,bepler,no_transform,train,3.197956085205078
55,bepler,no_transform,test,3.378277540206909
56,bepler,no_transform,train,3.1936264038085938
56,bepler,no_transform,test,3.3684487342834473
57,bepler,no_transform,train,3.188105821609497
57,bepler,no_transform,test,3.36100172996521
58,bepler,no_transform,train,3.1818885803222656
58,bepler,no_transform,test,3.3607871532440186
59,bepler,no_transform,train,3.1757009029388428
59,bepler,no_transform,test,3.3700435161590576
60,bepler,no_transform,train,3.170220136642456
60,bepler,no_transform,test,3.3872344493865967
61,bepler,no_transform,train,3.16572642326355
61,bepler,no_transform,test,3.4097583293914795
62,bepler,no_transform,train,3.1621034145355225
62,bepler,no_transform,test,3.4374191761016846
63,bepler,no_transform,train,3.159062385559082
63,bepler,no_transform,test,3.47035813331604
64,bepler,no_transform,train,3.1562185287475586
64,bepler,no_transform,test,3.506546974182129
65,bepler,no_transform,train,3.1532254219055176
65,bepler,no_transform,test,3.540318250656128
66,bepler,no_transform,train,3.149904727935791
66,bepler,no_transform,test,3.567073345184326
67,bepler,no_transform,train,3.1462907791137695
67,bepler,no_transform,test,3.5864758491516113
68,bepler,no_transform,train,3.1425485610961914
68,bepler,no_transform,test,3.6016125679016113
69,bepler,no_transform,train,3.1389458179473877
69,bepler,no_transform,test,3.6150355339050293
70,bepler,no_transform,train,3.135375499725342
70,bepler,no_transform,test,3.625195264816284
71,bepler,no_transform,train,3.131817579269409
71,bepler,no_transform,test,3.62992000579834
72,bepler,no_transform,train,3.1283483505249023
72,bepler,no_transform,test,3.6298677921295166
73,bepler,no_transform,train,3.125152587890625
73,bepler,no_transform,test,3.6280510425567627
74,bepler,no_transform,train,3.1220710277557373
74,bepler,no_transform,test,3.6252171993255615
75,bepler,no_transform,train,3.118987798690796
75,bepler,no_transform,test,3.618743896484375
76,bepler,no_transform,train,3.115934133529663
76,bepler,no_transform,test,3.610807180404663
77,bepler,no_transform,train,3.1130177974700928
77,bepler,no_transform,test,3.6064870357513428
78,bepler,no_transform,train,3.110198497772217
78,bepler,no_transform,test,3.604034662246704
79,bepler,no_transform,train,3.1073193550109863
79,bepler,no_transform,test,3.5958781242370605
80,bepler,no_transform,train,3.1043689250946045
80,bepler,no_transform,test,3.5864529609680176
81,bepler,no_transform,train,3.101435661315918
81,bepler,no_transform,test,3.5815207958221436
82,bepler,no_transform,train,3.098564624786377
82,bepler,no_transform,test,3.5751123428344727
83,bepler,no_transform,train,3.0958566665649414
83,bepler,no_transform,test,3.562899112701416
84,bepler,no_transform,train,3.0931808948516846
