Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,bepler,no_transform,train,6.520596027374268
1,bepler,no_transform,test,4.2178521156311035
2,bepler,no_transform,train,5.650589466094971
2,bepler,no_transform,test,5.509174346923828
3,bepler,no_transform,train,4.435896396636963
3,bepler,no_transform,test,9.857203483581543
4,bepler,no_transform,train,3.7821953296661377
4,bepler,no_transform,test,14.907845497131348
5,bepler,no_transform,train,3.585946559906006
5,bepler,no_transform,test,19.376419067382812
6,bepler,no_transform,train,3.613713026046753
6,bepler,no_transform,test,22.574739456176758
7,bepler,no_transform,train,3.6939496994018555
7,bepler,no_transform,test,23.975610733032227
8,bepler,no_transform,train,3.756868362426758
8,bepler,no_transform,test,23.64142608642578
9,bepler,no_transform,train,3.7841532230377197
9,bepler,no_transform,test,21.71332550048828
10,bepler,no_transform,train,3.748769521713257
10,bepler,no_transform,test,18.630565643310547
11,bepler,no_transform,train,3.6462762355804443
11,bepler,no_transform,test,15.162945747375488
12,bepler,no_transform,train,3.517239809036255
12,bepler,no_transform,test,11.970174789428711
13,bepler,no_transform,train,3.411231279373169
13,bepler,no_transform,test,9.379775047302246
14,bepler,no_transform,train,3.352140426635742
14,bepler,no_transform,test,7.448250770568848
15,bepler,no_transform,train,3.3368961811065674
15,bepler,no_transform,test,6.093203544616699
16,bepler,no_transform,train,3.349691867828369
16,bepler,no_transform,test,5.186214447021484
17,bepler,no_transform,train,3.3741672039031982
17,bepler,no_transform,test,4.601842403411865
18,bepler,no_transform,train,3.3976523876190186
18,bepler,no_transform,test,4.236813545227051
19,bepler,no_transform,train,3.4118804931640625
19,bepler,no_transform,test,4.014357089996338
20,bepler,no_transform,train,3.412668228149414
20,bepler,no_transform,test,3.8826820850372314
21,bepler,no_transform,train,3.399766445159912
21,bepler,no_transform,test,3.809727668762207
22,bepler,no_transform,train,3.376319169998169
22,bepler,no_transform,test,3.7774012088775635
23,bepler,no_transform,train,3.3477702140808105
23,bepler,no_transform,test,3.7755706310272217
24,bepler,no_transform,train,3.3202314376831055
24,bepler,no_transform,test,3.796755075454712
25,bepler,no_transform,train,3.298811674118042
25,bepler,no_transform,test,3.831829071044922
26,bepler,no_transform,train,3.286325216293335
26,bepler,no_transform,test,3.8678503036499023
27,bepler,no_transform,train,3.2827935218811035
27,bepler,no_transform,test,3.889242172241211
28,bepler,no_transform,train,3.28570818901062
28,bepler,no_transform,test,3.8819127082824707
29,bepler,no_transform,train,3.2910804748535156
29,bepler,no_transform,test,3.8391499519348145
30,bepler,no_transform,train,3.294799566268921
30,bepler,no_transform,test,3.764923095703125
31,bepler,no_transform,train,3.2940027713775635
31,bepler,no_transform,test,3.673013925552368
32,bepler,no_transform,train,3.2878711223602295
32,bepler,no_transform,test,3.581570863723755
33,bepler,no_transform,train,3.277665615081787
33,bepler,no_transform,test,3.506035566329956
34,bepler,no_transform,train,3.2659058570861816
34,bepler,no_transform,test,3.4544904232025146
35,bepler,no_transform,train,3.255199909210205
35,bepler,no_transform,test,3.4271464347839355
36,bepler,no_transform,train,3.24718976020813
36,bepler,no_transform,test,3.4187800884246826
37,bepler,no_transform,train,3.2422196865081787
37,bepler,no_transform,test,3.422049045562744
38,bepler,no_transform,train,3.2397141456604004
38,bepler,no_transform,test,3.430191993713379
39,bepler,no_transform,train,3.2386481761932373
39,bepler,no_transform,test,3.438174247741699
40,bepler,no_transform,train,3.2379300594329834
40,bepler,no_transform,test,3.443028688430786
41,bepler,no_transform,train,3.2366318702697754
41,bepler,no_transform,test,3.443380355834961
42,bepler,no_transform,train,3.2340965270996094
42,bepler,no_transform,test,3.4392168521881104
43,bepler,no_transform,train,3.2300572395324707
43,bepler,no_transform,test,3.4312644004821777
44,bepler,no_transform,train,3.2247188091278076
44,bepler,no_transform,test,3.420891284942627
45,bepler,no_transform,train,3.218770980834961
45,bepler,no_transform,test,3.4096519947052
46,bepler,no_transform,train,3.213122606277466
46,bepler,no_transform,test,3.3990795612335205
47,bepler,no_transform,train,3.208556652069092
47,bepler,no_transform,test,3.3901774883270264
48,bepler,no_transform,train,3.20538067817688
48,bepler,no_transform,test,3.3833467960357666
49,bepler,no_transform,train,3.203317165374756
49,bepler,no_transform,test,3.3784329891204834
50,bepler,no_transform,train,3.201638698577881
50,bepler,no_transform,test,3.374939203262329
51,bepler,no_transform,train,3.1995716094970703
51,bepler,no_transform,test,3.372468948364258
52,bepler,no_transform,train,3.1966123580932617
52,bepler,no_transform,test,3.37106990814209
53,bepler,no_transform,train,3.192807912826538
53,bepler,no_transform,test,3.3711135387420654
54,bepler,no_transform,train,3.1886491775512695
54,bepler,no_transform,test,3.3729681968688965
55,bepler,no_transform,train,3.1846275329589844
55,bepler,no_transform,test,3.376634120941162
56,bepler,no_transform,train,3.180975914001465
56,bepler,no_transform,test,3.381565570831299
57,bepler,no_transform,train,3.177687406539917
57,bepler,no_transform,test,3.3868699073791504
58,bepler,no_transform,train,3.1746737957000732
58,bepler,no_transform,test,3.391458511352539
59,bepler,no_transform,train,3.1718811988830566
59,bepler,no_transform,test,3.394231081008911
60,bepler,no_transform,train,3.1691837310791016
60,bepler,no_transform,test,3.3941338062286377
61,bepler,no_transform,train,3.1663966178894043
61,bepler,no_transform,test,3.390605926513672
62,bepler,no_transform,train,3.163320302963257
62,bepler,no_transform,test,3.3839058876037598
63,bepler,no_transform,train,3.1599135398864746
63,bepler,no_transform,test,3.374983549118042
64,bepler,no_transform,train,3.1563427448272705
64,bepler,no_transform,test,3.3653740882873535
65,bepler,no_transform,train,3.152869939804077
65,bepler,no_transform,test,3.356550693511963
66,bepler,no_transform,train,3.1496548652648926
66,bepler,no_transform,test,3.3494045734405518
67,bepler,no_transform,train,3.146686315536499
67,bepler,no_transform,test,3.3443191051483154
68,bepler,no_transform,train,3.1438252925872803
68,bepler,no_transform,test,3.3413245677948
69,bepler,no_transform,train,3.140932321548462
69,bepler,no_transform,test,3.340205430984497
70,bepler,no_transform,train,3.137925148010254
70,bepler,no_transform,test,3.340395927429199
71,bepler,no_transform,train,3.1347813606262207
71,bepler,no_transform,test,3.341177463531494
72,bepler,no_transform,train,3.131542682647705
72,bepler,no_transform,test,3.3419642448425293
73,bepler,no_transform,train,3.12827205657959
73,bepler,no_transform,test,3.3424205780029297
74,bepler,no_transform,train,3.125053882598877
74,bepler,no_transform,test,3.3425891399383545
75,bepler,no_transform,train,3.121959924697876
75,bepler,no_transform,test,3.342719316482544
76,bepler,no_transform,train,3.118931770324707
76,bepler,no_transform,test,3.3426811695098877
77,bepler,no_transform,train,3.1159133911132812
77,bepler,no_transform,test,3.3416523933410645
78,bepler,no_transform,train,3.1128742694854736
78,bepler,no_transform,test,3.339031457901001
79,bepler,no_transform,train,3.109717845916748
79,bepler,no_transform,test,3.3346474170684814
80,bepler,no_transform,train,3.1065168380737305
80,bepler,no_transform,test,3.329496383666992
81,bepler,no_transform,train,3.1033756732940674
81,bepler,no_transform,test,3.3245110511779785
82,bepler,no_transform,train,3.100248336791992
82,bepler,no_transform,test,3.320605993270874
83,bepler,no_transform,train,3.097132682800293
83,bepler,no_transform,test,3.3177034854888916
84,bepler,no_transform,train,3.0940334796905518
84,bepler,no_transform,test,3.315643310546875
85,bepler,no_transform,train,3.0909342765808105
85,bepler,no_transform,test,3.3140809535980225
86,bepler,no_transform,train,3.087843418121338
86,bepler,no_transform,test,3.3130147457122803
87,bepler,no_transform,train,3.084747791290283
87,bepler,no_transform,test,3.311927080154419
88,bepler,no_transform,train,3.081655263900757
88,bepler,no_transform,test,3.3111841678619385
89,bepler,no_transform,train,3.078503131866455
89,bepler,no_transform,test,3.310340166091919
90,bepler,no_transform,train,3.075305938720703
90,bepler,no_transform,test,3.308505058288574
91,bepler,no_transform,train,3.0721330642700195
91,bepler,no_transform,test,3.305555582046509
92,bepler,no_transform,train,3.0689141750335693
92,bepler,no_transform,test,3.3025732040405273
93,bepler,no_transform,train,3.065690279006958
93,bepler,no_transform,test,3.2990541458129883
94,bepler,no_transform,train,3.062480926513672
94,bepler,no_transform,test,3.293513774871826
95,bepler,no_transform,train,3.0592751502990723
95,bepler,no_transform,test,3.288515329360962
96,bepler,no_transform,train,3.0560784339904785
96,bepler,no_transform,test,3.2852394580841064
97,bepler,no_transform,train,3.052837371826172
97,bepler,no_transform,test,3.2802650928497314
98,bepler,no_transform,train,3.0495545864105225
98,bepler,no_transform,test,3.2761287689208984
99,bepler,no_transform,train,3.046262502670288
99,bepler,no_transform,test,3.271854877471924
100,bepler,no_transform,train,3.042973279953003
100,bepler,no_transform,test,3.26773738861084
