Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydropathy,no_transform,train,4.918796539306641
1,fft_hydropathy,no_transform,test,36022.20703125
2,fft_hydropathy,no_transform,train,10.675027847290039
2,fft_hydropathy,no_transform,test,3017.99755859375
3,fft_hydropathy,no_transform,train,8.202019691467285
3,fft_hydropathy,no_transform,test,759.125732421875
4,fft_hydropathy,no_transform,train,5.974960803985596
4,fft_hydropathy,no_transform,test,221.35787963867188
5,fft_hydropathy,no_transform,train,4.581119060516357
5,fft_hydropathy,no_transform,test,65.3531265258789
6,fft_hydropathy,no_transform,train,3.885118246078491
6,fft_hydropathy,no_transform,test,19.836997985839844
7,fft_hydropathy,no_transform,train,3.658400774002075
7,fft_hydropathy,no_transform,test,7.132777214050293
8,fft_hydropathy,no_transform,train,3.6709883213043213
8,fft_hydropathy,no_transform,test,4.018771171569824
9,fft_hydropathy,no_transform,train,3.771658420562744
9,fft_hydropathy,no_transform,test,3.53609561920166
10,fft_hydropathy,no_transform,train,3.8910653591156006
10,fft_hydropathy,no_transform,test,3.624934434890747
11,fft_hydropathy,no_transform,train,3.9820945262908936
11,fft_hydropathy,no_transform,test,3.7375564575195312
12,fft_hydropathy,no_transform,train,4.0320353507995605
12,fft_hydropathy,no_transform,test,3.7442729473114014
13,fft_hydropathy,no_transform,train,4.042479515075684
13,fft_hydropathy,no_transform,test,3.6596899032592773
14,fft_hydropathy,no_transform,train,4.014028549194336
14,fft_hydropathy,no_transform,test,3.539064884185791
15,fft_hydropathy,no_transform,train,3.9622631072998047
15,fft_hydropathy,no_transform,test,3.4557430744171143
16,fft_hydropathy,no_transform,train,3.8917689323425293
16,fft_hydropathy,no_transform,test,3.4503333568573
17,fft_hydropathy,no_transform,train,3.8073325157165527
17,fft_hydropathy,no_transform,test,3.538926362991333
18,fft_hydropathy,no_transform,train,3.7200210094451904
18,fft_hydropathy,no_transform,test,3.7285802364349365
19,fft_hydropathy,no_transform,train,3.6454529762268066
19,fft_hydropathy,no_transform,test,3.997988224029541
20,fft_hydropathy,no_transform,train,3.582416534423828
20,fft_hydropathy,no_transform,test,4.303118705749512
21,fft_hydropathy,no_transform,train,3.5271432399749756
21,fft_hydropathy,no_transform,test,4.613730430603027
22,fft_hydropathy,no_transform,train,3.47922945022583
