Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydrophobicity,no_transform,train,4.350808620452881
1,fft_hydrophobicity,no_transform,test,1673.8350830078125
2,fft_hydrophobicity,no_transform,train,4.245181560516357
2,fft_hydrophobicity,no_transform,test,224.3376922607422
3,fft_hydrophobicity,no_transform,train,4.036923885345459
3,fft_hydrophobicity,no_transform,test,76.68470764160156
4,fft_hydrophobicity,no_transform,train,3.9005117416381836
4,fft_hydrophobicity,no_transform,test,36.48712158203125
5,fft_hydrophobicity,no_transform,train,3.817009925842285
5,fft_hydrophobicity,no_transform,test,24.86203384399414
6,fft_hydrophobicity,no_transform,train,3.738696336746216
6,fft_hydrophobicity,no_transform,test,21.59232521057129
7,fft_hydrophobicity,no_transform,train,3.6543874740600586
7,fft_hydrophobicity,no_transform,test,20.5411434173584
8,fft_hydrophobicity,no_transform,train,3.580592393875122
8,fft_hydrophobicity,no_transform,test,19.193645477294922
9,fft_hydrophobicity,no_transform,train,3.5304126739501953
9,fft_hydrophobicity,no_transform,test,16.031177520751953
10,fft_hydrophobicity,no_transform,train,3.499295949935913
10,fft_hydrophobicity,no_transform,test,11.608881950378418
11,fft_hydrophobicity,no_transform,train,3.462362289428711
11,fft_hydrophobicity,no_transform,test,7.855837821960449
12,fft_hydrophobicity,no_transform,train,3.4188339710235596
12,fft_hydrophobicity,no_transform,test,5.50069522857666
13,fft_hydrophobicity,no_transform,train,3.3789873123168945
13,fft_hydrophobicity,no_transform,test,4.320072650909424
14,fft_hydrophobicity,no_transform,train,3.359010696411133
14,fft_hydrophobicity,no_transform,test,3.8087122440338135
15,fft_hydrophobicity,no_transform,train,3.3515028953552246
15,fft_hydrophobicity,no_transform,test,3.578359603881836
16,fft_hydrophobicity,no_transform,train,3.3456666469573975
16,fft_hydrophobicity,no_transform,test,3.4877171516418457
17,fft_hydrophobicity,no_transform,train,3.3333895206451416
17,fft_hydrophobicity,no_transform,test,3.44844126701355
18,fft_hydrophobicity,no_transform,train,3.3088626861572266
18,fft_hydrophobicity,no_transform,test,3.4290950298309326
19,fft_hydrophobicity,no_transform,train,3.28116774559021
19,fft_hydrophobicity,no_transform,test,3.4324262142181396
20,fft_hydrophobicity,no_transform,train,3.2599921226501465
20,fft_hydrophobicity,no_transform,test,3.4608144760131836
21,fft_hydrophobicity,no_transform,train,3.2423441410064697
21,fft_hydrophobicity,no_transform,test,3.5121188163757324
22,fft_hydrophobicity,no_transform,train,3.22332763671875
22,fft_hydrophobicity,no_transform,test,3.5699846744537354
23,fft_hydrophobicity,no_transform,train,3.2048356533050537
23,fft_hydrophobicity,no_transform,test,3.5842528343200684
24,fft_hydrophobicity,no_transform,train,3.1875905990600586
24,fft_hydrophobicity,no_transform,test,3.5541810989379883
25,fft_hydrophobicity,no_transform,train,3.174194574356079
25,fft_hydrophobicity,no_transform,test,3.530113697052002
26,fft_hydrophobicity,no_transform,train,3.160794734954834
26,fft_hydrophobicity,no_transform,test,3.529096841812134
27,fft_hydrophobicity,no_transform,train,3.144437789916992
27,fft_hydrophobicity,no_transform,test,3.5356554985046387
28,fft_hydrophobicity,no_transform,train,3.1282906532287598
28,fft_hydrophobicity,no_transform,test,3.538395643234253
29,fft_hydrophobicity,no_transform,train,3.118100881576538
29,fft_hydrophobicity,no_transform,test,3.5114731788635254
30,fft_hydrophobicity,no_transform,train,3.110044002532959
30,fft_hydrophobicity,no_transform,test,3.4433393478393555
31,fft_hydrophobicity,no_transform,train,3.0975399017333984
31,fft_hydrophobicity,no_transform,test,3.3654067516326904
32,fft_hydrophobicity,no_transform,train,3.082813262939453
32,fft_hydrophobicity,no_transform,test,3.3113675117492676
33,fft_hydrophobicity,no_transform,train,3.07132625579834
33,fft_hydrophobicity,no_transform,test,3.280913829803467
34,fft_hydrophobicity,no_transform,train,3.0620923042297363
34,fft_hydrophobicity,no_transform,test,3.2666006088256836
35,fft_hydrophobicity,no_transform,train,3.0514464378356934
35,fft_hydrophobicity,no_transform,test,3.2552733421325684
36,fft_hydrophobicity,no_transform,train,3.0404722690582275
36,fft_hydrophobicity,no_transform,test,3.2438788414001465
37,fft_hydrophobicity,no_transform,train,3.0321505069732666
37,fft_hydrophobicity,no_transform,test,3.2345430850982666
38,fft_hydrophobicity,no_transform,train,3.024164915084839
38,fft_hydrophobicity,no_transform,test,3.2279598712921143
39,fft_hydrophobicity,no_transform,train,3.0143802165985107
39,fft_hydrophobicity,no_transform,test,3.224170684814453
40,fft_hydrophobicity,no_transform,train,3.005080461502075
40,fft_hydrophobicity,no_transform,test,3.219850778579712
41,fft_hydrophobicity,no_transform,train,2.996938943862915
41,fft_hydrophobicity,no_transform,test,3.2123045921325684
42,fft_hydrophobicity,no_transform,train,2.9884767532348633
42,fft_hydrophobicity,no_transform,test,3.20691180229187
43,fft_hydrophobicity,no_transform,train,2.9800984859466553
43,fft_hydrophobicity,no_transform,test,3.2073094844818115
44,fft_hydrophobicity,no_transform,train,2.9729533195495605
44,fft_hydrophobicity,no_transform,test,3.2076492309570312
45,fft_hydrophobicity,no_transform,train,2.9664058685302734
45,fft_hydrophobicity,no_transform,test,3.2032365798950195
46,fft_hydrophobicity,no_transform,train,2.959298610687256
