Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_secondary_structure,no_transform,train,4.234930992126465
1,fft_secondary_structure,no_transform,test,821.607666015625
2,fft_secondary_structure,no_transform,train,4.071742534637451
2,fft_secondary_structure,no_transform,test,95.1244888305664
3,fft_secondary_structure,no_transform,train,3.9513328075408936
3,fft_secondary_structure,no_transform,test,50.50507736206055
4,fft_secondary_structure,no_transform,train,3.8568849563598633
4,fft_secondary_structure,no_transform,test,46.26483917236328
5,fft_secondary_structure,no_transform,train,3.758927822113037
5,fft_secondary_structure,no_transform,test,47.43373107910156
6,fft_secondary_structure,no_transform,train,3.683976888656616
6,fft_secondary_structure,no_transform,test,42.070552825927734
7,fft_secondary_structure,no_transform,train,3.6350841522216797
7,fft_secondary_structure,no_transform,test,29.165796279907227
8,fft_secondary_structure,no_transform,train,3.5738844871520996
8,fft_secondary_structure,no_transform,test,17.724592208862305
9,fft_secondary_structure,no_transform,train,3.512953042984009
9,fft_secondary_structure,no_transform,test,10.654974937438965
10,fft_secondary_structure,no_transform,train,3.4705843925476074
10,fft_secondary_structure,no_transform,test,7.1303791999816895
11,fft_secondary_structure,no_transform,train,3.4409403800964355
11,fft_secondary_structure,no_transform,test,5.757428169250488
12,fft_secondary_structure,no_transform,train,3.412196397781372
12,fft_secondary_structure,no_transform,test,5.075663089752197
13,fft_secondary_structure,no_transform,train,3.38519287109375
13,fft_secondary_structure,no_transform,test,4.556450843811035
14,fft_secondary_structure,no_transform,train,3.365723133087158
14,fft_secondary_structure,no_transform,test,4.1009039878845215
15,fft_secondary_structure,no_transform,train,3.354114294052124
15,fft_secondary_structure,no_transform,test,3.7988550662994385
16,fft_secondary_structure,no_transform,train,3.3406732082366943
16,fft_secondary_structure,no_transform,test,3.5880696773529053
17,fft_secondary_structure,no_transform,train,3.320171356201172
17,fft_secondary_structure,no_transform,test,3.470590829849243
18,fft_secondary_structure,no_transform,train,3.305500030517578
18,fft_secondary_structure,no_transform,test,3.412229061126709
19,fft_secondary_structure,no_transform,train,3.291517734527588
19,fft_secondary_structure,no_transform,test,3.3895936012268066
20,fft_secondary_structure,no_transform,train,3.2708094120025635
20,fft_secondary_structure,no_transform,test,3.394749402999878
21,fft_secondary_structure,no_transform,train,3.2469353675842285
21,fft_secondary_structure,no_transform,test,3.435311794281006
22,fft_secondary_structure,no_transform,train,3.2294061183929443
22,fft_secondary_structure,no_transform,test,3.5023372173309326
23,fft_secondary_structure,no_transform,train,3.2164103984832764
23,fft_secondary_structure,no_transform,test,3.5365333557128906
24,fft_secondary_structure,no_transform,train,3.19787859916687
24,fft_secondary_structure,no_transform,test,3.505316972732544
25,fft_secondary_structure,no_transform,train,3.1789047718048096
25,fft_secondary_structure,no_transform,test,3.450775384902954
26,fft_secondary_structure,no_transform,train,3.167257070541382
26,fft_secondary_structure,no_transform,test,3.4208714962005615
27,fft_secondary_structure,no_transform,train,3.15502667427063
27,fft_secondary_structure,no_transform,test,3.4172332286834717
28,fft_secondary_structure,no_transform,train,3.138387441635132
28,fft_secondary_structure,no_transform,test,3.4127931594848633
29,fft_secondary_structure,no_transform,train,3.124633550643921
29,fft_secondary_structure,no_transform,test,3.379074811935425
30,fft_secondary_structure,no_transform,train,3.1142466068267822
30,fft_secondary_structure,no_transform,test,3.3324697017669678
