Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_secondary_structure,no_transform,train,4.682570934295654
1,fft_secondary_structure,no_transform,test,366737.6875
2,fft_secondary_structure,no_transform,train,97.38716125488281
2,fft_secondary_structure,no_transform,test,21204.44140625
3,fft_secondary_structure,no_transform,train,52.279319763183594
3,fft_secondary_structure,no_transform,test,3424.39453125
4,fft_secondary_structure,no_transform,train,21.257043838500977
4,fft_secondary_structure,no_transform,test,407.2469482421875
5,fft_secondary_structure,no_transform,train,8.273945808410645
5,fft_secondary_structure,no_transform,test,20.871742248535156
6,fft_secondary_structure,no_transform,train,4.982481002807617
6,fft_secondary_structure,no_transform,test,37.34831237792969
7,fft_secondary_structure,no_transform,train,4.90496301651001
7,fft_secondary_structure,no_transform,test,81.16193389892578
8,fft_secondary_structure,no_transform,train,5.529116630554199
8,fft_secondary_structure,no_transform,test,97.88819122314453
9,fft_secondary_structure,no_transform,train,6.054557800292969
9,fft_secondary_structure,no_transform,test,91.26021575927734
10,fft_secondary_structure,no_transform,train,6.318561553955078
10,fft_secondary_structure,no_transform,test,73.63290405273438
11,fft_secondary_structure,no_transform,train,6.329928874969482
11,fft_secondary_structure,no_transform,test,54.803619384765625
12,fft_secondary_structure,no_transform,train,6.1557488441467285
12,fft_secondary_structure,no_transform,test,38.205482482910156
13,fft_secondary_structure,no_transform,train,5.894043922424316
13,fft_secondary_structure,no_transform,test,24.829872131347656
14,fft_secondary_structure,no_transform,train,5.622295379638672
14,fft_secondary_structure,no_transform,test,14.979183197021484
15,fft_secondary_structure,no_transform,train,5.361746788024902
15,fft_secondary_structure,no_transform,test,8.583839416503906
16,fft_secondary_structure,no_transform,train,5.097901344299316
16,fft_secondary_structure,no_transform,test,5.167041778564453
17,fft_secondary_structure,no_transform,train,4.815189361572266
17,fft_secondary_structure,no_transform,test,4.078993797302246
18,fft_secondary_structure,no_transform,train,4.5138421058654785
18,fft_secondary_structure,no_transform,test,4.644477844238281
19,fft_secondary_structure,no_transform,train,4.212185859680176
19,fft_secondary_structure,no_transform,test,6.17476749420166
20,fft_secondary_structure,no_transform,train,3.9401497840881348
20,fft_secondary_structure,no_transform,test,8.045452117919922
21,fft_secondary_structure,no_transform,train,3.7313287258148193
21,fft_secondary_structure,no_transform,test,9.79257583618164
22,fft_secondary_structure,no_transform,train,3.6110095977783203
22,fft_secondary_structure,no_transform,test,11.133638381958008
23,fft_secondary_structure,no_transform,train,3.586005449295044
23,fft_secondary_structure,no_transform,test,11.935948371887207
24,fft_secondary_structure,no_transform,train,3.6404964923858643
24,fft_secondary_structure,no_transform,test,12.178633689880371
