Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_volume,no_transform,train,5.162864685058594
1,fft_volume,no_transform,test,221659.84375
2,fft_volume,no_transform,train,97.91461944580078
2,fft_volume,no_transform,test,5581.48486328125
3,fft_volume,no_transform,train,13.84841537475586
3,fft_volume,no_transform,test,115.6479721069336
4,fft_volume,no_transform,train,11.081144332885742
4,fft_volume,no_transform,test,114.45800018310547
5,fft_volume,no_transform,train,11.279508590698242
5,fft_volume,no_transform,test,122.09117126464844
6,fft_volume,no_transform,train,9.115494728088379
6,fft_volume,no_transform,test,103.6983871459961
7,fft_volume,no_transform,train,7.304319858551025
7,fft_volume,no_transform,test,81.01310729980469
8,fft_volume,no_transform,train,6.3756303787231445
8,fft_volume,no_transform,test,56.64735794067383
9,fft_volume,no_transform,train,6.062887668609619
9,fft_volume,no_transform,test,33.0386962890625
10,fft_volume,no_transform,train,5.972578048706055
10,fft_volume,no_transform,test,14.547158241271973
11,fft_volume,no_transform,train,5.837325572967529
11,fft_volume,no_transform,test,4.876653671264648
12,fft_volume,no_transform,train,5.566193103790283
12,fft_volume,no_transform,test,5.279194355010986
13,fft_volume,no_transform,train,5.2021484375
13,fft_volume,no_transform,test,14.271746635437012
14,fft_volume,no_transform,train,4.850636959075928
14,fft_volume,no_transform,test,28.3353214263916
15,fft_volume,no_transform,train,4.61478328704834
15,fft_volume,no_transform,test,43.02580261230469
16,fft_volume,no_transform,train,4.548765182495117
16,fft_volume,no_transform,test,54.23214340209961
17,fft_volume,no_transform,train,4.639011859893799
17,fft_volume,no_transform,test,59.336273193359375
18,fft_volume,no_transform,train,4.8134684562683105
18,fft_volume,no_transform,test,57.85055160522461
19,fft_volume,no_transform,train,4.975395202636719
19,fft_volume,no_transform,test,51.150917053222656
20,fft_volume,no_transform,train,5.044522285461426
20,fft_volume,no_transform,test,41.559322357177734
21,fft_volume,no_transform,train,4.984559059143066
21,fft_volume,no_transform,test,31.370105743408203
22,fft_volume,no_transform,train,4.807948112487793
22,fft_volume,no_transform,test,22.242746353149414
23,fft_volume,no_transform,train,4.562093257904053
23,fft_volume,no_transform,test,15.02587604522705
24,fft_volume,no_transform,train,4.3071608543396
24,fft_volume,no_transform,test,9.911242485046387
25,fft_volume,no_transform,train,4.0939249992370605
25,fft_volume,no_transform,test,6.67034387588501
26,fft_volume,no_transform,train,3.9512555599212646
26,fft_volume,no_transform,test,4.875737190246582
27,fft_volume,no_transform,train,3.8830485343933105
27,fft_volume,no_transform,test,4.061230182647705
28,fft_volume,no_transform,train,3.8728795051574707
28,fft_volume,no_transform,test,3.8169751167297363
29,fft_volume,no_transform,train,3.893660068511963
29,fft_volume,no_transform,test,3.8349883556365967
30,fft_volume,no_transform,train,3.9182865619659424
30,fft_volume,no_transform,test,3.9183619022369385
31,fft_volume,no_transform,train,3.927743673324585
31,fft_volume,no_transform,test,3.968301296234131
32,fft_volume,no_transform,train,3.914689064025879
32,fft_volume,no_transform,test,3.9580650329589844
33,fft_volume,no_transform,train,3.882453441619873
33,fft_volume,no_transform,test,3.903618335723877
34,fft_volume,no_transform,train,3.8408291339874268
34,fft_volume,no_transform,test,3.837259292602539
35,fft_volume,no_transform,train,3.8008129596710205
35,fft_volume,no_transform,test,3.78877592086792
36,fft_volume,no_transform,train,3.770282030105591
36,fft_volume,no_transform,test,3.774071455001831
37,fft_volume,no_transform,train,3.751798629760742
37,fft_volume,no_transform,test,3.791942834854126
38,fft_volume,no_transform,train,3.7427778244018555
38,fft_volume,no_transform,test,3.827946424484253
39,fft_volume,no_transform,train,3.737473249435425
39,fft_volume,no_transform,test,3.86183500289917
40,fft_volume,no_transform,train,3.7296535968780518
40,fft_volume,no_transform,test,3.875931978225708
41,fft_volume,no_transform,train,3.714911460876465
41,fft_volume,no_transform,test,3.8613598346710205
42,fft_volume,no_transform,train,3.6918833255767822
42,fft_volume,no_transform,test,3.820169448852539
43,fft_volume,no_transform,train,3.662248373031616
43,fft_volume,no_transform,test,3.762906551361084
44,fft_volume,no_transform,train,3.6296846866607666
44,fft_volume,no_transform,test,3.70337176322937
45,fft_volume,no_transform,train,3.598421335220337
45,fft_volume,no_transform,test,3.653160333633423
46,fft_volume,no_transform,train,3.571943759918213
46,fft_volume,no_transform,test,3.6185600757598877
47,fft_volume,no_transform,train,3.5522067546844482
47,fft_volume,no_transform,test,3.6001057624816895
48,fft_volume,no_transform,train,3.5394108295440674
48,fft_volume,no_transform,test,3.5940608978271484
49,fft_volume,no_transform,train,3.532287120819092
49,fft_volume,no_transform,test,3.594965696334839
50,fft_volume,no_transform,train,3.528602361679077
50,fft_volume,no_transform,test,3.597722291946411
51,fft_volume,no_transform,train,3.525801181793213
51,fft_volume,no_transform,test,3.5989272594451904
52,fft_volume,no_transform,train,3.521627187728882
52,fft_volume,no_transform,test,3.597266435623169
53,fft_volume,no_transform,train,3.5146470069885254
53,fft_volume,no_transform,test,3.593212366104126
54,fft_volume,no_transform,train,3.5045554637908936
54,fft_volume,no_transform,test,3.5883948802948
55,fft_volume,no_transform,train,3.4921352863311768
55,fft_volume,no_transform,test,3.584207773208618
56,fft_volume,no_transform,train,3.4788315296173096
56,fft_volume,no_transform,test,3.5809459686279297
57,fft_volume,no_transform,train,3.4661455154418945
57,fft_volume,no_transform,test,3.5775997638702393
58,fft_volume,no_transform,train,3.454918384552002
58,fft_volume,no_transform,test,3.5722360610961914
59,fft_volume,no_transform,train,3.445042848587036
59,fft_volume,no_transform,test,3.563232898712158
60,fft_volume,no_transform,train,3.435697555541992
60,fft_volume,no_transform,test,3.5502452850341797
61,fft_volume,no_transform,train,3.4259049892425537
61,fft_volume,no_transform,test,3.5343611240386963
62,fft_volume,no_transform,train,3.4150900840759277
62,fft_volume,no_transform,test,3.517613410949707
63,fft_volume,no_transform,train,3.4033632278442383
63,fft_volume,no_transform,test,3.502207040786743
64,fft_volume,no_transform,train,3.3914480209350586
64,fft_volume,no_transform,test,3.4895870685577393
65,fft_volume,no_transform,train,3.380244493484497
65,fft_volume,no_transform,test,3.479881763458252
66,fft_volume,no_transform,train,3.37028169631958
66,fft_volume,no_transform,test,3.4720096588134766
67,fft_volume,no_transform,train,3.3613173961639404
67,fft_volume,no_transform,test,3.464266538619995
68,fft_volume,no_transform,train,3.3523294925689697
68,fft_volume,no_transform,test,3.4554941654205322
69,fft_volume,no_transform,train,3.3419013023376465
69,fft_volume,no_transform,test,3.445704460144043
70,fft_volume,no_transform,train,3.329233169555664
70,fft_volume,no_transform,test,3.4365973472595215
71,fft_volume,no_transform,train,3.3164494037628174
71,fft_volume,no_transform,test,3.432751417160034
72,fft_volume,no_transform,train,3.30633807182312
72,fft_volume,no_transform,test,3.4338409900665283
73,fft_volume,no_transform,train,3.2989988327026367
73,fft_volume,no_transform,test,3.4278578758239746
74,fft_volume,no_transform,train,3.288482666015625
74,fft_volume,no_transform,test,3.4220333099365234
75,fft_volume,no_transform,train,3.274676561355591
75,fft_volume,no_transform,test,3.4147112369537354
76,fft_volume,no_transform,train,3.263314723968506
76,fft_volume,no_transform,test,3.4192075729370117
77,fft_volume,no_transform,train,3.25836443901062
77,fft_volume,no_transform,test,3.418546676635742
78,fft_volume,no_transform,train,3.251479148864746
78,fft_volume,no_transform,test,3.4035792350769043
79,fft_volume,no_transform,train,3.2395002841949463
79,fft_volume,no_transform,test,3.3903579711914062
80,fft_volume,no_transform,train,3.226205348968506
80,fft_volume,no_transform,test,3.379030466079712
81,fft_volume,no_transform,train,3.215355634689331
81,fft_volume,no_transform,test,3.362215995788574
82,fft_volume,no_transform,train,3.2059404850006104
82,fft_volume,no_transform,test,3.345935106277466
83,fft_volume,no_transform,train,3.195291757583618
83,fft_volume,no_transform,test,3.33657169342041
84,fft_volume,no_transform,train,3.1814656257629395
84,fft_volume,no_transform,test,3.3399417400360107
85,fft_volume,no_transform,train,3.1681864261627197
85,fft_volume,no_transform,test,3.352350950241089
86,fft_volume,no_transform,train,3.1572773456573486
86,fft_volume,no_transform,test,3.346299886703491
87,fft_volume,no_transform,train,3.146615982055664
87,fft_volume,no_transform,test,3.3264505863189697
88,fft_volume,no_transform,train,3.1372432708740234
88,fft_volume,no_transform,test,3.313621759414673
89,fft_volume,no_transform,train,3.1288726329803467
89,fft_volume,no_transform,test,3.3141868114471436
90,fft_volume,no_transform,train,3.115623712539673
90,fft_volume,no_transform,test,3.3269665241241455
91,fft_volume,no_transform,train,3.102159023284912
91,fft_volume,no_transform,test,3.321911573410034
92,fft_volume,no_transform,train,3.094165325164795
92,fft_volume,no_transform,test,3.304318428039551
93,fft_volume,no_transform,train,3.0870046615600586
93,fft_volume,no_transform,test,3.287060260772705
94,fft_volume,no_transform,train,3.078648328781128
94,fft_volume,no_transform,test,3.2812089920043945
95,fft_volume,no_transform,train,3.068727731704712
95,fft_volume,no_transform,test,3.285386323928833
