Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,onehot,no_transform,train,4.265331268310547
1,onehot,no_transform,test,4.228453159332275
2,onehot,no_transform,train,4.0155487060546875
2,onehot,no_transform,test,4.116621494293213
3,onehot,no_transform,train,3.8253672122955322
3,onehot,no_transform,test,4.01377010345459
4,onehot,no_transform,train,3.6869826316833496
4,onehot,no_transform,test,3.9232406616210938
5,onehot,no_transform,train,3.590904951095581
5,onehot,no_transform,test,3.8465888500213623
6,onehot,no_transform,train,3.527391195297241
6,onehot,no_transform,test,3.7888875007629395
7,onehot,no_transform,train,3.4871160984039307
7,onehot,no_transform,test,3.746445894241333
8,onehot,no_transform,train,3.461914539337158
8,onehot,no_transform,test,3.720869779586792
9,onehot,no_transform,train,3.4451656341552734
9,onehot,no_transform,test,3.70951509475708
10,onehot,no_transform,train,3.4322824478149414
10,onehot,no_transform,test,3.7091803550720215
11,onehot,no_transform,train,3.4205710887908936
11,onehot,no_transform,test,3.7158892154693604
12,onehot,no_transform,train,3.408849000930786
12,onehot,no_transform,test,3.726398229598999
13,onehot,no_transform,train,3.396975517272949
13,onehot,no_transform,test,3.7403950691223145
14,onehot,no_transform,train,3.3853399753570557
14,onehot,no_transform,test,3.7553975582122803
15,onehot,no_transform,train,3.3745501041412354
15,onehot,no_transform,test,3.7689266204833984
16,onehot,no_transform,train,3.3651180267333984
16,onehot,no_transform,test,3.7783095836639404
17,onehot,no_transform,train,3.357290744781494
17,onehot,no_transform,test,3.785172700881958
18,onehot,no_transform,train,3.351039409637451
18,onehot,no_transform,test,3.7884864807128906
19,onehot,no_transform,train,3.3461227416992188
19,onehot,no_transform,test,3.788106679916382
20,onehot,no_transform,train,3.342099189758301
20,onehot,no_transform,test,3.7839701175689697
21,onehot,no_transform,train,3.338564395904541
21,onehot,no_transform,test,3.7737908363342285
22,onehot,no_transform,train,3.335193634033203
22,onehot,no_transform,test,3.7599706649780273
23,onehot,no_transform,train,3.3317060470581055
23,onehot,no_transform,test,3.7426908016204834
24,onehot,no_transform,train,3.3280019760131836
24,onehot,no_transform,test,3.723022699356079
25,onehot,no_transform,train,3.324085235595703
25,onehot,no_transform,test,3.701554536819458
26,onehot,no_transform,train,3.3200604915618896
26,onehot,no_transform,test,3.6787240505218506
27,onehot,no_transform,train,3.3160715103149414
27,onehot,no_transform,test,3.6554107666015625
28,onehot,no_transform,train,3.3122713565826416
28,onehot,no_transform,test,3.630661725997925
29,onehot,no_transform,train,3.3087923526763916
29,onehot,no_transform,test,3.6061465740203857
30,onehot,no_transform,train,3.3056986331939697
30,onehot,no_transform,test,3.5842151641845703
31,onehot,no_transform,train,3.303011655807495
31,onehot,no_transform,test,3.563819169998169
32,onehot,no_transform,train,3.3006591796875
32,onehot,no_transform,test,3.545680284500122
33,onehot,no_transform,train,3.2985334396362305
33,onehot,no_transform,test,3.529165029525757
34,onehot,no_transform,train,3.2965190410614014
34,onehot,no_transform,test,3.5149943828582764
35,onehot,no_transform,train,3.294511556625366
35,onehot,no_transform,test,3.5029871463775635
36,onehot,no_transform,train,3.292454242706299
36,onehot,no_transform,test,3.4921715259552
37,onehot,no_transform,train,3.290323257446289
37,onehot,no_transform,test,3.4827444553375244
38,onehot,no_transform,train,3.288153886795044
38,onehot,no_transform,test,3.474647283554077
39,onehot,no_transform,train,3.2859747409820557
39,onehot,no_transform,test,3.4688220024108887
40,onehot,no_transform,train,3.2838375568389893
40,onehot,no_transform,test,3.4643185138702393
41,onehot,no_transform,train,3.281789541244507
41,onehot,no_transform,test,3.4605793952941895
42,onehot,no_transform,train,3.279867649078369
42,onehot,no_transform,test,3.4564263820648193
43,onehot,no_transform,train,3.2780754566192627
43,onehot,no_transform,test,3.452559471130371
44,onehot,no_transform,train,3.2763843536376953
44,onehot,no_transform,test,3.448044538497925
45,onehot,no_transform,train,3.274761438369751
45,onehot,no_transform,test,3.4433343410491943
46,onehot,no_transform,train,3.2731826305389404
46,onehot,no_transform,test,3.437588930130005
47,onehot,no_transform,train,3.2716116905212402
47,onehot,no_transform,test,3.431262493133545
48,onehot,no_transform,train,3.270024299621582
48,onehot,no_transform,test,3.4244372844696045
49,onehot,no_transform,train,3.2684168815612793
49,onehot,no_transform,test,3.4173362255096436
50,onehot,no_transform,train,3.2667999267578125
50,onehot,no_transform,test,3.410038948059082
51,onehot,no_transform,train,3.265199661254883
51,onehot,no_transform,test,3.4029743671417236
52,onehot,no_transform,train,3.2636241912841797
52,onehot,no_transform,test,3.3959598541259766
53,onehot,no_transform,train,3.2620768547058105
53,onehot,no_transform,test,3.3896517753601074
54,onehot,no_transform,train,3.2605786323547363
54,onehot,no_transform,test,3.3838119506835938
55,onehot,no_transform,train,3.259119987487793
55,onehot,no_transform,test,3.379072904586792
56,onehot,no_transform,train,3.257690668106079
56,onehot,no_transform,test,3.37540864944458
57,onehot,no_transform,train,3.256277084350586
57,onehot,no_transform,test,3.372328996658325
58,onehot,no_transform,train,3.2548649311065674
58,onehot,no_transform,test,3.3705673217773438
59,onehot,no_transform,train,3.253451347351074
59,onehot,no_transform,test,3.3689122200012207
60,onehot,no_transform,train,3.252026081085205
60,onehot,no_transform,test,3.3681886196136475
61,onehot,no_transform,train,3.2505908012390137
61,onehot,no_transform,test,3.3671956062316895
62,onehot,no_transform,train,3.249159336090088
62,onehot,no_transform,test,3.3666841983795166
63,onehot,no_transform,train,3.2477314472198486
63,onehot,no_transform,test,3.365666151046753
64,onehot,no_transform,train,3.2463178634643555
64,onehot,no_transform,test,3.364900588989258
65,onehot,no_transform,train,3.2449281215667725
65,onehot,no_transform,test,3.3640053272247314
66,onehot,no_transform,train,3.243558406829834
66,onehot,no_transform,test,3.3621318340301514
67,onehot,no_transform,train,3.242199420928955
67,onehot,no_transform,test,3.3600378036499023
68,onehot,no_transform,train,3.2408435344696045
68,onehot,no_transform,test,3.357646942138672
69,onehot,no_transform,train,3.239480495452881
69,onehot,no_transform,test,3.3552732467651367
70,onehot,no_transform,train,3.238121747970581
70,onehot,no_transform,test,3.3534255027770996
71,onehot,no_transform,train,3.236762762069702
71,onehot,no_transform,test,3.352419853210449
72,onehot,no_transform,train,3.2354013919830322
72,onehot,no_transform,test,3.35201096534729
73,onehot,no_transform,train,3.2340426445007324
73,onehot,no_transform,test,3.3522629737854004
74,onehot,no_transform,train,3.232691526412964
74,onehot,no_transform,test,3.3529233932495117
75,onehot,no_transform,train,3.2313427925109863
75,onehot,no_transform,test,3.3540303707122803
76,onehot,no_transform,train,3.229996681213379
76,onehot,no_transform,test,3.35410475730896
77,onehot,no_transform,train,3.2286527156829834
77,onehot,no_transform,test,3.3541226387023926
78,onehot,no_transform,train,3.2273154258728027
78,onehot,no_transform,test,3.353793144226074
79,onehot,no_transform,train,3.2259843349456787
79,onehot,no_transform,test,3.352983236312866
80,onehot,no_transform,train,3.2246596813201904
80,onehot,no_transform,test,3.351801633834839
81,onehot,no_transform,train,3.223345994949341
81,onehot,no_transform,test,3.350754976272583
82,onehot,no_transform,train,3.222034215927124
82,onehot,no_transform,test,3.349799871444702
83,onehot,no_transform,train,3.2207183837890625
83,onehot,no_transform,test,3.3495798110961914
84,onehot,no_transform,train,3.219409465789795
84,onehot,no_transform,test,3.349811553955078
85,onehot,no_transform,train,3.2181074619293213
85,onehot,no_transform,test,3.350665330886841
86,onehot,no_transform,train,3.2168023586273193
86,onehot,no_transform,test,3.3509938716888428
87,onehot,no_transform,train,3.2154886722564697
87,onehot,no_transform,test,3.35162353515625
88,onehot,no_transform,train,3.214165449142456
88,onehot,no_transform,test,3.352708578109741
89,onehot,no_transform,train,3.2128381729125977
89,onehot,no_transform,test,3.354538917541504
90,onehot,no_transform,train,3.211515188217163
90,onehot,no_transform,test,3.3553872108459473
91,onehot,no_transform,train,3.2101922035217285
91,onehot,no_transform,test,3.355275869369507
92,onehot,no_transform,train,3.208866596221924
92,onehot,no_transform,test,3.3540494441986084
93,onehot,no_transform,train,3.207547903060913
93,onehot,no_transform,test,3.3520731925964355
94,onehot,no_transform,train,3.2062301635742188
94,onehot,no_transform,test,3.3504345417022705
95,onehot,no_transform,train,3.204911708831787
95,onehot,no_transform,test,3.3503856658935547
96,onehot,no_transform,train,3.2035892009735107
96,onehot,no_transform,test,3.350147008895874
97,onehot,no_transform,train,3.2022695541381836
97,onehot,no_transform,test,3.3505923748016357
98,onehot,no_transform,train,3.20094633102417
98,onehot,no_transform,test,3.3528923988342285
99,onehot,no_transform,train,3.1996238231658936
99,onehot,no_transform,test,3.355752944946289
100,onehot,no_transform,train,3.1983020305633545
100,onehot,no_transform,test,3.3580546379089355
