Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_energetic,no_transform,train,6.763059139251709
1,physicochemical_energetic,no_transform,test,1027.9007568359375
2,physicochemical_energetic,no_transform,train,60.785972595214844
2,physicochemical_energetic,no_transform,test,175.66317749023438
3,physicochemical_energetic,no_transform,train,18.490110397338867
3,physicochemical_energetic,no_transform,test,46.458961486816406
4,physicochemical_energetic,no_transform,train,8.650201797485352
4,physicochemical_energetic,no_transform,test,19.401912689208984
5,physicochemical_energetic,no_transform,train,7.13161563873291
5,physicochemical_energetic,no_transform,test,17.607431411743164
6,physicochemical_energetic,no_transform,train,8.865662574768066
6,physicochemical_energetic,no_transform,test,16.566970825195312
7,physicochemical_energetic,no_transform,train,9.704618453979492
7,physicochemical_energetic,no_transform,test,12.235692024230957
8,physicochemical_energetic,no_transform,train,8.494306564331055
8,physicochemical_energetic,no_transform,test,7.660290241241455
9,physicochemical_energetic,no_transform,train,6.347848892211914
9,physicochemical_energetic,no_transform,test,5.395530700683594
10,physicochemical_energetic,no_transform,train,4.648285388946533
10,physicochemical_energetic,no_transform,test,5.815847396850586
11,physicochemical_energetic,no_transform,train,4.067888259887695
11,physicochemical_energetic,no_transform,test,7.5448222160339355
12,physicochemical_energetic,no_transform,train,4.365867614746094
12,physicochemical_energetic,no_transform,test,8.816272735595703
13,physicochemical_energetic,no_transform,train,4.8095479011535645
13,physicochemical_energetic,no_transform,test,8.775853157043457
14,physicochemical_energetic,no_transform,train,4.8622870445251465
14,physicochemical_energetic,no_transform,test,7.679584980010986
15,physicochemical_energetic,no_transform,train,4.49627685546875
15,physicochemical_energetic,no_transform,test,6.258477210998535
16,physicochemical_energetic,no_transform,train,3.9995598793029785
16,physicochemical_energetic,no_transform,test,5.112815856933594
17,physicochemical_energetic,no_transform,train,3.65525484085083
17,physicochemical_energetic,no_transform,test,4.464590072631836
18,physicochemical_energetic,no_transform,train,3.56136155128479
18,physicochemical_energetic,no_transform,test,4.203218460083008
19,physicochemical_energetic,no_transform,train,3.6278228759765625
19,physicochemical_energetic,no_transform,test,4.0881476402282715
20,physicochemical_energetic,no_transform,train,3.6897764205932617
20,physicochemical_energetic,no_transform,test,3.946868896484375
21,physicochemical_energetic,no_transform,train,3.6364173889160156
21,physicochemical_energetic,no_transform,test,3.7518558502197266
22,physicochemical_energetic,no_transform,train,3.4681100845336914
22,physicochemical_energetic,no_transform,test,3.577885627746582
23,physicochemical_energetic,no_transform,train,3.2679452896118164
23,physicochemical_energetic,no_transform,test,3.509185314178467
24,physicochemical_energetic,no_transform,train,3.130115509033203
24,physicochemical_energetic,no_transform,test,3.5668108463287354
25,physicochemical_energetic,no_transform,train,3.09808087348938
25,physicochemical_energetic,no_transform,test,3.693718433380127
26,physicochemical_energetic,no_transform,train,3.14566707611084
26,physicochemical_energetic,no_transform,test,3.7955026626586914
27,physicochemical_energetic,no_transform,train,3.2046878337860107
27,physicochemical_energetic,no_transform,test,3.8018431663513184
28,physicochemical_energetic,no_transform,train,3.2145957946777344
28,physicochemical_energetic,no_transform,test,3.704591751098633
29,physicochemical_energetic,no_transform,train,3.1585872173309326
29,physicochemical_energetic,no_transform,test,3.5512123107910156
30,physicochemical_energetic,no_transform,train,3.0646932125091553
30,physicochemical_energetic,no_transform,test,3.406853675842285
31,physicochemical_energetic,no_transform,train,2.978518486022949
31,physicochemical_energetic,no_transform,test,3.315629243850708
32,physicochemical_energetic,no_transform,train,2.931528329849243
32,physicochemical_energetic,no_transform,test,3.28340220451355
33,physicochemical_energetic,no_transform,train,2.9252164363861084
33,physicochemical_energetic,no_transform,test,3.2858896255493164
34,physicochemical_energetic,no_transform,train,2.9368081092834473
34,physicochemical_energetic,no_transform,test,3.2911174297332764
35,physicochemical_energetic,no_transform,train,2.9381206035614014
35,physicochemical_energetic,no_transform,test,3.280041456222534
36,physicochemical_energetic,no_transform,train,2.913811445236206
36,physicochemical_energetic,no_transform,test,3.2541186809539795
37,physicochemical_energetic,no_transform,train,2.8683249950408936
37,physicochemical_energetic,no_transform,test,3.2284200191497803
38,physicochemical_energetic,no_transform,train,2.8194844722747803
38,physicochemical_energetic,no_transform,test,3.2175307273864746
39,physicochemical_energetic,no_transform,train,2.784958839416504
39,physicochemical_energetic,no_transform,test,3.224565029144287
40,physicochemical_energetic,no_transform,train,2.771052360534668
40,physicochemical_energetic,no_transform,test,3.239758014678955
41,physicochemical_energetic,no_transform,train,2.770453691482544
41,physicochemical_energetic,no_transform,test,3.24820613861084
42,physicochemical_energetic,no_transform,train,2.7691650390625
42,physicochemical_energetic,no_transform,test,3.2403786182403564
43,physicochemical_energetic,no_transform,train,2.756817579269409
