Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_energetic,no_transform,train,6.410818576812744
1,physicochemical_energetic,no_transform,test,1111.0050048828125
2,physicochemical_energetic,no_transform,train,65.30914306640625
2,physicochemical_energetic,no_transform,test,161.3794403076172
3,physicochemical_energetic,no_transform,train,21.1419620513916
3,physicochemical_energetic,no_transform,test,41.215633392333984
4,physicochemical_energetic,no_transform,train,8.61893367767334
4,physicochemical_energetic,no_transform,test,21.6219482421875
5,physicochemical_energetic,no_transform,train,7.8081464767456055
5,physicochemical_energetic,no_transform,test,22.586406707763672
6,physicochemical_energetic,no_transform,train,10.284146308898926
6,physicochemical_energetic,no_transform,test,19.752147674560547
7,physicochemical_energetic,no_transform,train,10.493873596191406
7,physicochemical_energetic,no_transform,test,13.119531631469727
8,physicochemical_energetic,no_transform,train,8.391449928283691
8,physicochemical_energetic,no_transform,test,7.668412208557129
9,physicochemical_energetic,no_transform,train,5.8567891120910645
9,physicochemical_energetic,no_transform,test,5.890485763549805
10,physicochemical_energetic,no_transform,train,4.350595951080322
10,physicochemical_energetic,no_transform,test,7.043978691101074
11,physicochemical_energetic,no_transform,train,4.178597450256348
11,physicochemical_energetic,no_transform,test,8.649442672729492
12,physicochemical_energetic,no_transform,train,4.6411356925964355
12,physicochemical_energetic,no_transform,test,8.854790687561035
13,physicochemical_energetic,no_transform,train,4.866203308105469
13,physicochemical_energetic,no_transform,test,7.619442462921143
14,physicochemical_energetic,no_transform,train,4.560811519622803
14,physicochemical_energetic,no_transform,test,5.995583534240723
15,physicochemical_energetic,no_transform,train,4.01084566116333
15,physicochemical_energetic,no_transform,test,4.919048309326172
16,physicochemical_energetic,no_transform,train,3.62450909614563
16,physicochemical_energetic,no_transform,test,4.618175029754639
17,physicochemical_energetic,no_transform,train,3.5691585540771484
17,physicochemical_energetic,no_transform,test,4.725706577301025
18,physicochemical_energetic,no_transform,train,3.713580369949341
18,physicochemical_energetic,no_transform,test,4.7546000480651855
19,physicochemical_energetic,no_transform,train,3.8112223148345947
19,physicochemical_energetic,no_transform,test,4.492233753204346
20,physicochemical_energetic,no_transform,train,3.7179856300354004
20,physicochemical_energetic,no_transform,test,4.054379463195801
21,physicochemical_energetic,no_transform,train,3.47000789642334
21,physicochemical_energetic,no_transform,test,3.6912002563476562
22,physicochemical_energetic,no_transform,train,3.211512327194214
22,physicochemical_energetic,no_transform,test,3.5713584423065186
23,physicochemical_energetic,no_transform,train,3.070601224899292
23,physicochemical_energetic,no_transform,test,3.681792736053467
24,physicochemical_energetic,no_transform,train,3.0765137672424316
24,physicochemical_energetic,no_transform,test,3.867222547531128
25,physicochemical_energetic,no_transform,train,3.159414291381836
