Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_hydropathy,no_transform,train,4.167914867401123
1,physicochemical_hydropathy,no_transform,test,1070.3916015625
2,physicochemical_hydropathy,no_transform,train,59.972381591796875
2,physicochemical_hydropathy,no_transform,test,137.60586547851562
3,physicochemical_hydropathy,no_transform,train,17.9610595703125
3,physicochemical_hydropathy,no_transform,test,27.939544677734375
4,physicochemical_hydropathy,no_transform,train,6.753067493438721
4,physicochemical_hydropathy,no_transform,test,19.101144790649414
5,physicochemical_hydropathy,no_transform,train,7.935119152069092
5,physicochemical_hydropathy,no_transform,test,21.556425094604492
6,physicochemical_hydropathy,no_transform,train,10.669756889343262
6,physicochemical_hydropathy,no_transform,test,18.2109432220459
7,physicochemical_hydropathy,no_transform,train,10.540544509887695
7,physicochemical_hydropathy,no_transform,test,12.139264106750488
8,physicochemical_hydropathy,no_transform,train,8.359212875366211
8,physicochemical_hydropathy,no_transform,test,7.26349401473999
9,physicochemical_hydropathy,no_transform,train,5.87984561920166
9,physicochemical_hydropathy,no_transform,test,5.351658821105957
10,physicochemical_hydropathy,no_transform,train,4.348484039306641
10,physicochemical_hydropathy,no_transform,test,5.949355125427246
11,physicochemical_hydropathy,no_transform,train,4.054389953613281
11,physicochemical_hydropathy,no_transform,test,7.334975719451904
12,physicochemical_hydropathy,no_transform,train,4.475490570068359
12,physicochemical_hydropathy,no_transform,test,7.971338272094727
13,physicochemical_hydropathy,no_transform,train,4.855741500854492
13,physicochemical_hydropathy,no_transform,test,7.445905685424805
14,physicochemical_hydropathy,no_transform,train,4.790840148925781
14,physicochemical_hydropathy,no_transform,test,6.259751796722412
15,physicochemical_hydropathy,no_transform,train,4.355465412139893
15,physicochemical_hydropathy,no_transform,test,5.114335536956787
16,physicochemical_hydropathy,no_transform,train,3.8553006649017334
16,physicochemical_hydropathy,no_transform,test,4.418841361999512
17,physicochemical_hydropathy,no_transform,train,3.541853189468384
