Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_index,no_transform,train,5.6484456062316895
1,physicochemical_index,no_transform,test,647.7994384765625
2,physicochemical_index,no_transform,train,39.59112548828125
2,physicochemical_index,no_transform,test,102.57903289794922
3,physicochemical_index,no_transform,train,13.103437423706055
3,physicochemical_index,no_transform,test,27.300771713256836
4,physicochemical_index,no_transform,train,6.487514495849609
4,physicochemical_index,no_transform,test,13.300848960876465
5,physicochemical_index,no_transform,train,5.420770645141602
5,physicochemical_index,no_transform,test,13.92690658569336
6,physicochemical_index,no_transform,train,6.669037342071533
6,physicochemical_index,no_transform,test,13.59945011138916
7,physicochemical_index,no_transform,train,7.226224899291992
7,physicochemical_index,no_transform,test,10.365483283996582
8,physicochemical_index,no_transform,train,6.369451999664307
8,physicochemical_index,no_transform,test,6.735927104949951
9,physicochemical_index,no_transform,train,4.924814224243164
9,physicochemical_index,no_transform,test,4.5832037925720215
10,physicochemical_index,no_transform,train,3.799636125564575
10,physicochemical_index,no_transform,test,4.248764514923096
11,physicochemical_index,no_transform,train,3.397390365600586
11,physicochemical_index,no_transform,test,4.9756317138671875
12,physicochemical_index,no_transform,train,3.571157693862915
12,physicochemical_index,no_transform,test,5.715073108673096
13,physicochemical_index,no_transform,train,3.8856043815612793
13,physicochemical_index,no_transform,test,5.839035987854004
14,physicochemical_index,no_transform,train,3.986298084259033
14,physicochemical_index,no_transform,test,5.347533702850342
15,physicochemical_index,no_transform,train,3.8021557331085205
15,physicochemical_index,no_transform,test,4.606596946716309
16,physicochemical_index,no_transform,train,3.484558582305908
16,physicochemical_index,no_transform,test,3.9903693199157715
17,physicochemical_index,no_transform,train,3.2289834022521973
17,physicochemical_index,no_transform,test,3.6725385189056396
18,physicochemical_index,no_transform,train,3.1369879245758057
18,physicochemical_index,no_transform,test,3.605699300765991
19,physicochemical_index,no_transform,train,3.1798837184906006
19,physicochemical_index,no_transform,test,3.6281533241271973
20,physicochemical_index,no_transform,train,3.2519519329071045
20,physicochemical_index,no_transform,test,3.6016621589660645
21,physicochemical_index,no_transform,train,3.258430004119873
21,physicochemical_index,no_transform,test,3.4872353076934814
22,physicochemical_index,no_transform,train,3.172915458679199
22,physicochemical_index,no_transform,test,3.333097457885742
23,physicochemical_index,no_transform,train,3.035388469696045
23,physicochemical_index,no_transform,test,3.2155075073242188
24,physicochemical_index,no_transform,train,2.911785840988159
24,physicochemical_index,no_transform,test,3.181691884994507
25,physicochemical_index,no_transform,train,2.8492863178253174
25,physicochemical_index,no_transform,test,3.2249538898468018
26,physicochemical_index,no_transform,train,2.8528778553009033
26,physicochemical_index,no_transform,test,3.2966110706329346
27,physicochemical_index,no_transform,train,2.890718936920166
27,physicochemical_index,no_transform,test,3.340301036834717
28,physicochemical_index,no_transform,train,2.919191598892212
28,physicochemical_index,no_transform,test,3.3247084617614746
29,physicochemical_index,no_transform,train,2.9099485874176025
29,physicochemical_index,no_transform,test,3.25602126121521
30,physicochemical_index,no_transform,train,2.8628745079040527
30,physicochemical_index,no_transform,test,3.1669723987579346
31,physicochemical_index,no_transform,train,2.8000783920288086
31,physicochemical_index,no_transform,test,3.093733549118042
32,physicochemical_index,no_transform,train,2.7484326362609863
32,physicochemical_index,no_transform,test,3.056231737136841
33,physicochemical_index,no_transform,train,2.7231173515319824
33,physicochemical_index,no_transform,test,3.051710844039917
34,physicochemical_index,no_transform,train,2.721245527267456
34,physicochemical_index,no_transform,test,3.0619752407073975
35,physicochemical_index,no_transform,train,2.7270724773406982
35,physicochemical_index,no_transform,test,3.067246675491333
36,physicochemical_index,no_transform,train,2.7236504554748535
36,physicochemical_index,no_transform,test,3.0577187538146973
37,physicochemical_index,no_transform,train,2.703062057495117
37,physicochemical_index,no_transform,test,3.0368001461029053
38,physicochemical_index,no_transform,train,2.6695632934570312
38,physicochemical_index,no_transform,test,3.0159103870391846
39,physicochemical_index,no_transform,train,2.634993553161621
39,physicochemical_index,no_transform,test,3.0054852962493896
40,physicochemical_index,no_transform,train,2.6103663444519043
40,physicochemical_index,no_transform,test,3.008209466934204
41,physicochemical_index,no_transform,train,2.5992681980133057
41,physicochemical_index,no_transform,test,3.0182266235351562
42,physicochemical_index,no_transform,train,2.59674072265625
42,physicochemical_index,no_transform,test,3.025890350341797
43,physicochemical_index,no_transform,train,2.5936272144317627
43,physicochemical_index,no_transform,test,3.0243117809295654
44,physicochemical_index,no_transform,train,2.582916736602783
44,physicochemical_index,no_transform,test,3.013313055038452
45,physicochemical_index,no_transform,train,2.5638375282287598
45,physicochemical_index,no_transform,test,2.9985742568969727
46,physicochemical_index,no_transform,train,2.5413687229156494
46,physicochemical_index,no_transform,test,2.9871766567230225
47,physicochemical_index,no_transform,train,2.5221011638641357
47,physicochemical_index,no_transform,test,2.9828855991363525
48,physicochemical_index,no_transform,train,2.5096447467803955
48,physicochemical_index,no_transform,test,2.984272003173828
49,physicochemical_index,no_transform,train,2.5026652812957764
49,physicochemical_index,no_transform,test,2.9864683151245117
50,physicochemical_index,no_transform,train,2.4964826107025146
50,physicochemical_index,no_transform,test,2.9849040508270264
51,physicochemical_index,no_transform,train,2.4867000579833984
51,physicochemical_index,no_transform,test,2.9782559871673584
52,physicochemical_index,no_transform,train,2.472134828567505
52,physicochemical_index,no_transform,test,2.9687678813934326
53,physicochemical_index,no_transform,train,2.455111026763916
53,physicochemical_index,no_transform,test,2.9600768089294434
54,physicochemical_index,no_transform,train,2.439290761947632
54,physicochemical_index,no_transform,test,2.9544777870178223
55,physicochemical_index,no_transform,train,2.4268925189971924
55,physicochemical_index,no_transform,test,2.9515607357025146
56,physicochemical_index,no_transform,train,2.417322874069214
56,physicochemical_index,no_transform,test,2.9490742683410645
57,physicochemical_index,no_transform,train,2.408036708831787
57,physicochemical_index,no_transform,test,2.9449541568756104
58,physicochemical_index,no_transform,train,2.3966903686523438
58,physicochemical_index,no_transform,test,2.93896484375
59,physicochemical_index,no_transform,train,2.382835865020752
59,physicochemical_index,no_transform,test,2.9326276779174805
60,physicochemical_index,no_transform,train,2.367957592010498
60,physicochemical_index,no_transform,test,2.9278554916381836
61,physicochemical_index,no_transform,train,2.3540542125701904
61,physicochemical_index,no_transform,test,2.9253838062286377
62,physicochemical_index,no_transform,train,2.3420143127441406
62,physicochemical_index,no_transform,test,2.9242796897888184
63,physicochemical_index,no_transform,train,2.3310868740081787
63,physicochemical_index,no_transform,test,2.922811269760132
64,physicochemical_index,no_transform,train,2.319674491882324
64,physicochemical_index,no_transform,test,2.9198079109191895
65,physicochemical_index,no_transform,train,2.306718349456787
65,physicochemical_index,no_transform,test,2.915424108505249
66,physicochemical_index,no_transform,train,2.292435884475708
66,physicochemical_index,no_transform,test,2.910801887512207
67,physicochemical_index,no_transform,train,2.277963638305664
67,physicochemical_index,no_transform,test,2.907010316848755
68,physicochemical_index,no_transform,train,2.2642807960510254
68,physicochemical_index,no_transform,test,2.904263734817505
69,physicochemical_index,no_transform,train,2.2514102458953857
69,physicochemical_index,no_transform,test,2.9019687175750732
70,physicochemical_index,no_transform,train,2.238532066345215
70,physicochemical_index,no_transform,test,2.8994226455688477
71,physicochemical_index,no_transform,train,2.2247884273529053
71,physicochemical_index,no_transform,test,2.8964951038360596
72,physicochemical_index,no_transform,train,2.2100141048431396
72,physicochemical_index,no_transform,test,2.893644332885742
73,physicochemical_index,no_transform,train,2.194791316986084
73,physicochemical_index,no_transform,test,2.891371965408325
74,physicochemical_index,no_transform,train,2.179809331893921
74,physicochemical_index,no_transform,test,2.8896584510803223
75,physicochemical_index,no_transform,train,2.1652414798736572
75,physicochemical_index,no_transform,test,2.8879427909851074
76,physicochemical_index,no_transform,train,2.1506409645080566
76,physicochemical_index,no_transform,test,2.88559889793396
77,physicochemical_index,no_transform,train,2.1354587078094482
77,physicochemical_index,no_transform,test,2.882488250732422
78,physicochemical_index,no_transform,train,2.1195545196533203
78,physicochemical_index,no_transform,test,2.8790018558502197
79,physicochemical_index,no_transform,train,2.103261947631836
79,physicochemical_index,no_transform,test,2.875643491744995
80,physicochemical_index,no_transform,train,2.0869925022125244
80,physicochemical_index,no_transform,test,2.8726181983947754
81,physicochemical_index,no_transform,train,2.0708203315734863
81,physicochemical_index,no_transform,test,2.8697972297668457
82,physicochemical_index,no_transform,train,2.054442882537842
82,physicochemical_index,no_transform,test,2.8670074939727783
83,physicochemical_index,no_transform,train,2.037537097930908
83,physicochemical_index,no_transform,test,2.8642935752868652
84,physicochemical_index,no_transform,train,2.0200982093811035
84,physicochemical_index,no_transform,test,2.8618693351745605
85,physicochemical_index,no_transform,train,2.0023767948150635
85,physicochemical_index,no_transform,test,2.859797716140747
86,physicochemical_index,no_transform,train,1.9845813512802124
86,physicochemical_index,no_transform,test,2.8578250408172607
87,physicochemical_index,no_transform,train,1.9666640758514404
87,physicochemical_index,no_transform,test,2.855520725250244
88,physicochemical_index,no_transform,train,1.9484076499938965
88,physicochemical_index,no_transform,test,2.852668046951294
89,physicochemical_index,no_transform,train,1.9296760559082031
89,physicochemical_index,no_transform,test,2.849374294281006
90,physicochemical_index,no_transform,train,1.9105693101882935
90,physicochemical_index,no_transform,test,2.845993757247925
91,physicochemical_index,no_transform,train,1.8912556171417236
91,physicochemical_index,no_transform,test,2.8428544998168945
92,physicochemical_index,no_transform,train,1.8718122243881226
92,physicochemical_index,no_transform,test,2.8400778770446777
93,physicochemical_index,no_transform,train,1.8521136045455933
93,physicochemical_index,no_transform,test,2.8376476764678955
94,physicochemical_index,no_transform,train,1.8320242166519165
94,physicochemical_index,no_transform,test,2.8355607986450195
95,physicochemical_index,no_transform,train,1.8115451335906982
95,physicochemical_index,no_transform,test,2.833742618560791
96,physicochemical_index,no_transform,train,1.790834665298462
96,physicochemical_index,no_transform,test,2.8319995403289795
97,physicochemical_index,no_transform,train,1.769923210144043
97,physicochemical_index,no_transform,test,2.830110788345337
98,physicochemical_index,no_transform,train,1.7487345933914185
98,physicochemical_index,no_transform,test,2.8279547691345215
99,physicochemical_index,no_transform,train,1.7271817922592163
99,physicochemical_index,no_transform,test,2.8256330490112305
100,physicochemical_index,no_transform,train,1.7053189277648926
100,physicochemical_index,no_transform,test,2.823347330093384
