Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_index,no_transform,train,6.871844291687012
1,physicochemical_index,no_transform,test,207.2420654296875
2,physicochemical_index,no_transform,train,12.094780921936035
2,physicochemical_index,no_transform,test,45.723350524902344
3,physicochemical_index,no_transform,train,4.776875019073486
3,physicochemical_index,no_transform,test,26.020116806030273
4,physicochemical_index,no_transform,train,4.420231342315674
4,physicochemical_index,no_transform,test,16.488460540771484
5,physicochemical_index,no_transform,train,4.26726770401001
5,physicochemical_index,no_transform,test,9.590304374694824
6,physicochemical_index,no_transform,train,3.8725998401641846
6,physicochemical_index,no_transform,test,5.888953685760498
7,physicochemical_index,no_transform,train,3.6929996013641357
7,physicochemical_index,no_transform,test,4.346689224243164
8,physicochemical_index,no_transform,train,3.689692974090576
8,physicochemical_index,no_transform,test,3.804884672164917
9,physicochemical_index,no_transform,train,3.67691969871521
9,physicochemical_index,no_transform,test,3.6483166217803955
10,physicochemical_index,no_transform,train,3.5698928833007812
10,physicochemical_index,no_transform,test,3.682410478591919
11,physicochemical_index,no_transform,train,3.399049758911133
11,physicochemical_index,no_transform,test,3.8710577487945557
12,physicochemical_index,no_transform,train,3.2382893562316895
12,physicochemical_index,no_transform,test,4.172472953796387
13,physicochemical_index,no_transform,train,3.142055034637451
13,physicochemical_index,no_transform,test,4.490926742553711
14,physicochemical_index,no_transform,train,3.1163620948791504
14,physicochemical_index,no_transform,test,4.707273483276367
15,physicochemical_index,no_transform,train,3.125565528869629
15,physicochemical_index,no_transform,test,4.740675926208496
16,physicochemical_index,no_transform,train,3.1233906745910645
16,physicochemical_index,no_transform,test,4.587278366088867
17,physicochemical_index,no_transform,train,3.084160804748535
17,physicochemical_index,no_transform,test,4.310412406921387
18,physicochemical_index,no_transform,train,3.013324737548828
18,physicochemical_index,no_transform,test,3.9988481998443604
19,physicochemical_index,no_transform,train,2.9357481002807617
19,physicochemical_index,no_transform,test,3.7254726886749268
20,physicochemical_index,no_transform,train,2.8759164810180664
20,physicochemical_index,no_transform,test,3.526686429977417
21,physicochemical_index,no_transform,train,2.844341278076172
21,physicochemical_index,no_transform,test,3.403475284576416
22,physicochemical_index,no_transform,train,2.835362672805786
22,physicochemical_index,no_transform,test,3.3358490467071533
23,physicochemical_index,no_transform,train,2.8340210914611816
23,physicochemical_index,no_transform,test,3.2999210357666016
24,physicochemical_index,no_transform,train,2.8259387016296387
24,physicochemical_index,no_transform,test,3.2794816493988037
25,physicochemical_index,no_transform,train,2.804527997970581
