Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_secondary_structure,no_transform,train,5.362044334411621
1,physicochemical_secondary_structure,no_transform,test,289.7403259277344
2,physicochemical_secondary_structure,no_transform,train,15.020068168640137
2,physicochemical_secondary_structure,no_transform,test,41.824058532714844
3,physicochemical_secondary_structure,no_transform,train,5.299943923950195
3,physicochemical_secondary_structure,no_transform,test,15.724494934082031
4,physicochemical_secondary_structure,no_transform,train,4.197144031524658
4,physicochemical_secondary_structure,no_transform,test,9.026530265808105
5,physicochemical_secondary_structure,no_transform,train,3.8438682556152344
5,physicochemical_secondary_structure,no_transform,test,5.907608985900879
6,physicochemical_secondary_structure,no_transform,train,3.7904372215270996
6,physicochemical_secondary_structure,no_transform,test,4.600744247436523
7,physicochemical_secondary_structure,no_transform,train,3.954652786254883
7,physicochemical_secondary_structure,no_transform,test,4.031570911407471
8,physicochemical_secondary_structure,no_transform,train,4.0182600021362305
8,physicochemical_secondary_structure,no_transform,test,3.686227560043335
9,physicochemical_secondary_structure,no_transform,train,3.857612133026123
9,physicochemical_secondary_structure,no_transform,test,3.551569700241089
10,physicochemical_secondary_structure,no_transform,train,3.5753698348999023
10,physicochemical_secondary_structure,no_transform,test,3.7029428482055664
11,physicochemical_secondary_structure,no_transform,train,3.331031084060669
11,physicochemical_secondary_structure,no_transform,test,4.070469379425049
12,physicochemical_secondary_structure,no_transform,train,3.2141942977905273
12,physicochemical_secondary_structure,no_transform,test,4.441175937652588
13,physicochemical_secondary_structure,no_transform,train,3.2080841064453125
13,physicochemical_secondary_structure,no_transform,test,4.604659557342529
14,physicochemical_secondary_structure,no_transform,train,3.2307910919189453
14,physicochemical_secondary_structure,no_transform,test,4.493269443511963
15,physicochemical_secondary_structure,no_transform,train,3.211184501647949
15,physicochemical_secondary_structure,no_transform,test,4.193746089935303
16,physicochemical_secondary_structure,no_transform,train,3.1347320079803467
16,physicochemical_secondary_structure,no_transform,test,3.8523108959198
17,physicochemical_secondary_structure,no_transform,train,3.0333619117736816
17,physicochemical_secondary_structure,no_transform,test,3.580245018005371
18,physicochemical_secondary_structure,no_transform,train,2.948132276535034
18,physicochemical_secondary_structure,no_transform,test,3.416926383972168
19,physicochemical_secondary_structure,no_transform,train,2.900615930557251
19,physicochemical_secondary_structure,no_transform,test,3.342519760131836
20,physicochemical_secondary_structure,no_transform,train,2.8857462406158447
20,physicochemical_secondary_structure,no_transform,test,3.3122518062591553
21,physicochemical_secondary_structure,no_transform,train,2.881873846054077
21,physicochemical_secondary_structure,no_transform,test,3.2887022495269775
22,physicochemical_secondary_structure,no_transform,train,2.867575168609619
22,physicochemical_secondary_structure,no_transform,test,3.258542537689209
23,physicochemical_secondary_structure,no_transform,train,2.834132194519043
23,physicochemical_secondary_structure,no_transform,test,3.2302613258361816
24,physicochemical_secondary_structure,no_transform,train,2.787834882736206
24,physicochemical_secondary_structure,no_transform,test,3.2197964191436768
25,physicochemical_secondary_structure,no_transform,train,2.7431013584136963
25,physicochemical_secondary_structure,no_transform,test,3.23517107963562
26,physicochemical_secondary_structure,no_transform,train,2.712225914001465
26,physicochemical_secondary_structure,no_transform,test,3.2688493728637695
27,physicochemical_secondary_structure,no_transform,train,2.6981916427612305
27,physicochemical_secondary_structure,no_transform,test,3.3010377883911133
28,physicochemical_secondary_structure,no_transform,train,2.6941308975219727
28,physicochemical_secondary_structure,no_transform,test,3.311027765274048
29,physicochemical_secondary_structure,no_transform,train,2.6889946460723877
29,physicochemical_secondary_structure,no_transform,test,3.288858652114868
30,physicochemical_secondary_structure,no_transform,train,2.67507004737854
30,physicochemical_secondary_structure,no_transform,test,3.239802122116089
31,physicochemical_secondary_structure,no_transform,train,2.652242660522461
31,physicochemical_secondary_structure,no_transform,test,3.1797609329223633
32,physicochemical_secondary_structure,no_transform,train,2.6265945434570312
32,physicochemical_secondary_structure,no_transform,test,3.125692129135132
33,physicochemical_secondary_structure,no_transform,train,2.6052775382995605
33,physicochemical_secondary_structure,no_transform,test,3.0875403881073
34,physicochemical_secondary_structure,no_transform,train,2.5916240215301514
34,physicochemical_secondary_structure,no_transform,test,3.0659215450286865
35,physicochemical_secondary_structure,no_transform,train,2.5836617946624756
