Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_volume,no_transform,train,5.167873859405518
1,physicochemical_volume,no_transform,test,403.0757751464844
2,physicochemical_volume,no_transform,train,20.511926651000977
2,physicochemical_volume,no_transform,test,57.28975296020508
3,physicochemical_volume,no_transform,train,6.5729756355285645
3,physicochemical_volume,no_transform,test,19.077945709228516
4,physicochemical_volume,no_transform,train,4.573017120361328
4,physicochemical_volume,no_transform,test,9.810291290283203
5,physicochemical_volume,no_transform,train,4.125608444213867
5,physicochemical_volume,no_transform,test,6.61565637588501
6,physicochemical_volume,no_transform,train,4.2631659507751465
6,physicochemical_volume,no_transform,test,5.420414924621582
7,physicochemical_volume,no_transform,train,4.503687381744385
7,physicochemical_volume,no_transform,test,4.6613898277282715
8,physicochemical_volume,no_transform,train,4.461701393127441
8,physicochemical_volume,no_transform,test,4.0892462730407715
9,physicochemical_volume,no_transform,train,4.141849517822266
9,physicochemical_volume,no_transform,test,3.8881194591522217
10,physicochemical_volume,no_transform,train,3.750591993331909
10,physicochemical_volume,no_transform,test,4.121938228607178
11,physicochemical_volume,no_transform,train,3.474529266357422
11,physicochemical_volume,no_transform,test,4.5986552238464355
12,physicochemical_volume,no_transform,train,3.3754730224609375
12,physicochemical_volume,no_transform,test,4.994086742401123
13,physicochemical_volume,no_transform,train,3.391286611557007
13,physicochemical_volume,no_transform,test,5.075510025024414
14,physicochemical_volume,no_transform,train,3.412645101547241
14,physicochemical_volume,no_transform,test,4.831870079040527
15,physicochemical_volume,no_transform,train,3.37119197845459
15,physicochemical_volume,no_transform,test,4.416452884674072
16,physicochemical_volume,no_transform,train,3.2700111865997314
16,physicochemical_volume,no_transform,test,4.00728178024292
17,physicochemical_volume,no_transform,train,3.154630661010742
17,physicochemical_volume,no_transform,test,3.712191104888916
18,physicochemical_volume,no_transform,train,3.068835496902466
18,physicochemical_volume,no_transform,test,3.5509531497955322
19,physicochemical_volume,no_transform,train,3.029017686843872
19,physicochemical_volume,no_transform,test,3.484161853790283
20,physicochemical_volume,no_transform,train,3.0225331783294678
20,physicochemical_volume,no_transform,test,3.454835891723633
21,physicochemical_volume,no_transform,train,3.022291421890259
21,physicochemical_volume,no_transform,test,3.4218549728393555
22,physicochemical_volume,no_transform,train,3.00516414642334
22,physicochemical_volume,no_transform,test,3.374143600463867
23,physicochemical_volume,no_transform,train,2.963848114013672
23,physicochemical_volume,no_transform,test,3.324965715408325
24,physicochemical_volume,no_transform,train,2.9074389934539795
24,physicochemical_volume,no_transform,test,3.2951812744140625
25,physicochemical_volume,no_transform,train,2.853067398071289
25,physicochemical_volume,no_transform,test,3.296499729156494
26,physicochemical_volume,no_transform,train,2.8148679733276367
26,physicochemical_volume,no_transform,test,3.3232390880584717
27,physicochemical_volume,no_transform,train,2.7965500354766846
27,physicochemical_volume,no_transform,test,3.3554201126098633
28,physicochemical_volume,no_transform,train,2.7909390926361084
28,physicochemical_volume,no_transform,test,3.3700406551361084
29,physicochemical_volume,no_transform,train,2.7858664989471436
29,physicochemical_volume,no_transform,test,3.3535377979278564
30,physicochemical_volume,no_transform,train,2.7720634937286377
30,physicochemical_volume,no_transform,test,3.307889223098755
31,physicochemical_volume,no_transform,train,2.748154640197754
31,physicochemical_volume,no_transform,test,3.2474589347839355
32,physicochemical_volume,no_transform,train,2.719888687133789
32,physicochemical_volume,no_transform,test,3.1898915767669678
33,physicochemical_volume,no_transform,train,2.6951708793640137
33,physicochemical_volume,no_transform,test,3.147207021713257
34,physicochemical_volume,no_transform,train,2.6786561012268066
34,physicochemical_volume,no_transform,test,3.1220247745513916
35,physicochemical_volume,no_transform,train,2.6693499088287354
35,physicochemical_volume,no_transform,test,3.1095407009124756
36,physicochemical_volume,no_transform,train,2.662153959274292
36,physicochemical_volume,no_transform,test,3.102752447128296
37,physicochemical_volume,no_transform,train,2.6517157554626465
37,physicochemical_volume,no_transform,test,3.0970866680145264
38,physicochemical_volume,no_transform,train,2.6358461380004883
38,physicochemical_volume,no_transform,test,3.0919950008392334
39,physicochemical_volume,no_transform,train,2.616434097290039
39,physicochemical_volume,no_transform,test,3.0893473625183105
40,physicochemical_volume,no_transform,train,2.5976390838623047
40,physicochemical_volume,no_transform,test,3.0904574394226074
41,physicochemical_volume,no_transform,train,2.582871437072754
41,physicochemical_volume,no_transform,test,3.094013214111328
42,physicochemical_volume,no_transform,train,2.5726213455200195
42,physicochemical_volume,no_transform,test,3.096445322036743
43,physicochemical_volume,no_transform,train,2.564493179321289
43,physicochemical_volume,no_transform,test,3.09417986869812
44,physicochemical_volume,no_transform,train,2.555206537246704
44,physicochemical_volume,no_transform,test,3.086019277572632
45,physicochemical_volume,no_transform,train,2.5429587364196777
45,physicochemical_volume,no_transform,test,3.073824405670166
46,physicochemical_volume,no_transform,train,2.528445243835449
46,physicochemical_volume,no_transform,test,3.0611345767974854
47,physicochemical_volume,no_transform,train,2.5139501094818115
47,physicochemical_volume,no_transform,test,3.050854206085205
48,physicochemical_volume,no_transform,train,2.5014138221740723
48,physicochemical_volume,no_transform,test,3.043710947036743
49,physicochemical_volume,no_transform,train,2.4910426139831543
49,physicochemical_volume,no_transform,test,3.038471221923828
50,physicochemical_volume,no_transform,train,2.481388807296753
50,physicochemical_volume,no_transform,test,3.033449172973633
51,physicochemical_volume,no_transform,train,2.4706685543060303
51,physicochemical_volume,no_transform,test,3.0279839038848877
52,physicochemical_volume,no_transform,train,2.4581403732299805
52,physicochemical_volume,no_transform,test,3.02278995513916
53,physicochemical_volume,no_transform,train,2.4445152282714844
53,physicochemical_volume,no_transform,test,3.0190415382385254
54,physicochemical_volume,no_transform,train,2.431199312210083
54,physicochemical_volume,no_transform,test,3.0171139240264893
55,physicochemical_volume,no_transform,train,2.4190754890441895
55,physicochemical_volume,no_transform,test,3.0160388946533203
56,physicochemical_volume,no_transform,train,2.407865047454834
56,physicochemical_volume,no_transform,test,3.014153003692627
57,physicochemical_volume,no_transform,train,2.3964807987213135
57,physicochemical_volume,no_transform,test,3.010307788848877
58,physicochemical_volume,no_transform,train,2.3840155601501465
58,physicochemical_volume,no_transform,test,3.0046727657318115
59,physicochemical_volume,no_transform,train,2.370443820953369
59,physicochemical_volume,no_transform,test,2.998518943786621
60,physicochemical_volume,no_transform,train,2.356511116027832
