Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_volume,no_transform,train,6.207873344421387
1,physicochemical_volume,no_transform,test,59.884090423583984
2,physicochemical_volume,no_transform,train,5.262915134429932
2,physicochemical_volume,no_transform,test,19.46845054626465
3,physicochemical_volume,no_transform,train,3.272054672241211
3,physicochemical_volume,no_transform,test,13.060569763183594
4,physicochemical_volume,no_transform,train,3.2841920852661133
4,physicochemical_volume,no_transform,test,10.710020065307617
5,physicochemical_volume,no_transform,train,3.3862781524658203
5,physicochemical_volume,no_transform,test,8.416868209838867
6,physicochemical_volume,no_transform,train,3.2517268657684326
6,physicochemical_volume,no_transform,test,6.299477577209473
7,physicochemical_volume,no_transform,train,3.0437848567962646
7,physicochemical_volume,no_transform,test,4.825174808502197
8,physicochemical_volume,no_transform,train,2.9104223251342773
8,physicochemical_volume,no_transform,test,3.998941421508789
9,physicochemical_volume,no_transform,train,2.86893630027771
9,physicochemical_volume,no_transform,test,3.5993916988372803
10,physicochemical_volume,no_transform,train,2.870292901992798
10,physicochemical_volume,no_transform,test,3.427077293395996
11,physicochemical_volume,no_transform,train,2.869035482406616
11,physicochemical_volume,no_transform,test,3.3669593334198
12,physicochemical_volume,no_transform,train,2.8450446128845215
12,physicochemical_volume,no_transform,test,3.368196725845337
13,physicochemical_volume,no_transform,train,2.7993502616882324
13,physicochemical_volume,no_transform,test,3.4130468368530273
14,physicochemical_volume,no_transform,train,2.744724750518799
14,physicochemical_volume,no_transform,test,3.492732524871826
15,physicochemical_volume,no_transform,train,2.696913957595825
15,physicochemical_volume,no_transform,test,3.5918703079223633
16,physicochemical_volume,no_transform,train,2.6672093868255615
16,physicochemical_volume,no_transform,test,3.6822314262390137
17,physicochemical_volume,no_transform,train,2.6568028926849365
17,physicochemical_volume,no_transform,test,3.7287418842315674
18,physicochemical_volume,no_transform,train,2.6559996604919434
18,physicochemical_volume,no_transform,test,3.7065060138702393
19,physicochemical_volume,no_transform,train,2.650491714477539
19,physicochemical_volume,no_transform,test,3.616365671157837
20,physicochemical_volume,no_transform,train,2.631429672241211
20,physicochemical_volume,no_transform,test,3.4846270084381104
21,physicochemical_volume,no_transform,train,2.6008615493774414
21,physicochemical_volume,no_transform,test,3.3470311164855957
22,physicochemical_volume,no_transform,train,2.568343162536621
22,physicochemical_volume,no_transform,test,3.2312889099121094
23,physicochemical_volume,no_transform,train,2.5430614948272705
23,physicochemical_volume,no_transform,test,3.1491048336029053
24,physicochemical_volume,no_transform,train,2.5283162593841553
24,physicochemical_volume,no_transform,test,3.098410129547119
25,physicochemical_volume,no_transform,train,2.5211374759674072
25,physicochemical_volume,no_transform,test,3.070474863052368
26,physicochemical_volume,no_transform,train,2.5155210494995117
26,physicochemical_volume,no_transform,test,3.0565359592437744
27,physicochemical_volume,no_transform,train,2.506324529647827
27,physicochemical_volume,no_transform,test,3.051321029663086
28,physicochemical_volume,no_transform,train,2.491615056991577
28,physicochemical_volume,no_transform,test,3.053238868713379
29,physicochemical_volume,no_transform,train,2.472909688949585
29,physicochemical_volume,no_transform,test,3.0623178482055664
30,physicochemical_volume,no_transform,train,2.453733444213867
30,physicochemical_volume,no_transform,test,3.077380895614624
31,physicochemical_volume,no_transform,train,2.4373271465301514
31,physicochemical_volume,no_transform,test,3.0942370891571045
32,physicochemical_volume,no_transform,train,2.4246673583984375
32,physicochemical_volume,no_transform,test,3.1062464714050293
33,physicochemical_volume,no_transform,train,2.4140286445617676
33,physicochemical_volume,no_transform,test,3.1074180603027344
34,physicochemical_volume,no_transform,train,2.4023823738098145
34,physicochemical_volume,no_transform,test,3.095855951309204
35,physicochemical_volume,no_transform,train,2.387733221054077
35,physicochemical_volume,no_transform,test,3.0747642517089844
36,physicochemical_volume,no_transform,train,2.3704798221588135
36,physicochemical_volume,no_transform,test,3.0502688884735107
37,physicochemical_volume,no_transform,train,2.352731466293335
37,physicochemical_volume,no_transform,test,3.027930498123169
38,physicochemical_volume,no_transform,train,2.336442232131958
38,physicochemical_volume,no_transform,test,3.010582447052002
39,physicochemical_volume,no_transform,train,2.322002410888672
