Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,seq_to_seq,no_transform,train,8.403336524963379
1,seq_to_seq,no_transform,test,1441.1531982421875
2,seq_to_seq,no_transform,train,5.9994282722473145
2,seq_to_seq,no_transform,test,51.515113830566406
3,seq_to_seq,no_transform,train,4.447500705718994
3,seq_to_seq,no_transform,test,285.5916748046875
4,seq_to_seq,no_transform,train,4.167435169219971
4,seq_to_seq,no_transform,test,265.61505126953125
5,seq_to_seq,no_transform,train,4.145634651184082
5,seq_to_seq,no_transform,test,177.08233642578125
6,seq_to_seq,no_transform,train,4.164344787597656
6,seq_to_seq,no_transform,test,106.26651000976562
7,seq_to_seq,no_transform,train,4.154751777648926
7,seq_to_seq,no_transform,test,82.09125518798828
8,seq_to_seq,no_transform,train,4.20416259765625
8,seq_to_seq,no_transform,test,60.661651611328125
9,seq_to_seq,no_transform,train,4.154843807220459
9,seq_to_seq,no_transform,test,48.586692810058594
10,seq_to_seq,no_transform,train,4.03678560256958
10,seq_to_seq,no_transform,test,38.928497314453125
11,seq_to_seq,no_transform,train,3.874643087387085
11,seq_to_seq,no_transform,test,43.00224304199219
12,seq_to_seq,no_transform,train,3.7644946575164795
12,seq_to_seq,no_transform,test,44.08597946166992
13,seq_to_seq,no_transform,train,3.688882350921631
13,seq_to_seq,no_transform,test,46.34242630004883
14,seq_to_seq,no_transform,train,3.635488271713257
14,seq_to_seq,no_transform,test,46.20035171508789
15,seq_to_seq,no_transform,train,3.6085314750671387
15,seq_to_seq,no_transform,test,41.21825408935547
16,seq_to_seq,no_transform,train,3.5988686084747314
16,seq_to_seq,no_transform,test,35.33940505981445
17,seq_to_seq,no_transform,train,3.5981204509735107
17,seq_to_seq,no_transform,test,30.85736656188965
18,seq_to_seq,no_transform,train,3.596250295639038
18,seq_to_seq,no_transform,test,27.504928588867188
19,seq_to_seq,no_transform,train,3.5879368782043457
19,seq_to_seq,no_transform,test,25.726896286010742
20,seq_to_seq,no_transform,train,3.571709632873535
20,seq_to_seq,no_transform,test,26.063770294189453
21,seq_to_seq,no_transform,train,3.5482935905456543
21,seq_to_seq,no_transform,test,27.693017959594727
22,seq_to_seq,no_transform,train,3.520857095718384
22,seq_to_seq,no_transform,test,29.745725631713867
23,seq_to_seq,no_transform,train,3.494680404663086
23,seq_to_seq,no_transform,test,30.918222427368164
24,seq_to_seq,no_transform,train,3.4753644466400146
24,seq_to_seq,no_transform,test,29.24526596069336
25,seq_to_seq,no_transform,train,3.461186170578003
25,seq_to_seq,no_transform,test,24.751434326171875
26,seq_to_seq,no_transform,train,3.4485762119293213
26,seq_to_seq,no_transform,test,19.851238250732422
27,seq_to_seq,no_transform,train,3.4401934146881104
27,seq_to_seq,no_transform,test,15.67416763305664
28,seq_to_seq,no_transform,train,3.4345974922180176
28,seq_to_seq,no_transform,test,12.130288124084473
29,seq_to_seq,no_transform,train,3.4271390438079834
29,seq_to_seq,no_transform,test,9.507772445678711
30,seq_to_seq,no_transform,train,3.4172229766845703
30,seq_to_seq,no_transform,test,7.845392227172852
31,seq_to_seq,no_transform,train,3.4054694175720215
31,seq_to_seq,no_transform,test,6.875671863555908
32,seq_to_seq,no_transform,train,3.394547939300537
32,seq_to_seq,no_transform,test,6.431427955627441
33,seq_to_seq,no_transform,train,3.3851847648620605
33,seq_to_seq,no_transform,test,6.327713489532471
34,seq_to_seq,no_transform,train,3.3773951530456543
34,seq_to_seq,no_transform,test,6.522474765777588
35,seq_to_seq,no_transform,train,3.3711373805999756
35,seq_to_seq,no_transform,test,6.961931228637695
36,seq_to_seq,no_transform,train,3.3658928871154785
36,seq_to_seq,no_transform,test,7.696305751800537
37,seq_to_seq,no_transform,train,3.3613648414611816
37,seq_to_seq,no_transform,test,8.416359901428223
38,seq_to_seq,no_transform,train,3.357339382171631
38,seq_to_seq,no_transform,test,8.89413070678711
39,seq_to_seq,no_transform,train,3.35319185256958
39,seq_to_seq,no_transform,test,8.980812072753906
40,seq_to_seq,no_transform,train,3.348447322845459
40,seq_to_seq,no_transform,test,8.737221717834473
41,seq_to_seq,no_transform,train,3.34321665763855
41,seq_to_seq,no_transform,test,8.344918251037598
42,seq_to_seq,no_transform,train,3.3381893634796143
42,seq_to_seq,no_transform,test,7.969470024108887
43,seq_to_seq,no_transform,train,3.334099292755127
43,seq_to_seq,no_transform,test,7.660172939300537
44,seq_to_seq,no_transform,train,3.3311429023742676
44,seq_to_seq,no_transform,test,7.3736371994018555
45,seq_to_seq,no_transform,train,3.3288776874542236
45,seq_to_seq,no_transform,test,7.058926582336426
46,seq_to_seq,no_transform,train,3.3266067504882812
46,seq_to_seq,no_transform,test,6.7180609703063965
47,seq_to_seq,no_transform,train,3.3239426612854004
47,seq_to_seq,no_transform,test,6.379188537597656
48,seq_to_seq,no_transform,train,3.321018934249878
48,seq_to_seq,no_transform,test,6.046676158905029
49,seq_to_seq,no_transform,train,3.318187713623047
49,seq_to_seq,no_transform,test,5.726157188415527
50,seq_to_seq,no_transform,train,3.3157312870025635
50,seq_to_seq,no_transform,test,5.426047325134277
51,seq_to_seq,no_transform,train,3.3136727809906006
51,seq_to_seq,no_transform,test,5.155839443206787
52,seq_to_seq,no_transform,train,3.311906099319458
52,seq_to_seq,no_transform,test,4.919321537017822
53,seq_to_seq,no_transform,train,3.310288190841675
53,seq_to_seq,no_transform,test,4.7191386222839355
54,seq_to_seq,no_transform,train,3.308727979660034
54,seq_to_seq,no_transform,test,4.555026054382324
55,seq_to_seq,no_transform,train,3.307176351547241
55,seq_to_seq,no_transform,test,4.422176361083984
56,seq_to_seq,no_transform,train,3.3056445121765137
56,seq_to_seq,no_transform,test,4.3116631507873535
57,seq_to_seq,no_transform,train,3.304170608520508
57,seq_to_seq,no_transform,test,4.215734481811523
58,seq_to_seq,no_transform,train,3.302790403366089
58,seq_to_seq,no_transform,test,4.1268415451049805
59,seq_to_seq,no_transform,train,3.3015334606170654
59,seq_to_seq,no_transform,test,4.040554523468018
60,seq_to_seq,no_transform,train,3.300396203994751
60,seq_to_seq,no_transform,test,3.9555187225341797
61,seq_to_seq,no_transform,train,3.299358606338501
61,seq_to_seq,no_transform,test,3.873826503753662
62,seq_to_seq,no_transform,train,3.2983715534210205
62,seq_to_seq,no_transform,test,3.7980782985687256
63,seq_to_seq,no_transform,train,3.2973837852478027
63,seq_to_seq,no_transform,test,3.7303848266601562
64,seq_to_seq,no_transform,train,3.2963459491729736
64,seq_to_seq,no_transform,test,3.671154260635376
65,seq_to_seq,no_transform,train,3.2952704429626465
65,seq_to_seq,no_transform,test,3.62080979347229
66,seq_to_seq,no_transform,train,3.2942159175872803
66,seq_to_seq,no_transform,test,3.5785012245178223
67,seq_to_seq,no_transform,train,3.293252468109131
67,seq_to_seq,no_transform,test,3.543653726577759
68,seq_to_seq,no_transform,train,3.2923929691314697
68,seq_to_seq,no_transform,test,3.515805721282959
69,seq_to_seq,no_transform,train,3.2915637493133545
69,seq_to_seq,no_transform,test,3.494058609008789
70,seq_to_seq,no_transform,train,3.2906885147094727
70,seq_to_seq,no_transform,test,3.4776906967163086
71,seq_to_seq,no_transform,train,3.2897732257843018
71,seq_to_seq,no_transform,test,3.46577787399292
72,seq_to_seq,no_transform,train,3.2889010906219482
72,seq_to_seq,no_transform,test,3.457472324371338
73,seq_to_seq,no_transform,train,3.2881417274475098
73,seq_to_seq,no_transform,test,3.4525206089019775
74,seq_to_seq,no_transform,train,3.287419319152832
74,seq_to_seq,no_transform,test,3.451399087905884
75,seq_to_seq,no_transform,train,3.2866859436035156
75,seq_to_seq,no_transform,test,3.455744981765747
76,seq_to_seq,no_transform,train,3.285961151123047
76,seq_to_seq,no_transform,test,3.4672086238861084
77,seq_to_seq,no_transform,train,3.2852370738983154
77,seq_to_seq,no_transform,test,3.484661102294922
78,seq_to_seq,no_transform,train,3.2845458984375
78,seq_to_seq,no_transform,test,3.50262188911438
79,seq_to_seq,no_transform,train,3.283909559249878
79,seq_to_seq,no_transform,test,3.5136001110076904
80,seq_to_seq,no_transform,train,3.2832858562469482
80,seq_to_seq,no_transform,test,3.5132744312286377
81,seq_to_seq,no_transform,train,3.282658100128174
81,seq_to_seq,no_transform,test,3.503192663192749
82,seq_to_seq,no_transform,train,3.282071113586426
82,seq_to_seq,no_transform,test,3.4878334999084473
83,seq_to_seq,no_transform,train,3.28149151802063
83,seq_to_seq,no_transform,test,3.471604824066162
84,seq_to_seq,no_transform,train,3.280878782272339
84,seq_to_seq,no_transform,test,3.4568183422088623
85,seq_to_seq,no_transform,train,3.280278205871582
85,seq_to_seq,no_transform,test,3.444234848022461
86,seq_to_seq,no_transform,train,3.279724359512329
86,seq_to_seq,no_transform,test,3.434898614883423
87,seq_to_seq,no_transform,train,3.2791855335235596
87,seq_to_seq,no_transform,test,3.429784059524536
88,seq_to_seq,no_transform,train,3.2786474227905273
88,seq_to_seq,no_transform,test,3.428044080734253
89,seq_to_seq,no_transform,train,3.2781379222869873
