Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,bepler,no_transform,train,146.5358123779297
1,bepler,no_transform,test,156.91416931152344
2,bepler,no_transform,train,125.36628723144531
2,bepler,no_transform,test,149.34657287597656
3,bepler,no_transform,train,112.68415832519531
3,bepler,no_transform,test,142.93167114257812
4,bepler,no_transform,train,102.26670837402344
4,bepler,no_transform,test,136.58169555664062
5,bepler,no_transform,train,94.00709533691406
5,bepler,no_transform,test,127.4266357421875
6,bepler,no_transform,train,87.2674331665039
6,bepler,no_transform,test,114.1659164428711
7,bepler,no_transform,train,81.33446502685547
7,bepler,no_transform,test,101.07613372802734
8,bepler,no_transform,train,76.01451873779297
8,bepler,no_transform,test,90.01129150390625
9,bepler,no_transform,train,71.42284393310547
9,bepler,no_transform,test,82.14769744873047
10,bepler,no_transform,train,67.52873229980469
10,bepler,no_transform,test,77.0034408569336
11,bepler,no_transform,train,64.25696563720703
11,bepler,no_transform,test,73.73290252685547
12,bepler,no_transform,train,61.62226104736328
12,bepler,no_transform,test,71.58248901367188
13,bepler,no_transform,train,59.634342193603516
13,bepler,no_transform,test,69.79191589355469
14,bepler,no_transform,train,58.24593734741211
14,bepler,no_transform,test,68.43057250976562
15,bepler,no_transform,train,57.35963821411133
15,bepler,no_transform,test,67.39765930175781
16,bepler,no_transform,train,56.85291290283203
16,bepler,no_transform,test,66.65657806396484
17,bepler,no_transform,train,56.58356857299805
17,bepler,no_transform,test,66.0308609008789
18,bepler,no_transform,train,56.3625373840332
18,bepler,no_transform,test,65.87905883789062
19,bepler,no_transform,train,56.09845733642578
19,bepler,no_transform,test,66.36712646484375
20,bepler,no_transform,train,55.64628219604492
20,bepler,no_transform,test,66.6658935546875
21,bepler,no_transform,train,55.09467697143555
21,bepler,no_transform,test,67.18234252929688
22,bepler,no_transform,train,54.49393844604492
22,bepler,no_transform,test,67.53401184082031
23,bepler,no_transform,train,53.785560607910156
23,bepler,no_transform,test,67.9419937133789
24,bepler,no_transform,train,53.03837585449219
24,bepler,no_transform,test,68.59192657470703
25,bepler,no_transform,train,52.302513122558594
25,bepler,no_transform,test,69.27558135986328
26,bepler,no_transform,train,51.772438049316406
26,bepler,no_transform,test,69.12785339355469
27,bepler,no_transform,train,51.22589874267578
27,bepler,no_transform,test,67.96529388427734
28,bepler,no_transform,train,50.740020751953125
28,bepler,no_transform,test,67.10379028320312
29,bepler,no_transform,train,50.1800651550293
29,bepler,no_transform,test,66.2652816772461
30,bepler,no_transform,train,49.72059631347656
30,bepler,no_transform,test,64.84707641601562
31,bepler,no_transform,train,49.290260314941406
31,bepler,no_transform,test,64.10379791259766
32,bepler,no_transform,train,48.85757827758789
32,bepler,no_transform,test,64.11244201660156
33,bepler,no_transform,train,48.46824645996094
33,bepler,no_transform,test,63.60424041748047
34,bepler,no_transform,train,48.08171844482422
