Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,bepler,no_transform,train,132.7664337158203
1,bepler,no_transform,test,151.33468627929688
2,bepler,no_transform,train,110.7486572265625
2,bepler,no_transform,test,152.78587341308594
3,bepler,no_transform,train,98.06819915771484
3,bepler,no_transform,test,151.8794708251953
4,bepler,no_transform,train,88.30619049072266
4,bepler,no_transform,test,142.23117065429688
5,bepler,no_transform,train,80.88606262207031
5,bepler,no_transform,test,128.1424102783203
6,bepler,no_transform,train,75.05220794677734
6,bepler,no_transform,test,112.51464080810547
7,bepler,no_transform,train,70.1292495727539
7,bepler,no_transform,test,97.52721405029297
8,bepler,no_transform,train,65.95917510986328
8,bepler,no_transform,test,85.87300109863281
9,bepler,no_transform,train,62.492549896240234
9,bepler,no_transform,test,78.04961395263672
10,bepler,no_transform,train,59.70443344116211
10,bepler,no_transform,test,73.05301666259766
11,bepler,no_transform,train,57.536800384521484
11,bepler,no_transform,test,69.89424133300781
12,bepler,no_transform,train,55.924007415771484
12,bepler,no_transform,test,67.91847229003906
13,bepler,no_transform,train,54.81509017944336
13,bepler,no_transform,test,66.79910278320312
14,bepler,no_transform,train,54.137630462646484
14,bepler,no_transform,test,65.65312957763672
15,bepler,no_transform,train,53.816890716552734
15,bepler,no_transform,test,64.04237365722656
16,bepler,no_transform,train,53.654205322265625
16,bepler,no_transform,test,62.66276931762695
17,bepler,no_transform,train,53.53721237182617
17,bepler,no_transform,test,61.73959732055664
18,bepler,no_transform,train,53.29710006713867
18,bepler,no_transform,test,61.22416305541992
19,bepler,no_transform,train,52.82356262207031
19,bepler,no_transform,test,60.455204010009766
20,bepler,no_transform,train,52.242244720458984
20,bepler,no_transform,test,59.779422760009766
21,bepler,no_transform,train,51.60784912109375
21,bepler,no_transform,test,59.15220260620117
22,bepler,no_transform,train,50.941871643066406
22,bepler,no_transform,test,58.46821594238281
23,bepler,no_transform,train,50.24592971801758
23,bepler,no_transform,test,57.963706970214844
24,bepler,no_transform,train,49.553367614746094
24,bepler,no_transform,test,57.39962387084961
25,bepler,no_transform,train,48.953250885009766
25,bepler,no_transform,test,56.74179458618164
26,bepler,no_transform,train,48.45261764526367
26,bepler,no_transform,test,56.14697265625
27,bepler,no_transform,train,48.018672943115234
27,bepler,no_transform,test,55.74287033081055
28,bepler,no_transform,train,47.56868362426758
28,bepler,no_transform,test,55.613677978515625
29,bepler,no_transform,train,47.13096237182617
29,bepler,no_transform,test,55.47272872924805
30,bepler,no_transform,train,46.68549346923828
30,bepler,no_transform,test,55.32382583618164
31,bepler,no_transform,train,46.198768615722656
31,bepler,no_transform,test,55.35160827636719
32,bepler,no_transform,train,45.733245849609375
32,bepler,no_transform,test,55.39875030517578
33,bepler,no_transform,train,45.29304504394531
33,bepler,no_transform,test,55.22905731201172
34,bepler,no_transform,train,44.927711486816406
34,bepler,no_transform,test,54.95396041870117
35,bepler,no_transform,train,44.61075210571289
35,bepler,no_transform,test,55.0632438659668
36,bepler,no_transform,train,44.26884841918945
36,bepler,no_transform,test,55.080894470214844
37,bepler,no_transform,train,43.89991760253906
37,bepler,no_transform,test,55.10659408569336
38,bepler,no_transform,train,43.57117462158203
38,bepler,no_transform,test,55.366825103759766
39,bepler,no_transform,train,43.30923843383789
39,bepler,no_transform,test,55.68434143066406
40,bepler,no_transform,train,43.02300262451172
40,bepler,no_transform,test,56.06599426269531
41,bepler,no_transform,train,42.75973129272461
41,bepler,no_transform,test,56.48735427856445
42,bepler,no_transform,train,42.49357604980469
42,bepler,no_transform,test,56.857730865478516
43,bepler,no_transform,train,42.264251708984375
43,bepler,no_transform,test,57.09819412231445
44,bepler,no_transform,train,42.04654312133789
44,bepler,no_transform,test,57.37584686279297
45,bepler,no_transform,train,41.82707977294922
45,bepler,no_transform,test,57.55070114135742
46,bepler,no_transform,train,41.61608123779297
46,bepler,no_transform,test,57.695064544677734
47,bepler,no_transform,train,41.41967010498047
47,bepler,no_transform,test,57.83473587036133
48,bepler,no_transform,train,41.20427703857422
48,bepler,no_transform,test,57.903419494628906
49,bepler,no_transform,train,41.00640106201172
49,bepler,no_transform,test,57.5750617980957
50,bepler,no_transform,train,40.81468200683594
50,bepler,no_transform,test,57.26164627075195
51,bepler,no_transform,train,40.6428108215332
51,bepler,no_transform,test,57.092140197753906
52,bepler,no_transform,train,40.4703483581543
52,bepler,no_transform,test,56.93351364135742
53,bepler,no_transform,train,40.2862548828125
53,bepler,no_transform,test,56.954193115234375
54,bepler,no_transform,train,40.11405563354492
