Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_betha_structure,no_transform,train,145.67489624023438
1,fft_betha_structure,no_transform,test,17709.4375
2,fft_betha_structure,no_transform,train,109.33987426757812
2,fft_betha_structure,no_transform,test,398.40521240234375
3,fft_betha_structure,no_transform,train,88.74809265136719
3,fft_betha_structure,no_transform,test,132.66278076171875
4,fft_betha_structure,no_transform,train,75.42198944091797
4,fft_betha_structure,no_transform,test,87.7194595336914
5,fft_betha_structure,no_transform,train,67.94522094726562
5,fft_betha_structure,no_transform,test,121.12430572509766
6,fft_betha_structure,no_transform,train,64.39207458496094
6,fft_betha_structure,no_transform,test,192.7385711669922
7,fft_betha_structure,no_transform,train,63.11194610595703
7,fft_betha_structure,no_transform,test,271.5865173339844
8,fft_betha_structure,no_transform,train,62.71048355102539
8,fft_betha_structure,no_transform,test,336.6978454589844
9,fft_betha_structure,no_transform,train,62.083988189697266
9,fft_betha_structure,no_transform,test,374.3740234375
10,fft_betha_structure,no_transform,train,60.75230407714844
10,fft_betha_structure,no_transform,test,377.1172180175781
11,fft_betha_structure,no_transform,train,59.09889602661133
11,fft_betha_structure,no_transform,test,349.3588562011719
12,fft_betha_structure,no_transform,train,57.51847457885742
12,fft_betha_structure,no_transform,test,303.73040771484375
13,fft_betha_structure,no_transform,train,56.2431526184082
13,fft_betha_structure,no_transform,test,253.51116943359375
14,fft_betha_structure,no_transform,train,55.241859436035156
14,fft_betha_structure,no_transform,test,206.89682006835938
15,fft_betha_structure,no_transform,train,54.433311462402344
15,fft_betha_structure,no_transform,test,168.1912384033203
16,fft_betha_structure,no_transform,train,53.70820999145508
16,fft_betha_structure,no_transform,test,138.52479553222656
17,fft_betha_structure,no_transform,train,53.01540756225586
17,fft_betha_structure,no_transform,test,117.29486846923828
18,fft_betha_structure,no_transform,train,52.32136535644531
18,fft_betha_structure,no_transform,test,103.24603271484375
19,fft_betha_structure,no_transform,train,51.64733123779297
19,fft_betha_structure,no_transform,test,94.20066833496094
20,fft_betha_structure,no_transform,train,51.01765060424805
20,fft_betha_structure,no_transform,test,88.52859497070312
21,fft_betha_structure,no_transform,train,50.440277099609375
21,fft_betha_structure,no_transform,test,85.0508804321289
22,fft_betha_structure,no_transform,train,49.924983978271484
22,fft_betha_structure,no_transform,test,82.65216827392578
23,fft_betha_structure,no_transform,train,49.47040939331055
23,fft_betha_structure,no_transform,test,80.85821533203125
24,fft_betha_structure,no_transform,train,49.08122634887695
24,fft_betha_structure,no_transform,test,79.14541625976562
