Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_energetic,no_transform,train,160.21339416503906
1,fft_energetic,no_transform,test,1418.7928466796875
2,fft_energetic,no_transform,train,143.2268829345703
2,fft_energetic,no_transform,test,186.31390380859375
3,fft_energetic,no_transform,train,128.03262329101562
3,fft_energetic,no_transform,test,138.37374877929688
4,fft_energetic,no_transform,train,116.87793731689453
4,fft_energetic,no_transform,test,115.78076934814453
5,fft_energetic,no_transform,train,107.47674560546875
5,fft_energetic,no_transform,test,102.47298431396484
6,fft_energetic,no_transform,train,98.9349136352539
6,fft_energetic,no_transform,test,90.05474853515625
7,fft_energetic,no_transform,train,91.48309326171875
7,fft_energetic,no_transform,test,80.70635223388672
8,fft_energetic,no_transform,train,85.30992126464844
8,fft_energetic,no_transform,test,77.69093322753906
9,fft_energetic,no_transform,train,80.1380844116211
9,fft_energetic,no_transform,test,79.2676010131836
10,fft_energetic,no_transform,train,75.90274047851562
10,fft_energetic,no_transform,test,85.16065216064453
11,fft_energetic,no_transform,train,72.69502258300781
11,fft_energetic,no_transform,test,94.87782287597656
12,fft_energetic,no_transform,train,70.4786376953125
12,fft_energetic,no_transform,test,108.35368347167969
13,fft_energetic,no_transform,train,68.81964111328125
13,fft_energetic,no_transform,test,124.42613983154297
14,fft_energetic,no_transform,train,67.48164367675781
14,fft_energetic,no_transform,test,141.2168731689453
15,fft_energetic,no_transform,train,66.15196990966797
15,fft_energetic,no_transform,test,155.54873657226562
16,fft_energetic,no_transform,train,64.65242767333984
16,fft_energetic,no_transform,test,165.42636108398438
17,fft_energetic,no_transform,train,63.07865905761719
17,fft_energetic,no_transform,test,167.9573211669922
18,fft_energetic,no_transform,train,61.54790496826172
18,fft_energetic,no_transform,test,163.36959838867188
19,fft_energetic,no_transform,train,60.15671157836914
19,fft_energetic,no_transform,test,153.31581115722656
20,fft_energetic,no_transform,train,58.990116119384766
20,fft_energetic,no_transform,test,140.62815856933594
21,fft_energetic,no_transform,train,58.082401275634766
21,fft_energetic,no_transform,test,128.02001953125
22,fft_energetic,no_transform,train,57.343685150146484
22,fft_energetic,no_transform,test,117.24890899658203
23,fft_energetic,no_transform,train,56.70307159423828
23,fft_energetic,no_transform,test,108.55508422851562
24,fft_energetic,no_transform,train,56.091697692871094
24,fft_energetic,no_transform,test,101.9485855102539
25,fft_energetic,no_transform,train,55.47277069091797
25,fft_energetic,no_transform,test,97.23875427246094
26,fft_energetic,no_transform,train,54.84512710571289
26,fft_energetic,no_transform,test,93.99198913574219
27,fft_energetic,no_transform,train,54.238101959228516
27,fft_energetic,no_transform,test,91.5962142944336
28,fft_energetic,no_transform,train,53.68211364746094
28,fft_energetic,no_transform,test,89.65992736816406
29,fft_energetic,no_transform,train,53.177207946777344
29,fft_energetic,no_transform,test,87.82645416259766
30,fft_energetic,no_transform,train,52.71387481689453
30,fft_energetic,no_transform,test,86.10118103027344
31,fft_energetic,no_transform,train,52.28160095214844
31,fft_energetic,no_transform,test,84.41951751708984
32,fft_energetic,no_transform,train,51.881954193115234
32,fft_energetic,no_transform,test,82.94781494140625
33,fft_energetic,no_transform,train,51.50746536254883
33,fft_energetic,no_transform,test,81.64994049072266
34,fft_energetic,no_transform,train,51.15126037597656
34,fft_energetic,no_transform,test,80.4656753540039
35,fft_energetic,no_transform,train,50.810726165771484
35,fft_energetic,no_transform,test,79.45088958740234
36,fft_energetic,no_transform,train,50.47627258300781
36,fft_energetic,no_transform,test,78.56371307373047
37,fft_energetic,no_transform,train,50.14316940307617
37,fft_energetic,no_transform,test,77.75695037841797
38,fft_energetic,no_transform,train,49.8256721496582
38,fft_energetic,no_transform,test,77.05728149414062
39,fft_energetic,no_transform,train,49.52352523803711
39,fft_energetic,no_transform,test,76.40023803710938
40,fft_energetic,no_transform,train,49.22805404663086
40,fft_energetic,no_transform,test,75.76819610595703
41,fft_energetic,no_transform,train,48.93779373168945
41,fft_energetic,no_transform,test,75.23848724365234
42,fft_energetic,no_transform,train,48.65214538574219
42,fft_energetic,no_transform,test,74.77583312988281
43,fft_energetic,no_transform,train,48.37466812133789
43,fft_energetic,no_transform,test,74.39363098144531
44,fft_energetic,no_transform,train,48.106422424316406
44,fft_energetic,no_transform,test,74.12977600097656
45,fft_energetic,no_transform,train,47.853572845458984
45,fft_energetic,no_transform,test,73.923828125
46,fft_energetic,no_transform,train,47.61477279663086
46,fft_energetic,no_transform,test,73.70777893066406
47,fft_energetic,no_transform,train,47.39134979248047
47,fft_energetic,no_transform,test,73.46949005126953
48,fft_energetic,no_transform,train,47.18376541137695
48,fft_energetic,no_transform,test,73.25628662109375
49,fft_energetic,no_transform,train,46.98798751831055
49,fft_energetic,no_transform,test,73.05625915527344
50,fft_energetic,no_transform,train,46.79939270019531
50,fft_energetic,no_transform,test,72.84001922607422
51,fft_energetic,no_transform,train,46.615142822265625
51,fft_energetic,no_transform,test,72.60147094726562
52,fft_energetic,no_transform,train,46.431602478027344
52,fft_energetic,no_transform,test,72.28715515136719
53,fft_energetic,no_transform,train,46.24771499633789
53,fft_energetic,no_transform,test,71.89934539794922
54,fft_energetic,no_transform,train,46.064048767089844
54,fft_energetic,no_transform,test,71.4564208984375
55,fft_energetic,no_transform,train,45.88309097290039
55,fft_energetic,no_transform,test,71.11489868164062
56,fft_energetic,no_transform,train,45.710411071777344
56,fft_energetic,no_transform,test,70.81912231445312
57,fft_energetic,no_transform,train,45.540008544921875
57,fft_energetic,no_transform,test,70.54419708251953
58,fft_energetic,no_transform,train,45.369422912597656
58,fft_energetic,no_transform,test,70.2526626586914
59,fft_energetic,no_transform,train,45.202972412109375
59,fft_energetic,no_transform,test,69.93582153320312
60,fft_energetic,no_transform,train,45.04048156738281
60,fft_energetic,no_transform,test,69.69791412353516
61,fft_energetic,no_transform,train,44.882720947265625
61,fft_energetic,no_transform,test,69.51495361328125
62,fft_energetic,no_transform,train,44.72935104370117
62,fft_energetic,no_transform,test,69.3453140258789
63,fft_energetic,no_transform,train,44.58119583129883
63,fft_energetic,no_transform,test,69.1550064086914
64,fft_energetic,no_transform,train,44.43808364868164
64,fft_energetic,no_transform,test,68.99800109863281
65,fft_energetic,no_transform,train,44.29872131347656
65,fft_energetic,no_transform,test,68.88346862792969
66,fft_energetic,no_transform,train,44.16078567504883
66,fft_energetic,no_transform,test,68.8259048461914
67,fft_energetic,no_transform,train,44.02354049682617
67,fft_energetic,no_transform,test,68.76849365234375
68,fft_energetic,no_transform,train,43.885101318359375
68,fft_energetic,no_transform,test,68.69041442871094
