Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydrophobicity,no_transform,train,127.11577606201172
1,fft_hydrophobicity,no_transform,test,1108.8555908203125
2,fft_hydrophobicity,no_transform,train,118.60234069824219
2,fft_hydrophobicity,no_transform,test,179.94448852539062
3,fft_hydrophobicity,no_transform,train,112.12055206298828
3,fft_hydrophobicity,no_transform,test,145.1981201171875
4,fft_hydrophobicity,no_transform,train,106.22822570800781
4,fft_hydrophobicity,no_transform,test,128.51673889160156
5,fft_hydrophobicity,no_transform,train,100.47216796875
5,fft_hydrophobicity,no_transform,test,117.34104919433594
6,fft_hydrophobicity,no_transform,train,94.52855682373047
6,fft_hydrophobicity,no_transform,test,105.55803680419922
7,fft_hydrophobicity,no_transform,train,88.57746887207031
7,fft_hydrophobicity,no_transform,test,93.03474426269531
8,fft_hydrophobicity,no_transform,train,82.67005157470703
8,fft_hydrophobicity,no_transform,test,81.86529541015625
9,fft_hydrophobicity,no_transform,train,77.04856872558594
9,fft_hydrophobicity,no_transform,test,72.93059539794922
10,fft_hydrophobicity,no_transform,train,71.78608703613281
10,fft_hydrophobicity,no_transform,test,66.23863983154297
11,fft_hydrophobicity,no_transform,train,66.9433822631836
11,fft_hydrophobicity,no_transform,test,62.34914779663086
12,fft_hydrophobicity,no_transform,train,62.7430534362793
12,fft_hydrophobicity,no_transform,test,62.40327453613281
13,fft_hydrophobicity,no_transform,train,59.26066589355469
13,fft_hydrophobicity,no_transform,test,67.3862533569336
14,fft_hydrophobicity,no_transform,train,56.68165588378906
14,fft_hydrophobicity,no_transform,test,78.09479522705078
15,fft_hydrophobicity,no_transform,train,55.074153900146484
15,fft_hydrophobicity,no_transform,test,94.35305786132812
16,fft_hydrophobicity,no_transform,train,54.26404571533203
16,fft_hydrophobicity,no_transform,test,115.02812957763672
17,fft_hydrophobicity,no_transform,train,53.76070022583008
17,fft_hydrophobicity,no_transform,test,136.95974731445312
18,fft_hydrophobicity,no_transform,train,53.1074333190918
18,fft_hydrophobicity,no_transform,test,155.177978515625
19,fft_hydrophobicity,no_transform,train,52.085289001464844
19,fft_hydrophobicity,no_transform,test,166.86090087890625
20,fft_hydrophobicity,no_transform,train,50.83169174194336
20,fft_hydrophobicity,no_transform,test,170.22006225585938
21,fft_hydrophobicity,no_transform,train,49.59605026245117
21,fft_hydrophobicity,no_transform,test,165.41433715820312
22,fft_hydrophobicity,no_transform,train,48.632850646972656
22,fft_hydrophobicity,no_transform,test,154.75213623046875
23,fft_hydrophobicity,no_transform,train,47.91337585449219
23,fft_hydrophobicity,no_transform,test,141.05238342285156
24,fft_hydrophobicity,no_transform,train,47.3651237487793
24,fft_hydrophobicity,no_transform,test,127.38352966308594
25,fft_hydrophobicity,no_transform,train,46.86965560913086
