Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_volume,no_transform,train,146.94068908691406
1,fft_volume,no_transform,test,11808.8349609375
2,fft_volume,no_transform,train,118.5167465209961
2,fft_volume,no_transform,test,289.5171813964844
3,fft_volume,no_transform,train,100.14363098144531
3,fft_volume,no_transform,test,118.31237030029297
4,fft_volume,no_transform,train,87.04370880126953
4,fft_volume,no_transform,test,77.859375
5,fft_volume,no_transform,train,77.85871887207031
5,fft_volume,no_transform,test,78.31049346923828
6,fft_volume,no_transform,train,72.06793212890625
6,fft_volume,no_transform,test,104.44102478027344
7,fft_volume,no_transform,train,68.66600799560547
7,fft_volume,no_transform,test,148.6793670654297
8,fft_volume,no_transform,train,67.05794525146484
8,fft_volume,no_transform,test,201.72218322753906
9,fft_volume,no_transform,train,66.25738525390625
9,fft_volume,no_transform,test,248.73980712890625
10,fft_volume,no_transform,train,65.44609832763672
10,fft_volume,no_transform,test,277.62725830078125
11,fft_volume,no_transform,train,64.11438751220703
11,fft_volume,no_transform,test,284.5233459472656
12,fft_volume,no_transform,train,62.398807525634766
12,fft_volume,no_transform,test,271.1767578125
13,fft_volume,no_transform,train,60.69559860229492
13,fft_volume,no_transform,test,243.30517578125
14,fft_volume,no_transform,train,59.21841812133789
14,fft_volume,no_transform,test,209.83815002441406
15,fft_volume,no_transform,train,58.0385627746582
15,fft_volume,no_transform,test,177.1187286376953
16,fft_volume,no_transform,train,57.10895919799805
16,fft_volume,no_transform,test,149.00616455078125
17,fft_volume,no_transform,train,56.32234573364258
17,fft_volume,no_transform,test,127.31605529785156
18,fft_volume,no_transform,train,55.59560012817383
18,fft_volume,no_transform,test,111.5082015991211
19,fft_volume,no_transform,train,54.87321472167969
19,fft_volume,no_transform,test,100.52422332763672
20,fft_volume,no_transform,train,54.13518142700195
20,fft_volume,no_transform,test,93.27161407470703
21,fft_volume,no_transform,train,53.40242004394531
21,fft_volume,no_transform,test,88.6715316772461
22,fft_volume,no_transform,train,52.694297790527344
22,fft_volume,no_transform,test,85.69261169433594
23,fft_volume,no_transform,train,52.03440475463867
23,fft_volume,no_transform,test,83.5779800415039
24,fft_volume,no_transform,train,51.4362907409668
24,fft_volume,no_transform,test,81.92059326171875
25,fft_volume,no_transform,train,50.89920425415039
25,fft_volume,no_transform,test,80.57954406738281
26,fft_volume,no_transform,train,50.41090393066406
26,fft_volume,no_transform,test,79.19715118408203
27,fft_volume,no_transform,train,49.95345687866211
27,fft_volume,no_transform,test,77.70904541015625
28,fft_volume,no_transform,train,49.50774383544922
28,fft_volume,no_transform,test,76.11438751220703
29,fft_volume,no_transform,train,49.06818389892578
29,fft_volume,no_transform,test,74.55464172363281
30,fft_volume,no_transform,train,48.64524841308594
30,fft_volume,no_transform,test,73.19194030761719
31,fft_volume,no_transform,train,48.24834060668945
31,fft_volume,no_transform,test,72.0990219116211
32,fft_volume,no_transform,train,47.873905181884766
32,fft_volume,no_transform,test,71.25794982910156
33,fft_volume,no_transform,train,47.511837005615234
33,fft_volume,no_transform,test,70.62174987792969
34,fft_volume,no_transform,train,47.153663635253906
34,fft_volume,no_transform,test,70.1949462890625
35,fft_volume,no_transform,train,46.80428695678711
35,fft_volume,no_transform,test,69.911376953125
36,fft_volume,no_transform,train,46.46357345581055
36,fft_volume,no_transform,test,69.87741088867188
37,fft_volume,no_transform,train,46.13675308227539
37,fft_volume,no_transform,test,69.80213165283203
38,fft_volume,no_transform,train,45.83265686035156
38,fft_volume,no_transform,test,69.67901611328125
39,fft_volume,no_transform,train,45.54825973510742
39,fft_volume,no_transform,test,69.39730072021484
40,fft_volume,no_transform,train,45.27403259277344
40,fft_volume,no_transform,test,68.95252990722656
41,fft_volume,no_transform,train,45.00254440307617
41,fft_volume,no_transform,test,68.37744903564453
42,fft_volume,no_transform,train,44.73127365112305
42,fft_volume,no_transform,test,67.76197814941406
43,fft_volume,no_transform,train,44.46379089355469
43,fft_volume,no_transform,test,67.11670684814453
44,fft_volume,no_transform,train,44.20723342895508
44,fft_volume,no_transform,test,66.502685546875
45,fft_volume,no_transform,train,43.964141845703125
45,fft_volume,no_transform,test,65.93970489501953
46,fft_volume,no_transform,train,43.73137283325195
46,fft_volume,no_transform,test,65.48978424072266
47,fft_volume,no_transform,train,43.506900787353516
47,fft_volume,no_transform,test,65.20445251464844
48,fft_volume,no_transform,train,43.292503356933594
48,fft_volume,no_transform,test,64.93424224853516
49,fft_volume,no_transform,train,43.08378601074219
49,fft_volume,no_transform,test,64.6505126953125
50,fft_volume,no_transform,train,42.87561798095703
50,fft_volume,no_transform,test,64.30728149414062
51,fft_volume,no_transform,train,42.66819763183594
51,fft_volume,no_transform,test,64.05238342285156
52,fft_volume,no_transform,train,42.46678161621094
52,fft_volume,no_transform,test,63.840309143066406
53,fft_volume,no_transform,train,42.27241134643555
53,fft_volume,no_transform,test,63.590675354003906
54,fft_volume,no_transform,train,42.08417510986328
54,fft_volume,no_transform,test,63.39632797241211
55,fft_volume,no_transform,train,41.90188217163086
55,fft_volume,no_transform,test,63.21354293823242
56,fft_volume,no_transform,train,41.72428512573242
56,fft_volume,no_transform,test,63.075531005859375
57,fft_volume,no_transform,train,41.547279357910156
57,fft_volume,no_transform,test,62.978885650634766
58,fft_volume,no_transform,train,41.371822357177734
58,fft_volume,no_transform,test,62.89493179321289
59,fft_volume,no_transform,train,41.19560623168945
59,fft_volume,no_transform,test,62.83043670654297
60,fft_volume,no_transform,train,41.019107818603516
60,fft_volume,no_transform,test,62.68822479248047
61,fft_volume,no_transform,train,40.84528350830078
61,fft_volume,no_transform,test,62.538204193115234
62,fft_volume,no_transform,train,40.6741828918457
62,fft_volume,no_transform,test,62.34232711791992
63,fft_volume,no_transform,train,40.50556182861328
63,fft_volume,no_transform,test,62.103851318359375
64,fft_volume,no_transform,train,40.338653564453125
64,fft_volume,no_transform,test,61.83777618408203
65,fft_volume,no_transform,train,40.17246627807617
65,fft_volume,no_transform,test,61.54252243041992
66,fft_volume,no_transform,train,40.00778579711914
66,fft_volume,no_transform,test,61.33665466308594
67,fft_volume,no_transform,train,39.84257507324219
67,fft_volume,no_transform,test,61.18100357055664
68,fft_volume,no_transform,train,39.67841339111328
68,fft_volume,no_transform,test,61.09151077270508
69,fft_volume,no_transform,train,39.51502227783203
69,fft_volume,no_transform,test,60.968345642089844
70,fft_volume,no_transform,train,39.35185623168945
70,fft_volume,no_transform,test,60.912105560302734
71,fft_volume,no_transform,train,39.18886947631836
71,fft_volume,no_transform,test,60.958763122558594
72,fft_volume,no_transform,train,39.025821685791016
72,fft_volume,no_transform,test,60.969932556152344
73,fft_volume,no_transform,train,38.86336898803711
73,fft_volume,no_transform,test,60.74825668334961
74,fft_volume,no_transform,train,38.70022201538086
74,fft_volume,no_transform,test,60.403175354003906
75,fft_volume,no_transform,train,38.5390625
75,fft_volume,no_transform,test,60.23820114135742
76,fft_volume,no_transform,train,38.37571334838867
76,fft_volume,no_transform,test,60.106544494628906
77,fft_volume,no_transform,train,38.21300506591797
77,fft_volume,no_transform,test,59.8492546081543
78,fft_volume,no_transform,train,38.049739837646484
78,fft_volume,no_transform,test,59.540470123291016
79,fft_volume,no_transform,train,37.88630294799805
79,fft_volume,no_transform,test,59.3106689453125
80,fft_volume,no_transform,train,37.724273681640625
80,fft_volume,no_transform,test,59.23997116088867
81,fft_volume,no_transform,train,37.56104278564453
81,fft_volume,no_transform,test,59.08654022216797
82,fft_volume,no_transform,train,37.39774703979492
82,fft_volume,no_transform,test,58.89228820800781
83,fft_volume,no_transform,train,37.234588623046875
83,fft_volume,no_transform,test,58.965293884277344
84,fft_volume,no_transform,train,37.069942474365234
84,fft_volume,no_transform,test,58.797325134277344
85,fft_volume,no_transform,train,36.904632568359375
85,fft_volume,no_transform,test,58.405025482177734
86,fft_volume,no_transform,train,36.74172592163086
86,fft_volume,no_transform,test,58.36410140991211
87,fft_volume,no_transform,train,36.576133728027344
87,fft_volume,no_transform,test,58.222713470458984
88,fft_volume,no_transform,train,36.41328048706055
88,fft_volume,no_transform,test,58.118778228759766
89,fft_volume,no_transform,train,36.249420166015625
89,fft_volume,no_transform,test,58.15431594848633
90,fft_volume,no_transform,train,36.08631134033203
90,fft_volume,no_transform,test,58.294673919677734
91,fft_volume,no_transform,train,35.921085357666016
91,fft_volume,no_transform,test,58.302154541015625
92,fft_volume,no_transform,train,35.757205963134766
92,fft_volume,no_transform,test,58.151092529296875
93,fft_volume,no_transform,train,35.593055725097656
93,fft_volume,no_transform,test,57.912967681884766
94,fft_volume,no_transform,train,35.42979431152344
94,fft_volume,no_transform,test,57.943878173828125
95,fft_volume,no_transform,train,35.266605377197266
95,fft_volume,no_transform,test,57.83955001831055
96,fft_volume,no_transform,train,35.1008415222168
96,fft_volume,no_transform,test,57.642391204833984
97,fft_volume,no_transform,train,34.93587112426758
97,fft_volume,no_transform,test,57.59516143798828
98,fft_volume,no_transform,train,34.770877838134766
98,fft_volume,no_transform,test,57.70656967163086
99,fft_volume,no_transform,train,34.606605529785156
99,fft_volume,no_transform,test,57.969940185546875
100,fft_volume,no_transform,train,34.442787170410156
100,fft_volume,no_transform,test,58.033363342285156
