Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_volume,no_transform,train,122.95303344726562
1,fft_volume,no_transform,test,4986.63916015625
2,fft_volume,no_transform,train,100.9578628540039
2,fft_volume,no_transform,test,162.51904296875
3,fft_volume,no_transform,train,87.17355346679688
3,fft_volume,no_transform,test,86.01263427734375
4,fft_volume,no_transform,train,76.67588806152344
4,fft_volume,no_transform,test,67.02533721923828
5,fft_volume,no_transform,train,68.96038818359375
5,fft_volume,no_transform,test,65.40394592285156
6,fft_volume,no_transform,train,63.37654113769531
6,fft_volume,no_transform,test,77.30103302001953
7,fft_volume,no_transform,train,59.909767150878906
7,fft_volume,no_transform,test,103.75389099121094
8,fft_volume,no_transform,train,58.041683197021484
8,fft_volume,no_transform,test,140.3325653076172
9,fft_volume,no_transform,train,57.15812301635742
9,fft_volume,no_transform,test,178.4361572265625
10,fft_volume,no_transform,train,56.46934509277344
10,fft_volume,no_transform,test,208.42369079589844
11,fft_volume,no_transform,train,55.47894287109375
11,fft_volume,no_transform,test,224.86863708496094
12,fft_volume,no_transform,train,54.122337341308594
12,fft_volume,no_transform,test,224.7737579345703
13,fft_volume,no_transform,train,52.63621139526367
13,fft_volume,no_transform,test,209.84109497070312
14,fft_volume,no_transform,train,51.231719970703125
14,fft_volume,no_transform,test,185.22146606445312
15,fft_volume,no_transform,train,50.02973556518555
15,fft_volume,no_transform,test,158.19322204589844
16,fft_volume,no_transform,train,49.054847717285156
16,fft_volume,no_transform,test,133.67172241210938
17,fft_volume,no_transform,train,48.27141571044922
17,fft_volume,no_transform,test,113.40482330322266
18,fft_volume,no_transform,train,47.586666107177734
18,fft_volume,no_transform,test,98.48889923095703
19,fft_volume,no_transform,train,46.9525146484375
19,fft_volume,no_transform,test,88.48025512695312
20,fft_volume,no_transform,train,46.35174560546875
20,fft_volume,no_transform,test,81.85983276367188
21,fft_volume,no_transform,train,45.76176071166992
21,fft_volume,no_transform,test,77.46294403076172
22,fft_volume,no_transform,train,45.1739616394043
22,fft_volume,no_transform,test,74.67588806152344
23,fft_volume,no_transform,train,44.60923385620117
23,fft_volume,no_transform,test,72.61368560791016
24,fft_volume,no_transform,train,44.0938720703125
24,fft_volume,no_transform,test,70.95530700683594
25,fft_volume,no_transform,train,43.62257766723633
25,fft_volume,no_transform,test,69.37110137939453
26,fft_volume,no_transform,train,43.17582702636719
26,fft_volume,no_transform,test,67.84014892578125
27,fft_volume,no_transform,train,42.74842071533203
27,fft_volume,no_transform,test,66.26107788085938
28,fft_volume,no_transform,train,42.32561111450195
28,fft_volume,no_transform,test,64.59221649169922
29,fft_volume,no_transform,train,41.91514205932617
29,fft_volume,no_transform,test,63.05158615112305
30,fft_volume,no_transform,train,41.52338790893555
30,fft_volume,no_transform,test,61.786075592041016
31,fft_volume,no_transform,train,41.15361404418945
31,fft_volume,no_transform,test,60.868770599365234
32,fft_volume,no_transform,train,40.809539794921875
32,fft_volume,no_transform,test,60.16872787475586
33,fft_volume,no_transform,train,40.48747253417969
33,fft_volume,no_transform,test,59.66757583618164
34,fft_volume,no_transform,train,40.18689727783203
34,fft_volume,no_transform,test,59.43952941894531
35,fft_volume,no_transform,train,39.90730667114258
35,fft_volume,no_transform,test,59.46559143066406
36,fft_volume,no_transform,train,39.640472412109375
36,fft_volume,no_transform,test,59.60023880004883
37,fft_volume,no_transform,train,39.37901306152344
37,fft_volume,no_transform,test,59.637821197509766
38,fft_volume,no_transform,train,39.12838363647461
38,fft_volume,no_transform,test,59.50194549560547
39,fft_volume,no_transform,train,38.889652252197266
39,fft_volume,no_transform,test,59.24905776977539
40,fft_volume,no_transform,train,38.662750244140625
40,fft_volume,no_transform,test,58.82561492919922
41,fft_volume,no_transform,train,38.4436149597168
41,fft_volume,no_transform,test,58.35177993774414
42,fft_volume,no_transform,train,38.234161376953125
42,fft_volume,no_transform,test,57.93269729614258
43,fft_volume,no_transform,train,38.031394958496094
43,fft_volume,no_transform,test,57.49136734008789
44,fft_volume,no_transform,train,37.83332443237305
44,fft_volume,no_transform,test,57.06863784790039
45,fft_volume,no_transform,train,37.640625
45,fft_volume,no_transform,test,56.65451431274414
46,fft_volume,no_transform,train,37.45722961425781
46,fft_volume,no_transform,test,56.279659271240234
47,fft_volume,no_transform,train,37.279850006103516
47,fft_volume,no_transform,test,55.9143180847168
48,fft_volume,no_transform,train,37.108604431152344
48,fft_volume,no_transform,test,55.644718170166016
49,fft_volume,no_transform,train,36.942710876464844
49,fft_volume,no_transform,test,55.44321060180664
50,fft_volume,no_transform,train,36.7856330871582
50,fft_volume,no_transform,test,55.358863830566406
51,fft_volume,no_transform,train,36.63525390625
51,fft_volume,no_transform,test,55.332275390625
52,fft_volume,no_transform,train,36.48775100708008
52,fft_volume,no_transform,test,55.15867614746094
53,fft_volume,no_transform,train,36.345420837402344
53,fft_volume,no_transform,test,54.7581901550293
54,fft_volume,no_transform,train,36.200416564941406
54,fft_volume,no_transform,test,54.3199577331543
55,fft_volume,no_transform,train,36.05720138549805
55,fft_volume,no_transform,test,53.926979064941406
56,fft_volume,no_transform,train,35.9134521484375
56,fft_volume,no_transform,test,53.64932632446289
57,fft_volume,no_transform,train,35.76902770996094
57,fft_volume,no_transform,test,53.42938232421875
58,fft_volume,no_transform,train,35.62391662597656
58,fft_volume,no_transform,test,53.288795471191406
59,fft_volume,no_transform,train,35.479820251464844
59,fft_volume,no_transform,test,53.15592575073242
60,fft_volume,no_transform,train,35.34051513671875
60,fft_volume,no_transform,test,52.951446533203125
61,fft_volume,no_transform,train,35.2020263671875
61,fft_volume,no_transform,test,52.648948669433594
62,fft_volume,no_transform,train,35.06460952758789
62,fft_volume,no_transform,test,52.323150634765625
63,fft_volume,no_transform,train,34.9299201965332
63,fft_volume,no_transform,test,52.034481048583984
64,fft_volume,no_transform,train,34.79597091674805
64,fft_volume,no_transform,test,51.82502746582031
65,fft_volume,no_transform,train,34.66407012939453
65,fft_volume,no_transform,test,51.73155212402344
66,fft_volume,no_transform,train,34.53083801269531
66,fft_volume,no_transform,test,51.61088943481445
67,fft_volume,no_transform,train,34.397865295410156
67,fft_volume,no_transform,test,51.51034927368164
68,fft_volume,no_transform,train,34.26530075073242
68,fft_volume,no_transform,test,51.39430236816406
69,fft_volume,no_transform,train,34.133277893066406
69,fft_volume,no_transform,test,51.214439392089844
70,fft_volume,no_transform,train,34.00054168701172
