Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_alpha_structure,no_transform,train,140.5699005126953
1,physicochemical_alpha_structure,no_transform,test,1688.3746337890625
2,physicochemical_alpha_structure,no_transform,train,78.04560852050781
2,physicochemical_alpha_structure,no_transform,test,1226.1905517578125
3,physicochemical_alpha_structure,no_transform,train,61.54308319091797
3,physicochemical_alpha_structure,no_transform,test,890.9302368164062
4,physicochemical_alpha_structure,no_transform,train,59.11610794067383
4,physicochemical_alpha_structure,no_transform,test,574.9888305664062
5,physicochemical_alpha_structure,no_transform,train,61.151031494140625
5,physicochemical_alpha_structure,no_transform,test,360.94476318359375
6,physicochemical_alpha_structure,no_transform,train,59.3277473449707
6,physicochemical_alpha_structure,no_transform,test,233.42678833007812
7,physicochemical_alpha_structure,no_transform,train,55.13290786743164
7,physicochemical_alpha_structure,no_transform,test,161.51475524902344
8,physicochemical_alpha_structure,no_transform,train,51.89733123779297
8,physicochemical_alpha_structure,no_transform,test,122.60429382324219
9,physicochemical_alpha_structure,no_transform,train,50.61555099487305
9,physicochemical_alpha_structure,no_transform,test,102.59935760498047
10,physicochemical_alpha_structure,no_transform,train,50.61614227294922
10,physicochemical_alpha_structure,no_transform,test,92.87872314453125
11,physicochemical_alpha_structure,no_transform,train,50.867435455322266
11,physicochemical_alpha_structure,no_transform,test,88.64674377441406
12,physicochemical_alpha_structure,no_transform,train,50.69150161743164
12,physicochemical_alpha_structure,no_transform,test,87.49214172363281
13,physicochemical_alpha_structure,no_transform,train,49.95466613769531
13,physicochemical_alpha_structure,no_transform,test,88.33985900878906
14,physicochemical_alpha_structure,no_transform,train,48.925384521484375
14,physicochemical_alpha_structure,no_transform,test,90.54169464111328
15,physicochemical_alpha_structure,no_transform,train,47.99978256225586
15,physicochemical_alpha_structure,no_transform,test,93.35299682617188
16,physicochemical_alpha_structure,no_transform,train,47.4461669921875
16,physicochemical_alpha_structure,no_transform,test,95.87065124511719
17,physicochemical_alpha_structure,no_transform,train,47.272918701171875
17,physicochemical_alpha_structure,no_transform,test,97.14031219482422
18,physicochemical_alpha_structure,no_transform,train,47.26400375366211
18,physicochemical_alpha_structure,no_transform,test,96.59146881103516
19,physicochemical_alpha_structure,no_transform,train,47.15528106689453
19,physicochemical_alpha_structure,no_transform,test,94.25725555419922
20,physicochemical_alpha_structure,no_transform,train,46.8232536315918
20,physicochemical_alpha_structure,no_transform,test,90.70130157470703
21,physicochemical_alpha_structure,no_transform,train,46.3443603515625
21,physicochemical_alpha_structure,no_transform,test,86.71385192871094
22,physicochemical_alpha_structure,no_transform,train,45.90199279785156
22,physicochemical_alpha_structure,no_transform,test,82.97400665283203
23,physicochemical_alpha_structure,no_transform,train,45.632694244384766
23,physicochemical_alpha_structure,no_transform,test,79.87809753417969
24,physicochemical_alpha_structure,no_transform,train,45.537200927734375
24,physicochemical_alpha_structure,no_transform,test,77.5453872680664
25,physicochemical_alpha_structure,no_transform,train,45.510009765625
25,physicochemical_alpha_structure,no_transform,test,75.92754364013672
26,physicochemical_alpha_structure,no_transform,train,45.43021011352539
26,physicochemical_alpha_structure,no_transform,test,74.95110321044922
27,physicochemical_alpha_structure,no_transform,train,45.24231719970703
27,physicochemical_alpha_structure,no_transform,test,74.56022644042969
28,physicochemical_alpha_structure,no_transform,train,44.97723388671875
28,physicochemical_alpha_structure,no_transform,test,74.69573974609375
29,physicochemical_alpha_structure,no_transform,train,44.712806701660156
29,physicochemical_alpha_structure,no_transform,test,75.24105834960938
30,physicochemical_alpha_structure,no_transform,train,44.51091003417969
30,physicochemical_alpha_structure,no_transform,test,75.99322509765625
31,physicochemical_alpha_structure,no_transform,train,44.377681732177734
31,physicochemical_alpha_structure,no_transform,test,76.70909881591797
32,physicochemical_alpha_structure,no_transform,train,44.27064895629883
32,physicochemical_alpha_structure,no_transform,test,77.16411590576172
33,physicochemical_alpha_structure,no_transform,train,44.142578125
33,physicochemical_alpha_structure,no_transform,test,77.23120880126953
34,physicochemical_alpha_structure,no_transform,train,43.978694915771484
34,physicochemical_alpha_structure,no_transform,test,76.91362762451172
35,physicochemical_alpha_structure,no_transform,train,43.80186462402344
35,physicochemical_alpha_structure,no_transform,test,76.31014251708984
36,physicochemical_alpha_structure,no_transform,train,43.64478302001953
36,physicochemical_alpha_structure,no_transform,test,75.55522918701172
37,physicochemical_alpha_structure,no_transform,train,43.51993942260742
37,physicochemical_alpha_structure,no_transform,test,74.7721176147461
38,physicochemical_alpha_structure,no_transform,train,43.412593841552734
38,physicochemical_alpha_structure,no_transform,test,74.05609893798828
39,physicochemical_alpha_structure,no_transform,train,43.299407958984375
39,physicochemical_alpha_structure,no_transform,test,73.48336029052734
40,physicochemical_alpha_structure,no_transform,train,43.1708869934082
40,physicochemical_alpha_structure,no_transform,test,73.11357116699219
41,physicochemical_alpha_structure,no_transform,train,43.038700103759766
41,physicochemical_alpha_structure,no_transform,test,72.97208404541016
42,physicochemical_alpha_structure,no_transform,train,42.92208480834961
42,physicochemical_alpha_structure,no_transform,test,73.05000305175781
43,physicochemical_alpha_structure,no_transform,train,42.82759094238281
43,physicochemical_alpha_structure,no_transform,test,73.29515838623047
44,physicochemical_alpha_structure,no_transform,train,42.74222183227539
44,physicochemical_alpha_structure,no_transform,test,73.62600708007812
45,physicochemical_alpha_structure,no_transform,train,42.646366119384766
45,physicochemical_alpha_structure,no_transform,test,73.95918273925781
46,physicochemical_alpha_structure,no_transform,train,42.53300857543945
46,physicochemical_alpha_structure,no_transform,test,74.23158264160156
47,physicochemical_alpha_structure,no_transform,train,42.41374206542969
47,physicochemical_alpha_structure,no_transform,test,74.4083023071289
48,physicochemical_alpha_structure,no_transform,train,42.305912017822266
48,physicochemical_alpha_structure,no_transform,test,74.47190856933594
49,physicochemical_alpha_structure,no_transform,train,42.21556854248047
49,physicochemical_alpha_structure,no_transform,test,74.42578125
50,physicochemical_alpha_structure,no_transform,train,42.133087158203125
50,physicochemical_alpha_structure,no_transform,test,74.28678894042969
51,physicochemical_alpha_structure,no_transform,train,42.04482650756836
51,physicochemical_alpha_structure,no_transform,test,74.08599090576172
52,physicochemical_alpha_structure,no_transform,train,41.94662857055664
52,physicochemical_alpha_structure,no_transform,test,73.85961151123047
53,physicochemical_alpha_structure,no_transform,train,41.84665298461914
53,physicochemical_alpha_structure,no_transform,test,73.63770294189453
54,physicochemical_alpha_structure,no_transform,train,41.755550384521484
54,physicochemical_alpha_structure,no_transform,test,73.43781280517578
55,physicochemical_alpha_structure,no_transform,train,41.67491912841797
55,physicochemical_alpha_structure,no_transform,test,73.26009368896484
56,physicochemical_alpha_structure,no_transform,train,41.59648513793945
56,physicochemical_alpha_structure,no_transform,test,73.09601593017578
57,physicochemical_alpha_structure,no_transform,train,41.5111198425293
57,physicochemical_alpha_structure,no_transform,test,72.93718719482422
58,physicochemical_alpha_structure,no_transform,train,41.41851806640625
58,physicochemical_alpha_structure,no_transform,test,72.77594757080078
59,physicochemical_alpha_structure,no_transform,train,41.326412200927734
59,physicochemical_alpha_structure,no_transform,test,72.60699462890625
60,physicochemical_alpha_structure,no_transform,train,41.241329193115234
60,physicochemical_alpha_structure,no_transform,test,72.42395782470703
61,physicochemical_alpha_structure,no_transform,train,41.16212463378906
61,physicochemical_alpha_structure,no_transform,test,72.2211685180664
62,physicochemical_alpha_structure,no_transform,train,41.08209991455078
62,physicochemical_alpha_structure,no_transform,test,71.99932861328125
63,physicochemical_alpha_structure,no_transform,train,40.997005462646484
63,physicochemical_alpha_structure,no_transform,test,71.76375579833984
64,physicochemical_alpha_structure,no_transform,train,40.90876770019531
64,physicochemical_alpha_structure,no_transform,test,71.52377319335938
65,physicochemical_alpha_structure,no_transform,train,40.82279968261719
65,physicochemical_alpha_structure,no_transform,test,71.28575134277344
66,physicochemical_alpha_structure,no_transform,train,40.741336822509766
66,physicochemical_alpha_structure,no_transform,test,71.05293273925781
67,physicochemical_alpha_structure,no_transform,train,40.662025451660156
67,physicochemical_alpha_structure,no_transform,test,70.82891082763672
68,physicochemical_alpha_structure,no_transform,train,40.58088684082031
68,physicochemical_alpha_structure,no_transform,test,70.61592102050781
69,physicochemical_alpha_structure,no_transform,train,40.4970817565918
69,physicochemical_alpha_structure,no_transform,test,70.41561126708984
70,physicochemical_alpha_structure,no_transform,train,40.41327667236328
70,physicochemical_alpha_structure,no_transform,test,70.22527313232422
71,physicochemical_alpha_structure,no_transform,train,40.33174133300781
71,physicochemical_alpha_structure,no_transform,test,70.03779602050781
72,physicochemical_alpha_structure,no_transform,train,40.25190353393555
72,physicochemical_alpha_structure,no_transform,test,69.84722137451172
73,physicochemical_alpha_structure,no_transform,train,40.1716423034668
73,physicochemical_alpha_structure,no_transform,test,69.64697265625
74,physicochemical_alpha_structure,no_transform,train,40.08970260620117
74,physicochemical_alpha_structure,no_transform,test,69.43639373779297
75,physicochemical_alpha_structure,no_transform,train,40.00730514526367
75,physicochemical_alpha_structure,no_transform,test,69.21980285644531
76,physicochemical_alpha_structure,no_transform,train,39.92599105834961
76,physicochemical_alpha_structure,no_transform,test,69.00572204589844
77,physicochemical_alpha_structure,no_transform,train,39.845645904541016
77,physicochemical_alpha_structure,no_transform,test,68.80536651611328
78,physicochemical_alpha_structure,no_transform,train,39.76495361328125
78,physicochemical_alpha_structure,no_transform,test,68.62657165527344
79,physicochemical_alpha_structure,no_transform,train,39.68329620361328
79,physicochemical_alpha_structure,no_transform,test,68.47248840332031
80,physicochemical_alpha_structure,no_transform,train,39.6015739440918
80,physicochemical_alpha_structure,no_transform,test,68.33844757080078
81,physicochemical_alpha_structure,no_transform,train,39.520545959472656
81,physicochemical_alpha_structure,no_transform,test,68.21305084228516
82,physicochemical_alpha_structure,no_transform,train,39.43967819213867
82,physicochemical_alpha_structure,no_transform,test,68.08454895019531
83,physicochemical_alpha_structure,no_transform,train,39.35817337036133
83,physicochemical_alpha_structure,no_transform,test,67.94554901123047
84,physicochemical_alpha_structure,no_transform,train,39.276214599609375
84,physicochemical_alpha_structure,no_transform,test,67.7957992553711
85,physicochemical_alpha_structure,no_transform,train,39.19460678100586
85,physicochemical_alpha_structure,no_transform,test,67.63848876953125
86,physicochemical_alpha_structure,no_transform,train,39.11347579956055
86,physicochemical_alpha_structure,no_transform,test,67.4795150756836
87,physicochemical_alpha_structure,no_transform,train,39.03202819824219
87,physicochemical_alpha_structure,no_transform,test,67.3282699584961
88,physicochemical_alpha_structure,no_transform,train,38.949951171875
88,physicochemical_alpha_structure,no_transform,test,67.1908187866211
89,physicochemical_alpha_structure,no_transform,train,38.86762237548828
89,physicochemical_alpha_structure,no_transform,test,67.06749725341797
90,physicochemical_alpha_structure,no_transform,train,38.78557205200195
90,physicochemical_alpha_structure,no_transform,test,66.95494079589844
91,physicochemical_alpha_structure,no_transform,train,38.70357894897461
91,physicochemical_alpha_structure,no_transform,test,66.8463134765625
92,physicochemical_alpha_structure,no_transform,train,38.62111282348633
92,physicochemical_alpha_structure,no_transform,test,66.7362289428711
93,physicochemical_alpha_structure,no_transform,train,38.53828811645508
93,physicochemical_alpha_structure,no_transform,test,66.61930847167969
94,physicochemical_alpha_structure,no_transform,train,38.455535888671875
94,physicochemical_alpha_structure,no_transform,test,66.49129486083984
95,physicochemical_alpha_structure,no_transform,train,38.37288284301758
95,physicochemical_alpha_structure,no_transform,test,66.35466766357422
