Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_hydrophobocity,no_transform,train,130.8396759033203
1,physicochemical_hydrophobocity,no_transform,test,1566.0804443359375
2,physicochemical_hydrophobocity,no_transform,train,73.51506805419922
2,physicochemical_hydrophobocity,no_transform,test,1062.3487548828125
3,physicochemical_hydrophobocity,no_transform,train,60.92839050292969
3,physicochemical_hydrophobocity,no_transform,test,694.0079956054688
4,physicochemical_hydrophobocity,no_transform,train,59.1974983215332
4,physicochemical_hydrophobocity,no_transform,test,458.06781005859375
5,physicochemical_hydrophobocity,no_transform,train,56.02839279174805
5,physicochemical_hydrophobocity,no_transform,test,302.57550048828125
6,physicochemical_hydrophobocity,no_transform,train,53.79657745361328
6,physicochemical_hydrophobocity,no_transform,test,203.01681518554688
7,physicochemical_hydrophobocity,no_transform,train,51.13206481933594
7,physicochemical_hydrophobocity,no_transform,test,142.44839477539062
8,physicochemical_hydrophobocity,no_transform,train,48.81550216674805
8,physicochemical_hydrophobocity,no_transform,test,107.646484375
9,physicochemical_hydrophobocity,no_transform,train,47.48692321777344
9,physicochemical_hydrophobocity,no_transform,test,88.68526458740234
10,physicochemical_hydrophobocity,no_transform,train,47.025264739990234
10,physicochemical_hydrophobocity,no_transform,test,79.04767608642578
11,physicochemical_hydrophobocity,no_transform,train,46.898380279541016
11,physicochemical_hydrophobocity,no_transform,test,74.80976867675781
12,physicochemical_hydrophobocity,no_transform,train,46.6696891784668
12,physicochemical_hydrophobocity,no_transform,test,73.73957061767578
13,physicochemical_hydrophobocity,no_transform,train,46.177120208740234
13,physicochemical_hydrophobocity,no_transform,test,74.60675048828125
14,physicochemical_hydrophobocity,no_transform,train,45.502017974853516
14,physicochemical_hydrophobocity,no_transform,test,76.6749038696289
15,physicochemical_hydrophobocity,no_transform,train,44.82252502441406
15,physicochemical_hydrophobocity,no_transform,test,79.22986602783203
16,physicochemical_hydrophobocity,no_transform,train,44.274208068847656
16,physicochemical_hydrophobocity,no_transform,test,81.5425796508789
17,physicochemical_hydrophobocity,no_transform,train,43.88672637939453
17,physicochemical_hydrophobocity,no_transform,test,82.95470428466797
18,physicochemical_hydrophobocity,no_transform,train,43.59209060668945
18,physicochemical_hydrophobocity,no_transform,test,83.09947204589844
19,physicochemical_hydrophobocity,no_transform,train,43.30270767211914
