Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_hydrophobocity,no_transform,train,145.43186950683594
1,physicochemical_hydrophobocity,no_transform,test,1746.9110107421875
2,physicochemical_hydrophobocity,no_transform,train,79.59880828857422
2,physicochemical_hydrophobocity,no_transform,test,906.756591796875
3,physicochemical_hydrophobocity,no_transform,train,58.71142578125
3,physicochemical_hydrophobocity,no_transform,test,722.6265869140625
4,physicochemical_hydrophobocity,no_transform,train,56.71186065673828
4,physicochemical_hydrophobocity,no_transform,test,548.506103515625
5,physicochemical_hydrophobocity,no_transform,train,59.22640609741211
5,physicochemical_hydrophobocity,no_transform,test,377.2214660644531
6,physicochemical_hydrophobocity,no_transform,train,57.51887130737305
6,physicochemical_hydrophobocity,no_transform,test,251.86993408203125
7,physicochemical_hydrophobocity,no_transform,train,53.22600555419922
7,physicochemical_hydrophobocity,no_transform,test,171.2835693359375
8,physicochemical_hydrophobocity,no_transform,train,49.54682922363281
8,physicochemical_hydrophobocity,no_transform,test,123.00313568115234
9,physicochemical_hydrophobocity,no_transform,train,47.63514709472656
9,physicochemical_hydrophobocity,no_transform,test,95.88137817382812
10,physicochemical_hydrophobocity,no_transform,train,47.23622131347656
10,physicochemical_hydrophobocity,no_transform,test,81.67881774902344
11,physicochemical_hydrophobocity,no_transform,train,47.55900955200195
11,physicochemical_hydrophobocity,no_transform,test,74.8546371459961
12,physicochemical_hydrophobocity,no_transform,train,47.86680603027344
12,physicochemical_hydrophobocity,no_transform,test,72.15380096435547
13,physicochemical_hydrophobocity,no_transform,train,47.74176025390625
13,physicochemical_hydrophobocity,no_transform,test,71.88243865966797
14,physicochemical_hydrophobocity,no_transform,train,47.128353118896484
14,physicochemical_hydrophobocity,no_transform,test,73.24443817138672
15,physicochemical_hydrophobocity,no_transform,train,46.222023010253906
15,physicochemical_hydrophobocity,no_transform,test,75.78365325927734
16,physicochemical_hydrophobocity,no_transform,train,45.311954498291016
16,physicochemical_hydrophobocity,no_transform,test,79.00333404541016
17,physicochemical_hydrophobocity,no_transform,train,44.625179290771484
17,physicochemical_hydrophobocity,no_transform,test,82.18778991699219
18,physicochemical_hydrophobocity,no_transform,train,44.2346076965332
18,physicochemical_hydrophobocity,no_transform,test,84.5716552734375
19,physicochemical_hydrophobocity,no_transform,train,44.05614471435547
19,physicochemical_hydrophobocity,no_transform,test,85.55045318603516
20,physicochemical_hydrophobocity,no_transform,train,43.928409576416016
20,physicochemical_hydrophobocity,no_transform,test,84.93569946289062
21,physicochemical_hydrophobocity,no_transform,train,43.725624084472656
21,physicochemical_hydrophobocity,no_transform,test,82.97401428222656
22,physicochemical_hydrophobocity,no_transform,train,43.42451095581055
22,physicochemical_hydrophobocity,no_transform,test,80.19509887695312
23,physicochemical_hydrophobocity,no_transform,train,43.09129333496094
23,physicochemical_hydrophobocity,no_transform,test,77.15570831298828
24,physicochemical_hydrophobocity,no_transform,train,42.808589935302734
24,physicochemical_hydrophobocity,no_transform,test,74.27140808105469
25,physicochemical_hydrophobocity,no_transform,train,42.611419677734375
25,physicochemical_hydrophobocity,no_transform,test,71.77059173583984
26,physicochemical_hydrophobocity,no_transform,train,42.46910095214844
26,physicochemical_hydrophobocity,no_transform,test,69.73456573486328
27,physicochemical_hydrophobocity,no_transform,train,42.321205139160156
27,physicochemical_hydrophobocity,no_transform,test,68.18524169921875
28,physicochemical_hydrophobocity,no_transform,train,42.124576568603516
28,physicochemical_hydrophobocity,no_transform,test,67.13992309570312
29,physicochemical_hydrophobocity,no_transform,train,41.882301330566406
29,physicochemical_hydrophobocity,no_transform,test,66.59742736816406
30,physicochemical_hydrophobocity,no_transform,train,41.63414764404297
30,physicochemical_hydrophobocity,no_transform,test,66.5068359375
31,physicochemical_hydrophobocity,no_transform,train,41.424259185791016
31,physicochemical_hydrophobocity,no_transform,test,66.7454605102539
32,physicochemical_hydrophobocity,no_transform,train,41.26777648925781
