Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_volume,no_transform,train,141.07272338867188
1,physicochemical_volume,no_transform,test,1317.7203369140625
2,physicochemical_volume,no_transform,train,80.76016235351562
2,physicochemical_volume,no_transform,test,705.09912109375
3,physicochemical_volume,no_transform,train,61.86476135253906
3,physicochemical_volume,no_transform,test,575.7852172851562
4,physicochemical_volume,no_transform,train,56.756229400634766
4,physicochemical_volume,no_transform,test,479.75201416015625
5,physicochemical_volume,no_transform,train,58.361778259277344
5,physicochemical_volume,no_transform,test,367.754638671875
6,physicochemical_volume,no_transform,train,59.528419494628906
6,physicochemical_volume,no_transform,test,263.8540954589844
7,physicochemical_volume,no_transform,train,56.59324645996094
7,physicochemical_volume,no_transform,test,186.48338317871094
8,physicochemical_volume,no_transform,train,52.48442840576172
8,physicochemical_volume,no_transform,test,136.2050018310547
9,physicochemical_volume,no_transform,train,49.5896110534668
9,physicochemical_volume,no_transform,test,106.32366943359375
10,physicochemical_volume,no_transform,train,48.403621673583984
10,physicochemical_volume,no_transform,test,89.76043701171875
11,physicochemical_volume,no_transform,train,48.341976165771484
11,physicochemical_volume,no_transform,test,81.21503448486328
12,physicochemical_volume,no_transform,train,48.616336822509766
12,physicochemical_volume,no_transform,test,77.23439025878906
13,physicochemical_volume,no_transform,train,48.680606842041016
13,physicochemical_volume,no_transform,test,75.91541290283203
14,physicochemical_volume,no_transform,train,48.31252670288086
14,physicochemical_volume,no_transform,test,76.32218170166016
15,physicochemical_volume,no_transform,train,47.56770706176758
15,physicochemical_volume,no_transform,test,78.02513885498047
16,physicochemical_volume,no_transform,train,46.67243194580078
16,physicochemical_volume,no_transform,test,80.69517517089844
17,physicochemical_volume,no_transform,train,45.884010314941406
17,physicochemical_volume,no_transform,test,83.85475158691406
18,physicochemical_volume,no_transform,train,45.369651794433594
18,physicochemical_volume,no_transform,test,86.74819946289062
19,physicochemical_volume,no_transform,train,45.14260482788086
19,physicochemical_volume,no_transform,test,88.58653259277344
20,physicochemical_volume,no_transform,train,45.075462341308594
20,physicochemical_volume,no_transform,test,88.82327270507812
21,physicochemical_volume,no_transform,train,44.99110794067383
21,physicochemical_volume,no_transform,test,87.34949493408203
22,physicochemical_volume,no_transform,train,44.772640228271484
22,physicochemical_volume,no_transform,test,84.52849578857422
23,physicochemical_volume,no_transform,train,44.42186737060547
23,physicochemical_volume,no_transform,test,80.9964828491211
24,physicochemical_volume,no_transform,train,44.03207778930664
24,physicochemical_volume,no_transform,test,77.3980484008789
25,physicochemical_volume,no_transform,train,43.70774459838867
25,physicochemical_volume,no_transform,test,74.19540405273438
26,physicochemical_volume,no_transform,train,43.496612548828125
26,physicochemical_volume,no_transform,test,71.62000274658203
27,physicochemical_volume,no_transform,train,43.373783111572266
27,physicochemical_volume,no_transform,test,69.72857666015625
28,physicochemical_volume,no_transform,train,43.27517318725586
28,physicochemical_volume,no_transform,test,68.4949722290039
29,physicochemical_volume,no_transform,train,43.14305114746094
29,physicochemical_volume,no_transform,test,67.86979675292969
30,physicochemical_volume,no_transform,train,42.955257415771484
30,physicochemical_volume,no_transform,test,67.80472564697266
31,physicochemical_volume,no_transform,train,42.72880935668945
31,physicochemical_volume,no_transform,test,68.22929382324219
32,physicochemical_volume,no_transform,train,42.50095748901367
32,physicochemical_volume,no_transform,test,69.0252685546875
33,physicochemical_volume,no_transform,train,42.30461120605469
33,physicochemical_volume,no_transform,test,70.01687622070312
34,physicochemical_volume,no_transform,train,42.15013122558594
34,physicochemical_volume,no_transform,test,70.99626922607422
35,physicochemical_volume,no_transform,train,42.026126861572266
35,physicochemical_volume,no_transform,test,71.77301788330078
36,physicochemical_volume,no_transform,train,41.91196060180664
36,physicochemical_volume,no_transform,test,72.22191619873047
37,physicochemical_volume,no_transform,train,41.79303741455078
37,physicochemical_volume,no_transform,test,72.3099594116211
38,physicochemical_volume,no_transform,train,41.667213439941406
38,physicochemical_volume,no_transform,test,72.0785140991211
39,physicochemical_volume,no_transform,train,41.54103088378906
39,physicochemical_volume,no_transform,test,71.61333465576172
40,physicochemical_volume,no_transform,train,41.42058563232422
40,physicochemical_volume,no_transform,test,71.01557159423828
41,physicochemical_volume,no_transform,train,41.30559539794922
41,physicochemical_volume,no_transform,test,70.38494873046875
42,physicochemical_volume,no_transform,train,41.19173812866211
42,physicochemical_volume,no_transform,test,69.81150817871094
43,physicochemical_volume,no_transform,train,41.07633972167969
43,physicochemical_volume,no_transform,test,69.3702392578125
44,physicochemical_volume,no_transform,train,40.96202087402344
44,physicochemical_volume,no_transform,test,69.12239837646484
45,physicochemical_volume,no_transform,train,40.85371780395508
45,physicochemical_volume,no_transform,test,69.0924072265625
46,physicochemical_volume,no_transform,train,40.75410079956055
46,physicochemical_volume,no_transform,test,69.2634048461914
47,physicochemical_volume,no_transform,train,40.661293029785156
47,physicochemical_volume,no_transform,test,69.58087158203125
48,physicochemical_volume,no_transform,train,40.5709228515625
48,physicochemical_volume,no_transform,test,69.96067810058594
49,physicochemical_volume,no_transform,train,40.48068618774414
49,physicochemical_volume,no_transform,test,70.33381652832031
50,physicochemical_volume,no_transform,train,40.39017105102539
50,physicochemical_volume,no_transform,test,70.64096069335938
51,physicochemical_volume,no_transform,train,40.30052947998047
51,physicochemical_volume,no_transform,test,70.84516906738281
52,physicochemical_volume,no_transform,train,40.213321685791016
52,physicochemical_volume,no_transform,test,70.93134307861328
53,physicochemical_volume,no_transform,train,40.12874984741211
53,physicochemical_volume,no_transform,test,70.89968872070312
54,physicochemical_volume,no_transform,train,40.045902252197266
54,physicochemical_volume,no_transform,test,70.7578125
55,physicochemical_volume,no_transform,train,39.96376419067383
55,physicochemical_volume,no_transform,test,70.52629089355469
56,physicochemical_volume,no_transform,train,39.882354736328125
56,physicochemical_volume,no_transform,test,70.23002624511719
57,physicochemical_volume,no_transform,train,39.801856994628906
57,physicochemical_volume,no_transform,test,69.89373779296875
58,physicochemical_volume,no_transform,train,39.72222900390625
58,physicochemical_volume,no_transform,test,69.54547119140625
59,physicochemical_volume,no_transform,train,39.643348693847656
59,physicochemical_volume,no_transform,test,69.20625305175781
60,physicochemical_volume,no_transform,train,39.56489181518555
60,physicochemical_volume,no_transform,test,68.88495635986328
61,physicochemical_volume,no_transform,train,39.487117767333984
61,physicochemical_volume,no_transform,test,68.59322357177734
62,physicochemical_volume,no_transform,train,39.410675048828125
62,physicochemical_volume,no_transform,test,68.3313217163086
63,physicochemical_volume,no_transform,train,39.33567428588867
63,physicochemical_volume,no_transform,test,68.09906768798828
64,physicochemical_volume,no_transform,train,39.26126480102539
64,physicochemical_volume,no_transform,test,67.88428497314453
65,physicochemical_volume,no_transform,train,39.18622589111328
65,physicochemical_volume,no_transform,test,67.67997741699219
66,physicochemical_volume,no_transform,train,39.11016082763672
66,physicochemical_volume,no_transform,test,67.48027801513672
67,physicochemical_volume,no_transform,train,39.03348159790039
67,physicochemical_volume,no_transform,test,67.27896118164062
68,physicochemical_volume,no_transform,train,38.95692443847656
68,physicochemical_volume,no_transform,test,67.07087707519531
69,physicochemical_volume,no_transform,train,38.880897521972656
69,physicochemical_volume,no_transform,test,66.85693359375
70,physicochemical_volume,no_transform,train,38.80519485473633
70,physicochemical_volume,no_transform,test,66.64110565185547
71,physicochemical_volume,no_transform,train,38.7294807434082
71,physicochemical_volume,no_transform,test,66.42594146728516
72,physicochemical_volume,no_transform,train,38.653663635253906
72,physicochemical_volume,no_transform,test,66.2156982421875
73,physicochemical_volume,no_transform,train,38.57789993286133
73,physicochemical_volume,no_transform,test,66.00911712646484
74,physicochemical_volume,no_transform,train,38.502281188964844
74,physicochemical_volume,no_transform,test,65.80552673339844
75,physicochemical_volume,no_transform,train,38.427093505859375
75,physicochemical_volume,no_transform,test,65.59969329833984
76,physicochemical_volume,no_transform,train,38.352291107177734
76,physicochemical_volume,no_transform,test,65.38465118408203
77,physicochemical_volume,no_transform,train,38.27796936035156
77,physicochemical_volume,no_transform,test,65.15979766845703
