Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_volume,no_transform,train,148.97601318359375
1,physicochemical_volume,no_transform,test,774.3875732421875
2,physicochemical_volume,no_transform,train,85.74938201904297
2,physicochemical_volume,no_transform,test,660.9544067382812
3,physicochemical_volume,no_transform,train,58.790470123291016
3,physicochemical_volume,no_transform,test,636.7205810546875
4,physicochemical_volume,no_transform,train,55.29185485839844
4,physicochemical_volume,no_transform,test,518.2395629882812
5,physicochemical_volume,no_transform,train,58.85491943359375
5,physicochemical_volume,no_transform,test,381.52587890625
6,physicochemical_volume,no_transform,train,60.15986251831055
6,physicochemical_volume,no_transform,test,274.61224365234375
7,physicochemical_volume,no_transform,train,58.03596878051758
7,physicochemical_volume,no_transform,test,200.1127166748047
8,physicochemical_volume,no_transform,train,54.40433883666992
8,physicochemical_volume,no_transform,test,150.43666076660156
9,physicochemical_volume,no_transform,train,51.18914031982422
9,physicochemical_volume,no_transform,test,118.77112579345703
10,physicochemical_volume,no_transform,train,49.2900276184082
10,physicochemical_volume,no_transform,test,99.6503677368164
11,physicochemical_volume,no_transform,train,48.65098190307617
11,physicochemical_volume,no_transform,test,88.88239288330078
12,physicochemical_volume,no_transform,train,48.73537826538086
12,physicochemical_volume,no_transform,test,83.28585815429688
13,physicochemical_volume,no_transform,train,48.94172286987305
13,physicochemical_volume,no_transform,test,80.7656021118164
14,physicochemical_volume,no_transform,train,48.88199234008789
14,physicochemical_volume,no_transform,test,80.1021957397461
15,physicochemical_volume,no_transform,train,48.443603515625
15,physicochemical_volume,no_transform,test,80.6594009399414
16,physicochemical_volume,no_transform,train,47.727359771728516
16,physicochemical_volume,no_transform,test,82.08120727539062
17,physicochemical_volume,no_transform,train,46.94169616699219
17,physicochemical_volume,no_transform,test,84.04376220703125
18,physicochemical_volume,no_transform,train,46.290401458740234
18,physicochemical_volume,no_transform,test,86.12370300292969
19,physicochemical_volume,no_transform,train,45.884403228759766
19,physicochemical_volume,no_transform,test,87.80791473388672
20,physicochemical_volume,no_transform,train,45.703060150146484
20,physicochemical_volume,no_transform,test,88.575439453125
21,physicochemical_volume,no_transform,train,45.62568664550781
21,physicochemical_volume,no_transform,test,88.13459014892578
22,physicochemical_volume,no_transform,train,45.51536178588867
22,physicochemical_volume,no_transform,test,86.51993560791016
23,physicochemical_volume,no_transform,train,45.30140686035156
23,physicochemical_volume,no_transform,test,84.03934478759766
24,physicochemical_volume,no_transform,train,45.00388717651367
24,physicochemical_volume,no_transform,test,81.143310546875
25,physicochemical_volume,no_transform,train,44.69939422607422
25,physicochemical_volume,no_transform,test,78.25574493408203
26,physicochemical_volume,no_transform,train,44.453887939453125
26,physicochemical_volume,no_transform,test,75.68632507324219
27,physicochemical_volume,no_transform,train,44.285560607910156
27,physicochemical_volume,no_transform,test,73.59728240966797
28,physicochemical_volume,no_transform,train,44.16514587402344
28,physicochemical_volume,no_transform,test,72.03742980957031
29,physicochemical_volume,no_transform,train,44.04369354248047
29,physicochemical_volume,no_transform,test,71.00606536865234
30,physicochemical_volume,no_transform,train,43.885498046875
30,physicochemical_volume,no_transform,test,70.47886657714844
31,physicochemical_volume,no_transform,train,43.68793487548828
31,physicochemical_volume,no_transform,test,70.42796325683594
32,physicochemical_volume,no_transform,train,43.47665023803711
32,physicochemical_volume,no_transform,test,70.80485534667969
33,physicochemical_volume,no_transform,train,43.28676223754883
33,physicochemical_volume,no_transform,test,71.51121520996094
34,physicochemical_volume,no_transform,train,43.1400146484375
34,physicochemical_volume,no_transform,test,72.40326690673828
35,physicochemical_volume,no_transform,train,43.032772064208984
35,physicochemical_volume,no_transform,test,73.30245208740234
36,physicochemical_volume,no_transform,train,42.941917419433594
36,physicochemical_volume,no_transform,test,74.03926849365234
37,physicochemical_volume,no_transform,train,42.841556549072266
37,physicochemical_volume,no_transform,test,74.494873046875
38,physicochemical_volume,no_transform,train,42.720211029052734
38,physicochemical_volume,no_transform,test,74.6185531616211
39,physicochemical_volume,no_transform,train,42.58561325073242
39,physicochemical_volume,no_transform,test,74.42987823486328
40,physicochemical_volume,no_transform,train,42.45452880859375
40,physicochemical_volume,no_transform,test,73.99156951904297
41,physicochemical_volume,no_transform,train,42.33871078491211
41,physicochemical_volume,no_transform,test,73.39967346191406
42,physicochemical_volume,no_transform,train,42.2376594543457
42,physicochemical_volume,no_transform,test,72.76165771484375
43,physicochemical_volume,no_transform,train,42.14191436767578
43,physicochemical_volume,no_transform,test,72.18196868896484
44,physicochemical_volume,no_transform,train,42.0421028137207
44,physicochemical_volume,no_transform,test,71.75038146972656
45,physicochemical_volume,no_transform,train,41.93624496459961
45,physicochemical_volume,no_transform,test,71.52745056152344
46,physicochemical_volume,no_transform,train,41.8298454284668
46,physicochemical_volume,no_transform,test,71.53587341308594
47,physicochemical_volume,no_transform,train,41.730796813964844
47,physicochemical_volume,no_transform,test,71.74908447265625
48,physicochemical_volume,no_transform,train,41.6422119140625
48,physicochemical_volume,no_transform,test,72.10416412353516
49,physicochemical_volume,no_transform,train,41.561100006103516
49,physicochemical_volume,no_transform,test,72.51802825927734
50,physicochemical_volume,no_transform,train,41.480587005615234
50,physicochemical_volume,no_transform,test,72.89837646484375
51,physicochemical_volume,no_transform,train,41.39518356323242
51,physicochemical_volume,no_transform,test,73.1666030883789
52,physicochemical_volume,no_transform,train,41.30465316772461
52,physicochemical_volume,no_transform,test,73.27653503417969
53,physicochemical_volume,no_transform,train,41.21348571777344
53,physicochemical_volume,no_transform,test,73.21224212646484
54,physicochemical_volume,no_transform,train,41.12725067138672
54,physicochemical_volume,no_transform,test,72.98744201660156
55,physicochemical_volume,no_transform,train,41.04811477661133
55,physicochemical_volume,no_transform,test,72.63884735107422
56,physicochemical_volume,no_transform,train,40.973934173583984
56,physicochemical_volume,no_transform,test,72.21734619140625
57,physicochemical_volume,no_transform,train,40.89999771118164
57,physicochemical_volume,no_transform,test,71.77681732177734
58,physicochemical_volume,no_transform,train,40.82272720336914
58,physicochemical_volume,no_transform,test,71.36345672607422
59,physicochemical_volume,no_transform,train,40.74198913574219
59,physicochemical_volume,no_transform,test,71.0098648071289
60,physicochemical_volume,no_transform,train,40.660831451416016
60,physicochemical_volume,no_transform,test,70.72740173339844
61,physicochemical_volume,no_transform,train,40.58282470703125
61,physicochemical_volume,no_transform,test,70.50826263427734
62,physicochemical_volume,no_transform,train,40.50933074951172
62,physicochemical_volume,no_transform,test,70.32910919189453
63,physicochemical_volume,no_transform,train,40.43844985961914
63,physicochemical_volume,no_transform,test,70.1584243774414
64,physicochemical_volume,no_transform,train,40.36681365966797
64,physicochemical_volume,no_transform,test,69.97122192382812
65,physicochemical_volume,no_transform,train,40.29239273071289
65,physicochemical_volume,no_transform,test,69.75994110107422
66,physicochemical_volume,no_transform,train,40.21561050415039
66,physicochemical_volume,no_transform,test,69.52593231201172
67,physicochemical_volume,no_transform,train,40.13861846923828
67,physicochemical_volume,no_transform,test,69.28697204589844
68,physicochemical_volume,no_transform,train,40.062957763671875
68,physicochemical_volume,no_transform,test,69.06473541259766
69,physicochemical_volume,no_transform,train,39.988677978515625
69,physicochemical_volume,no_transform,test,68.86885833740234
70,physicochemical_volume,no_transform,train,39.91458511352539
70,physicochemical_volume,no_transform,test,68.69932556152344
71,physicochemical_volume,no_transform,train,39.83991622924805
71,physicochemical_volume,no_transform,test,68.5452651977539
72,physicochemical_volume,no_transform,train,39.76462936401367
72,physicochemical_volume,no_transform,test,68.3902587890625
73,physicochemical_volume,no_transform,train,39.68954849243164
73,physicochemical_volume,no_transform,test,68.21495056152344
74,physicochemical_volume,no_transform,train,39.61521911621094
74,physicochemical_volume,no_transform,test,68.00477600097656
75,physicochemical_volume,no_transform,train,39.541446685791016
75,physicochemical_volume,no_transform,test,67.75505828857422
76,physicochemical_volume,no_transform,train,39.46778106689453
76,physicochemical_volume,no_transform,test,67.47415924072266
77,physicochemical_volume,no_transform,train,39.39390563964844
77,physicochemical_volume,no_transform,test,67.1834487915039
78,physicochemical_volume,no_transform,train,39.319862365722656
78,physicochemical_volume,no_transform,test,66.91036224365234
79,physicochemical_volume,no_transform,train,39.246063232421875
79,physicochemical_volume,no_transform,test,66.67976379394531
80,physicochemical_volume,no_transform,train,39.172698974609375
80,physicochemical_volume,no_transform,test,66.507568359375
81,physicochemical_volume,no_transform,train,39.09938049316406
81,physicochemical_volume,no_transform,test,66.3995361328125
82,physicochemical_volume,no_transform,train,39.02587890625
82,physicochemical_volume,no_transform,test,66.3437728881836
83,physicochemical_volume,no_transform,train,38.95222854614258
83,physicochemical_volume,no_transform,test,66.31963348388672
84,physicochemical_volume,no_transform,train,38.87862014770508
84,physicochemical_volume,no_transform,test,66.29840850830078
85,physicochemical_volume,no_transform,train,38.80514144897461
85,physicochemical_volume,no_transform,test,66.24983215332031
86,physicochemical_volume,no_transform,train,38.73169708251953
86,physicochemical_volume,no_transform,test,66.1506118774414
87,physicochemical_volume,no_transform,train,38.65801239013672
87,physicochemical_volume,no_transform,test,65.99332427978516
88,physicochemical_volume,no_transform,train,38.584041595458984
88,physicochemical_volume,no_transform,test,65.79154205322266
89,physicochemical_volume,no_transform,train,38.50986099243164
89,physicochemical_volume,no_transform,test,65.57332611083984
90,physicochemical_volume,no_transform,train,38.435726165771484
90,physicochemical_volume,no_transform,test,65.37344360351562
91,physicochemical_volume,no_transform,train,38.36162567138672
91,physicochemical_volume,no_transform,test,65.21733093261719
92,physicochemical_volume,no_transform,train,38.28737258911133
92,physicochemical_volume,no_transform,test,65.12110900878906
93,physicochemical_volume,no_transform,train,38.21290588378906
93,physicochemical_volume,no_transform,test,65.07984161376953
94,physicochemical_volume,no_transform,train,38.13819885253906
94,physicochemical_volume,no_transform,test,65.07269287109375
95,physicochemical_volume,no_transform,train,38.063533782958984
95,physicochemical_volume,no_transform,test,65.06455993652344
96,physicochemical_volume,no_transform,train,37.98893737792969
96,physicochemical_volume,no_transform,test,65.02667236328125
97,physicochemical_volume,no_transform,train,37.914268493652344
97,physicochemical_volume,no_transform,test,64.94136047363281
98,physicochemical_volume,no_transform,train,37.83939743041992
98,physicochemical_volume,no_transform,test,64.80924987792969
99,physicochemical_volume,no_transform,train,37.764305114746094
99,physicochemical_volume,no_transform,test,64.6478271484375
100,physicochemical_volume,no_transform,train,37.689117431640625
100,physicochemical_volume,no_transform,test,64.48081970214844
