Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_alpha_structure,no_transform,train,0.929947018623352
1,fft_alpha_structure,no_transform,test,34695.33984375
2,fft_alpha_structure,no_transform,train,35.845340728759766
2,fft_alpha_structure,no_transform,test,195.26278686523438
3,fft_alpha_structure,no_transform,train,4.938460350036621
3,fft_alpha_structure,no_transform,test,3.38472056388855
4,fft_alpha_structure,no_transform,train,1.8897100687026978
4,fft_alpha_structure,no_transform,test,3.651554584503174
5,fft_alpha_structure,no_transform,train,1.1059387922286987
5,fft_alpha_structure,no_transform,test,4.547508716583252
6,fft_alpha_structure,no_transform,train,0.8564265370368958
6,fft_alpha_structure,no_transform,test,4.4536919593811035
7,fft_alpha_structure,no_transform,train,0.896396815776825
7,fft_alpha_structure,no_transform,test,4.428951263427734
8,fft_alpha_structure,no_transform,train,1.035510778427124
8,fft_alpha_structure,no_transform,test,4.4629058837890625
9,fft_alpha_structure,no_transform,train,1.125633955001831
9,fft_alpha_structure,no_transform,test,4.339486598968506
10,fft_alpha_structure,no_transform,train,1.0975435972213745
10,fft_alpha_structure,no_transform,test,3.936964273452759
11,fft_alpha_structure,no_transform,train,0.9582534432411194
11,fft_alpha_structure,no_transform,test,3.2724034786224365
12,fft_alpha_structure,no_transform,train,0.7519775032997131
12,fft_alpha_structure,no_transform,test,2.502898693084717
13,fft_alpha_structure,no_transform,train,0.5292584300041199
13,fft_alpha_structure,no_transform,test,1.7793388366699219
14,fft_alpha_structure,no_transform,train,0.33221280574798584
14,fft_alpha_structure,no_transform,test,1.172758936882019
15,fft_alpha_structure,no_transform,train,0.18730226159095764
15,fft_alpha_structure,no_transform,test,0.7089048624038696
16,fft_alpha_structure,no_transform,train,0.10667075216770172
16,fft_alpha_structure,no_transform,test,0.38861846923828125
17,fft_alpha_structure,no_transform,train,0.08204136788845062
17,fft_alpha_structure,no_transform,test,0.19022323191165924
18,fft_alpha_structure,no_transform,train,0.09659186005592346
18,fft_alpha_structure,no_transform,test,0.08272091299295425
19,fft_alpha_structure,no_transform,train,0.12769439816474915
19,fft_alpha_structure,no_transform,test,0.037132378667593
20,fft_alpha_structure,no_transform,train,0.15925821661949158
20,fft_alpha_structure,no_transform,test,0.026366937905550003
21,fft_alpha_structure,no_transform,train,0.18106374144554138
21,fft_alpha_structure,no_transform,test,0.03104405291378498
22,fft_alpha_structure,no_transform,train,0.1879592090845108
22,fft_alpha_structure,no_transform,test,0.038617148995399475
23,fft_alpha_structure,no_transform,train,0.1793484091758728
23,fft_alpha_structure,no_transform,test,0.04355379194021225
24,fft_alpha_structure,no_transform,train,0.1583775132894516
24,fft_alpha_structure,no_transform,test,0.04388943314552307
25,fft_alpha_structure,no_transform,train,0.1301967054605484
25,fft_alpha_structure,no_transform,test,0.040407512336969376
26,fft_alpha_structure,no_transform,train,0.10016445815563202
26,fft_alpha_structure,no_transform,test,0.035544298589229584
27,fft_alpha_structure,no_transform,train,0.07296010851860046
27,fft_alpha_structure,no_transform,test,0.0317184254527092
28,fft_alpha_structure,no_transform,train,0.05198159068822861
28,fft_alpha_structure,no_transform,test,0.03023153729736805
29,fft_alpha_structure,no_transform,train,0.038623563945293427
29,fft_alpha_structure,no_transform,test,0.03175058215856552
30,fft_alpha_structure,no_transform,train,0.032422229647636414
30,fft_alpha_structure,no_transform,test,0.03568864241242409
31,fft_alpha_structure,no_transform,train,0.03173108026385307
31,fft_alpha_structure,no_transform,test,0.040905073285102844
32,fft_alpha_structure,no_transform,train,0.03429829701781273
32,fft_alpha_structure,no_transform,test,0.04603102430701256
33,fft_alpha_structure,no_transform,train,0.037914860993623734
33,fft_alpha_structure,no_transform,test,0.04970734938979149
34,fft_alpha_structure,no_transform,train,0.040882427245378494
34,fft_alpha_structure,no_transform,test,0.05133219063282013
35,fft_alpha_structure,no_transform,train,0.04222662001848221
35,fft_alpha_structure,no_transform,test,0.05086100101470947
36,fft_alpha_structure,no_transform,train,0.04164518415927887
36,fft_alpha_structure,no_transform,test,0.048263899981975555
37,fft_alpha_structure,no_transform,train,0.039336588233709335
37,fft_alpha_structure,no_transform,test,0.04414810985326767
38,fft_alpha_structure,no_transform,train,0.03584001585841179
38,fft_alpha_structure,no_transform,test,0.0393693633377552
39,fft_alpha_structure,no_transform,train,0.031747687608003616
39,fft_alpha_structure,no_transform,test,0.03460347279906273
40,fft_alpha_structure,no_transform,train,0.027564678341150284
40,fft_alpha_structure,no_transform,test,0.03035058081150055
41,fft_alpha_structure,no_transform,train,0.023633737117052078
41,fft_alpha_structure,no_transform,test,0.02683461643755436
42,fft_alpha_structure,no_transform,train,0.020126281306147575
42,fft_alpha_structure,no_transform,test,0.023902611806988716
43,fft_alpha_structure,no_transform,train,0.01708417758345604
43,fft_alpha_structure,no_transform,test,0.021319543942809105
44,fft_alpha_structure,no_transform,train,0.014485704712569714
44,fft_alpha_structure,no_transform,test,0.018871856853365898
45,fft_alpha_structure,no_transform,train,0.012302177958190441
45,fft_alpha_structure,no_transform,test,0.016457760706543922
46,fft_alpha_structure,no_transform,train,0.01053213607519865
46,fft_alpha_structure,no_transform,test,0.014034578576683998
47,fft_alpha_structure,no_transform,train,0.009199225343763828
47,fft_alpha_structure,no_transform,test,0.01167361345142126
48,fft_alpha_structure,no_transform,train,0.008331472985446453
48,fft_alpha_structure,no_transform,test,0.009539117105305195
49,fft_alpha_structure,no_transform,train,0.007926196791231632
49,fft_alpha_structure,no_transform,test,0.00779943261295557
50,fft_alpha_structure,no_transform,train,0.00791492871940136
50,fft_alpha_structure,no_transform,test,0.006544721778482199
51,fft_alpha_structure,no_transform,train,0.00816124677658081
51,fft_alpha_structure,no_transform,test,0.005763092543929815
52,fft_alpha_structure,no_transform,train,0.008478371426463127
52,fft_alpha_structure,no_transform,test,0.005351662635803223
53,fft_alpha_structure,no_transform,train,0.008667193353176117
53,fft_alpha_structure,no_transform,test,0.005151417106389999
54,fft_alpha_structure,no_transform,train,0.008565624244511127
