Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_betha_structure,no_transform,train,0.5833015441894531
1,fft_betha_structure,no_transform,test,12556.9599609375
2,fft_betha_structure,no_transform,train,9.239996910095215
2,fft_betha_structure,no_transform,test,65.2077865600586
3,fft_betha_structure,no_transform,train,1.6986252069473267
3,fft_betha_structure,no_transform,test,4.764955520629883
4,fft_betha_structure,no_transform,train,0.9331234097480774
4,fft_betha_structure,no_transform,test,0.5925399661064148
5,fft_betha_structure,no_transform,train,0.5677149295806885
5,fft_betha_structure,no_transform,test,1.4064879417419434
6,fft_betha_structure,no_transform,train,0.4141008257865906
6,fft_betha_structure,no_transform,test,2.458524227142334
7,fft_betha_structure,no_transform,train,0.4037441909313202
7,fft_betha_structure,no_transform,test,3.182854652404785
8,fft_betha_structure,no_transform,train,0.45828866958618164
8,fft_betha_structure,no_transform,test,3.521721363067627
9,fft_betha_structure,no_transform,train,0.5144610404968262
9,fft_betha_structure,no_transform,test,3.5081942081451416
10,fft_betha_structure,no_transform,train,0.5348483920097351
10,fft_betha_structure,no_transform,test,3.2356419563293457
11,fft_betha_structure,no_transform,train,0.5103818774223328
11,fft_betha_structure,no_transform,test,2.831524133682251
12,fft_betha_structure,no_transform,train,0.45188674330711365
12,fft_betha_structure,no_transform,test,2.3826684951782227
13,fft_betha_structure,no_transform,train,0.37754371762275696
13,fft_betha_structure,no_transform,test,1.9467744827270508
14,fft_betha_structure,no_transform,train,0.3031826615333557
14,fft_betha_structure,no_transform,test,1.5581470727920532
15,fft_betha_structure,no_transform,train,0.24093787372112274
15,fft_betha_structure,no_transform,test,1.2297321557998657
16,fft_betha_structure,no_transform,train,0.19766955077648163
16,fft_betha_structure,no_transform,test,0.9641676545143127
17,fft_betha_structure,no_transform,train,0.17470334470272064
17,fft_betha_structure,no_transform,test,0.7546970844268799
18,fft_betha_structure,no_transform,train,0.16877809166908264
18,fft_betha_structure,no_transform,test,0.5935980081558228
19,fft_betha_structure,no_transform,train,0.17361073195934296
19,fft_betha_structure,no_transform,test,0.47211575508117676
20,fft_betha_structure,no_transform,train,0.1822526901960373
20,fft_betha_structure,no_transform,test,0.3811168670654297
21,fft_betha_structure,no_transform,train,0.1888633519411087
21,fft_betha_structure,no_transform,test,0.3143688142299652
22,fft_betha_structure,no_transform,train,0.19016660749912262
22,fft_betha_structure,no_transform,test,0.2659566104412079
23,fft_betha_structure,no_transform,train,0.18570935726165771
23,fft_betha_structure,no_transform,test,0.2310335785150528
24,fft_betha_structure,no_transform,train,0.17666752636432648
24,fft_betha_structure,no_transform,test,0.2055572122335434
25,fft_betha_structure,no_transform,train,0.16495639085769653
25,fft_betha_structure,no_transform,test,0.18727467954158783
26,fft_betha_structure,no_transform,train,0.15249355137348175
26,fft_betha_structure,no_transform,test,0.17389826476573944
27,fft_betha_structure,no_transform,train,0.14074181020259857
27,fft_betha_structure,no_transform,test,0.16434970498085022
28,fft_betha_structure,no_transform,train,0.13059625029563904
28,fft_betha_structure,no_transform,test,0.15717795491218567
29,fft_betha_structure,no_transform,train,0.1224399209022522
29,fft_betha_structure,no_transform,test,0.15155762434005737
30,fft_betha_structure,no_transform,train,0.1161188930273056
30,fft_betha_structure,no_transform,test,0.14648914337158203
31,fft_betha_structure,no_transform,train,0.11118500679731369
31,fft_betha_structure,no_transform,test,0.14158672094345093
32,fft_betha_structure,no_transform,train,0.10707370936870575
32,fft_betha_structure,no_transform,test,0.13649949431419373
33,fft_betha_structure,no_transform,train,0.10324889421463013
33,fft_betha_structure,no_transform,test,0.13107672333717346
34,fft_betha_structure,no_transform,train,0.099329374730587
34,fft_betha_structure,no_transform,test,0.12552505731582642
35,fft_betha_structure,no_transform,train,0.09523530304431915
35,fft_betha_structure,no_transform,test,0.12013699859380722
36,fft_betha_structure,no_transform,train,0.09108303487300873
36,fft_betha_structure,no_transform,test,0.11495836824178696
37,fft_betha_structure,no_transform,train,0.08715785294771194
37,fft_betha_structure,no_transform,test,0.11011438071727753
38,fft_betha_structure,no_transform,train,0.08373524993658066
38,fft_betha_structure,no_transform,test,0.10572811961174011
39,fft_betha_structure,no_transform,train,0.08085449039936066
39,fft_betha_structure,no_transform,test,0.10183153301477432
40,fft_betha_structure,no_transform,train,0.07839632034301758
40,fft_betha_structure,no_transform,test,0.09842914342880249
41,fft_betha_structure,no_transform,train,0.07607138156890869
41,fft_betha_structure,no_transform,test,0.09542752802371979
42,fft_betha_structure,no_transform,train,0.07358794659376144
42,fft_betha_structure,no_transform,test,0.09247758984565735
43,fft_betha_structure,no_transform,train,0.07081381231546402
43,fft_betha_structure,no_transform,test,0.08949026465415955
44,fft_betha_structure,no_transform,train,0.06778711080551147
