Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_betha_structure,no_transform,train,3.9115984439849854
1,fft_betha_structure,no_transform,test,29234.009765625
2,fft_betha_structure,no_transform,train,12.75584888458252
2,fft_betha_structure,no_transform,test,75.56248474121094
3,fft_betha_structure,no_transform,train,1.5228530168533325
3,fft_betha_structure,no_transform,test,1.2305065393447876
4,fft_betha_structure,no_transform,train,0.9758104681968689
4,fft_betha_structure,no_transform,test,4.637356281280518
5,fft_betha_structure,no_transform,train,0.8950105309486389
5,fft_betha_structure,no_transform,test,9.48588752746582
6,fft_betha_structure,no_transform,train,0.7531446814537048
6,fft_betha_structure,no_transform,test,11.251652717590332
7,fft_betha_structure,no_transform,train,0.6293236613273621
7,fft_betha_structure,no_transform,test,11.050580978393555
8,fft_betha_structure,no_transform,train,0.559371292591095
8,fft_betha_structure,no_transform,test,9.951021194458008
9,fft_betha_structure,no_transform,train,0.5284067392349243
9,fft_betha_structure,no_transform,test,8.571353912353516
10,fft_betha_structure,no_transform,train,0.5103172063827515
10,fft_betha_structure,no_transform,test,7.234442710876465
11,fft_betha_structure,no_transform,train,0.4840269386768341
11,fft_betha_structure,no_transform,test,6.051697254180908
12,fft_betha_structure,no_transform,train,0.4413195550441742
12,fft_betha_structure,no_transform,test,5.042051792144775
13,fft_betha_structure,no_transform,train,0.3850766122341156
13,fft_betha_structure,no_transform,test,4.198639869689941
14,fft_betha_structure,no_transform,train,0.324268639087677
14,fft_betha_structure,no_transform,test,3.49518084526062
15,fft_betha_structure,no_transform,train,0.26939234137535095
15,fft_betha_structure,no_transform,test,2.906773805618286
16,fft_betha_structure,no_transform,train,0.2289363443851471
16,fft_betha_structure,no_transform,test,2.4096505641937256
17,fft_betha_structure,no_transform,train,0.2070351392030716
17,fft_betha_structure,no_transform,test,1.9944915771484375
18,fft_betha_structure,no_transform,train,0.2029784619808197
18,fft_betha_structure,no_transform,test,1.6465826034545898
19,fft_betha_structure,no_transform,train,0.21189434826374054
19,fft_betha_structure,no_transform,test,1.3457061052322388
20,fft_betha_structure,no_transform,train,0.2265186607837677
20,fft_betha_structure,no_transform,test,1.088762879371643
21,fft_betha_structure,no_transform,train,0.23947666585445404
21,fft_betha_structure,no_transform,test,0.8777779340744019
22,fft_betha_structure,no_transform,train,0.2451707273721695
22,fft_betha_structure,no_transform,test,0.7081704139709473
23,fft_betha_structure,no_transform,train,0.24100181460380554
23,fft_betha_structure,no_transform,test,0.5751945376396179
24,fft_betha_structure,no_transform,train,0.22750015556812286
24,fft_betha_structure,no_transform,test,0.47129499912261963
25,fft_betha_structure,no_transform,train,0.20754458010196686
25,fft_betha_structure,no_transform,test,0.3899984657764435
26,fft_betha_structure,no_transform,train,0.185088112950325
26,fft_betha_structure,no_transform,test,0.3272797167301178
27,fft_betha_structure,no_transform,train,0.16399425268173218
27,fft_betha_structure,no_transform,test,0.27850374579429626
28,fft_betha_structure,no_transform,train,0.14694583415985107
28,fft_betha_structure,no_transform,test,0.2408129870891571
29,fft_betha_structure,no_transform,train,0.1350686252117157
29,fft_betha_structure,no_transform,test,0.21200214326381683
30,fft_betha_structure,no_transform,train,0.12798963487148285
30,fft_betha_structure,no_transform,test,0.19052435457706451
