Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_energetic,no_transform,train,0.09252123534679413
1,fft_energetic,no_transform,test,743.6991577148438
2,fft_energetic,no_transform,train,10.79343032836914
2,fft_energetic,no_transform,test,41.2289924621582
3,fft_energetic,no_transform,train,0.8576956987380981
3,fft_energetic,no_transform,test,1.8407008647918701
4,fft_energetic,no_transform,train,0.185985267162323
4,fft_energetic,no_transform,test,0.5573562383651733
5,fft_energetic,no_transform,train,0.21532921493053436
5,fft_energetic,no_transform,test,0.7116725444793701
6,fft_energetic,no_transform,train,0.21100035309791565
6,fft_energetic,no_transform,test,0.6627642512321472
7,fft_energetic,no_transform,train,0.16779980063438416
7,fft_energetic,no_transform,test,0.4831547141075134
8,fft_energetic,no_transform,train,0.12293621897697449
8,fft_energetic,no_transform,test,0.3008943200111389
9,fft_energetic,no_transform,train,0.09006693959236145
9,fft_energetic,no_transform,test,0.1643199622631073
10,fft_energetic,no_transform,train,0.07016709446907043
10,fft_energetic,no_transform,test,0.08049389719963074
11,fft_energetic,no_transform,train,0.05895024910569191
11,fft_energetic,no_transform,test,0.038975853472948074
12,fft_energetic,no_transform,train,0.05141396075487137
12,fft_energetic,no_transform,test,0.0258636474609375
13,fft_energetic,no_transform,train,0.044290732592344284
13,fft_energetic,no_transform,test,0.029868684709072113
14,fft_energetic,no_transform,train,0.03666524961590767
14,fft_energetic,no_transform,test,0.04267469793558121
15,fft_energetic,no_transform,train,0.029108744114637375
15,fft_energetic,no_transform,test,0.0589355044066906
16,fft_energetic,no_transform,train,0.022727059200406075
16,fft_energetic,no_transform,test,0.07482139021158218
17,fft_energetic,no_transform,train,0.01860814541578293
17,fft_energetic,no_transform,test,0.08801475167274475
18,fft_energetic,no_transform,train,0.01734219118952751
18,fft_energetic,no_transform,test,0.09752070158720016
19,fft_energetic,no_transform,train,0.01857106015086174
19,fft_energetic,no_transform,test,0.10224404186010361
20,fft_energetic,no_transform,train,0.021217338740825653
20,fft_energetic,no_transform,test,0.10253822803497314
21,fft_energetic,no_transform,train,0.024124043062329292
21,fft_energetic,no_transform,test,0.09908025711774826
22,fft_energetic,no_transform,train,0.026243112981319427
22,fft_energetic,no_transform,test,0.09269022196531296
23,fft_energetic,no_transform,train,0.026874054223299026
23,fft_energetic,no_transform,test,0.08398333191871643
24,fft_energetic,no_transform,train,0.025783725082874298
24,fft_energetic,no_transform,test,0.07383225858211517
25,fft_energetic,no_transform,train,0.023165974766016006
25,fft_energetic,no_transform,test,0.06294672191143036
26,fft_energetic,no_transform,train,0.01948418654501438
26,fft_energetic,no_transform,test,0.05209007114171982
27,fft_energetic,no_transform,train,0.015340001322329044
27,fft_energetic,no_transform,test,0.041852936148643494
28,fft_energetic,no_transform,train,0.011310189962387085
28,fft_energetic,no_transform,test,0.032612722367048264
29,fft_energetic,no_transform,train,0.007852411828935146
29,fft_energetic,no_transform,test,0.02473045513033867
30,fft_energetic,no_transform,train,0.00525700394064188
30,fft_energetic,no_transform,test,0.01838831789791584
31,fft_energetic,no_transform,train,0.0036210655234754086
31,fft_energetic,no_transform,test,0.013561254367232323
32,fft_energetic,no_transform,train,0.0028642129618674517
32,fft_energetic,no_transform,test,0.010103732347488403
33,fft_energetic,no_transform,train,0.0027832796331495047
33,fft_energetic,no_transform,test,0.007727885153144598
34,fft_energetic,no_transform,train,0.003113476326689124
34,fft_energetic,no_transform,test,0.006158467382192612
35,fft_energetic,no_transform,train,0.0035872419830411673
35,fft_energetic,no_transform,test,0.005130211357027292
36,fft_energetic,no_transform,train,0.003985240124166012
36,fft_energetic,no_transform,test,0.004412657581269741
37,fft_energetic,no_transform,train,0.004172784276306629
37,fft_energetic,no_transform,test,0.0038248139899224043
38,fft_energetic,no_transform,train,0.004096325021237135
38,fft_energetic,no_transform,test,0.003275985363870859
39,fft_energetic,no_transform,train,0.0037803298328071833
39,fft_energetic,no_transform,test,0.0027326259296387434
40,fft_energetic,no_transform,train,0.003302952740341425
40,fft_energetic,no_transform,test,0.0022134215105324984
41,fft_energetic,no_transform,train,0.00276589160785079
41,fft_energetic,no_transform,test,0.0017605220200493932
42,fft_energetic,no_transform,train,0.002265603980049491
42,fft_energetic,no_transform,test,0.0014116173842921853
43,fft_energetic,no_transform,train,0.0018711390439420938
43,fft_energetic,no_transform,test,0.0011875584023073316
44,fft_energetic,no_transform,train,0.0016126575646921992
44,fft_energetic,no_transform,test,0.0010844292119145393
45,fft_energetic,no_transform,train,0.0014814551686868072
45,fft_energetic,no_transform,test,0.0010748222703114152
46,fft_energetic,no_transform,train,0.0014410866424441338
46,fft_energetic,no_transform,test,0.001113099860958755
47,fft_energetic,no_transform,train,0.0014399667270481586
47,fft_energetic,no_transform,test,0.0011605924228206277
48,fft_energetic,no_transform,train,0.0014273917768150568
48,fft_energetic,no_transform,test,0.0011792173609137535
49,fft_energetic,no_transform,train,0.00136624148581177
49,fft_energetic,no_transform,test,0.001144199282862246
50,fft_energetic,no_transform,train,0.0012416685931384563
50,fft_energetic,no_transform,test,0.0010522278025746346
51,fft_energetic,no_transform,train,0.0010607045842334628
51,fft_energetic,no_transform,test,0.0009170703706331551
52,fft_energetic,no_transform,train,0.000848257914185524
52,fft_energetic,no_transform,test,0.0007595905917696655
53,fft_energetic,no_transform,train,0.0006380865816026926
53,fft_energetic,no_transform,test,0.000608555565122515
54,fft_energetic,no_transform,train,0.00046167109394446015
54,fft_energetic,no_transform,test,0.0004875898885075003
