Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydropathy,no_transform,train,0.6633674502372742
1,fft_hydropathy,no_transform,test,16001.0380859375
2,fft_hydropathy,no_transform,train,14.43427562713623
2,fft_hydropathy,no_transform,test,16.58110237121582
3,fft_hydropathy,no_transform,train,1.831275224685669
3,fft_hydropathy,no_transform,test,4.334609508514404
4,fft_hydropathy,no_transform,train,1.1613332033157349
4,fft_hydropathy,no_transform,test,1.2533457279205322
5,fft_hydropathy,no_transform,train,0.9312164783477783
5,fft_hydropathy,no_transform,test,0.5769929885864258
6,fft_hydropathy,no_transform,train,0.8669713139533997
6,fft_hydropathy,no_transform,test,0.5443540215492249
7,fft_hydropathy,no_transform,train,0.8083912134170532
7,fft_hydropathy,no_transform,test,1.2286888360977173
8,fft_hydropathy,no_transform,train,0.6523000597953796
8,fft_hydropathy,no_transform,test,2.6521527767181396
9,fft_hydropathy,no_transform,train,0.42998313903808594
9,fft_hydropathy,no_transform,test,4.380609512329102
10,fft_hydropathy,no_transform,train,0.23874253034591675
10,fft_hydropathy,no_transform,test,5.854948043823242
11,fft_hydropathy,no_transform,train,0.136850044131279
11,fft_hydropathy,no_transform,test,6.6710381507873535
12,fft_hydropathy,no_transform,train,0.1297697275876999
12,fft_hydropathy,no_transform,test,6.703622817993164
13,fft_hydropathy,no_transform,train,0.18188421428203583
13,fft_hydropathy,no_transform,test,6.079695224761963
14,fft_hydropathy,no_transform,train,0.240085169672966
14,fft_hydropathy,no_transform,test,5.048641681671143
15,fft_hydropathy,no_transform,train,0.2651420533657074
15,fft_hydropathy,no_transform,test,3.894652843475342
16,fft_hydropathy,no_transform,train,0.244342640042305
16,fft_hydropathy,no_transform,test,2.824286937713623
17,fft_hydropathy,no_transform,train,0.18917985260486603
17,fft_hydropathy,no_transform,test,1.915135383605957
18,fft_hydropathy,no_transform,train,0.12227463722229004
18,fft_hydropathy,no_transform,test,1.1988085508346558
19,fft_hydropathy,no_transform,train,0.06529076397418976
19,fft_hydropathy,no_transform,test,0.6857039332389832
20,fft_hydropathy,no_transform,train,0.030863041058182716
20,fft_hydropathy,no_transform,test,0.35397854447364807
21,fft_hydropathy,no_transform,train,0.021996065974235535
21,fft_hydropathy,no_transform,test,0.16557921469211578
22,fft_hydropathy,no_transform,train,0.032505545765161514
22,fft_hydropathy,no_transform,test,0.07516766339540482
23,fft_hydropathy,no_transform,train,0.051032718271017075
23,fft_hydropathy,no_transform,test,0.0405062735080719
24,fft_hydropathy,no_transform,train,0.06625491380691528
24,fft_hydropathy,no_transform,test,0.031283702701330185
25,fft_hydropathy,no_transform,train,0.07112046331167221
25,fft_hydropathy,no_transform,test,0.029445424675941467
26,fft_hydropathy,no_transform,train,0.06458056718111038
26,fft_hydropathy,no_transform,test,0.02738928236067295
27,fft_hydropathy,no_transform,train,0.05063697695732117
27,fft_hydropathy,no_transform,test,0.02356007695198059
28,fft_hydropathy,no_transform,train,0.03548265993595123
28,fft_hydropathy,no_transform,test,0.019442634657025337
29,fft_hydropathy,no_transform,train,0.024482814595103264
29,fft_hydropathy,no_transform,test,0.01728142984211445
30,fft_hydropathy,no_transform,train,0.02021765522658825
30,fft_hydropathy,no_transform,test,0.01834922842681408
31,fft_hydropathy,no_transform,train,0.021977560594677925
31,fft_hydropathy,no_transform,test,0.022038504481315613
32,fft_hydropathy,no_transform,train,0.02666463330388069
32,fft_hydropathy,no_transform,test,0.026196345686912537
33,fft_hydropathy,no_transform,train,0.030570024624466896
33,fft_hydropathy,no_transform,test,0.02866794355213642
34,fft_hydropathy,no_transform,train,0.03105655498802662
34,fft_hydropathy,no_transform,test,0.02828124538064003
35,fft_hydropathy,no_transform,train,0.027477042749524117
35,fft_hydropathy,no_transform,test,0.0251565333455801
36,fft_hydropathy,no_transform,train,0.021098125725984573
36,fft_hydropathy,no_transform,test,0.02054022066295147
37,fft_hydropathy,no_transform,train,0.014294601045548916
37,fft_hydropathy,no_transform,test,0.016224967315793037
38,fft_hydropathy,no_transform,train,0.009351170621812344
38,fft_hydropathy,no_transform,test,0.013577170670032501
39,fft_hydropathy,no_transform,train,0.007514226250350475
39,fft_hydropathy,no_transform,test,0.013084442354738712
40,fft_hydropathy,no_transform,train,0.008597319945693016
40,fft_hydropathy,no_transform,test,0.014062395319342613
41,fft_hydropathy,no_transform,train,0.011248353868722916
41,fft_hydropathy,no_transform,test,0.015246271155774593
42,fft_hydropathy,no_transform,train,0.01367852371186018
42,fft_hydropathy,no_transform,test,0.015421808697283268
43,fft_hydropathy,no_transform,train,0.014499478042125702
43,fft_hydropathy,no_transform,test,0.014017712324857712
44,fft_hydropathy,no_transform,train,0.013267521746456623
44,fft_hydropathy,no_transform,test,0.011317032389342785
45,fft_hydropathy,no_transform,train,0.010535666719079018
45,fft_hydropathy,no_transform,test,0.008255514316260815
46,fft_hydropathy,no_transform,train,0.00744874170050025
46,fft_hydropathy,no_transform,test,0.00587289035320282
47,fft_hydropathy,no_transform,train,0.005141471046954393
47,fft_hydropathy,no_transform,test,0.0048173596151173115
48,fft_hydropathy,no_transform,train,0.004234242718666792
48,fft_hydropathy,no_transform,test,0.005078017245978117
49,fft_hydropathy,no_transform,train,0.00463833985850215
49,fft_hydropathy,no_transform,test,0.0060918983072042465
50,fft_hydropathy,no_transform,train,0.005719440523535013
50,fft_hydropathy,no_transform,test,0.007063189055770636
51,fft_hydropathy,no_transform,train,0.006677108351141214
51,fft_hydropathy,no_transform,test,0.007353689055889845
52,fft_hydropathy,no_transform,train,0.006925172638148069
52,fft_hydropathy,no_transform,test,0.006752153858542442
53,fft_hydropathy,no_transform,train,0.006318443920463324
53,fft_hydropathy,no_transform,test,0.005502978339791298
54,fft_hydropathy,no_transform,train,0.005140366032719612
54,fft_hydropathy,no_transform,test,0.004109217785298824
55,fft_hydropathy,no_transform,train,0.003896266222000122
55,fft_hydropathy,no_transform,test,0.0030631860718131065
56,fft_hydropathy,no_transform,train,0.003039128379896283
56,fft_hydropathy,no_transform,test,0.002610765630379319
57,fft_hydropathy,no_transform,train,0.002763420110568404
57,fft_hydropathy,no_transform,test,0.0026884309481829405
58,fft_hydropathy,no_transform,train,0.002956310985609889
58,fft_hydropathy,no_transform,test,0.003006482031196356
59,fft_hydropathy,no_transform,train,0.003306464059278369
59,fft_hydropathy,no_transform,test,0.0032383319921791553
60,fft_hydropathy,no_transform,train,0.003492653602734208
60,fft_hydropathy,no_transform,test,0.0032023214735090733
61,fft_hydropathy,no_transform,train,0.003346837591379881
61,fft_hydropathy,no_transform,test,0.002929533598944545
62,fft_hydropathy,no_transform,train,0.002913431264460087
62,fft_hydropathy,no_transform,test,0.0026057525537908077
63,fft_hydropathy,no_transform,train,0.00239022565074265
63,fft_hydropathy,no_transform,test,0.002439144067466259
64,fft_hydropathy,no_transform,train,0.001999095780774951
64,fft_hydropathy,no_transform,test,0.0025305941235274076
65,fft_hydropathy,no_transform,train,0.0018644664669409394
65,fft_hydropathy,no_transform,test,0.002820925787091255
66,fft_hydropathy,no_transform,train,0.001961230766028166
66,fft_hydropathy,no_transform,test,0.0031310496851801872
67,fft_hydropathy,no_transform,train,0.002148962812498212
67,fft_hydropathy,no_transform,test,0.0032675820402801037
68,fft_hydropathy,no_transform,train,0.00226199789904058
68,fft_hydropathy,no_transform,test,0.003130134427919984
69,fft_hydropathy,no_transform,train,0.0021999049931764603
69,fft_hydropathy,no_transform,test,0.0027483641169965267
70,fft_hydropathy,no_transform,train,0.0019708022009581327
70,fft_hydropathy,no_transform,test,0.002256793435662985
71,fft_hydropathy,no_transform,train,0.0016714857192710042
71,fft_hydropathy,no_transform,test,0.0018211030401289463
72,fft_hydropathy,no_transform,train,0.0014238390140235424
72,fft_hydropathy,no_transform,test,0.0015511017991229892
73,fft_hydropathy,no_transform,train,0.0013072056462988257
73,fft_hydropathy,no_transform,test,0.0014605092583224177
74,fft_hydropathy,no_transform,train,0.001323389820754528
74,fft_hydropathy,no_transform,test,0.0014803442172706127
75,fft_hydropathy,no_transform,train,0.001407939475029707
75,fft_hydropathy,no_transform,test,0.0015126785729080439
76,fft_hydropathy,no_transform,train,0.0014750887639820576
76,fft_hydropathy,no_transform,test,0.0014894308988004923
77,fft_hydropathy,no_transform,train,0.0014667431823909283
77,fft_hydropathy,no_transform,test,0.001403244212269783
78,fft_hydropathy,no_transform,train,0.0013782393652945757
78,fft_hydropathy,no_transform,test,0.0012981470208615065
79,fft_hydropathy,no_transform,train,0.00125044584274292
79,fft_hydropathy,no_transform,test,0.0012315659550949931
80,fft_hydropathy,no_transform,train,0.0011381662916392088
80,fft_hydropathy,no_transform,test,0.0012348234886303544
81,fft_hydropathy,no_transform,train,0.0010766418417915702
81,fft_hydropathy,no_transform,test,0.001295186928473413
82,fft_hydropathy,no_transform,train,0.001065259799361229
82,fft_hydropathy,no_transform,test,0.0013663823483511806
83,fft_hydropathy,no_transform,train,0.0010749209905043244
83,fft_hydropathy,no_transform,test,0.001397759304381907
84,fft_hydropathy,no_transform,train,0.0010706613538786769
84,fft_hydropathy,no_transform,test,0.0013625533320009708
85,fft_hydropathy,no_transform,train,0.0010337642161175609
85,fft_hydropathy,no_transform,test,0.0012691877782344818
86,fft_hydropathy,no_transform,train,0.0009704396361485124
86,fft_hydropathy,no_transform,test,0.001151574426330626
87,fft_hydropathy,no_transform,train,0.0009040907607413828
87,fft_hydropathy,no_transform,test,0.0010472862049937248
88,fft_hydropathy,no_transform,train,0.0008582644513808191
88,fft_hydropathy,no_transform,test,0.0009779807878658175
89,fft_hydropathy,no_transform,train,0.0008420689264312387
89,fft_hydropathy,no_transform,test,0.0009423756855539978
90,fft_hydropathy,no_transform,train,0.0008464196580462158
90,fft_hydropathy,no_transform,test,0.0009240462677553296
91,fft_hydropathy,no_transform,train,0.0008518716203980148
91,fft_hydropathy,no_transform,test,0.0009055820410139859
92,fft_hydropathy,no_transform,train,0.0008416518685407937
92,fft_hydropathy,no_transform,test,0.0008801986114121974
93,fft_hydropathy,no_transform,train,0.0008111967472359538
93,fft_hydropathy,no_transform,test,0.0008533459040336311
94,fft_hydropathy,no_transform,train,0.000768926867749542
94,fft_hydropathy,no_transform,test,0.0008355818572454154
95,fft_hydropathy,no_transform,train,0.0007291180663742125
95,fft_hydropathy,no_transform,test,0.0008327164687216282
96,fft_hydropathy,no_transform,train,0.0007024029036983848
96,fft_hydropathy,no_transform,test,0.0008406061097048223
97,fft_hydropathy,no_transform,train,0.0006900667794980109
97,fft_hydropathy,no_transform,test,0.000847094866912812
98,fft_hydropathy,no_transform,train,0.0006849946221336722
98,fft_hydropathy,no_transform,test,0.0008394757751375437
99,fft_hydropathy,no_transform,train,0.0006775759975425899
99,fft_hydropathy,no_transform,test,0.0008119441918097436
100,fft_hydropathy,no_transform,train,0.0006620687199756503
100,fft_hydropathy,no_transform,test,0.0007682836730964482
