Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydropathy,no_transform,train,0.404809832572937
1,fft_hydropathy,no_transform,test,259.4140319824219
2,fft_hydropathy,no_transform,train,13.9656343460083
2,fft_hydropathy,no_transform,test,770.371337890625
3,fft_hydropathy,no_transform,train,0.6895029544830322
3,fft_hydropathy,no_transform,test,159.7506561279297
4,fft_hydropathy,no_transform,train,0.15350835025310516
4,fft_hydropathy,no_transform,test,44.75838088989258
5,fft_hydropathy,no_transform,train,0.47094085812568665
5,fft_hydropathy,no_transform,test,13.22501277923584
6,fft_hydropathy,no_transform,train,0.5569459795951843
6,fft_hydropathy,no_transform,test,4.327099323272705
7,fft_hydropathy,no_transform,train,0.43707475066185
7,fft_hydropathy,no_transform,test,1.9025336503982544
8,fft_hydropathy,no_transform,train,0.2858620584011078
8,fft_hydropathy,no_transform,test,1.2791410684585571
9,fft_hydropathy,no_transform,train,0.17948761582374573
9,fft_hydropathy,no_transform,test,1.1745579242706299
10,fft_hydropathy,no_transform,train,0.11485765129327774
10,fft_hydropathy,no_transform,test,1.2307063341140747
11,fft_hydropathy,no_transform,train,0.0689024031162262
11,fft_hydropathy,no_transform,test,1.3077911138534546
12,fft_hydropathy,no_transform,train,0.03363342955708504
12,fft_hydropathy,no_transform,test,1.337225317955017
13,fft_hydropathy,no_transform,train,0.015335923060774803
13,fft_hydropathy,no_transform,test,1.2910537719726562
14,fft_hydropathy,no_transform,train,0.017231300473213196
14,fft_hydropathy,no_transform,test,1.1781647205352783
15,fft_hydropathy,no_transform,train,0.032478198409080505
15,fft_hydropathy,no_transform,test,1.022599458694458
16,fft_hydropathy,no_transform,train,0.0477331317961216
16,fft_hydropathy,no_transform,test,0.8452606797218323
17,fft_hydropathy,no_transform,train,0.05283340439200401
17,fft_hydropathy,no_transform,test,0.6603561043739319
18,fft_hydropathy,no_transform,train,0.04718618467450142
18,fft_hydropathy,no_transform,test,0.48030993342399597
19,fft_hydropathy,no_transform,train,0.03804171085357666
19,fft_hydropathy,no_transform,test,0.3292972445487976
20,fft_hydropathy,no_transform,train,0.03132377937436104
20,fft_hydropathy,no_transform,test,0.21554408967494965
21,fft_hydropathy,no_transform,train,0.028073225170373917
21,fft_hydropathy,no_transform,test,0.1357964426279068
22,fft_hydropathy,no_transform,train,0.025466207414865494
22,fft_hydropathy,no_transform,test,0.0815783143043518
23,fft_hydropathy,no_transform,train,0.02071976289153099
23,fft_hydropathy,no_transform,test,0.045515257865190506
24,fft_hydropathy,no_transform,train,0.014059332199394703
24,fft_hydropathy,no_transform,test,0.024003643542528152
25,fft_hydropathy,no_transform,train,0.00829258468002081
25,fft_hydropathy,no_transform,test,0.013676486909389496
26,fft_hydropathy,no_transform,train,0.0059072175063192844
26,fft_hydropathy,no_transform,test,0.010311061516404152
27,fft_hydropathy,no_transform,train,0.0069965217262506485
27,fft_hydropathy,no_transform,test,0.010193816386163235
28,fft_hydropathy,no_transform,train,0.009408371523022652
28,fft_hydropathy,no_transform,test,0.010161797516047955
29,fft_hydropathy,no_transform,train,0.010637817904353142
29,fft_hydropathy,no_transform,test,0.008684144355356693
30,fft_hydropathy,no_transform,train,0.009748417884111404
30,fft_hydropathy,no_transform,test,0.006128302309662104
31,fft_hydropathy,no_transform,train,0.007636402267962694
31,fft_hydropathy,no_transform,test,0.0037790643982589245
32,fft_hydropathy,no_transform,train,0.00577767426148057
32,fft_hydropathy,no_transform,test,0.0025847870856523514
33,fft_hydropathy,no_transform,train,0.004872241988778114
33,fft_hydropathy,no_transform,test,0.002562885172665119
34,fft_hydropathy,no_transform,train,0.004512287676334381
34,fft_hydropathy,no_transform,test,0.003087172284722328
35,fft_hydropathy,no_transform,train,0.003923182841390371
35,fft_hydropathy,no_transform,test,0.003514894749969244
36,fft_hydropathy,no_transform,train,0.0028719899710267782
36,fft_hydropathy,no_transform,test,0.0036798131186515093
37,fft_hydropathy,no_transform,train,0.0018336180364713073
37,fft_hydropathy,no_transform,test,0.003828088054433465
38,fft_hydropathy,no_transform,train,0.001441666390746832
38,fft_hydropathy,no_transform,test,0.004185871686786413
39,fft_hydropathy,no_transform,train,0.001896385452710092
39,fft_hydropathy,no_transform,test,0.004608750808984041
40,fft_hydropathy,no_transform,train,0.0027584233321249485
40,fft_hydropathy,no_transform,test,0.00472422456368804
41,fft_hydropathy,no_transform,train,0.00333038461394608
41,fft_hydropathy,no_transform,test,0.004289147909730673
42,fft_hydropathy,no_transform,train,0.003220326965674758
42,fft_hydropathy,no_transform,test,0.0034495398867875338
43,fft_hydropathy,no_transform,train,0.0025876464787870646
43,fft_hydropathy,no_transform,test,0.0026178753469139338
44,fft_hydropathy,no_transform,train,0.0019002769840881228
44,fft_hydropathy,no_transform,test,0.0020547721069306135
45,fft_hydropathy,no_transform,train,0.0014921530382707715
45,fft_hydropathy,no_transform,test,0.0017689671367406845
46,fft_hydropathy,no_transform,train,0.0013363437028601766
46,fft_hydropathy,no_transform,test,0.0015389553736895323
47,fft_hydropathy,no_transform,train,0.001191366813145578
47,fft_hydropathy,no_transform,test,0.0011944862781092525
48,fft_hydropathy,no_transform,train,0.0009125908254645765
48,fft_hydropathy,no_transform,test,0.0008165186154656112
49,fft_hydropathy,no_transform,train,0.0006032472010701895
49,fft_hydropathy,no_transform,test,0.0005908586899749935
50,fft_hydropathy,no_transform,train,0.0004772912070620805
50,fft_hydropathy,no_transform,test,0.0006320648244582117
51,fft_hydropathy,no_transform,train,0.0006145233637653291
51,fft_hydropathy,no_transform,test,0.0008201546734198928
52,fft_hydropathy,no_transform,train,0.0008667365182191133
52,fft_hydropathy,no_transform,test,0.0009309537708759308
