Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydropathy,no_transform,train,0.24557727575302124
1,fft_hydropathy,no_transform,test,8880.8701171875
2,fft_hydropathy,no_transform,train,5.058231830596924
2,fft_hydropathy,no_transform,test,22.165109634399414
3,fft_hydropathy,no_transform,train,0.9519879817962646
3,fft_hydropathy,no_transform,test,0.9608944058418274
4,fft_hydropathy,no_transform,train,0.332376629114151
4,fft_hydropathy,no_transform,test,1.2436013221740723
5,fft_hydropathy,no_transform,train,0.18293696641921997
5,fft_hydropathy,no_transform,test,1.830383062362671
6,fft_hydropathy,no_transform,train,0.20235443115234375
6,fft_hydropathy,no_transform,test,1.751414179801941
7,fft_hydropathy,no_transform,train,0.26085254549980164
7,fft_hydropathy,no_transform,test,1.4231477975845337
8,fft_hydropathy,no_transform,train,0.2923494279384613
8,fft_hydropathy,no_transform,test,1.1050786972045898
9,fft_hydropathy,no_transform,train,0.2825920581817627
9,fft_hydropathy,no_transform,test,0.8758418560028076
10,fft_hydropathy,no_transform,train,0.24358369410037994
10,fft_hydropathy,no_transform,test,0.7250648140907288
11,fft_hydropathy,no_transform,train,0.1923803985118866
11,fft_hydropathy,no_transform,test,0.6205958127975464
12,fft_hydropathy,no_transform,train,0.1435595601797104
12,fft_hydropathy,no_transform,test,0.5415221452713013
13,fft_hydropathy,no_transform,train,0.10649197548627853
13,fft_hydropathy,no_transform,test,0.47656652331352234
14,fft_hydropathy,no_transform,train,0.0852360650897026
14,fft_hydropathy,no_transform,test,0.4224133789539337
15,fft_hydropathy,no_transform,train,0.07880821079015732
15,fft_hydropathy,no_transform,test,0.3727418780326843
16,fft_hydropathy,no_transform,train,0.0826476663351059
16,fft_hydropathy,no_transform,test,0.3272840976715088
17,fft_hydropathy,no_transform,train,0.09069737792015076
17,fft_hydropathy,no_transform,test,0.2857498228549957
18,fft_hydropathy,no_transform,train,0.0974438339471817
18,fft_hydropathy,no_transform,test,0.24657432734966278
19,fft_hydropathy,no_transform,train,0.09962870180606842
19,fft_hydropathy,no_transform,test,0.20986713469028473
20,fft_hydropathy,no_transform,train,0.09666986763477325
20,fft_hydropathy,no_transform,test,0.17738880217075348
21,fft_hydropathy,no_transform,train,0.08954423666000366
21,fft_hydropathy,no_transform,test,0.14956149458885193
22,fft_hydropathy,no_transform,train,0.08017046749591827
22,fft_hydropathy,no_transform,test,0.1275109350681305
23,fft_hydropathy,no_transform,train,0.0705215185880661
23,fft_hydropathy,no_transform,test,0.1107107400894165
24,fft_hydropathy,no_transform,train,0.06211330369114876
24,fft_hydropathy,no_transform,test,0.09821511805057526
25,fft_hydropathy,no_transform,train,0.05570414662361145
25,fft_hydropathy,no_transform,test,0.08904150128364563
26,fft_hydropathy,no_transform,train,0.05143881216645241
26,fft_hydropathy,no_transform,test,0.0824095830321312
27,fft_hydropathy,no_transform,train,0.048984263092279434
27,fft_hydropathy,no_transform,test,0.07764993607997894
28,fft_hydropathy,no_transform,train,0.04773639142513275
28,fft_hydropathy,no_transform,test,0.07405262440443039
29,fft_hydropathy,no_transform,train,0.04702281206846237
29,fft_hydropathy,no_transform,test,0.0710269957780838
30,fft_hydropathy,no_transform,train,0.046269748359918594
30,fft_hydropathy,no_transform,test,0.06805115193128586
31,fft_hydropathy,no_transform,train,0.045106131583452225
31,fft_hydropathy,no_transform,test,0.06484584510326385
32,fft_hydropathy,no_transform,train,0.04339345172047615
32,fft_hydropathy,no_transform,test,0.06144730746746063
33,fft_hydropathy,no_transform,train,0.041192010045051575
33,fft_hydropathy,no_transform,test,0.05799851566553116
34,fft_hydropathy,no_transform,train,0.03867941349744797
34,fft_hydropathy,no_transform,test,0.05444122478365898
35,fft_hydropathy,no_transform,train,0.03608335554599762
35,fft_hydropathy,no_transform,test,0.050990600138902664
36,fft_hydropathy,no_transform,train,0.03361232206225395
36,fft_hydropathy,no_transform,test,0.04782535135746002
37,fft_hydropathy,no_transform,train,0.031409043818712234
37,fft_hydropathy,no_transform,test,0.045034751296043396
38,fft_hydropathy,no_transform,train,0.02953431010246277
38,fft_hydropathy,no_transform,test,0.04269974306225777
39,fft_hydropathy,no_transform,train,0.02797517739236355
39,fft_hydropathy,no_transform,test,0.040716301649808884
40,fft_hydropathy,no_transform,train,0.026673777028918266
40,fft_hydropathy,no_transform,test,0.03899626433849335
41,fft_hydropathy,no_transform,train,0.025551484897732735
41,fft_hydropathy,no_transform,test,0.03746487572789192
42,fft_hydropathy,no_transform,train,0.024533502757549286
42,fft_hydropathy,no_transform,test,0.036000169813632965
43,fft_hydropathy,no_transform,train,0.02356719598174095
43,fft_hydropathy,no_transform,test,0.03452921658754349
44,fft_hydropathy,no_transform,train,0.022625913843512535
