Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydrophobicity,no_transform,train,0.6872926950454712
1,fft_hydrophobicity,no_transform,test,85.44114685058594
2,fft_hydrophobicity,no_transform,train,0.49906912446022034
2,fft_hydrophobicity,no_transform,test,1.5012158155441284
3,fft_hydrophobicity,no_transform,train,0.3871011734008789
3,fft_hydrophobicity,no_transform,test,0.4698805510997772
4,fft_hydrophobicity,no_transform,train,0.29595747590065
4,fft_hydrophobicity,no_transform,test,0.21827931702136993
5,fft_hydrophobicity,no_transform,train,0.23990021646022797
5,fft_hydrophobicity,no_transform,test,0.3063463270664215
6,fft_hydrophobicity,no_transform,train,0.22489938139915466
6,fft_hydrophobicity,no_transform,test,0.5996991991996765
7,fft_hydrophobicity,no_transform,train,0.22989603877067566
7,fft_hydrophobicity,no_transform,test,0.8855969905853271
8,fft_hydrophobicity,no_transform,train,0.21971090137958527
8,fft_hydrophobicity,no_transform,test,1.026475429534912
9,fft_hydrophobicity,no_transform,train,0.19570285081863403
9,fft_hydrophobicity,no_transform,test,0.9899670481681824
10,fft_hydrophobicity,no_transform,train,0.17172525823116302
10,fft_hydrophobicity,no_transform,test,0.8340197205543518
11,fft_hydrophobicity,no_transform,train,0.15530464053153992
11,fft_hydrophobicity,no_transform,test,0.6465767621994019
12,fft_hydrophobicity,no_transform,train,0.1470835655927658
12,fft_hydrophobicity,no_transform,test,0.49379369616508484
13,fft_hydrophobicity,no_transform,train,0.14409197866916656
13,fft_hydrophobicity,no_transform,test,0.38805511593818665
14,fft_hydrophobicity,no_transform,train,0.14282572269439697
14,fft_hydrophobicity,no_transform,test,0.32304227352142334
15,fft_hydrophobicity,no_transform,train,0.14058329164981842
15,fft_hydrophobicity,no_transform,test,0.28562501072883606
16,fft_hydrophobicity,no_transform,train,0.13637463748455048
16,fft_hydrophobicity,no_transform,test,0.26480990648269653
17,fft_hydrophobicity,no_transform,train,0.13072530925273895
17,fft_hydrophobicity,no_transform,test,0.25321173667907715
18,fft_hydrophobicity,no_transform,train,0.12474369257688522
18,fft_hydrophobicity,no_transform,test,0.24517925083637238
19,fft_hydrophobicity,no_transform,train,0.11952535063028336
19,fft_hydrophobicity,no_transform,test,0.23674018681049347
20,fft_hydrophobicity,no_transform,train,0.11566957086324692
20,fft_hydrophobicity,no_transform,test,0.22660860419273376
21,fft_hydrophobicity,no_transform,train,0.11304239928722382
21,fft_hydrophobicity,no_transform,test,0.21344059705734253
22,fft_hydrophobicity,no_transform,train,0.11087904125452042
22,fft_hydrophobicity,no_transform,test,0.1983831226825714
23,fft_hydrophobicity,no_transform,train,0.10838689655065536
23,fft_hydrophobicity,no_transform,test,0.1835528463125229
