Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_secondary_structure,no_transform,train,0.39400872588157654
1,fft_secondary_structure,no_transform,test,525.4859619140625
2,fft_secondary_structure,no_transform,train,17.14056396484375
2,fft_secondary_structure,no_transform,test,15.312541961669922
3,fft_secondary_structure,no_transform,train,1.3036912679672241
3,fft_secondary_structure,no_transform,test,4.714367866516113
4,fft_secondary_structure,no_transform,train,0.4119749069213867
4,fft_secondary_structure,no_transform,test,3.931138753890991
5,fft_secondary_structure,no_transform,train,0.5105557441711426
5,fft_secondary_structure,no_transform,test,3.3507306575775146
6,fft_secondary_structure,no_transform,train,0.48544156551361084
6,fft_secondary_structure,no_transform,test,2.8539929389953613
7,fft_secondary_structure,no_transform,train,0.3657526969909668
7,fft_secondary_structure,no_transform,test,2.2334349155426025
8,fft_secondary_structure,no_transform,train,0.24559694528579712
8,fft_secondary_structure,no_transform,test,1.5876414775848389
9,fft_secondary_structure,no_transform,train,0.16112948954105377
9,fft_secondary_structure,no_transform,test,1.0540188550949097
10,fft_secondary_structure,no_transform,train,0.1144283264875412
10,fft_secondary_structure,no_transform,test,0.6922391653060913
11,fft_secondary_structure,no_transform,train,0.09795358777046204
11,fft_secondary_structure,no_transform,test,0.4872640073299408
12,fft_secondary_structure,no_transform,train,0.09867924451828003
12,fft_secondary_structure,no_transform,test,0.38174334168434143
13,fft_secondary_structure,no_transform,train,0.10406568646430969
13,fft_secondary_structure,no_transform,test,0.3265605568885803
14,fft_secondary_structure,no_transform,train,0.10583050549030304
14,fft_secondary_structure,no_transform,test,0.29243502020835876
15,fft_secondary_structure,no_transform,train,0.1001010537147522
15,fft_secondary_structure,no_transform,test,0.2609458863735199
16,fft_secondary_structure,no_transform,train,0.08744820952415466
16,fft_secondary_structure,no_transform,test,0.22760407626628876
17,fft_secondary_structure,no_transform,train,0.07095696777105331
17,fft_secondary_structure,no_transform,test,0.1928827166557312
18,fft_secondary_structure,no_transform,train,0.05425325036048889
18,fft_secondary_structure,no_transform,test,0.15874171257019043
19,fft_secondary_structure,no_transform,train,0.03998870402574539
19,fft_secondary_structure,no_transform,test,0.12726902961730957
20,fft_secondary_structure,no_transform,train,0.029576562345027924
20,fft_secondary_structure,no_transform,test,0.09961974620819092
21,fft_secondary_structure,no_transform,train,0.02320338785648346
21,fft_secondary_structure,no_transform,test,0.07654863595962524
22,fft_secondary_structure,no_transform,train,0.020156608894467354
