Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,onehot,no_transform,train,0.14282402396202087
1,onehot,no_transform,test,0.1626509428024292
2,onehot,no_transform,train,0.09128528088331223
2,onehot,no_transform,test,0.1477271318435669
3,onehot,no_transform,train,0.07222992181777954
3,onehot,no_transform,test,0.13249777257442474
4,onehot,no_transform,train,0.06534108519554138
4,onehot,no_transform,test,0.12077392637729645
5,onehot,no_transform,train,0.05844837427139282
5,onehot,no_transform,test,0.11099251359701157
6,onehot,no_transform,train,0.050710730254650116
6,onehot,no_transform,test,0.10195598006248474
7,onehot,no_transform,train,0.04363846406340599
7,onehot,no_transform,test,0.0937909409403801
8,onehot,no_transform,train,0.03784956783056259
8,onehot,no_transform,test,0.08559531718492508
9,onehot,no_transform,train,0.03348423168063164
9,onehot,no_transform,test,0.07764705270528793
10,onehot,no_transform,train,0.030386555939912796
10,onehot,no_transform,test,0.07038456946611404
11,onehot,no_transform,train,0.027919234707951546
11,onehot,no_transform,test,0.06371244788169861
12,onehot,no_transform,train,0.025685133412480354
12,onehot,no_transform,test,0.05787305906414986
13,onehot,no_transform,train,0.023505447432398796
13,onehot,no_transform,test,0.0527932234108448
14,onehot,no_transform,train,0.021396148949861526
14,onehot,no_transform,test,0.04813836142420769
15,onehot,no_transform,train,0.01936369575560093
15,onehot,no_transform,test,0.04396132007241249
16,onehot,no_transform,train,0.017479727044701576
16,onehot,no_transform,test,0.04028167948126793
17,onehot,no_transform,train,0.01580234058201313
17,onehot,no_transform,test,0.0366906113922596
18,onehot,no_transform,train,0.01435023918747902
18,onehot,no_transform,test,0.03321795538067818
19,onehot,no_transform,train,0.0130770830437541
19,onehot,no_transform,test,0.030117493122816086
20,onehot,no_transform,train,0.01194683276116848
20,onehot,no_transform,test,0.027313826605677605
21,onehot,no_transform,train,0.010910109616816044
21,onehot,no_transform,test,0.024732396006584167
22,onehot,no_transform,train,0.009940321557223797
22,onehot,no_transform,test,0.022326890379190445
23,onehot,no_transform,train,0.009028668515384197
23,onehot,no_transform,test,0.02007669396698475
24,onehot,no_transform,train,0.008178146556019783
24,onehot,no_transform,test,0.017986396327614784
25,onehot,no_transform,train,0.007389347534626722
25,onehot,no_transform,test,0.016055217012763023
26,onehot,no_transform,train,0.0066608344204723835
26,onehot,no_transform,test,0.014335747808218002
27,onehot,no_transform,train,0.0059894840233027935
27,onehot,no_transform,test,0.01270162034779787
28,onehot,no_transform,train,0.005375359673053026
28,onehot,no_transform,test,0.01116811204701662
29,onehot,no_transform,train,0.004819219000637531
29,onehot,no_transform,test,0.009777645580470562
30,onehot,no_transform,train,0.0043209926225245
30,onehot,no_transform,test,0.008499085903167725
31,onehot,no_transform,train,0.0038793294224888086
31,onehot,no_transform,test,0.007378249429166317
32,onehot,no_transform,train,0.0034897616133093834
32,onehot,no_transform,test,0.006401110906153917
33,onehot,no_transform,train,0.003146313363686204
33,onehot,no_transform,test,0.005569403059780598
34,onehot,no_transform,train,0.0028404686599969864
34,onehot,no_transform,test,0.004862968809902668
35,onehot,no_transform,train,0.0025682267732918262
35,onehot,no_transform,test,0.004256890155375004
36,onehot,no_transform,train,0.0023264007177203894
36,onehot,no_transform,test,0.003749127732589841
37,onehot,no_transform,train,0.002111534820869565
37,onehot,no_transform,test,0.0033255494199693203
38,onehot,no_transform,train,0.001919839414767921
38,onehot,no_transform,test,0.0029759248718619347
39,onehot,no_transform,train,0.0017480544047430158
39,onehot,no_transform,test,0.002693263813853264
40,onehot,no_transform,train,0.0015937859425321221
40,onehot,no_transform,test,0.0024652606807649136
41,onehot,no_transform,train,0.001455363817512989
41,onehot,no_transform,test,0.0022693730425089598
42,onehot,no_transform,train,0.0013317440170794725
42,onehot,no_transform,test,0.0020993861835449934
43,onehot,no_transform,train,0.0012216843897476792
43,onehot,no_transform,test,0.0019442209741100669
44,onehot,no_transform,train,0.001123159658163786
44,onehot,no_transform,test,0.0018024534219875932
