Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_betha_structure,no_transform,train,0.6462213397026062
1,physicochemical_betha_structure,no_transform,test,4961.24658203125
2,physicochemical_betha_structure,no_transform,train,108.2812728881836
2,physicochemical_betha_structure,no_transform,test,104.71646118164062
3,physicochemical_betha_structure,no_transform,train,11.696152687072754
3,physicochemical_betha_structure,no_transform,test,31.723342895507812
4,physicochemical_betha_structure,no_transform,train,1.858650803565979
4,physicochemical_betha_structure,no_transform,test,20.79622459411621
5,physicochemical_betha_structure,no_transform,train,3.2369892597198486
5,physicochemical_betha_structure,no_transform,test,11.030226707458496
6,physicochemical_betha_structure,no_transform,train,3.523338794708252
6,physicochemical_betha_structure,no_transform,test,5.401560306549072
7,physicochemical_betha_structure,no_transform,train,2.6344618797302246
7,physicochemical_betha_structure,no_transform,test,2.766746997833252
8,physicochemical_betha_structure,no_transform,train,1.5800044536590576
8,physicochemical_betha_structure,no_transform,test,1.8870660066604614
9,physicochemical_betha_structure,no_transform,train,0.9029556512832642
9,physicochemical_betha_structure,no_transform,test,1.80191171169281
10,physicochemical_betha_structure,no_transform,train,0.6691973209381104
10,physicochemical_betha_structure,no_transform,test,1.8994847536087036
11,physicochemical_betha_structure,no_transform,train,0.703711211681366
11,physicochemical_betha_structure,no_transform,test,1.9307377338409424
12,physicochemical_betha_structure,no_transform,train,0.7897331714630127
12,physicochemical_betha_structure,no_transform,test,1.8597888946533203
13,physicochemical_betha_structure,no_transform,train,0.7994641661643982
13,physicochemical_betha_structure,no_transform,test,1.7326548099517822
14,physicochemical_betha_structure,no_transform,train,0.7146966457366943
14,physicochemical_betha_structure,no_transform,test,1.5820764303207397
15,physicochemical_betha_structure,no_transform,train,0.583624541759491
15,physicochemical_betha_structure,no_transform,test,1.4231101274490356
16,physicochemical_betha_structure,no_transform,train,0.4646337032318115
16,physicochemical_betha_structure,no_transform,test,1.238660454750061
17,physicochemical_betha_structure,no_transform,train,0.3911043405532837
17,physicochemical_betha_structure,no_transform,test,1.0235769748687744
18,physicochemical_betha_structure,no_transform,train,0.36502712965011597
18,physicochemical_betha_structure,no_transform,test,0.8017860651016235
19,physicochemical_betha_structure,no_transform,train,0.37077057361602783
19,physicochemical_betha_structure,no_transform,test,0.6034067869186401
20,physicochemical_betha_structure,no_transform,train,0.38437825441360474
20,physicochemical_betha_structure,no_transform,test,0.4528866410255432
21,physicochemical_betha_structure,no_transform,train,0.3851340115070343
21,physicochemical_betha_structure,no_transform,test,0.3542291522026062
22,physicochemical_betha_structure,no_transform,train,0.3617556095123291
22,physicochemical_betha_structure,no_transform,test,0.29284387826919556
23,physicochemical_betha_structure,no_transform,train,0.31498852372169495
23,physicochemical_betha_structure,no_transform,test,0.2519061267375946
24,physicochemical_betha_structure,no_transform,train,0.2554040849208832
24,physicochemical_betha_structure,no_transform,test,0.21935562789440155
25,physicochemical_betha_structure,no_transform,train,0.19824063777923584
25,physicochemical_betha_structure,no_transform,test,0.1904446929693222
26,physicochemical_betha_structure,no_transform,train,0.15634186565876007
26,physicochemical_betha_structure,no_transform,test,0.16599106788635254
27,physicochemical_betha_structure,no_transform,train,0.13479650020599365
27,physicochemical_betha_structure,no_transform,test,0.14682912826538086
28,physicochemical_betha_structure,no_transform,train,0.12922167778015137
28,physicochemical_betha_structure,no_transform,test,0.13184505701065063
29,physicochemical_betha_structure,no_transform,train,0.12912887334823608
29,physicochemical_betha_structure,no_transform,test,0.11811761558055878
30,physicochemical_betha_structure,no_transform,train,0.12427724897861481
30,physicochemical_betha_structure,no_transform,test,0.1041678711771965
31,physicochemical_betha_structure,no_transform,train,0.11033295840024948
31,physicochemical_betha_structure,no_transform,test,0.09134412556886673
32,physicochemical_betha_structure,no_transform,train,0.09059827029705048
32,physicochemical_betha_structure,no_transform,test,0.08305498957633972
33,physicochemical_betha_structure,no_transform,train,0.07305727154016495
33,physicochemical_betha_structure,no_transform,test,0.08199800550937653
34,physicochemical_betha_structure,no_transform,train,0.06488549709320068
