Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_betha_structure,no_transform,train,0.12567976117134094
1,physicochemical_betha_structure,no_transform,test,30.319198608398438
2,physicochemical_betha_structure,no_transform,train,0.7097815871238708
2,physicochemical_betha_structure,no_transform,test,4.474958419799805
3,physicochemical_betha_structure,no_transform,train,0.23712117969989777
3,physicochemical_betha_structure,no_transform,test,1.4566055536270142
4,physicochemical_betha_structure,no_transform,train,0.11918707191944122
4,physicochemical_betha_structure,no_transform,test,0.4156873822212219
5,physicochemical_betha_structure,no_transform,train,0.09358767420053482
5,physicochemical_betha_structure,no_transform,test,0.14923058450222015
6,physicochemical_betha_structure,no_transform,train,0.07695731520652771
6,physicochemical_betha_structure,no_transform,test,0.08475644886493683
7,physicochemical_betha_structure,no_transform,train,0.05889120325446129
7,physicochemical_betha_structure,no_transform,test,0.07014922797679901
8,physicochemical_betha_structure,no_transform,train,0.04855619743466377
8,physicochemical_betha_structure,no_transform,test,0.06752023100852966
9,physicochemical_betha_structure,no_transform,train,0.04661925882101059
9,physicochemical_betha_structure,no_transform,test,0.06514336168766022
10,physicochemical_betha_structure,no_transform,train,0.04739820957183838
10,physicochemical_betha_structure,no_transform,test,0.0595385804772377
11,physicochemical_betha_structure,no_transform,train,0.04581502452492714
11,physicochemical_betha_structure,no_transform,test,0.05135590583086014
12,physicochemical_betha_structure,no_transform,train,0.040713779628276825
12,physicochemical_betha_structure,no_transform,test,0.042583756148815155
13,physicochemical_betha_structure,no_transform,train,0.033812493085861206
13,physicochemical_betha_structure,no_transform,test,0.03492356836795807
14,physicochemical_betha_structure,no_transform,train,0.027367649599909782
14,physicochemical_betha_structure,no_transform,test,0.02913174219429493
15,physicochemical_betha_structure,no_transform,train,0.02272307500243187
15,physicochemical_betha_structure,no_transform,test,0.025217123329639435
16,physicochemical_betha_structure,no_transform,train,0.020071085542440414
16,physicochemical_betha_structure,no_transform,test,0.022754358127713203
17,physicochemical_betha_structure,no_transform,train,0.01887090690433979
17,physicochemical_betha_structure,no_transform,test,0.02123292163014412
18,physicochemical_betha_structure,no_transform,train,0.01835043914616108
18,physicochemical_betha_structure,no_transform,test,0.020249826833605766
19,physicochemical_betha_structure,no_transform,train,0.017887480556964874
19,physicochemical_betha_structure,no_transform,test,0.019539063796401024
20,physicochemical_betha_structure,no_transform,train,0.017170554026961327
20,physicochemical_betha_structure,no_transform,test,0.018939323723316193
21,physicochemical_betha_structure,no_transform,train,0.016145816072821617
21,physicochemical_betha_structure,no_transform,test,0.01836293376982212
22,physicochemical_betha_structure,no_transform,train,0.014929992146790028
22,physicochemical_betha_structure,no_transform,test,0.01776675321161747
23,physicochemical_betha_structure,no_transform,train,0.013688014820218086
23,physicochemical_betha_structure,no_transform,test,0.0171254463493824
24,physicochemical_betha_structure,no_transform,train,0.01255071721971035
24,physicochemical_betha_structure,no_transform,test,0.01642799749970436
25,physicochemical_betha_structure,no_transform,train,0.011599176563322544
25,physicochemical_betha_structure,no_transform,test,0.01566552184522152
26,physicochemical_betha_structure,no_transform,train,0.010837743058800697
26,physicochemical_betha_structure,no_transform,test,0.014838498085737228
27,physicochemical_betha_structure,no_transform,train,0.010221201926469803
27,physicochemical_betha_structure,no_transform,test,0.013959739357233047
28,physicochemical_betha_structure,no_transform,train,0.009681946597993374
28,physicochemical_betha_structure,no_transform,test,0.013050963170826435
29,physicochemical_betha_structure,no_transform,train,0.009161356836557388
29,physicochemical_betha_structure,no_transform,test,0.01213823165744543
30,physicochemical_betha_structure,no_transform,train,0.008626089431345463
30,physicochemical_betha_structure,no_transform,test,0.011252271011471748
31,physicochemical_betha_structure,no_transform,train,0.008066670969128609
31,physicochemical_betha_structure,no_transform,test,0.01042082253843546
32,physicochemical_betha_structure,no_transform,train,0.007497112266719341
32,physicochemical_betha_structure,no_transform,test,0.009661580435931683
33,physicochemical_betha_structure,no_transform,train,0.006940973922610283
33,physicochemical_betha_structure,no_transform,test,0.008983731269836426
34,physicochemical_betha_structure,no_transform,train,0.006420942489057779
34,physicochemical_betha_structure,no_transform,test,0.00838661752641201
35,physicochemical_betha_structure,no_transform,train,0.0059525263495743275
35,physicochemical_betha_structure,no_transform,test,0.007863947190344334
36,physicochemical_betha_structure,no_transform,train,0.005541814025491476
36,physicochemical_betha_structure,no_transform,test,0.007405169308185577
37,physicochemical_betha_structure,no_transform,train,0.005186654161661863
37,physicochemical_betha_structure,no_transform,test,0.006998105905950069
38,physicochemical_betha_structure,no_transform,train,0.004878288134932518
38,physicochemical_betha_structure,no_transform,test,0.0066313897259533405
39,physicochemical_betha_structure,no_transform,train,0.004605637863278389
39,physicochemical_betha_structure,no_transform,test,0.00629534712061286
40,physicochemical_betha_structure,no_transform,train,0.0043578981421887875
40,physicochemical_betha_structure,no_transform,test,0.005982899107038975
41,physicochemical_betha_structure,no_transform,train,0.004126088693737984
41,physicochemical_betha_structure,no_transform,test,0.005689525045454502
42,physicochemical_betha_structure,no_transform,train,0.0039040681440383196
42,physicochemical_betha_structure,no_transform,test,0.00541272247210145
43,physicochemical_betha_structure,no_transform,train,0.003688627853989601
43,physicochemical_betha_structure,no_transform,test,0.0051516215316951275
44,physicochemical_betha_structure,no_transform,train,0.0034789934288710356
44,physicochemical_betha_structure,no_transform,test,0.004906207323074341
45,physicochemical_betha_structure,no_transform,train,0.0032761963084340096
45,physicochemical_betha_structure,no_transform,test,0.004676723852753639
46,physicochemical_betha_structure,no_transform,train,0.0030822253320366144
46,physicochemical_betha_structure,no_transform,test,0.004463267046958208
47,physicochemical_betha_structure,no_transform,train,0.0028992656152695417
47,physicochemical_betha_structure,no_transform,test,0.0042654541321098804
48,physicochemical_betha_structure,no_transform,train,0.002729106694459915
48,physicochemical_betha_structure,no_transform,test,0.0040823291055858135
49,physicochemical_betha_structure,no_transform,train,0.0025728102773427963
49,physicochemical_betha_structure,no_transform,test,0.003912332467734814
50,physicochemical_betha_structure,no_transform,train,0.0024305135011672974
50,physicochemical_betha_structure,no_transform,test,0.003753482596948743
51,physicochemical_betha_structure,no_transform,train,0.002301424741744995
51,physicochemical_betha_structure,no_transform,test,0.003603464923799038
52,physicochemical_betha_structure,no_transform,train,0.0021840613335371017
52,physicochemical_betha_structure,no_transform,test,0.0034599932841956615
53,physicochemical_betha_structure,no_transform,train,0.0020764926448464394
53,physicochemical_betha_structure,no_transform,test,0.0033210283145308495
54,physicochemical_betha_structure,no_transform,train,0.001976663712412119
54,physicochemical_betha_structure,no_transform,test,0.0031849187798798084
55,physicochemical_betha_structure,no_transform,train,0.0018826820887625217
55,physicochemical_betha_structure,no_transform,test,0.0030505794566124678
56,physicochemical_betha_structure,no_transform,train,0.0017930387984961271
56,physicochemical_betha_structure,no_transform,test,0.002917483216151595
57,physicochemical_betha_structure,no_transform,train,0.0017066620057448745
57,physicochemical_betha_structure,no_transform,test,0.0027856635861098766
58,physicochemical_betha_structure,no_transform,train,0.0016229889588430524
58,physicochemical_betha_structure,no_transform,test,0.0026555489748716354
59,physicochemical_betha_structure,no_transform,train,0.0015418801922351122
59,physicochemical_betha_structure,no_transform,test,0.0025278818793594837
60,physicochemical_betha_structure,no_transform,train,0.0014635272091254592
60,physicochemical_betha_structure,no_transform,test,0.0024035009555518627
61,physicochemical_betha_structure,no_transform,train,0.0013882817002013326
