Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_hydropathy,no_transform,train,0.8533255457878113
1,physicochemical_hydropathy,no_transform,test,11090.6650390625
2,physicochemical_hydropathy,no_transform,train,181.21141052246094
2,physicochemical_hydropathy,no_transform,test,760.4866333007812
3,physicochemical_hydropathy,no_transform,train,38.01803970336914
3,physicochemical_hydropathy,no_transform,test,74.45526123046875
4,physicochemical_hydropathy,no_transform,train,5.5142645835876465
4,physicochemical_hydropathy,no_transform,test,8.962018013000488
5,physicochemical_hydropathy,no_transform,train,1.4353291988372803
5,physicochemical_hydropathy,no_transform,test,14.900251388549805
6,physicochemical_hydropathy,no_transform,train,2.122382879257202
6,physicochemical_hydropathy,no_transform,test,18.814090728759766
7,physicochemical_hydropathy,no_transform,train,2.7578601837158203
7,physicochemical_hydropathy,no_transform,test,16.555814743041992
8,physicochemical_hydropathy,no_transform,train,2.7590105533599854
8,physicochemical_hydropathy,no_transform,test,11.73888874053955
9,physicochemical_hydropathy,no_transform,train,2.340989828109741
9,physicochemical_hydropathy,no_transform,test,7.0593953132629395
10,physicochemical_hydropathy,no_transform,train,1.7798428535461426
10,physicochemical_hydropathy,no_transform,test,3.568437099456787
11,physicochemical_hydropathy,no_transform,train,1.2433717250823975
11,physicochemical_hydropathy,no_transform,test,1.493759036064148
12,physicochemical_hydropathy,no_transform,train,0.7962883710861206
12,physicochemical_hydropathy,no_transform,test,0.5560827851295471
13,physicochemical_hydropathy,no_transform,train,0.4740872383117676
13,physicochemical_hydropathy,no_transform,test,0.3653905689716339
14,physicochemical_hydropathy,no_transform,train,0.29055944085121155
14,physicochemical_hydropathy,no_transform,test,0.5647515058517456
15,physicochemical_hydropathy,no_transform,train,0.2346819043159485
15,physicochemical_hydropathy,no_transform,test,0.8971438407897949
16,physicochemical_hydropathy,no_transform,train,0.28284209966659546
16,physicochemical_hydropathy,no_transform,test,1.204045295715332
17,physicochemical_hydropathy,no_transform,train,0.38929247856140137
17,physicochemical_hydropathy,no_transform,test,1.395067811012268
18,physicochemical_hydropathy,no_transform,train,0.5002736449241638
18,physicochemical_hydropathy,no_transform,test,1.4436843395233154
19,physicochemical_hydropathy,no_transform,train,0.5677045583724976
19,physicochemical_hydropathy,no_transform,test,1.3642377853393555
20,physicochemical_hydropathy,no_transform,train,0.5667765140533447
20,physicochemical_hydropathy,no_transform,test,1.1926720142364502
21,physicochemical_hydropathy,no_transform,train,0.501152753829956
21,physicochemical_hydropathy,no_transform,test,0.9718853831291199
22,physicochemical_hydropathy,no_transform,train,0.39683908224105835
22,physicochemical_hydropathy,no_transform,test,0.7411753535270691
23,physicochemical_hydropathy,no_transform,train,0.2875300943851471
23,physicochemical_hydropathy,no_transform,test,0.5310601592063904
24,physicochemical_hydropathy,no_transform,train,0.20000462234020233
