Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_index,no_transform,train,0.4048873782157898
1,physicochemical_index,no_transform,test,715.7631225585938
2,physicochemical_index,no_transform,train,12.499650001525879
2,physicochemical_index,no_transform,test,31.667936325073242
3,physicochemical_index,no_transform,train,2.5955073833465576
3,physicochemical_index,no_transform,test,13.846978187561035
4,physicochemical_index,no_transform,train,0.9375438094139099
4,physicochemical_index,no_transform,test,7.652549743652344
5,physicochemical_index,no_transform,train,1.2023327350616455
5,physicochemical_index,no_transform,test,3.821375846862793
6,physicochemical_index,no_transform,train,1.4078779220581055
6,physicochemical_index,no_transform,test,1.7161518335342407
7,physicochemical_index,no_transform,train,1.016075849533081
7,physicochemical_index,no_transform,test,0.7107807397842407
8,physicochemical_index,no_transform,train,0.4823138117790222
8,physicochemical_index,no_transform,test,0.3699127733707428
9,physicochemical_index,no_transform,train,0.19519446790218353
9,physicochemical_index,no_transform,test,0.3860244154930115
10,physicochemical_index,no_transform,train,0.2189500629901886
10,physicochemical_index,no_transform,test,0.5086348056793213
11,physicochemical_index,no_transform,train,0.38466572761535645
11,physicochemical_index,no_transform,test,0.5741778016090393
12,physicochemical_index,no_transform,train,0.4884089529514313
12,physicochemical_index,no_transform,test,0.5356108546257019
13,physicochemical_index,no_transform,train,0.4508918821811676
13,physicochemical_index,no_transform,test,0.42899996042251587
14,physicochemical_index,no_transform,train,0.3245418965816498
14,physicochemical_index,no_transform,test,0.30974000692367554
15,physicochemical_index,no_transform,train,0.20419442653656006
15,physicochemical_index,no_transform,test,0.21483811736106873
16,physicochemical_index,no_transform,train,0.15017008781433105
16,physicochemical_index,no_transform,test,0.15588629245758057
17,physicochemical_index,no_transform,train,0.16209720075130463
17,physicochemical_index,no_transform,test,0.12601451575756073
18,physicochemical_index,no_transform,train,0.19823282957077026
18,physicochemical_index,no_transform,test,0.112838976085186
19,physicochemical_index,no_transform,train,0.21452705562114716
19,physicochemical_index,no_transform,test,0.10710467398166656
20,physicochemical_index,no_transform,train,0.19309890270233154
20,physicochemical_index,no_transform,test,0.10552428662776947
21,physicochemical_index,no_transform,train,0.14652760326862335
21,physicochemical_index,no_transform,test,0.10836932808160782
22,physicochemical_index,no_transform,train,0.10180236399173737
22,physicochemical_index,no_transform,test,0.11576496809720993
23,physicochemical_index,no_transform,train,0.08048917353153229
23,physicochemical_index,no_transform,test,0.12567684054374695
24,physicochemical_index,no_transform,train,0.08697163313627243
24,physicochemical_index,no_transform,test,0.1337689757347107
