Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_index,no_transform,train,1.4989651441574097
1,physicochemical_index,no_transform,test,257.6629333496094
2,physicochemical_index,no_transform,train,8.323954582214355
2,physicochemical_index,no_transform,test,31.432437896728516
3,physicochemical_index,no_transform,train,1.2720556259155273
3,physicochemical_index,no_transform,test,13.457858085632324
4,physicochemical_index,no_transform,train,1.1120496988296509
4,physicochemical_index,no_transform,test,4.3813018798828125
5,physicochemical_index,no_transform,train,0.840864360332489
5,physicochemical_index,no_transform,test,1.5543149709701538
6,physicochemical_index,no_transform,train,0.5286658406257629
6,physicochemical_index,no_transform,test,0.7093527317047119
7,physicochemical_index,no_transform,train,0.31318193674087524
7,physicochemical_index,no_transform,test,0.4896564781665802
8,physicochemical_index,no_transform,train,0.2500024735927582
8,physicochemical_index,no_transform,test,0.47290998697280884
9,physicochemical_index,no_transform,train,0.28668227791786194
9,physicochemical_index,no_transform,test,0.48487499356269836
10,physicochemical_index,no_transform,train,0.33660009503364563
10,physicochemical_index,no_transform,test,0.463559091091156
11,physicochemical_index,no_transform,train,0.35584333539009094
11,physicochemical_index,no_transform,test,0.4099847674369812
12,physicochemical_index,no_transform,train,0.34806931018829346
12,physicochemical_index,no_transform,test,0.34595927596092224
13,physicochemical_index,no_transform,train,0.3279038965702057
13,physicochemical_index,no_transform,test,0.2884715795516968
14,physicochemical_index,no_transform,train,0.2970491051673889
14,physicochemical_index,no_transform,test,0.2445814609527588
15,physicochemical_index,no_transform,train,0.25344884395599365
15,physicochemical_index,no_transform,test,0.21555127203464508
16,physicochemical_index,no_transform,train,0.20437709987163544
16,physicochemical_index,no_transform,test,0.20051881670951843
17,physicochemical_index,no_transform,train,0.16527964174747467
17,physicochemical_index,no_transform,test,0.19709512591362
18,physicochemical_index,no_transform,train,0.14754585921764374
18,physicochemical_index,no_transform,test,0.20124725997447968
19,physicochemical_index,no_transform,train,0.14990873634815216
19,physicochemical_index,no_transform,test,0.20857691764831543
20,physicochemical_index,no_transform,train,0.16102617979049683
20,physicochemical_index,no_transform,test,0.2156066745519638
21,physicochemical_index,no_transform,train,0.1695265769958496
21,physicochemical_index,no_transform,test,0.22062158584594727
22,physicochemical_index,no_transform,train,0.1713923066854477
22,physicochemical_index,no_transform,test,0.2230643630027771
23,physicochemical_index,no_transform,train,0.16904206573963165
23,physicochemical_index,no_transform,test,0.2228187471628189
24,physicochemical_index,no_transform,train,0.16549016535282135
24,physicochemical_index,no_transform,test,0.21985679864883423
25,physicochemical_index,no_transform,train,0.16064110398292542
25,physicochemical_index,no_transform,test,0.21456684172153473
26,physicochemical_index,no_transform,train,0.15253053605556488
26,physicochemical_index,no_transform,test,0.20802167057991028
27,physicochemical_index,no_transform,train,0.14087964594364166
27,physicochemical_index,no_transform,test,0.20149222016334534
28,physicochemical_index,no_transform,train,0.12848041951656342
28,physicochemical_index,no_transform,test,0.19562312960624695
29,physicochemical_index,no_transform,train,0.11906269192695618
29,physicochemical_index,no_transform,test,0.1899968981742859
30,physicochemical_index,no_transform,train,0.1141885444521904
30,physicochemical_index,no_transform,test,0.1836627721786499
31,physicochemical_index,no_transform,train,0.1123306080698967
31,physicochemical_index,no_transform,test,0.17606842517852783
32,physicochemical_index,no_transform,train,0.11079578846693039
32,physicochemical_index,no_transform,test,0.16769646108150482
