Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_secondary_structure,no_transform,train,0.3646355867385864
1,physicochemical_secondary_structure,no_transform,test,269.5978088378906
2,physicochemical_secondary_structure,no_transform,train,4.567703723907471
2,physicochemical_secondary_structure,no_transform,test,12.661964416503906
3,physicochemical_secondary_structure,no_transform,train,0.9153477549552917
3,physicochemical_secondary_structure,no_transform,test,3.841562032699585
4,physicochemical_secondary_structure,no_transform,train,0.33241981267929077
4,physicochemical_secondary_structure,no_transform,test,1.575483798980713
5,physicochemical_secondary_structure,no_transform,train,0.343290776014328
5,physicochemical_secondary_structure,no_transform,test,0.7232915163040161
6,physicochemical_secondary_structure,no_transform,train,0.3566661775112152
6,physicochemical_secondary_structure,no_transform,test,0.44520303606987
7,physicochemical_secondary_structure,no_transform,train,0.26901811361312866
7,physicochemical_secondary_structure,no_transform,test,0.4334443211555481
8,physicochemical_secondary_structure,no_transform,train,0.18854832649230957
8,physicochemical_secondary_structure,no_transform,test,0.5018430948257446
9,physicochemical_secondary_structure,no_transform,train,0.17306901514530182
9,physicochemical_secondary_structure,no_transform,test,0.5354035496711731
10,physicochemical_secondary_structure,no_transform,train,0.19981802999973297
10,physicochemical_secondary_structure,no_transform,test,0.4936251938343048
11,physicochemical_secondary_structure,no_transform,train,0.21693973243236542
11,physicochemical_secondary_structure,no_transform,test,0.39911797642707825
12,physicochemical_secondary_structure,no_transform,train,0.20086511969566345
12,physicochemical_secondary_structure,no_transform,test,0.2945326864719391
13,physicochemical_secondary_structure,no_transform,train,0.1650722175836563
13,physicochemical_secondary_structure,no_transform,test,0.21036465466022491
14,physicochemical_secondary_structure,no_transform,train,0.13407014310359955
14,physicochemical_secondary_structure,no_transform,test,0.15617652237415314
15,physicochemical_secondary_structure,no_transform,train,0.12145509570837021
15,physicochemical_secondary_structure,no_transform,test,0.12864838540554047
16,physicochemical_secondary_structure,no_transform,train,0.12421348690986633
16,physicochemical_secondary_structure,no_transform,test,0.11776833981275558
