Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_volume,no_transform,train,0.7314506769180298
1,physicochemical_volume,no_transform,test,8468.1005859375
2,physicochemical_volume,no_transform,train,105.86544036865234
2,physicochemical_volume,no_transform,test,590.3865966796875
3,physicochemical_volume,no_transform,train,19.55115509033203
3,physicochemical_volume,no_transform,test,71.58916473388672
4,physicochemical_volume,no_transform,train,3.0775253772735596
4,physicochemical_volume,no_transform,test,27.687335968017578
5,physicochemical_volume,no_transform,train,3.242321491241455
5,physicochemical_volume,no_transform,test,23.683500289916992
6,physicochemical_volume,no_transform,train,4.626568794250488
6,physicochemical_volume,no_transform,test,16.93300437927246
7,physicochemical_volume,no_transform,train,4.474759578704834
7,physicochemical_volume,no_transform,test,10.442509651184082
8,physicochemical_volume,no_transform,train,3.4582149982452393
8,physicochemical_volume,no_transform,test,6.76803731918335
9,physicochemical_volume,no_transform,train,2.3750627040863037
9,physicochemical_volume,no_transform,test,4.742713451385498
10,physicochemical_volume,no_transform,train,1.4904792308807373
10,physicochemical_volume,no_transform,test,3.0801949501037598
11,physicochemical_volume,no_transform,train,0.8320916295051575
11,physicochemical_volume,no_transform,test,1.7528351545333862
12,physicochemical_volume,no_transform,train,0.4983811378479004
12,physicochemical_volume,no_transform,test,1.1824907064437866
13,physicochemical_volume,no_transform,train,0.5274674296379089
13,physicochemical_volume,no_transform,test,1.3600128889083862
14,physicochemical_volume,no_transform,train,0.7935507297515869
14,physicochemical_volume,no_transform,test,1.8340215682983398
15,physicochemical_volume,no_transform,train,1.0700401067733765
15,physicochemical_volume,no_transform,test,2.1081886291503906
16,physicochemical_volume,no_transform,train,1.1831692457199097
16,physicochemical_volume,no_transform,test,1.9657866954803467
17,physicochemical_volume,no_transform,train,1.0947426557540894
17,physicochemical_volume,no_transform,test,1.4972726106643677
18,physicochemical_volume,no_transform,train,0.8752827644348145
18,physicochemical_volume,no_transform,test,0.9542202353477478
19,physicochemical_volume,no_transform,train,0.622499406337738
19,physicochemical_volume,no_transform,test,0.5560879707336426
20,physicochemical_volume,no_transform,train,0.40405163168907166
20,physicochemical_volume,no_transform,test,0.39322325587272644
21,physicochemical_volume,no_transform,train,0.2515052556991577
21,physicochemical_volume,no_transform,test,0.4275776743888855
22,physicochemical_volume,no_transform,train,0.17967578768730164
22,physicochemical_volume,no_transform,test,0.5579102039337158
23,physicochemical_volume,no_transform,train,0.18908174335956573
23,physicochemical_volume,no_transform,test,0.6846045255661011
24,physicochemical_volume,no_transform,train,0.2552335560321808
24,physicochemical_volume,no_transform,test,0.7445814609527588
25,physicochemical_volume,no_transform,train,0.32819023728370667
25,physicochemical_volume,no_transform,test,0.7182750701904297
26,physicochemical_volume,no_transform,train,0.3576815128326416
26,physicochemical_volume,no_transform,test,0.6203428506851196
27,physicochemical_volume,no_transform,train,0.32518595457077026
27,physicochemical_volume,no_transform,test,0.4829951822757721
28,physicochemical_volume,no_transform,train,0.25282740592956543
28,physicochemical_volume,no_transform,test,0.34197676181793213
29,physicochemical_volume,no_transform,train,0.1809019148349762
29,physicochemical_volume,no_transform,test,0.22606056928634644
30,physicochemical_volume,no_transform,train,0.13577032089233398
30,physicochemical_volume,no_transform,test,0.14863479137420654
31,physicochemical_volume,no_transform,train,0.11524362117052078
31,physicochemical_volume,no_transform,test,0.1085532084107399
32,physicochemical_volume,no_transform,train,0.1017405092716217
32,physicochemical_volume,no_transform,test,0.0947892963886261
33,physicochemical_volume,no_transform,train,0.08539287000894547
33,physicochemical_volume,no_transform,test,0.0936267226934433
34,physicochemical_volume,no_transform,train,0.07231023907661438
34,physicochemical_volume,no_transform,test,0.09477844834327698
35,physicochemical_volume,no_transform,train,0.07289393246173859
35,physicochemical_volume,no_transform,test,0.0940912514925003
36,physicochemical_volume,no_transform,train,0.08752783387899399
36,physicochemical_volume,no_transform,test,0.09252846240997314
37,physicochemical_volume,no_transform,train,0.10484881699085236
37,physicochemical_volume,no_transform,test,0.09201778471469879
38,physicochemical_volume,no_transform,train,0.1120813712477684
38,physicochemical_volume,no_transform,test,0.0915130227804184
39,physicochemical_volume,no_transform,train,0.10476014018058777
39,physicochemical_volume,no_transform,test,0.08624104410409927
40,physicochemical_volume,no_transform,train,0.08710833638906479
40,physicochemical_volume,no_transform,test,0.07215029746294022
41,physicochemical_volume,no_transform,train,0.0658920481801033
41,physicochemical_volume,no_transform,test,0.05150983855128288
42,physicochemical_volume,no_transform,train,0.04593401029706001
42,physicochemical_volume,no_transform,test,0.033227384090423584
43,physicochemical_volume,no_transform,train,0.03029501624405384
43,physicochemical_volume,no_transform,test,0.026747195050120354
44,physicochemical_volume,no_transform,train,0.02177741937339306
44,physicochemical_volume,no_transform,test,0.034238025546073914
45,physicochemical_volume,no_transform,train,0.02169221267104149
