Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,bepler,no_transform,train,1.82294939076395e+17
1,bepler,no_transform,test,1.7319384754159616e+16
2,bepler,no_transform,train,1.82294939076395e+17
2,bepler,no_transform,test,1.7319384754159616e+16
3,bepler,no_transform,train,1.82294939076395e+17
3,bepler,no_transform,test,1.7319384754159616e+16
4,bepler,no_transform,train,1.82294939076395e+17
4,bepler,no_transform,test,1.7319384754159616e+16
5,bepler,no_transform,train,1.82294939076395e+17
5,bepler,no_transform,test,1.7319384754159616e+16
6,bepler,no_transform,train,1.82294939076395e+17
6,bepler,no_transform,test,1.7319384754159616e+16
7,bepler,no_transform,train,1.82294939076395e+17
7,bepler,no_transform,test,1.7319384754159616e+16
8,bepler,no_transform,train,1.82294939076395e+17
8,bepler,no_transform,test,1.7319384754159616e+16
9,bepler,no_transform,train,1.82294939076395e+17
9,bepler,no_transform,test,1.7319384754159616e+16
10,bepler,no_transform,train,1.82294939076395e+17
10,bepler,no_transform,test,1.7319384754159616e+16
11,bepler,no_transform,train,1.82294939076395e+17
11,bepler,no_transform,test,1.7319384754159616e+16
12,bepler,no_transform,train,1.82294939076395e+17
12,bepler,no_transform,test,1.7319384754159616e+16
13,bepler,no_transform,train,1.82294939076395e+17
13,bepler,no_transform,test,1.7319384754159616e+16
14,bepler,no_transform,train,1.82294939076395e+17
14,bepler,no_transform,test,1.7319382606675968e+16
15,bepler,no_transform,train,1.82294939076395e+17
15,bepler,no_transform,test,1.7319382606675968e+16
16,bepler,no_transform,train,1.82294939076395e+17
16,bepler,no_transform,test,1.7319382606675968e+16
17,bepler,no_transform,train,1.82294939076395e+17
17,bepler,no_transform,test,1.7319382606675968e+16
18,bepler,no_transform,train,1.82294939076395e+17
18,bepler,no_transform,test,1.7319382606675968e+16
19,bepler,no_transform,train,1.82294939076395e+17
19,bepler,no_transform,test,1.7319382606675968e+16
20,bepler,no_transform,train,1.82294939076395e+17
20,bepler,no_transform,test,1.7319382606675968e+16
21,bepler,no_transform,train,1.82294939076395e+17
21,bepler,no_transform,test,1.7319382606675968e+16
22,bepler,no_transform,train,1.82294939076395e+17
22,bepler,no_transform,test,1.7319381532934144e+16
23,bepler,no_transform,train,1.82294939076395e+17
23,bepler,no_transform,test,1.7319381532934144e+16
24,bepler,no_transform,train,1.82294939076395e+17
24,bepler,no_transform,test,1.7319381532934144e+16
25,bepler,no_transform,train,1.82294939076395e+17
25,bepler,no_transform,test,1.7319381532934144e+16
26,bepler,no_transform,train,1.82294939076395e+17
26,bepler,no_transform,test,1.7319381532934144e+16
27,bepler,no_transform,train,1.82294939076395e+17
27,bepler,no_transform,test,1.7319381532934144e+16
28,bepler,no_transform,train,1.82294939076395e+17
28,bepler,no_transform,test,1.7319381532934144e+16
29,bepler,no_transform,train,1.82294939076395e+17
29,bepler,no_transform,test,1.7319381532934144e+16
30,bepler,no_transform,train,1.82294939076395e+17
30,bepler,no_transform,test,1.7319381532934144e+16
31,bepler,no_transform,train,1.82294939076395e+17
31,bepler,no_transform,test,1.7319381532934144e+16
32,bepler,no_transform,train,1.82294939076395e+17
32,bepler,no_transform,test,1.7319379385450496e+16
33,bepler,no_transform,train,1.82294939076395e+17
33,bepler,no_transform,test,1.7319379385450496e+16
34,bepler,no_transform,train,1.8229492189652582e+17
34,bepler,no_transform,test,1.7319379385450496e+16
35,bepler,no_transform,train,1.8229492189652582e+17
35,bepler,no_transform,test,1.7319379385450496e+16
36,bepler,no_transform,train,1.8229492189652582e+17
36,bepler,no_transform,test,1.7319379385450496e+16
37,bepler,no_transform,train,1.8229492189652582e+17
37,bepler,no_transform,test,1.7319379385450496e+16
38,bepler,no_transform,train,1.8229492189652582e+17
38,bepler,no_transform,test,1.7319378311708672e+16
39,bepler,no_transform,train,1.8229492189652582e+17
39,bepler,no_transform,test,1.7319378311708672e+16
40,bepler,no_transform,train,1.8229492189652582e+17
40,bepler,no_transform,test,1.7319378311708672e+16
41,bepler,no_transform,train,1.8229492189652582e+17
41,bepler,no_transform,test,1.7319378311708672e+16
42,bepler,no_transform,train,1.8229492189652582e+17
42,bepler,no_transform,test,1.7319376164225024e+16
43,bepler,no_transform,train,1.8229492189652582e+17
43,bepler,no_transform,test,1.7319376164225024e+16
44,bepler,no_transform,train,1.8229492189652582e+17
44,bepler,no_transform,test,1.7319376164225024e+16
45,bepler,no_transform,train,1.8229492189652582e+17
45,bepler,no_transform,test,1.7319376164225024e+16
46,bepler,no_transform,train,1.8229492189652582e+17
46,bepler,no_transform,test,1.73193750904832e+16
47,bepler,no_transform,train,1.8229492189652582e+17
47,bepler,no_transform,test,1.73193750904832e+16
48,bepler,no_transform,train,1.8229492189652582e+17
48,bepler,no_transform,test,1.73193750904832e+16
49,bepler,no_transform,train,1.8229492189652582e+17
49,bepler,no_transform,test,1.7319372942999552e+16
50,bepler,no_transform,train,1.8229492189652582e+17
50,bepler,no_transform,test,1.7319371869257728e+16
51,bepler,no_transform,train,1.8229490471665664e+17
51,bepler,no_transform,test,1.731936972177408e+16
52,bepler,no_transform,train,1.8229490471665664e+17
52,bepler,no_transform,test,1.731936972177408e+16
53,bepler,no_transform,train,1.8229490471665664e+17
53,bepler,no_transform,test,1.731936972177408e+16
54,bepler,no_transform,train,1.8229490471665664e+17
54,bepler,no_transform,test,1.7319368648032256e+16
55,bepler,no_transform,train,1.8229490471665664e+17
55,bepler,no_transform,test,1.7319368648032256e+16
56,bepler,no_transform,train,1.8229490471665664e+17
