Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydropathy,no_transform,train,1.82294939076395e+17
1,fft_hydropathy,no_transform,test,1.7319403007770624e+16
2,fft_hydropathy,no_transform,train,1.82294939076395e+17
2,fft_hydropathy,no_transform,test,1.7319386901643264e+16
3,fft_hydropathy,no_transform,train,1.82294939076395e+17
3,fft_hydropathy,no_transform,test,1.7319382606675968e+16
4,fft_hydropathy,no_transform,train,1.82294939076395e+17
4,fft_hydropathy,no_transform,test,1.7319382606675968e+16
5,fft_hydropathy,no_transform,train,1.82294939076395e+17
5,fft_hydropathy,no_transform,test,1.7319381532934144e+16
6,fft_hydropathy,no_transform,train,1.82294939076395e+17
6,fft_hydropathy,no_transform,test,1.7319381532934144e+16
7,fft_hydropathy,no_transform,train,1.82294939076395e+17
7,fft_hydropathy,no_transform,test,1.7319381532934144e+16
8,fft_hydropathy,no_transform,train,1.82294939076395e+17
8,fft_hydropathy,no_transform,test,1.7319379385450496e+16
9,fft_hydropathy,no_transform,train,1.82294939076395e+17
9,fft_hydropathy,no_transform,test,1.7319378311708672e+16
10,fft_hydropathy,no_transform,train,1.82294939076395e+17
10,fft_hydropathy,no_transform,test,1.7319376164225024e+16
11,fft_hydropathy,no_transform,train,1.8229492189652582e+17
11,fft_hydropathy,no_transform,test,1.7319376164225024e+16
12,fft_hydropathy,no_transform,train,1.8229492189652582e+17
12,fft_hydropathy,no_transform,test,1.7319376164225024e+16
13,fft_hydropathy,no_transform,train,1.8229492189652582e+17
13,fft_hydropathy,no_transform,test,1.73193750904832e+16
14,fft_hydropathy,no_transform,train,1.8229492189652582e+17
14,fft_hydropathy,no_transform,test,1.73193750904832e+16
15,fft_hydropathy,no_transform,train,1.8229492189652582e+17
15,fft_hydropathy,no_transform,test,1.73193750904832e+16
16,fft_hydropathy,no_transform,train,1.8229492189652582e+17
16,fft_hydropathy,no_transform,test,1.73193750904832e+16
17,fft_hydropathy,no_transform,train,1.8229492189652582e+17
17,fft_hydropathy,no_transform,test,1.7319372942999552e+16
18,fft_hydropathy,no_transform,train,1.8229492189652582e+17
18,fft_hydropathy,no_transform,test,1.7319371869257728e+16
19,fft_hydropathy,no_transform,train,1.8229492189652582e+17
19,fft_hydropathy,no_transform,test,1.731936972177408e+16
20,fft_hydropathy,no_transform,train,1.8229492189652582e+17
20,fft_hydropathy,no_transform,test,1.731936972177408e+16
21,fft_hydropathy,no_transform,train,1.8229492189652582e+17
21,fft_hydropathy,no_transform,test,1.731936972177408e+16
22,fft_hydropathy,no_transform,train,1.8229492189652582e+17
22,fft_hydropathy,no_transform,test,1.731936972177408e+16
