Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_energetic,no_transform,train,1.82294939076395e+17
1,physicochemical_energetic,no_transform,test,1.7319378311708672e+16
2,physicochemical_energetic,no_transform,train,1.82294939076395e+17
2,physicochemical_energetic,no_transform,test,1.7319379385450496e+16
3,physicochemical_energetic,no_transform,train,1.82294939076395e+17
3,physicochemical_energetic,no_transform,test,1.7319379385450496e+16
4,physicochemical_energetic,no_transform,train,1.82294939076395e+17
4,physicochemical_energetic,no_transform,test,1.7319379385450496e+16
5,physicochemical_energetic,no_transform,train,1.82294939076395e+17
5,physicochemical_energetic,no_transform,test,1.7319379385450496e+16
6,physicochemical_energetic,no_transform,train,1.82294939076395e+17
6,physicochemical_energetic,no_transform,test,1.7319379385450496e+16
7,physicochemical_energetic,no_transform,train,1.82294939076395e+17
7,physicochemical_energetic,no_transform,test,1.7319379385450496e+16
8,physicochemical_energetic,no_transform,train,1.82294939076395e+17
8,physicochemical_energetic,no_transform,test,1.7319379385450496e+16
9,physicochemical_energetic,no_transform,train,1.82294939076395e+17
9,physicochemical_energetic,no_transform,test,1.7319378311708672e+16
10,physicochemical_energetic,no_transform,train,1.82294939076395e+17
10,physicochemical_energetic,no_transform,test,1.7319376164225024e+16
11,physicochemical_energetic,no_transform,train,1.82294939076395e+17
11,physicochemical_energetic,no_transform,test,1.7319376164225024e+16
12,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
12,physicochemical_energetic,no_transform,test,1.7319376164225024e+16
13,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
13,physicochemical_energetic,no_transform,test,1.7319376164225024e+16
14,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
14,physicochemical_energetic,no_transform,test,1.73193750904832e+16
15,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
15,physicochemical_energetic,no_transform,test,1.73193750904832e+16
16,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
16,physicochemical_energetic,no_transform,test,1.73193750904832e+16
17,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
17,physicochemical_energetic,no_transform,test,1.7319372942999552e+16
18,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
18,physicochemical_energetic,no_transform,test,1.7319371869257728e+16
19,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
19,physicochemical_energetic,no_transform,test,1.7319371869257728e+16
20,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
20,physicochemical_energetic,no_transform,test,1.731936972177408e+16
21,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
21,physicochemical_energetic,no_transform,test,1.7319368648032256e+16
22,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
22,physicochemical_energetic,no_transform,test,1.7319366500548608e+16
23,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
23,physicochemical_energetic,no_transform,test,1.7319366500548608e+16
24,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
24,physicochemical_energetic,no_transform,test,1.7319365426806784e+16
25,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
25,physicochemical_energetic,no_transform,test,1.7319363279323136e+16
26,physicochemical_energetic,no_transform,train,1.8229492189652582e+17
26,physicochemical_energetic,no_transform,test,1.7319360058097664e+16
27,physicochemical_energetic,no_transform,train,1.8229490471665664e+17
27,physicochemical_energetic,no_transform,test,1.7319360058097664e+16
28,physicochemical_energetic,no_transform,train,1.8229490471665664e+17
28,physicochemical_energetic,no_transform,test,1.7319360058097664e+16
29,physicochemical_energetic,no_transform,train,1.8229488753678746e+17
29,physicochemical_energetic,no_transform,test,1.7319356836872192e+16
30,physicochemical_energetic,no_transform,train,1.8229488753678746e+17
30,physicochemical_energetic,no_transform,test,1.731935361564672e+16
31,physicochemical_energetic,no_transform,train,1.8229487035691827e+17
31,physicochemical_energetic,no_transform,test,1.731935361564672e+16
32,physicochemical_energetic,no_transform,train,1.8229487035691827e+17
32,physicochemical_energetic,no_transform,test,1.7319350394421248e+16
33,physicochemical_energetic,no_transform,train,1.8229487035691827e+17
33,physicochemical_energetic,no_transform,test,1.73193482469376e+16
34,physicochemical_energetic,no_transform,train,1.8229487035691827e+17
34,physicochemical_energetic,no_transform,test,1.7319345025712128e+16
35,physicochemical_energetic,no_transform,train,1.8229487035691827e+17
35,physicochemical_energetic,no_transform,test,1.7319343951970304e+16
36,physicochemical_energetic,no_transform,train,1.822948359971799e+17
36,physicochemical_energetic,no_transform,test,1.7319340730744832e+16
37,physicochemical_energetic,no_transform,train,1.822948359971799e+17
37,physicochemical_energetic,no_transform,test,1.7319338583261184e+16
38,physicochemical_energetic,no_transform,train,1.822948359971799e+17
38,physicochemical_energetic,no_transform,test,1.7319335362035712e+16
39,physicochemical_energetic,no_transform,train,1.822948359971799e+17
39,physicochemical_energetic,no_transform,test,1.7319331067068416e+16
40,physicochemical_energetic,no_transform,train,1.822948359971799e+17
40,physicochemical_energetic,no_transform,test,1.7319327845842944e+16
41,physicochemical_energetic,no_transform,train,1.822948359971799e+17
41,physicochemical_energetic,no_transform,test,1.7319324624617472e+16
42,physicochemical_energetic,no_transform,train,1.822948359971799e+17
42,physicochemical_energetic,no_transform,test,1.7319321403392e+16
43,physicochemical_energetic,no_transform,train,1.8229481881731072e+17
43,physicochemical_energetic,no_transform,test,1.7319318182166528e+16
44,physicochemical_energetic,no_transform,train,1.8229481881731072e+17
44,physicochemical_energetic,no_transform,test,1.731931066597376e+16
45,physicochemical_energetic,no_transform,train,1.8229480163744154e+17
45,physicochemical_energetic,no_transform,test,1.7319304223522816e+16
46,physicochemical_energetic,no_transform,train,1.8229480163744154e+17
46,physicochemical_energetic,no_transform,test,1.731929992855552e+16
47,physicochemical_energetic,no_transform,train,1.8229480163744154e+17
47,physicochemical_energetic,no_transform,test,1.73192945598464e+16
48,physicochemical_energetic,no_transform,train,1.8229478445757235e+17
48,physicochemical_energetic,no_transform,test,1.7319290264879104e+16
49,physicochemical_energetic,no_transform,train,1.8229478445757235e+17
49,physicochemical_energetic,no_transform,test,1.7319284896169984e+16
50,physicochemical_energetic,no_transform,train,1.8229476727770317e+17
50,physicochemical_energetic,no_transform,test,1.731927845371904e+16
51,physicochemical_energetic,no_transform,train,1.82294750097834e+17
51,physicochemical_energetic,no_transform,test,1.7319272011268096e+16
52,physicochemical_energetic,no_transform,train,1.82294750097834e+17
52,physicochemical_energetic,no_transform,test,1.7319265568817152e+16
53,physicochemical_energetic,no_transform,train,1.82294750097834e+17
53,physicochemical_energetic,no_transform,test,1.7319259126366208e+16
54,physicochemical_energetic,no_transform,train,1.822947157380956e+17
54,physicochemical_energetic,no_transform,test,1.7319249462689792e+16
55,physicochemical_energetic,no_transform,train,1.8229468137835725e+17
55,physicochemical_energetic,no_transform,test,1.7319241946497024e+16
56,physicochemical_energetic,no_transform,train,1.8229466419848806e+17
56,physicochemical_energetic,no_transform,test,1.7319234430304256e+16
57,physicochemical_energetic,no_transform,train,1.8229466419848806e+17
57,physicochemical_energetic,no_transform,test,1.7319225840369664e+16
58,physicochemical_energetic,no_transform,train,1.8229466419848806e+17
58,physicochemical_energetic,no_transform,test,1.731921939791872e+16
59,physicochemical_energetic,no_transform,train,1.8229464701861888e+17
59,physicochemical_energetic,no_transform,test,1.7319207586758656e+16
60,physicochemical_energetic,no_transform,train,1.8229464701861888e+17
60,physicochemical_energetic,no_transform,test,1.7319200070565888e+16
61,physicochemical_energetic,no_transform,train,1.822946126588805e+17
61,physicochemical_energetic,no_transform,test,1.7319190406889472e+16
62,physicochemical_energetic,no_transform,train,1.8229457829914214e+17
62,physicochemical_energetic,no_transform,test,1.731917644824576e+16
63,physicochemical_energetic,no_transform,train,1.8229457829914214e+17
63,physicochemical_energetic,no_transform,test,1.7319166784569344e+16
64,physicochemical_energetic,no_transform,train,1.8229454393940378e+17
64,physicochemical_energetic,no_transform,test,1.7319156047151104e+16
65,physicochemical_energetic,no_transform,train,1.822945267595346e+17
65,physicochemical_energetic,no_transform,test,1.731914423599104e+16
66,physicochemical_energetic,no_transform,train,1.822945267595346e+17
66,physicochemical_energetic,no_transform,test,1.7319131351089152e+16
67,physicochemical_energetic,no_transform,train,1.822945095796654e+17
67,physicochemical_energetic,no_transform,test,1.7319116318703616e+16
68,physicochemical_energetic,no_transform,train,1.8229447521992704e+17
68,physicochemical_energetic,no_transform,test,1.7319103433801728e+16
69,physicochemical_energetic,no_transform,train,1.8229444086018867e+17
69,physicochemical_energetic,no_transform,test,1.7319088401416192e+16
