Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_energetic,no_transform,train,0.9939014911651611
1,fft_energetic,no_transform,test,255.33270263671875
2,fft_energetic,no_transform,train,0.7167239785194397
2,fft_energetic,no_transform,test,5.1893534660339355
3,fft_energetic,no_transform,train,0.5623165369033813
3,fft_energetic,no_transform,test,1.6417821645736694
4,fft_energetic,no_transform,train,0.4451463222503662
4,fft_energetic,no_transform,test,0.5818739533424377
5,fft_energetic,no_transform,train,0.3801714777946472
5,fft_energetic,no_transform,test,0.3073330521583557
6,fft_energetic,no_transform,train,0.36618342995643616
6,fft_energetic,no_transform,test,0.6663306951522827
7,fft_energetic,no_transform,train,0.35997864603996277
7,fft_energetic,no_transform,test,1.4392733573913574
8,fft_energetic,no_transform,train,0.33161109685897827
8,fft_energetic,no_transform,test,2.166862726211548
9,fft_energetic,no_transform,train,0.2934568226337433
9,fft_energetic,no_transform,test,2.44958233833313
10,fft_energetic,no_transform,train,0.262662798166275
10,fft_energetic,no_transform,test,2.2472238540649414
11,fft_energetic,no_transform,train,0.24388736486434937
11,fft_energetic,no_transform,test,1.8219400644302368
12,fft_energetic,no_transform,train,0.2344946563243866
12,fft_energetic,no_transform,test,1.4042999744415283
13,fft_energetic,no_transform,train,0.22914756834506989
13,fft_energetic,no_transform,test,1.083264946937561
14,fft_energetic,no_transform,train,0.223596453666687
14,fft_energetic,no_transform,test,0.862520158290863
15,fft_energetic,no_transform,train,0.21625471115112305
15,fft_energetic,no_transform,test,0.723258912563324
16,fft_energetic,no_transform,train,0.20732559263706207
16,fft_energetic,no_transform,test,0.6297367811203003
17,fft_energetic,no_transform,train,0.19797071814537048
17,fft_energetic,no_transform,test,0.5642257332801819
18,fft_energetic,no_transform,train,0.18958893418312073
18,fft_energetic,no_transform,test,0.5142250657081604
19,fft_energetic,no_transform,train,0.1832820624113083
19,fft_energetic,no_transform,test,0.472143292427063
20,fft_energetic,no_transform,train,0.17868413031101227
20,fft_energetic,no_transform,test,0.4327877461910248
21,fft_energetic,no_transform,train,0.17444650828838348
21,fft_energetic,no_transform,test,0.3943098187446594
22,fft_energetic,no_transform,train,0.16953039169311523
22,fft_energetic,no_transform,test,0.35794538259506226
23,fft_energetic,no_transform,train,0.16384704411029816
23,fft_energetic,no_transform,test,0.32495513558387756
24,fft_energetic,no_transform,train,0.1581324189901352
24,fft_energetic,no_transform,test,0.2971577048301697
25,fft_energetic,no_transform,train,0.1532650589942932
25,fft_energetic,no_transform,test,0.27469348907470703
26,fft_energetic,no_transform,train,0.149489626288414
26,fft_energetic,no_transform,test,0.25701624155044556
27,fft_energetic,no_transform,train,0.14635787904262543
27,fft_energetic,no_transform,test,0.24293264746665955
28,fft_energetic,no_transform,train,0.14332029223442078
28,fft_energetic,no_transform,test,0.23099088668823242
29,fft_energetic,no_transform,train,0.13995446264743805
29,fft_energetic,no_transform,test,0.22068487107753754
30,fft_energetic,no_transform,train,0.1362459361553192
30,fft_energetic,no_transform,test,0.21196497976779938
31,fft_energetic,no_transform,train,0.13261938095092773
31,fft_energetic,no_transform,test,0.2043812870979309
32,fft_energetic,no_transform,train,0.12948189675807953
32,fft_energetic,no_transform,test,0.19810394942760468
33,fft_energetic,no_transform,train,0.12688744068145752
33,fft_energetic,no_transform,test,0.19348940253257751
34,fft_energetic,no_transform,train,0.12453138828277588
34,fft_energetic,no_transform,test,0.19010941684246063
35,fft_energetic,no_transform,train,0.12211784720420837
35,fft_energetic,no_transform,test,0.18710564076900482
36,fft_energetic,no_transform,train,0.119522325694561
36,fft_energetic,no_transform,test,0.18382616341114044
37,fft_energetic,no_transform,train,0.11688467860221863
37,fft_energetic,no_transform,test,0.17953595519065857
38,fft_energetic,no_transform,train,0.11436755210161209
38,fft_energetic,no_transform,test,0.17451731860637665
39,fft_energetic,no_transform,train,0.11207885295152664
39,fft_energetic,no_transform,test,0.1691914200782776
40,fft_energetic,no_transform,train,0.10997860878705978
40,fft_energetic,no_transform,test,0.16400788724422455
41,fft_energetic,no_transform,train,0.10792890936136246
41,fft_energetic,no_transform,test,0.15926949679851532
42,fft_energetic,no_transform,train,0.1058332622051239
42,fft_energetic,no_transform,test,0.1548142284154892
43,fft_energetic,no_transform,train,0.10368725657463074
43,fft_energetic,no_transform,test,0.15087582170963287
44,fft_energetic,no_transform,train,0.10155259072780609
44,fft_energetic,no_transform,test,0.14771993458271027
45,fft_energetic,no_transform,train,0.09954509884119034
45,fft_energetic,no_transform,test,0.145507350564003
46,fft_energetic,no_transform,train,0.09765618294477463
46,fft_energetic,no_transform,test,0.14399026334285736
47,fft_energetic,no_transform,train,0.09583351761102676
47,fft_energetic,no_transform,test,0.14270158112049103
48,fft_energetic,no_transform,train,0.09401611983776093
48,fft_energetic,no_transform,test,0.14120307564735413
49,fft_energetic,no_transform,train,0.09217479825019836
49,fft_energetic,no_transform,test,0.13924363255500793
50,fft_energetic,no_transform,train,0.09033651649951935
50,fft_energetic,no_transform,test,0.13651423156261444
51,fft_energetic,no_transform,train,0.08855345100164413
51,fft_energetic,no_transform,test,0.13320279121398926
52,fft_energetic,no_transform,train,0.08684864640235901
52,fft_energetic,no_transform,test,0.12978145480155945
53,fft_energetic,no_transform,train,0.08520741015672684
53,fft_energetic,no_transform,test,0.1262885183095932
54,fft_energetic,no_transform,train,0.08358372747898102
54,fft_energetic,no_transform,test,0.12307590991258621
55,fft_energetic,no_transform,train,0.08195579051971436
55,fft_energetic,no_transform,test,0.12016382813453674
56,fft_energetic,no_transform,train,0.0803474709391594
56,fft_energetic,no_transform,test,0.11775217205286026
57,fft_energetic,no_transform,train,0.07878301292657852
57,fft_energetic,no_transform,test,0.11586320400238037
58,fft_energetic,no_transform,train,0.07726646959781647
58,fft_energetic,no_transform,test,0.11452176421880722
59,fft_energetic,no_transform,train,0.07578704506158829
59,fft_energetic,no_transform,test,0.11350687593221664
60,fft_energetic,no_transform,train,0.07432793825864792
60,fft_energetic,no_transform,test,0.11252709478139877
61,fft_energetic,no_transform,train,0.07287854701280594
61,fft_energetic,no_transform,test,0.11122048646211624
62,fft_energetic,no_transform,train,0.07144858688116074
62,fft_energetic,no_transform,test,0.10932628065347672
63,fft_energetic,no_transform,train,0.0700448602437973
63,fft_energetic,no_transform,test,0.10690971463918686
64,fft_energetic,no_transform,train,0.06866960972547531
64,fft_energetic,no_transform,test,0.10413612425327301
65,fft_energetic,no_transform,train,0.06732221692800522
65,fft_energetic,no_transform,test,0.10128643363714218
66,fft_energetic,no_transform,train,0.06600085645914078
66,fft_energetic,no_transform,test,0.09860984981060028
67,fft_energetic,no_transform,train,0.06470233201980591
67,fft_energetic,no_transform,test,0.09623503684997559
68,fft_energetic,no_transform,train,0.0634230375289917
68,fft_energetic,no_transform,test,0.09424392133951187
69,fft_energetic,no_transform,train,0.06216239556670189
69,fft_energetic,no_transform,test,0.09263461083173752
70,fft_energetic,no_transform,train,0.0609222948551178
70,fft_energetic,no_transform,test,0.09127635508775711
71,fft_energetic,no_transform,train,0.05970550328493118
71,fft_energetic,no_transform,test,0.09008323401212692
72,fft_energetic,no_transform,train,0.058511942625045776
72,fft_energetic,no_transform,test,0.08889860659837723
73,fft_energetic,no_transform,train,0.05733964964747429
73,fft_energetic,no_transform,test,0.0876239538192749
74,fft_energetic,no_transform,train,0.056185267865657806
74,fft_energetic,no_transform,test,0.08615336567163467
75,fft_energetic,no_transform,train,0.05505101755261421
75,fft_energetic,no_transform,test,0.0844295471906662
76,fft_energetic,no_transform,train,0.05393361672759056
76,fft_energetic,no_transform,test,0.08253870159387589
77,fft_energetic,no_transform,train,0.05283352732658386
77,fft_energetic,no_transform,test,0.08052786439657211
78,fft_energetic,no_transform,train,0.051754362881183624
78,fft_energetic,no_transform,test,0.07869641482830048
79,fft_energetic,no_transform,train,0.05069558322429657
79,fft_energetic,no_transform,test,0.07703621685504913
80,fft_energetic,no_transform,train,0.04965595901012421
80,fft_energetic,no_transform,test,0.07558314502239227
81,fft_energetic,no_transform,train,0.0486360602080822
81,fft_energetic,no_transform,test,0.07431977987289429
82,fft_energetic,no_transform,train,0.04762823507189751
82,fft_energetic,no_transform,test,0.07318799197673798
83,fft_energetic,no_transform,train,0.04663991183042526
83,fft_energetic,no_transform,test,0.07215123623609543
84,fft_energetic,no_transform,train,0.04566887766122818
84,fft_energetic,no_transform,test,0.0711061954498291
85,fft_energetic,no_transform,train,0.044717803597450256
85,fft_energetic,no_transform,test,0.06993872672319412
86,fft_energetic,no_transform,train,0.04378357529640198
86,fft_energetic,no_transform,test,0.06862375885248184
87,fft_energetic,no_transform,train,0.04286428540945053
87,fft_energetic,no_transform,test,0.06715348362922668
88,fft_energetic,no_transform,train,0.041959960013628006
88,fft_energetic,no_transform,test,0.06564251333475113
89,fft_energetic,no_transform,train,0.04107245057821274
89,fft_energetic,no_transform,test,0.06420745700597763
90,fft_energetic,no_transform,train,0.04020051658153534
90,fft_energetic,no_transform,test,0.06287050247192383
91,fft_energetic,no_transform,train,0.039344482123851776
91,fft_energetic,no_transform,test,0.061619047075510025
92,fft_energetic,no_transform,train,0.03850386291742325
92,fft_energetic,no_transform,test,0.06040623039007187
93,fft_energetic,no_transform,train,0.03767856955528259
93,fft_energetic,no_transform,test,0.059204161167144775
94,fft_energetic,no_transform,train,0.0368691049516201
94,fft_energetic,no_transform,test,0.05798868462443352
95,fft_energetic,no_transform,train,0.03607431426644325
95,fft_energetic,no_transform,test,0.05677710473537445
96,fft_energetic,no_transform,train,0.03529275581240654
96,fft_energetic,no_transform,test,0.05563149228692055
97,fft_energetic,no_transform,train,0.03452576696872711
97,fft_energetic,no_transform,test,0.0545363612473011
98,fft_energetic,no_transform,train,0.033773038536310196
98,fft_energetic,no_transform,test,0.053488362580537796
99,fft_energetic,no_transform,train,0.03303466737270355
99,fft_energetic,no_transform,test,0.05245785415172577
100,fft_energetic,no_transform,train,0.032310210168361664
100,fft_energetic,no_transform,test,0.051406826823949814
