Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_hydropathy,no_transform,train,1.7982017993927002
1,fft_hydropathy,no_transform,test,47355.33984375
2,fft_hydropathy,no_transform,train,17.113801956176758
2,fft_hydropathy,no_transform,test,296.0184631347656
3,fft_hydropathy,no_transform,train,4.08077335357666
3,fft_hydropathy,no_transform,test,11.54428482055664
4,fft_hydropathy,no_transform,train,1.3983653783798218
4,fft_hydropathy,no_transform,test,1.4004414081573486
5,fft_hydropathy,no_transform,train,0.3775791525840759
5,fft_hydropathy,no_transform,test,7.166684627532959
6,fft_hydropathy,no_transform,train,0.22933509945869446
6,fft_hydropathy,no_transform,test,10.760258674621582
7,fft_hydropathy,no_transform,train,0.5717115998268127
7,fft_hydropathy,no_transform,test,11.634354591369629
8,fft_hydropathy,no_transform,train,0.9984549880027771
8,fft_hydropathy,no_transform,test,10.871480941772461
9,fft_hydropathy,no_transform,train,1.2239209413528442
9,fft_hydropathy,no_transform,test,9.286420822143555
10,fft_hydropathy,no_transform,train,1.1811981201171875
10,fft_hydropathy,no_transform,test,7.421072006225586
11,fft_hydropathy,no_transform,train,0.9495393633842468
11,fft_hydropathy,no_transform,test,5.6448259353637695
12,fft_hydropathy,no_transform,train,0.6537037491798401
12,fft_hydropathy,no_transform,test,4.127813339233398
13,fft_hydropathy,no_transform,train,0.39149749279022217
13,fft_hydropathy,no_transform,test,2.910768985748291
14,fft_hydropathy,no_transform,train,0.21080218255519867
14,fft_hydropathy,no_transform,test,1.9663256406784058
15,fft_hydropathy,no_transform,train,0.12096427381038666
15,fft_hydropathy,no_transform,test,1.254549503326416
16,fft_hydropathy,no_transform,train,0.10503189265727997
16,fft_hydropathy,no_transform,test,0.7389265894889832
17,fft_hydropathy,no_transform,train,0.13311965763568878
17,fft_hydropathy,no_transform,test,0.39183375239372253
18,fft_hydropathy,no_transform,train,0.17423468828201294
18,fft_hydropathy,no_transform,test,0.1818876564502716
19,fft_hydropathy,no_transform,train,0.20492754876613617
19,fft_hydropathy,no_transform,test,0.07712499052286148
20,fft_hydropathy,no_transform,train,0.21295759081840515
20,fft_hydropathy,no_transform,test,0.045811109244823456
21,fft_hydropathy,no_transform,train,0.1973722130060196
21,fft_hydropathy,no_transform,test,0.06014847010374069
22,fft_hydropathy,no_transform,train,0.1653221845626831
22,fft_hydropathy,no_transform,test,0.09790974110364914
23,fft_hydropathy,no_transform,train,0.1276615858078003
23,fft_hydropathy,no_transform,test,0.14225222170352936
24,fft_hydropathy,no_transform,train,0.09481698274612427
24,fft_hydropathy,no_transform,test,0.18238480389118195
25,fft_hydropathy,no_transform,train,0.0737486481666565
25,fft_hydropathy,no_transform,test,0.21139316260814667
26,fft_hydropathy,no_transform,train,0.06658411771059036
26,fft_hydropathy,no_transform,test,0.22531184554100037
27,fft_hydropathy,no_transform,train,0.07086324691772461
27,fft_hydropathy,no_transform,test,0.22326382994651794
28,fft_hydropathy,no_transform,train,0.08096545934677124
28,fft_hydropathy,no_transform,test,0.20666247606277466
29,fft_hydropathy,no_transform,train,0.0903833732008934
29,fft_hydropathy,no_transform,test,0.17855559289455414
30,fft_hydropathy,no_transform,train,0.0938156396150589
30,fft_hydropathy,no_transform,test,0.1434423327445984
31,fft_hydropathy,no_transform,train,0.08869890868663788
31,fft_hydropathy,no_transform,test,0.10564432293176651
32,fft_hydropathy,no_transform,train,0.07554961740970612
32,fft_hydropathy,no_transform,test,0.07075409591197968
33,fft_hydropathy,no_transform,train,0.057310912758111954
33,fft_hydropathy,no_transform,test,0.042613718658685684
34,fft_hydropathy,no_transform,train,0.03809361904859543
34,fft_hydropathy,no_transform,test,0.023753898218274117
35,fft_hydropathy,no_transform,train,0.021829139441251755
35,fft_hydropathy,no_transform,test,0.014362866058945656
36,fft_hydropathy,no_transform,train,0.011183989234268665
36,fft_hydropathy,no_transform,test,0.013177723623812199
37,fft_hydropathy,no_transform,train,0.007023426704108715
37,fft_hydropathy,no_transform,test,0.017692312598228455
38,fft_hydropathy,no_transform,train,0.0085048358887434
38,fft_hydropathy,no_transform,test,0.024916741997003555
39,fft_hydropathy,no_transform,train,0.013582921586930752
39,fft_hydropathy,no_transform,test,0.03203878924250603
40,fft_hydropathy,no_transform,train,0.019745271652936935
40,fft_hydropathy,no_transform,test,0.03683245927095413
41,fft_hydropathy,no_transform,train,0.02474108710885048
41,fft_hydropathy,no_transform,test,0.03812384977936745
42,fft_hydropathy,no_transform,train,0.02711321786046028
42,fft_hydropathy,no_transform,test,0.035789430141448975
43,fft_hydropathy,no_transform,train,0.02643340826034546
43,fft_hydropathy,no_transform,test,0.03063325770199299
44,fft_hydropathy,no_transform,train,0.02320651151239872
44,fft_hydropathy,no_transform,test,0.023962948471307755
45,fft_hydropathy,no_transform,train,0.018556946888566017
45,fft_hydropathy,no_transform,test,0.017227785661816597
46,fft_hydropathy,no_transform,train,0.013791576959192753
46,fft_hydropathy,no_transform,test,0.011631465516984463
47,fft_hydropathy,no_transform,train,0.009997621178627014
47,fft_hydropathy,no_transform,test,0.007872217334806919
48,fft_hydropathy,no_transform,train,0.007773437071591616
48,fft_hydropathy,no_transform,test,0.00609049154445529
49,fft_hydropathy,no_transform,train,0.0071468953974545
49,fft_hydropathy,no_transform,test,0.0059205167926847935
50,fft_hydropathy,no_transform,train,0.007676353678107262
50,fft_hydropathy,no_transform,test,0.00669144606217742
51,fft_hydropathy,no_transform,train,0.008671156130731106
51,fft_hydropathy,no_transform,test,0.007673333864659071
52,fft_hydropathy,no_transform,train,0.009448636323213577
52,fft_hydropathy,no_transform,test,0.008284059353172779
53,fft_hydropathy,no_transform,train,0.009548617526888847
53,fft_hydropathy,no_transform,test,0.00822101254016161
54,fft_hydropathy,no_transform,train,0.00883978046476841
54,fft_hydropathy,no_transform,test,0.007488894276320934
55,fft_hydropathy,no_transform,train,0.007505437824875116
55,fft_hydropathy,no_transform,test,0.006327469367533922
56,fft_hydropathy,no_transform,train,0.0059259976260364056
56,fft_hydropathy,no_transform,test,0.0050759147852659225
57,fft_hydropathy,no_transform,train,0.004523188341408968
57,fft_hydropathy,no_transform,test,0.004043994937092066
58,fft_hydropathy,no_transform,train,0.003612168598920107
58,fft_hydropathy,no_transform,test,0.0034162781666964293
59,fft_hydropathy,no_transform,train,0.0033121027518063784
59,fft_hydropathy,no_transform,test,0.0032166189048439264
60,fft_hydropathy,no_transform,train,0.003535258350893855
60,fft_hydropathy,no_transform,test,0.0033323452807962894
61,fft_hydropathy,no_transform,train,0.004045828711241484
61,fft_hydropathy,no_transform,test,0.0035812989808619022
62,fft_hydropathy,no_transform,train,0.004558508284389973
62,fft_hydropathy,no_transform,test,0.0037858402356505394
63,fft_hydropathy,no_transform,train,0.00483825383707881
63,fft_hydropathy,no_transform,test,0.0038336818106472492
64,fft_hydropathy,no_transform,train,0.0047683450393378735
64,fft_hydropathy,no_transform,test,0.003702356480062008
65,fft_hydropathy,no_transform,train,0.004369074013084173
65,fft_hydropathy,no_transform,test,0.003445531940087676
66,fft_hydropathy,no_transform,train,0.0037681434769183397
66,fft_hydropathy,no_transform,test,0.0031582831870764494
67,fft_hydropathy,no_transform,train,0.003140008309856057
67,fft_hydropathy,no_transform,test,0.0029326947405934334
68,fft_hydropathy,no_transform,train,0.0026391479186713696
68,fft_hydropathy,no_transform,test,0.0028207588475197554
69,fft_hydropathy,no_transform,train,0.002351075178012252
69,fft_hydropathy,no_transform,test,0.002819557674229145
70,fft_hydropathy,no_transform,train,0.0022750196512788534
70,fft_hydropathy,no_transform,test,0.0028797953855246305
71,fft_hydropathy,no_transform,train,0.0023394590243697166
71,fft_hydropathy,no_transform,test,0.002931462600827217
72,fft_hydropathy,no_transform,train,0.002440117299556732
72,fft_hydropathy,no_transform,test,0.002914760960265994
73,fft_hydropathy,no_transform,train,0.002483432414010167
73,fft_hydropathy,no_transform,test,0.002801802707836032
74,fft_hydropathy,no_transform,train,0.002418993506580591
74,fft_hydropathy,no_transform,test,0.0026037818752229214
75,fft_hydropathy,no_transform,train,0.00225083134137094
75,fft_hydropathy,no_transform,test,0.002362563507631421
76,fft_hydropathy,no_transform,train,0.002026607748121023
76,fft_hydropathy,no_transform,test,0.0021316958591341972
77,fft_hydropathy,no_transform,train,0.0018122507026419044
77,fft_hydropathy,no_transform,test,0.001955206971615553
78,fft_hydropathy,no_transform,train,0.001663555158302188
78,fft_hydropathy,no_transform,test,0.0018531869864091277
79,fft_hydropathy,no_transform,train,0.0016059086192399263
79,fft_hydropathy,no_transform,test,0.0018185649532824755
80,fft_hydropathy,no_transform,train,0.001628445228561759
80,fft_hydropathy,no_transform,test,0.00182337814476341
81,fft_hydropathy,no_transform,train,0.0016927954275161028
81,fft_hydropathy,no_transform,test,0.0018329466693103313
82,fft_hydropathy,no_transform,train,0.0017509044846519828
82,fft_hydropathy,no_transform,test,0.0018200153717771173
83,fft_hydropathy,no_transform,train,0.0017640349688008428
83,fft_hydropathy,no_transform,test,0.0017739852191880345
84,fft_hydropathy,no_transform,train,0.0017156837275251746
84,fft_hydropathy,no_transform,test,0.0017024643020704389
85,fft_hydropathy,no_transform,train,0.0016143389511853456
85,fft_hydropathy,no_transform,test,0.0016253793146461248
86,fft_hydropathy,no_transform,train,0.0014867509016767144
86,fft_hydropathy,no_transform,test,0.0015652567381039262
87,fft_hydropathy,no_transform,train,0.001365379779599607
87,fft_hydropathy,no_transform,test,0.0015380720142275095
