Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_secondary_structure,no_transform,train,0.24038046598434448
1,fft_secondary_structure,no_transform,test,4524.45751953125
2,fft_secondary_structure,no_transform,train,2.242788553237915
2,fft_secondary_structure,no_transform,test,35.81997299194336
3,fft_secondary_structure,no_transform,train,0.5658879280090332
3,fft_secondary_structure,no_transform,test,2.045179843902588
4,fft_secondary_structure,no_transform,train,0.20234651863574982
4,fft_secondary_structure,no_transform,test,0.1272365003824234
5,fft_secondary_structure,no_transform,train,0.09103677421808243
5,fft_secondary_structure,no_transform,test,0.9753068685531616
6,fft_secondary_structure,no_transform,train,0.08625396341085434
6,fft_secondary_structure,no_transform,test,1.654646873474121
7,fft_secondary_structure,no_transform,train,0.12226226180791855
7,fft_secondary_structure,no_transform,test,1.9764782190322876
8,fft_secondary_structure,no_transform,train,0.1590137481689453
8,fft_secondary_structure,no_transform,test,2.039935827255249
9,fft_secondary_structure,no_transform,train,0.1771848201751709
9,fft_secondary_structure,no_transform,test,1.9348942041397095
10,fft_secondary_structure,no_transform,train,0.17388606071472168
10,fft_secondary_structure,no_transform,test,1.7332146167755127
11,fft_secondary_structure,no_transform,train,0.1548033207654953
11,fft_secondary_structure,no_transform,test,1.483594536781311
12,fft_secondary_structure,no_transform,train,0.12795597314834595
12,fft_secondary_structure,no_transform,test,1.2306020259857178
13,fft_secondary_structure,no_transform,train,0.10044007003307343
13,fft_secondary_structure,no_transform,test,0.9987791180610657
14,fft_secondary_structure,no_transform,train,0.07760637998580933
14,fft_secondary_structure,no_transform,test,0.7941062450408936
15,fft_secondary_structure,no_transform,train,0.061534538865089417
15,fft_secondary_structure,no_transform,test,0.6188711524009705
16,fft_secondary_structure,no_transform,train,0.05215305835008621
16,fft_secondary_structure,no_transform,test,0.4734654724597931
17,fft_secondary_structure,no_transform,train,0.04816064611077309
17,fft_secondary_structure,no_transform,test,0.3556576669216156
18,fft_secondary_structure,no_transform,train,0.047675665467977524
18,fft_secondary_structure,no_transform,test,0.26266738772392273
19,fft_secondary_structure,no_transform,train,0.04876706376671791
19,fft_secondary_structure,no_transform,test,0.19174084067344666
20,fft_secondary_structure,no_transform,train,0.04973030462861061
20,fft_secondary_structure,no_transform,test,0.13891540467739105
21,fft_secondary_structure,no_transform,train,0.04946530610322952
21,fft_secondary_structure,no_transform,test,0.10088106244802475
22,fft_secondary_structure,no_transform,train,0.047534577548503876
22,fft_secondary_structure,no_transform,test,0.07396194338798523
23,fft_secondary_structure,no_transform,train,0.04414799436926842
23,fft_secondary_structure,no_transform,test,0.055410515516996384
24,fft_secondary_structure,no_transform,train,0.03994760289788246
24,fft_secondary_structure,no_transform,test,0.04302488639950752
25,fft_secondary_structure,no_transform,train,0.03563925251364708
25,fft_secondary_structure,no_transform,test,0.035159703344106674
26,fft_secondary_structure,no_transform,train,0.03170735761523247
26,fft_secondary_structure,no_transform,test,0.03059755265712738
27,fft_secondary_structure,no_transform,train,0.02844145894050598
27,fft_secondary_structure,no_transform,test,0.028344478458166122
28,fft_secondary_structure,no_transform,train,0.025971392169594765
28,fft_secondary_structure,no_transform,test,0.02757851406931877
