Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fft_volume,no_transform,train,0.6506215333938599
1,fft_volume,no_transform,test,12626.0419921875
2,fft_volume,no_transform,train,21.264812469482422
2,fft_volume,no_transform,test,73.59900665283203
3,fft_volume,no_transform,train,3.5865442752838135
3,fft_volume,no_transform,test,36.332462310791016
4,fft_volume,no_transform,train,1.479496717453003
4,fft_volume,no_transform,test,12.424189567565918
5,fft_volume,no_transform,train,0.6557145714759827
5,fft_volume,no_transform,test,5.5912699699401855
6,fft_volume,no_transform,train,0.532675564289093
6,fft_volume,no_transform,test,3.8607852458953857
7,fft_volume,no_transform,train,0.6609278321266174
7,fft_volume,no_transform,test,3.740615129470825
8,fft_volume,no_transform,train,0.7812814712524414
8,fft_volume,no_transform,test,4.224951267242432
9,fft_volume,no_transform,train,0.8086371421813965
9,fft_volume,no_transform,test,4.887325286865234
10,fft_volume,no_transform,train,0.7606897354125977
10,fft_volume,no_transform,test,5.352785587310791
11,fft_volume,no_transform,train,0.6830216646194458
11,fft_volume,no_transform,test,5.391057014465332
12,fft_volume,no_transform,train,0.6091049313545227
12,fft_volume,no_transform,test,4.94992733001709
13,fft_volume,no_transform,train,0.5490996241569519
13,fft_volume,no_transform,test,4.141981601715088
14,fft_volume,no_transform,train,0.4985637664794922
14,fft_volume,no_transform,test,3.171624183654785
15,fft_volume,no_transform,train,0.45058473944664
15,fft_volume,no_transform,test,2.2303104400634766
16,fft_volume,no_transform,train,0.40258508920669556
16,fft_volume,no_transform,test,1.4534951448440552
17,fft_volume,no_transform,train,0.35767558217048645
17,fft_volume,no_transform,test,0.9012202024459839
18,fft_volume,no_transform,train,0.3215573728084564
18,fft_volume,no_transform,test,0.5686485171318054
19,fft_volume,no_transform,train,0.29871612787246704
19,fft_volume,no_transform,test,0.4091527462005615
20,fft_volume,no_transform,train,0.289437472820282
20,fft_volume,no_transform,test,0.36062565445899963
21,fft_volume,no_transform,train,0.28941595554351807
21,fft_volume,no_transform,test,0.36729931831359863
22,fft_volume,no_transform,train,0.2915758490562439
22,fft_volume,no_transform,test,0.3853927254676819
23,fft_volume,no_transform,train,0.28865721821784973
23,fft_volume,no_transform,test,0.38801702857017517
24,fft_volume,no_transform,train,0.2765462100505829
24,fft_volume,no_transform,test,0.36686742305755615
25,fft_volume,no_transform,train,0.25559380650520325
25,fft_volume,no_transform,test,0.32583773136138916
26,fft_volume,no_transform,train,0.22984765470027924
26,fft_volume,no_transform,test,0.27605146169662476
27,fft_volume,no_transform,train,0.20472019910812378
27,fft_volume,no_transform,test,0.22855231165885925
28,fft_volume,no_transform,train,0.18479248881340027
28,fft_volume,no_transform,test,0.1919657588005066
29,fft_volume,no_transform,train,0.17194442451000214
29,fft_volume,no_transform,test,0.17002077400684357
30,fft_volume,no_transform,train,0.16518253087997437
30,fft_volume,no_transform,test,0.16211268305778503
31,fft_volume,no_transform,train,0.16155438125133514
31,fft_volume,no_transform,test,0.1666804552078247
32,fft_volume,no_transform,train,0.15796273946762085
32,fft_volume,no_transform,test,0.17731443047523499
33,fft_volume,no_transform,train,0.15298813581466675
33,fft_volume,no_transform,test,0.18875639140605927
34,fft_volume,no_transform,train,0.14699386060237885
34,fft_volume,no_transform,test,0.19677534699440002
35,fft_volume,no_transform,train,0.14139723777770996
35,fft_volume,no_transform,test,0.1989862471818924
36,fft_volume,no_transform,train,0.13707610964775085
36,fft_volume,no_transform,test,0.19544966518878937
37,fft_volume,no_transform,train,0.13366597890853882
37,fft_volume,no_transform,test,0.18723392486572266
38,fft_volume,no_transform,train,0.1301293671131134
38,fft_volume,no_transform,test,0.1761433482170105
39,fft_volume,no_transform,train,0.12533575296401978
39,fft_volume,no_transform,test,0.16360490024089813
40,fft_volume,no_transform,train,0.11897650361061096
40,fft_volume,no_transform,test,0.1504354625940323
41,fft_volume,no_transform,train,0.11174045503139496
41,fft_volume,no_transform,test,0.13806836307048798
42,fft_volume,no_transform,train,0.10492738336324692
42,fft_volume,no_transform,test,0.12774087488651276
43,fft_volume,no_transform,train,0.09966665506362915
