Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,glove,no_transform,train,0.7712031006813049
1,glove,no_transform,test,3.8676915168762207
2,glove,no_transform,train,0.8575339317321777
2,glove,no_transform,test,0.2162550687789917
3,glove,no_transform,train,0.3325076103210449
3,glove,no_transform,test,4.1488494873046875
4,glove,no_transform,train,0.2092571258544922
4,glove,no_transform,test,10.737117767333984
5,glove,no_transform,train,0.23664705455303192
5,glove,no_transform,test,15.98074722290039
6,glove,no_transform,train,0.27405956387519836
6,glove,no_transform,test,18.308629989624023
7,glove,no_transform,train,0.2499758005142212
7,glove,no_transform,test,17.712753295898438
8,glove,no_transform,train,0.20441609621047974
8,glove,no_transform,test,15.0481595993042
9,glove,no_transform,train,0.1815023273229599
9,glove,no_transform,test,11.39777946472168
10,glove,no_transform,train,0.1830810010433197
10,glove,no_transform,test,7.701315402984619
11,glove,no_transform,train,0.18526215851306915
11,glove,no_transform,test,4.5821356773376465
12,glove,no_transform,train,0.1713850498199463
12,glove,no_transform,test,2.32979154586792
13,glove,no_transform,train,0.14626842737197876
13,glove,no_transform,test,0.9664967656135559
14,glove,no_transform,train,0.12487545609474182
14,glove,no_transform,test,0.33368295431137085
15,glove,no_transform,train,0.11536743491888046
15,glove,no_transform,test,0.19111451506614685
16,glove,no_transform,train,0.11347697675228119
16,glove,no_transform,test,0.30070769786834717
17,glove,no_transform,train,0.10958513617515564
17,glove,no_transform,test,0.48524314165115356
18,glove,no_transform,train,0.0989983081817627
18,glove,no_transform,test,0.6456699371337891
19,glove,no_transform,train,0.08527781814336777
19,glove,no_transform,test,0.7452344298362732
20,glove,no_transform,train,0.0752299427986145
20,glove,no_transform,test,0.7815431356430054
21,glove,no_transform,train,0.07193977385759354
21,glove,no_transform,test,0.7677221298217773
22,glove,no_transform,train,0.0724329873919487
22,glove,no_transform,test,0.719072163105011
23,glove,no_transform,train,0.07145785540342331
23,glove,no_transform,test,0.649366557598114
24,glove,no_transform,train,0.06689900159835815
24,glove,no_transform,test,0.5691747069358826
25,glove,no_transform,train,0.0611930750310421
25,glove,no_transform,test,0.48602616786956787
26,glove,no_transform,train,0.057931579649448395
26,glove,no_transform,test,0.40866705775260925
27,glove,no_transform,train,0.05794775113463402
27,glove,no_transform,test,0.33872950077056885
28,glove,no_transform,train,0.05883049964904785
28,glove,no_transform,test,0.2813132703304291
29,glove,no_transform,train,0.057783063501119614
29,glove,no_transform,test,0.23923896253108978
30,glove,no_transform,train,0.0544118694961071
30,glove,no_transform,test,0.21113041043281555
31,glove,no_transform,train,0.050674084573984146
31,glove,no_transform,test,0.1914491504430771
32,glove,no_transform,train,0.04848700761795044
32,glove,no_transform,test,0.1745356172323227
33,glove,no_transform,train,0.04777391627430916
33,glove,no_transform,test,0.15780706703662872
34,glove,no_transform,train,0.04687818884849548
34,glove,no_transform,test,0.1417635828256607
35,glove,no_transform,train,0.04459068551659584
35,glove,no_transform,test,0.1281229853630066
36,glove,no_transform,train,0.041415002197027206
36,glove,no_transform,test,0.11677946150302887
37,glove,no_transform,train,0.038786113262176514
37,glove,no_transform,test,0.10716192424297333
38,glove,no_transform,train,0.03740999102592468
38,glove,no_transform,test,0.09767041355371475
39,glove,no_transform,train,0.03664667531847954
39,glove,no_transform,test,0.0875234603881836
40,glove,no_transform,train,0.035444434732198715
40,glove,no_transform,test,0.07677092403173447
41,glove,no_transform,train,0.03355839103460312
41,glove,no_transform,test,0.06652284413576126
42,glove,no_transform,train,0.03168357163667679
42,glove,no_transform,test,0.05807160213589668
43,glove,no_transform,train,0.030522378161549568
43,glove,no_transform,test,0.05190441757440567
44,glove,no_transform,train,0.029983514919877052
44,glove,no_transform,test,0.047882433980703354
45,glove,no_transform,train,0.029394088312983513
45,glove,no_transform,test,0.04541740566492081
46,glove,no_transform,train,0.028339406475424767
46,glove,no_transform,test,0.04397858679294586
47,glove,no_transform,train,0.027079971507191658
47,glove,no_transform,test,0.04315757006406784
48,glove,no_transform,train,0.026114806532859802
48,glove,no_transform,test,0.04239976033568382
49,glove,no_transform,train,0.025549674406647682
49,glove,no_transform,test,0.04118456691503525
50,glove,no_transform,train,0.025029338896274567
50,glove,no_transform,test,0.03924695774912834
51,glove,no_transform,train,0.02421974204480648
51,glove,no_transform,test,0.036788564175367355
52,glove,no_transform,train,0.023197777569293976
52,glove,no_transform,test,0.03429415076971054
53,glove,no_transform,train,0.022290991619229317
53,glove,no_transform,test,0.032168008387088776
54,glove,no_transform,train,0.021646659821271896
54,glove,no_transform,test,0.030524248257279396
55,glove,no_transform,train,0.021086081862449646
55,glove,no_transform,test,0.02928665280342102
56,glove,no_transform,train,0.020382460206747055
56,glove,no_transform,test,0.028378764167428017
57,glove,no_transform,train,0.01955343410372734
57,glove,no_transform,test,0.027743522077798843
58,glove,no_transform,train,0.018802471458911896
58,glove,no_transform,test,0.02723020128905773
59,glove,no_transform,train,0.018239086493849754
59,glove,no_transform,test,0.02658206596970558
60,glove,no_transform,train,0.017756711691617966
60,glove,no_transform,test,0.025590235367417336
61,glove,no_transform,train,0.01720241829752922
61,glove,no_transform,test,0.02431563287973404
62,glove,no_transform,train,0.01657699979841709
62,glove,no_transform,test,0.022998115047812462
63,glove,no_transform,train,0.016005907207727432
63,glove,no_transform,test,0.021850019693374634
64,glove,no_transform,train,0.01555130910128355
64,glove,no_transform,test,0.020929329097270966
65,glove,no_transform,train,0.015137157402932644
65,glove,no_transform,test,0.020189009606838226
66,glove,no_transform,train,0.014667630195617676
66,glove,no_transform,test,0.019580159336328506
67,glove,no_transform,train,0.014154010452330112
67,glove,no_transform,test,0.019067903980612755
68,glove,no_transform,train,0.013679135590791702
68,glove,no_transform,test,0.018575167283415794
69,glove,no_transform,train,0.013272632844746113
69,glove,no_transform,test,0.01800067536532879
70,glove,no_transform,train,0.012878471985459328
70,glove,no_transform,test,0.017304247245192528
71,glove,no_transform,train,0.012444686144590378
71,glove,no_transform,test,0.016556158661842346
72,glove,no_transform,train,0.011993718333542347
72,glove,no_transform,test,0.015863750129938126
73,glove,no_transform,train,0.011579237878322601
73,glove,no_transform,test,0.015276630409061909
74,glove,no_transform,train,0.01120735052973032
74,glove,no_transform,test,0.014769129455089569
75,glove,no_transform,train,0.010835111141204834
75,glove,no_transform,test,0.014302625320851803
76,glove,no_transform,train,0.010441348887979984
76,glove,no_transform,test,0.013865089975297451
77,glove,no_transform,train,0.0100528160110116
77,glove,no_transform,test,0.013454245403409004
78,glove,no_transform,train,0.00969919003546238
78,glove,no_transform,test,0.013051947578787804
