Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_alpha_structure,no_transform,train,0.36080268025398254
1,physicochemical_alpha_structure,no_transform,test,3953.435546875
2,physicochemical_alpha_structure,no_transform,train,84.28833770751953
2,physicochemical_alpha_structure,no_transform,test,218.14573669433594
3,physicochemical_alpha_structure,no_transform,train,19.439895629882812
3,physicochemical_alpha_structure,no_transform,test,25.601558685302734
4,physicochemical_alpha_structure,no_transform,train,4.413280963897705
4,physicochemical_alpha_structure,no_transform,test,9.517363548278809
5,physicochemical_alpha_structure,no_transform,train,2.1786890029907227
5,physicochemical_alpha_structure,no_transform,test,8.1087007522583
6,physicochemical_alpha_structure,no_transform,train,1.812970519065857
6,physicochemical_alpha_structure,no_transform,test,7.012537956237793
7,physicochemical_alpha_structure,no_transform,train,1.759804129600525
7,physicochemical_alpha_structure,no_transform,test,5.589786052703857
8,physicochemical_alpha_structure,no_transform,train,1.7085120677947998
8,physicochemical_alpha_structure,no_transform,test,4.158300876617432
9,physicochemical_alpha_structure,no_transform,train,1.546446442604065
9,physicochemical_alpha_structure,no_transform,test,2.990356206893921
10,physicochemical_alpha_structure,no_transform,train,1.2942763566970825
10,physicochemical_alpha_structure,no_transform,test,2.144678831100464
11,physicochemical_alpha_structure,no_transform,train,1.0200748443603516
11,physicochemical_alpha_structure,no_transform,test,1.5677706003189087
12,physicochemical_alpha_structure,no_transform,train,0.7705400586128235
12,physicochemical_alpha_structure,no_transform,test,1.1921380758285522
13,physicochemical_alpha_structure,no_transform,train,0.5843945741653442
13,physicochemical_alpha_structure,no_transform,test,0.9369879961013794
14,physicochemical_alpha_structure,no_transform,train,0.47089269757270813
14,physicochemical_alpha_structure,no_transform,test,0.7423163056373596
15,physicochemical_alpha_structure,no_transform,train,0.41127580404281616
15,physicochemical_alpha_structure,no_transform,test,0.5800951719284058
16,physicochemical_alpha_structure,no_transform,train,0.38162755966186523
16,physicochemical_alpha_structure,no_transform,test,0.45930153131484985
17,physicochemical_alpha_structure,no_transform,train,0.36416590213775635
17,physicochemical_alpha_structure,no_transform,test,0.3931092917919159
18,physicochemical_alpha_structure,no_transform,train,0.35034123063087463
18,physicochemical_alpha_structure,no_transform,test,0.38176706433296204
19,physicochemical_alpha_structure,no_transform,train,0.33820798993110657
19,physicochemical_alpha_structure,no_transform,test,0.4008858799934387
20,physicochemical_alpha_structure,no_transform,train,0.3239501416683197
20,physicochemical_alpha_structure,no_transform,test,0.41646575927734375
21,physicochemical_alpha_structure,no_transform,train,0.3026684820652008
21,physicochemical_alpha_structure,no_transform,test,0.40301376581192017
22,physicochemical_alpha_structure,no_transform,train,0.2707369923591614
22,physicochemical_alpha_structure,no_transform,test,0.35213592648506165
23,physicochemical_alpha_structure,no_transform,train,0.22809821367263794
23,physicochemical_alpha_structure,no_transform,test,0.27597576379776
24,physicochemical_alpha_structure,no_transform,train,0.17989200353622437
24,physicochemical_alpha_structure,no_transform,test,0.19546782970428467
25,physicochemical_alpha_structure,no_transform,train,0.13445796072483063
25,physicochemical_alpha_structure,no_transform,test,0.13194473087787628
26,physicochemical_alpha_structure,no_transform,train,0.09988205879926682
26,physicochemical_alpha_structure,no_transform,test,0.09771867096424103
27,physicochemical_alpha_structure,no_transform,train,0.08073750883340836
27,physicochemical_alpha_structure,no_transform,test,0.09226594865322113
28,physicochemical_alpha_structure,no_transform,train,0.07641496509313583
28,physicochemical_alpha_structure,no_transform,test,0.10421423614025116
29,physicochemical_alpha_structure,no_transform,train,0.08141855150461197
29,physicochemical_alpha_structure,no_transform,test,0.11831104755401611
30,physicochemical_alpha_structure,no_transform,train,0.0880436971783638
30,physicochemical_alpha_structure,no_transform,test,0.12251696735620499
31,physicochemical_alpha_structure,no_transform,train,0.08995173871517181
31,physicochemical_alpha_structure,no_transform,test,0.11268607527017593
32,physicochemical_alpha_structure,no_transform,train,0.08452951163053513
32,physicochemical_alpha_structure,no_transform,test,0.09259554743766785
33,physicochemical_alpha_structure,no_transform,train,0.07351941615343094
33,physicochemical_alpha_structure,no_transform,test,0.07035364955663681
34,physicochemical_alpha_structure,no_transform,train,0.061204519122838974
34,physicochemical_alpha_structure,no_transform,test,0.05341566726565361
35,physicochemical_alpha_structure,no_transform,train,0.051890548318624496
35,physicochemical_alpha_structure,no_transform,test,0.04535754397511482
36,physicochemical_alpha_structure,no_transform,train,0.047583602368831635
36,physicochemical_alpha_structure,no_transform,test,0.04474750533699989
37,physicochemical_alpha_structure,no_transform,train,0.047343917191028595
37,physicochemical_alpha_structure,no_transform,test,0.04710327833890915
38,physicochemical_alpha_structure,no_transform,train,0.04833827167749405
38,physicochemical_alpha_structure,no_transform,test,0.04776930436491966
39,physicochemical_alpha_structure,no_transform,train,0.047598835080862045
39,physicochemical_alpha_structure,no_transform,test,0.0443153902888298
40,physicochemical_alpha_structure,no_transform,train,0.043535295873880386
40,physicochemical_alpha_structure,no_transform,test,0.03718523308634758
41,physicochemical_alpha_structure,no_transform,train,0.03645176813006401
41,physicochemical_alpha_structure,no_transform,test,0.02874968759715557
42,physicochemical_alpha_structure,no_transform,train,0.028086524456739426
42,physicochemical_alpha_structure,no_transform,test,0.02146945521235466
43,physicochemical_alpha_structure,no_transform,train,0.02043236419558525
43,physicochemical_alpha_structure,no_transform,test,0.016727836802601814
44,physicochemical_alpha_structure,no_transform,train,0.014856623485684395
44,physicochemical_alpha_structure,no_transform,test,0.014417292550206184
45,physicochemical_alpha_structure,no_transform,train,0.011718607507646084
45,physicochemical_alpha_structure,no_transform,test,0.013505379669368267
46,physicochemical_alpha_structure,no_transform,train,0.01057897973805666
46,physicochemical_alpha_structure,no_transform,test,0.012953556142747402
47,physicochemical_alpha_structure,no_transform,train,0.010725541040301323
47,physicochemical_alpha_structure,no_transform,test,0.012358583509922028
48,physicochemical_alpha_structure,no_transform,train,0.011579060927033424
48,physicochemical_alpha_structure,no_transform,test,0.01189566869288683
49,physicochemical_alpha_structure,no_transform,train,0.012773929163813591
49,physicochemical_alpha_structure,no_transform,test,0.011868808418512344
50,physicochemical_alpha_structure,no_transform,train,0.013997106812894344
50,physicochemical_alpha_structure,no_transform,test,0.012261033058166504
51,physicochemical_alpha_structure,no_transform,train,0.01483891811221838
51,physicochemical_alpha_structure,no_transform,test,0.012644338421523571
52,physicochemical_alpha_structure,no_transform,train,0.014847508631646633
52,physicochemical_alpha_structure,no_transform,test,0.012465323321521282
53,physicochemical_alpha_structure,no_transform,train,0.01376317162066698
53,physicochemical_alpha_structure,no_transform,test,0.011443532072007656
54,physicochemical_alpha_structure,no_transform,train,0.01173392403870821
54,physicochemical_alpha_structure,no_transform,test,0.009768981486558914
55,physicochemical_alpha_structure,no_transform,train,0.00931576732546091
55,physicochemical_alpha_structure,no_transform,test,0.007973331026732922
56,physicochemical_alpha_structure,no_transform,train,0.007219443563371897
56,physicochemical_alpha_structure,no_transform,test,0.006584842223674059
57,physicochemical_alpha_structure,no_transform,train,0.005948706530034542
57,physicochemical_alpha_structure,no_transform,test,0.005825477186590433
58,physicochemical_alpha_structure,no_transform,train,0.005558302626013756
58,physicochemical_alpha_structure,no_transform,test,0.005544645711779594
59,physicochemical_alpha_structure,no_transform,train,0.0056781829334795475
59,physicochemical_alpha_structure,no_transform,test,0.005401874892413616
60,physicochemical_alpha_structure,no_transform,train,0.005778555758297443
