Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_alpha_structure,no_transform,train,0.2558988332748413
1,physicochemical_alpha_structure,no_transform,test,4261.0244140625
2,physicochemical_alpha_structure,no_transform,train,73.46637725830078
2,physicochemical_alpha_structure,no_transform,test,218.59408569335938
3,physicochemical_alpha_structure,no_transform,train,14.909337997436523
3,physicochemical_alpha_structure,no_transform,test,10.439773559570312
4,physicochemical_alpha_structure,no_transform,train,0.8522414565086365
4,physicochemical_alpha_structure,no_transform,test,13.076759338378906
5,physicochemical_alpha_structure,no_transform,train,1.4231643676757812
5,physicochemical_alpha_structure,no_transform,test,10.440091133117676
6,physicochemical_alpha_structure,no_transform,train,1.5778160095214844
6,physicochemical_alpha_structure,no_transform,test,6.0421600341796875
7,physicochemical_alpha_structure,no_transform,train,1.206881046295166
7,physicochemical_alpha_structure,no_transform,test,2.942265510559082
8,physicochemical_alpha_structure,no_transform,train,0.7670687437057495
8,physicochemical_alpha_structure,no_transform,test,1.3461178541183472
9,physicochemical_alpha_structure,no_transform,train,0.45711877942085266
9,physicochemical_alpha_structure,no_transform,test,0.836962103843689
10,physicochemical_alpha_structure,no_transform,train,0.323020875453949
10,physicochemical_alpha_structure,no_transform,test,0.9015464782714844
11,physicochemical_alpha_structure,no_transform,train,0.3201413154602051
11,physicochemical_alpha_structure,no_transform,test,1.1004228591918945
12,physicochemical_alpha_structure,no_transform,train,0.3705345690250397
12,physicochemical_alpha_structure,no_transform,test,1.196319341659546
13,physicochemical_alpha_structure,no_transform,train,0.4153701364994049
13,physicochemical_alpha_structure,no_transform,test,1.15285325050354
14,physicochemical_alpha_structure,no_transform,train,0.42669758200645447
14,physicochemical_alpha_structure,no_transform,test,0.9986633062362671
15,physicochemical_alpha_structure,no_transform,train,0.40048322081565857
15,physicochemical_alpha_structure,no_transform,test,0.789254903793335
16,physicochemical_alpha_structure,no_transform,train,0.34747329354286194
16,physicochemical_alpha_structure,no_transform,test,0.5770160555839539
17,physicochemical_alpha_structure,no_transform,train,0.2811906039714813
17,physicochemical_alpha_structure,no_transform,test,0.40115877985954285
18,physicochemical_alpha_structure,no_transform,train,0.2159591019153595
18,physicochemical_alpha_structure,no_transform,test,0.2824894189834595
19,physicochemical_alpha_structure,no_transform,train,0.16368244588375092
19,physicochemical_alpha_structure,no_transform,test,0.22087380290031433
20,physicochemical_alpha_structure,no_transform,train,0.12891225516796112
20,physicochemical_alpha_structure,no_transform,test,0.20371419191360474
21,physicochemical_alpha_structure,no_transform,train,0.11067529767751694
21,physicochemical_alpha_structure,no_transform,test,0.21263453364372253
22,physicochemical_alpha_structure,no_transform,train,0.10515012592077255
22,physicochemical_alpha_structure,no_transform,test,0.2295483499765396
23,physicochemical_alpha_structure,no_transform,train,0.10684338957071304
23,physicochemical_alpha_structure,no_transform,test,0.24013540148735046
24,physicochemical_alpha_structure,no_transform,train,0.11059733480215073
24,physicochemical_alpha_structure,no_transform,test,0.23638269305229187
25,physicochemical_alpha_structure,no_transform,train,0.11185593158006668
25,physicochemical_alpha_structure,no_transform,test,0.2170957326889038
26,physicochemical_alpha_structure,no_transform,train,0.10817151516675949
26,physicochemical_alpha_structure,no_transform,test,0.1853387951850891
27,physicochemical_alpha_structure,no_transform,train,0.09881956875324249
27,physicochemical_alpha_structure,no_transform,test,0.14700622856616974
28,physicochemical_alpha_structure,no_transform,train,0.08483969420194626
28,physicochemical_alpha_structure,no_transform,test,0.10876721143722534
29,physicochemical_alpha_structure,no_transform,train,0.06856457144021988
29,physicochemical_alpha_structure,no_transform,test,0.07611235231161118
30,physicochemical_alpha_structure,no_transform,train,0.05280048027634621
30,physicochemical_alpha_structure,no_transform,test,0.05253993719816208
31,physicochemical_alpha_structure,no_transform,train,0.040310826152563095
31,physicochemical_alpha_structure,no_transform,test,0.03907378390431404
32,physicochemical_alpha_structure,no_transform,train,0.032743413001298904
32,physicochemical_alpha_structure,no_transform,test,0.03462407737970352
33,physicochemical_alpha_structure,no_transform,train,0.030456433072686195
33,physicochemical_alpha_structure,no_transform,test,0.036443065851926804
34,physicochemical_alpha_structure,no_transform,train,0.032338231801986694
34,physicochemical_alpha_structure,no_transform,test,0.041010722517967224
35,physicochemical_alpha_structure,no_transform,train,0.03625311702489853
35,physicochemical_alpha_structure,no_transform,test,0.044956061989068985
36,physicochemical_alpha_structure,no_transform,train,0.03974046930670738
36,physicochemical_alpha_structure,no_transform,test,0.04600001499056816
37,physicochemical_alpha_structure,no_transform,train,0.04082721844315529
37,physicochemical_alpha_structure,no_transform,test,0.043323926627635956
38,physicochemical_alpha_structure,no_transform,train,0.038634009659290314
38,physicochemical_alpha_structure,no_transform,test,0.037565261125564575
39,physicochemical_alpha_structure,no_transform,train,0.033507540822029114
39,physicochemical_alpha_structure,no_transform,test,0.030321596190333366
40,physicochemical_alpha_structure,no_transform,train,0.026750842109322548
40,physicochemical_alpha_structure,no_transform,test,0.023447595536708832
41,physicochemical_alpha_structure,no_transform,train,0.020039033144712448
41,physicochemical_alpha_structure,no_transform,test,0.01841210015118122
42,physicochemical_alpha_structure,no_transform,train,0.014810171909630299
42,physicochemical_alpha_structure,no_transform,test,0.015743013471364975
43,physicochemical_alpha_structure,no_transform,train,0.01174141000956297
43,physicochemical_alpha_structure,no_transform,test,0.015203525312244892
44,physicochemical_alpha_structure,no_transform,train,0.01075261551886797
44,physicochemical_alpha_structure,no_transform,test,0.015975069254636765
45,physicochemical_alpha_structure,no_transform,train,0.01120480801910162
45,physicochemical_alpha_structure,no_transform,test,0.0170266255736351
46,physicochemical_alpha_structure,no_transform,train,0.012219766154885292
46,physicochemical_alpha_structure,no_transform,test,0.01748369261622429
47,physicochemical_alpha_structure,no_transform,train,0.013012069277465343
47,physicochemical_alpha_structure,no_transform,test,0.016878211870789528
48,physicochemical_alpha_structure,no_transform,train,0.013095442205667496
48,physicochemical_alpha_structure,no_transform,test,0.01518932729959488
49,physicochemical_alpha_structure,no_transform,train,0.012341614812612534
49,physicochemical_alpha_structure,no_transform,test,0.012756410986185074
50,physicochemical_alpha_structure,no_transform,train,0.01091295201331377
50,physicochemical_alpha_structure,no_transform,test,0.010105395689606667
51,physicochemical_alpha_structure,no_transform,train,0.009140764363110065
51,physicochemical_alpha_structure,no_transform,test,0.007762380875647068
52,physicochemical_alpha_structure,no_transform,train,0.007403009105473757
52,physicochemical_alpha_structure,no_transform,test,0.006104696076363325
53,physicochemical_alpha_structure,no_transform,train,0.006020009517669678
53,physicochemical_alpha_structure,no_transform,test,0.005275634583085775
54,physicochemical_alpha_structure,no_transform,train,0.005177449434995651
54,physicochemical_alpha_structure,no_transform,test,0.0051750438287854195
55,physicochemical_alpha_structure,no_transform,train,0.004888791590929031
55,physicochemical_alpha_structure,no_transform,test,0.0055196951143443584
56,physicochemical_alpha_structure,no_transform,train,0.005006276071071625
56,physicochemical_alpha_structure,no_transform,test,0.005952455103397369
57,physicochemical_alpha_structure,no_transform,train,0.005278612952679396
57,physicochemical_alpha_structure,no_transform,test,0.006164069753140211
58,physicochemical_alpha_structure,no_transform,train,0.005441810004413128
58,physicochemical_alpha_structure,no_transform,test,0.005985311698168516
59,physicochemical_alpha_structure,no_transform,train,0.005310045555233955
59,physicochemical_alpha_structure,no_transform,test,0.005420267581939697
60,physicochemical_alpha_structure,no_transform,train,0.004831952508538961
60,physicochemical_alpha_structure,no_transform,test,0.004615488927811384
61,physicochemical_alpha_structure,no_transform,train,0.004092173185199499
61,physicochemical_alpha_structure,no_transform,test,0.0037846798077225685
62,physicochemical_alpha_structure,no_transform,train,0.0032632029615342617
62,physicochemical_alpha_structure,no_transform,test,0.003123367438092828
63,physicochemical_alpha_structure,no_transform,train,0.002533199731260538
63,physicochemical_alpha_structure,no_transform,test,0.0027462043799459934
64,physicochemical_alpha_structure,no_transform,train,0.002040101680904627
64,physicochemical_alpha_structure,no_transform,test,0.002663129009306431
65,physicochemical_alpha_structure,no_transform,train,0.0018338208319619298
65,physicochemical_alpha_structure,no_transform,test,0.002793879248201847
66,physicochemical_alpha_structure,no_transform,train,0.0018719191430136561
66,physicochemical_alpha_structure,no_transform,test,0.003008004045113921
67,physicochemical_alpha_structure,no_transform,train,0.0020454979967325926
67,physicochemical_alpha_structure,no_transform,test,0.0031726837623864412
68,physicochemical_alpha_structure,no_transform,train,0.002221164293587208
68,physicochemical_alpha_structure,no_transform,test,0.0031940205954015255
69,physicochemical_alpha_structure,no_transform,train,0.002285839058458805
69,physicochemical_alpha_structure,no_transform,test,0.0030418946407735348
70,physicochemical_alpha_structure,no_transform,train,0.0021833779755979776
70,physicochemical_alpha_structure,no_transform,test,0.002752165077254176
71,physicochemical_alpha_structure,no_transform,train,0.0019284716108813882
71,physicochemical_alpha_structure,no_transform,test,0.0024063594173640013
72,physicochemical_alpha_structure,no_transform,train,0.0015946718631312251
72,physicochemical_alpha_structure,no_transform,test,0.002096302341669798
73,physicochemical_alpha_structure,no_transform,train,0.0012793268542736769
73,physicochemical_alpha_structure,no_transform,test,0.0018869272898882627
74,physicochemical_alpha_structure,no_transform,train,0.001060590730048716
74,physicochemical_alpha_structure,no_transform,test,0.001793696777895093
75,physicochemical_alpha_structure,no_transform,train,0.0009666847763583064
75,physicochemical_alpha_structure,no_transform,test,0.0017834362806752324
76,physicochemical_alpha_structure,no_transform,train,0.0009710993035696447
76,physicochemical_alpha_structure,no_transform,test,0.0017961880657821894
77,physicochemical_alpha_structure,no_transform,train,0.0010136881610378623
77,physicochemical_alpha_structure,no_transform,test,0.0017759305192157626
78,physicochemical_alpha_structure,no_transform,train,0.0010344141628593206
78,physicochemical_alpha_structure,no_transform,test,0.0016942365327849984
79,physicochemical_alpha_structure,no_transform,train,0.0010005127405747771
79,physicochemical_alpha_structure,no_transform,test,0.0015568375820294023
80,physicochemical_alpha_structure,no_transform,train,0.0009147059754468501
80,physicochemical_alpha_structure,no_transform,test,0.0013936194591224194
81,physicochemical_alpha_structure,no_transform,train,0.0008043945417739451
81,physicochemical_alpha_structure,no_transform,test,0.0012405357556417584
82,physicochemical_alpha_structure,no_transform,train,0.0007021705969236791
82,physicochemical_alpha_structure,no_transform,test,0.0011235586134716868
83,physicochemical_alpha_structure,no_transform,train,0.0006297013023868203
83,physicochemical_alpha_structure,no_transform,test,0.0010512379230931401
84,physicochemical_alpha_structure,no_transform,train,0.0005916792433708906
84,physicochemical_alpha_structure,no_transform,test,0.001015971414744854
85,physicochemical_alpha_structure,no_transform,train,0.000579069135710597
85,physicochemical_alpha_structure,no_transform,test,0.0010005777003243566
86,physicochemical_alpha_structure,no_transform,train,0.0005766561953350902
86,physicochemical_alpha_structure,no_transform,test,0.0009862080914899707
87,physicochemical_alpha_structure,no_transform,train,0.0005701313493773341
87,physicochemical_alpha_structure,no_transform,test,0.0009589665569365025
88,physicochemical_alpha_structure,no_transform,train,0.0005505048902705312
88,physicochemical_alpha_structure,no_transform,test,0.0009138043387793005
89,physicochemical_alpha_structure,no_transform,train,0.0005159500287845731
89,physicochemical_alpha_structure,no_transform,test,0.0008550636121071875
90,physicochemical_alpha_structure,no_transform,train,0.00047139867092482746
90,physicochemical_alpha_structure,no_transform,test,0.0007936388719826937
91,physicochemical_alpha_structure,no_transform,train,0.0004260907880961895
91,physicochemical_alpha_structure,no_transform,test,0.0007416130392812192
92,physicochemical_alpha_structure,no_transform,train,0.00038955954369157553
92,physicochemical_alpha_structure,no_transform,test,0.0007067332626320422
93,physicochemical_alpha_structure,no_transform,train,0.0003675615880638361
93,physicochemical_alpha_structure,no_transform,test,0.00068935367744416
94,physicochemical_alpha_structure,no_transform,train,0.00035980535903945565
94,physicochemical_alpha_structure,no_transform,test,0.0006830368074588478
95,physicochemical_alpha_structure,no_transform,train,0.00036065891617909074
95,physicochemical_alpha_structure,no_transform,test,0.0006783231510780752
96,physicochemical_alpha_structure,no_transform,train,0.00036225590156391263
96,physicochemical_alpha_structure,no_transform,test,0.0006672856397926807
97,physicochemical_alpha_structure,no_transform,train,0.0003581462078727782
97,physicochemical_alpha_structure,no_transform,test,0.0006466846680268645
98,physicochemical_alpha_structure,no_transform,train,0.0003456602862570435
98,physicochemical_alpha_structure,no_transform,test,0.0006184438243508339
99,physicochemical_alpha_structure,no_transform,train,0.0003261860692873597
99,physicochemical_alpha_structure,no_transform,test,0.0005879449308849871
100,physicochemical_alpha_structure,no_transform,train,0.000303833483485505
100,physicochemical_alpha_structure,no_transform,test,0.0005612821551039815
