Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_alpha_structure,no_transform,train,1.0983742475509644
1,physicochemical_alpha_structure,no_transform,test,10.989209175109863
2,physicochemical_alpha_structure,no_transform,train,0.603357195854187
2,physicochemical_alpha_structure,no_transform,test,5.715793609619141
3,physicochemical_alpha_structure,no_transform,train,0.6035880446434021
3,physicochemical_alpha_structure,no_transform,test,3.1828041076660156
4,physicochemical_alpha_structure,no_transform,train,0.46697524189949036
4,physicochemical_alpha_structure,no_transform,test,1.7448762655258179
5,physicochemical_alpha_structure,no_transform,train,0.3345102071762085
5,physicochemical_alpha_structure,no_transform,test,1.0111104249954224
6,physicochemical_alpha_structure,no_transform,train,0.2647443413734436
6,physicochemical_alpha_structure,no_transform,test,0.6407412886619568
7,physicochemical_alpha_structure,no_transform,train,0.23474998772144318
7,physicochemical_alpha_structure,no_transform,test,0.4599888026714325
8,physicochemical_alpha_structure,no_transform,train,0.22806215286254883
8,physicochemical_alpha_structure,no_transform,test,0.37456241250038147
9,physicochemical_alpha_structure,no_transform,train,0.23164217174053192
9,physicochemical_alpha_structure,no_transform,test,0.3330359160900116
10,physicochemical_alpha_structure,no_transform,train,0.23588275909423828
10,physicochemical_alpha_structure,no_transform,test,0.3100106716156006
11,physicochemical_alpha_structure,no_transform,train,0.23567712306976318
11,physicochemical_alpha_structure,no_transform,test,0.294462651014328
12,physicochemical_alpha_structure,no_transform,train,0.22979341447353363
12,physicochemical_alpha_structure,no_transform,test,0.2828795909881592
13,physicochemical_alpha_structure,no_transform,train,0.2196650356054306
13,physicochemical_alpha_structure,no_transform,test,0.2751874029636383
14,physicochemical_alpha_structure,no_transform,train,0.2080267369747162
14,physicochemical_alpha_structure,no_transform,test,0.2721518874168396
15,physicochemical_alpha_structure,no_transform,train,0.19773727655410767
15,physicochemical_alpha_structure,no_transform,test,0.2735206186771393
16,physicochemical_alpha_structure,no_transform,train,0.1906721293926239
16,physicochemical_alpha_structure,no_transform,test,0.2771660387516022
17,physicochemical_alpha_structure,no_transform,train,0.18690671026706696
17,physicochemical_alpha_structure,no_transform,test,0.2796213924884796
18,physicochemical_alpha_structure,no_transform,train,0.18475322425365448
18,physicochemical_alpha_structure,no_transform,test,0.27770835161209106
19,physicochemical_alpha_structure,no_transform,train,0.18189962208271027
19,physicochemical_alpha_structure,no_transform,test,0.27041658759117126
20,physicochemical_alpha_structure,no_transform,train,0.1770089715719223
20,physicochemical_alpha_structure,no_transform,test,0.2592599391937256
21,physicochemical_alpha_structure,no_transform,train,0.170486181974411
21,physicochemical_alpha_structure,no_transform,test,0.24691016972064972
22,physicochemical_alpha_structure,no_transform,train,0.16385632753372192
22,physicochemical_alpha_structure,no_transform,test,0.23573656380176544
23,physicochemical_alpha_structure,no_transform,train,0.15854668617248535
23,physicochemical_alpha_structure,no_transform,test,0.2267872393131256
24,physicochemical_alpha_structure,no_transform,train,0.15505290031433105
24,physicochemical_alpha_structure,no_transform,test,0.21992439031600952
25,physicochemical_alpha_structure,no_transform,train,0.15292756259441376
25,physicochemical_alpha_structure,no_transform,test,0.21445304155349731
26,physicochemical_alpha_structure,no_transform,train,0.15125109255313873
26,physicochemical_alpha_structure,no_transform,test,0.20970356464385986
27,physicochemical_alpha_structure,no_transform,train,0.14918610453605652
27,physicochemical_alpha_structure,no_transform,test,0.20535872876644135
28,physicochemical_alpha_structure,no_transform,train,0.146317720413208
28,physicochemical_alpha_structure,no_transform,test,0.20150822401046753
29,physicochemical_alpha_structure,no_transform,train,0.14273788034915924
29,physicochemical_alpha_structure,no_transform,test,0.19847315549850464
30,physicochemical_alpha_structure,no_transform,train,0.13889779150485992
30,physicochemical_alpha_structure,no_transform,test,0.19651298224925995
31,physicochemical_alpha_structure,no_transform,train,0.13533973693847656
31,physicochemical_alpha_structure,no_transform,test,0.19551561772823334
32,physicochemical_alpha_structure,no_transform,train,0.13241419196128845
32,physicochemical_alpha_structure,no_transform,test,0.194869264960289
33,physicochemical_alpha_structure,no_transform,train,0.1301131397485733
33,physicochemical_alpha_structure,no_transform,test,0.1936681866645813
34,physicochemical_alpha_structure,no_transform,train,0.12810580432415009
34,physicochemical_alpha_structure,no_transform,test,0.19104096293449402
35,physicochemical_alpha_structure,no_transform,train,0.12596578896045685
35,physicochemical_alpha_structure,no_transform,test,0.18660546839237213
36,physicochemical_alpha_structure,no_transform,train,0.12344145029783249
36,physicochemical_alpha_structure,no_transform,test,0.1806304156780243
37,physicochemical_alpha_structure,no_transform,train,0.12058863788843155
37,physicochemical_alpha_structure,no_transform,test,0.1738492250442505
38,physicochemical_alpha_structure,no_transform,train,0.11767584085464478
38,physicochemical_alpha_structure,no_transform,test,0.1671033799648285
39,physicochemical_alpha_structure,no_transform,train,0.11497948318719864
39,physicochemical_alpha_structure,no_transform,test,0.16102369129657745
40,physicochemical_alpha_structure,no_transform,train,0.11261356621980667
40,physicochemical_alpha_structure,no_transform,test,0.15590426325798035
41,physicochemical_alpha_structure,no_transform,train,0.11050500720739365
41,physicochemical_alpha_structure,no_transform,test,0.15177324414253235
42,physicochemical_alpha_structure,no_transform,train,0.10847758501768112
42,physicochemical_alpha_structure,no_transform,test,0.14852160215377808
43,physicochemical_alpha_structure,no_transform,train,0.10637732595205307
43,physicochemical_alpha_structure,no_transform,test,0.14602243900299072
44,physicochemical_alpha_structure,no_transform,train,0.1041555404663086
44,physicochemical_alpha_structure,no_transform,test,0.14417460560798645
45,physicochemical_alpha_structure,no_transform,train,0.10187428444623947
45,physicochemical_alpha_structure,no_transform,test,0.1428651362657547
46,physicochemical_alpha_structure,no_transform,train,0.09964949637651443
46,physicochemical_alpha_structure,no_transform,test,0.14191816747188568
47,physicochemical_alpha_structure,no_transform,train,0.09757553786039352
47,physicochemical_alpha_structure,no_transform,test,0.14106960594654083
48,physicochemical_alpha_structure,no_transform,train,0.09567057341337204
48,physicochemical_alpha_structure,no_transform,test,0.1400059163570404
49,physicochemical_alpha_structure,no_transform,train,0.0938725620508194
49,physicochemical_alpha_structure,no_transform,test,0.13845130801200867
50,physicochemical_alpha_structure,no_transform,train,0.09208709746599197
50,physicochemical_alpha_structure,no_transform,test,0.1362607479095459
51,physicochemical_alpha_structure,no_transform,train,0.09024644643068314
51,physicochemical_alpha_structure,no_transform,test,0.13346409797668457
52,physicochemical_alpha_structure,no_transform,train,0.08834552764892578
52,physicochemical_alpha_structure,no_transform,test,0.13023687899112701
53,physicochemical_alpha_structure,no_transform,train,0.0864335298538208
53,physicochemical_alpha_structure,no_transform,test,0.126826673746109
54,physicochemical_alpha_structure,no_transform,train,0.08457416296005249
54,physicochemical_alpha_structure,no_transform,test,0.1234668716788292
55,physicochemical_alpha_structure,no_transform,train,0.08280330896377563
55,physicochemical_alpha_structure,no_transform,test,0.12032419443130493
56,physicochemical_alpha_structure,no_transform,train,0.08111697435379028
56,physicochemical_alpha_structure,no_transform,test,0.11748867481946945
57,physicochemical_alpha_structure,no_transform,train,0.07948170602321625
57,physicochemical_alpha_structure,no_transform,test,0.11498766392469406
58,physicochemical_alpha_structure,no_transform,train,0.07786049693822861
58,physicochemical_alpha_structure,no_transform,test,0.11280876398086548
59,physicochemical_alpha_structure,no_transform,train,0.07623499631881714
59,physicochemical_alpha_structure,no_transform,test,0.11091188341379166
60,physicochemical_alpha_structure,no_transform,train,0.0746108666062355
60,physicochemical_alpha_structure,no_transform,test,0.10923728346824646
61,physicochemical_alpha_structure,no_transform,train,0.07300974428653717
61,physicochemical_alpha_structure,no_transform,test,0.10769891738891602
62,physicochemical_alpha_structure,no_transform,train,0.07145287841558456
62,physicochemical_alpha_structure,no_transform,test,0.1061909943819046
63,physicochemical_alpha_structure,no_transform,train,0.06994770467281342
63,physicochemical_alpha_structure,no_transform,test,0.10460507124662399
64,physicochemical_alpha_structure,no_transform,train,0.06848577409982681
64,physicochemical_alpha_structure,no_transform,test,0.10285256057977676
65,physicochemical_alpha_structure,no_transform,train,0.06704921275377274
65,physicochemical_alpha_structure,no_transform,test,0.10088613629341125
66,physicochemical_alpha_structure,no_transform,train,0.06562331318855286
66,physicochemical_alpha_structure,no_transform,test,0.09871165454387665
67,physicochemical_alpha_structure,no_transform,train,0.06420373916625977
67,physicochemical_alpha_structure,no_transform,test,0.09638168662786484
68,physicochemical_alpha_structure,no_transform,train,0.06279745697975159
68,physicochemical_alpha_structure,no_transform,test,0.09397585690021515
69,physicochemical_alpha_structure,no_transform,train,0.06141604483127594
69,physicochemical_alpha_structure,no_transform,test,0.09157921373844147
70,physicochemical_alpha_structure,no_transform,train,0.06006868928670883
70,physicochemical_alpha_structure,no_transform,test,0.08926352858543396
71,physicochemical_alpha_structure,no_transform,train,0.058756791055202484
71,physicochemical_alpha_structure,no_transform,test,0.08707606047391891
72,physicochemical_alpha_structure,no_transform,train,0.057475894689559937
72,physicochemical_alpha_structure,no_transform,test,0.08504039794206619
73,physicochemical_alpha_structure,no_transform,train,0.05621827766299248
73,physicochemical_alpha_structure,no_transform,test,0.08315975219011307
74,physicochemical_alpha_structure,no_transform,train,0.0549786351621151
74,physicochemical_alpha_structure,no_transform,test,0.0814213752746582
75,physicochemical_alpha_structure,no_transform,train,0.053756099194288254
75,physicochemical_alpha_structure,no_transform,test,0.079801544547081
76,physicochemical_alpha_structure,no_transform,train,0.05255322903394699
76,physicochemical_alpha_structure,no_transform,test,0.07826582342386246
77,physicochemical_alpha_structure,no_transform,train,0.05137412250041962
77,physicochemical_alpha_structure,no_transform,test,0.07677613943815231
78,physicochemical_alpha_structure,no_transform,train,0.05022132024168968
78,physicochemical_alpha_structure,no_transform,test,0.07529469579458237
79,physicochemical_alpha_structure,no_transform,train,0.049094684422016144
79,physicochemical_alpha_structure,no_transform,test,0.07378990948200226
80,physicochemical_alpha_structure,no_transform,train,0.04799162596464157
80,physicochemical_alpha_structure,no_transform,test,0.07224228978157043
81,physicochemical_alpha_structure,no_transform,train,0.04690839722752571
81,physicochemical_alpha_structure,no_transform,test,0.0706460177898407
82,physicochemical_alpha_structure,no_transform,train,0.04584277421236038
82,physicochemical_alpha_structure,no_transform,test,0.06901034712791443
83,physicochemical_alpha_structure,no_transform,train,0.044794753193855286
83,physicochemical_alpha_structure,no_transform,test,0.0673539936542511
84,physicochemical_alpha_structure,no_transform,train,0.043766286224126816
84,physicochemical_alpha_structure,no_transform,test,0.06570328027009964
85,physicochemical_alpha_structure,no_transform,train,0.04275831952691078
85,physicochemical_alpha_structure,no_transform,test,0.06408441811800003
86,physicochemical_alpha_structure,no_transform,train,0.04177172854542732
86,physicochemical_alpha_structure,no_transform,test,0.06251852959394455
87,physicochemical_alpha_structure,no_transform,train,0.04080616310238838
87,physicochemical_alpha_structure,no_transform,test,0.06102006137371063
88,physicochemical_alpha_structure,no_transform,train,0.03986057639122009
88,physicochemical_alpha_structure,no_transform,test,0.059595827013254166
89,physicochemical_alpha_structure,no_transform,train,0.03893351927399635
89,physicochemical_alpha_structure,no_transform,test,0.058245450258255005
90,physicochemical_alpha_structure,no_transform,train,0.03802400827407837
90,physicochemical_alpha_structure,no_transform,test,0.05696289986371994
91,physicochemical_alpha_structure,no_transform,train,0.03713175281882286
91,physicochemical_alpha_structure,no_transform,test,0.055737681686878204
92,physicochemical_alpha_structure,no_transform,train,0.03625698387622833
92,physicochemical_alpha_structure,no_transform,test,0.0545564740896225
93,physicochemical_alpha_structure,no_transform,train,0.03540024533867836
93,physicochemical_alpha_structure,no_transform,test,0.05340500921010971
94,physicochemical_alpha_structure,no_transform,train,0.03456181287765503
94,physicochemical_alpha_structure,no_transform,test,0.05227039009332657
95,physicochemical_alpha_structure,no_transform,train,0.03374126926064491
95,physicochemical_alpha_structure,no_transform,test,0.051141757518053055
96,physicochemical_alpha_structure,no_transform,train,0.032937876880168915
96,physicochemical_alpha_structure,no_transform,test,0.05001209303736687
97,physicochemical_alpha_structure,no_transform,train,0.032151103019714355
97,physicochemical_alpha_structure,no_transform,test,0.04887831211090088
98,physicochemical_alpha_structure,no_transform,train,0.03138040751218796
98,physicochemical_alpha_structure,no_transform,test,0.04774147644639015
99,physicochemical_alpha_structure,no_transform,train,0.030625229701399803
99,physicochemical_alpha_structure,no_transform,test,0.04660668224096298
100,physicochemical_alpha_structure,no_transform,train,0.029885519295930862
100,physicochemical_alpha_structure,no_transform,test,0.04548083245754242
