Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_alpha_structure,no_transform,train,1.1378885507583618
1,physicochemical_alpha_structure,no_transform,test,4522.06396484375
2,physicochemical_alpha_structure,no_transform,train,99.42798614501953
2,physicochemical_alpha_structure,no_transform,test,221.75962829589844
3,physicochemical_alpha_structure,no_transform,train,17.19502067565918
3,physicochemical_alpha_structure,no_transform,test,40.93159866333008
4,physicochemical_alpha_structure,no_transform,train,4.364555835723877
4,physicochemical_alpha_structure,no_transform,test,27.58626937866211
5,physicochemical_alpha_structure,no_transform,train,3.6694202423095703
5,physicochemical_alpha_structure,no_transform,test,19.10714340209961
6,physicochemical_alpha_structure,no_transform,train,3.2118613719940186
6,physicochemical_alpha_structure,no_transform,test,11.878172874450684
7,physicochemical_alpha_structure,no_transform,train,2.496670722961426
7,physicochemical_alpha_structure,no_transform,test,6.987751483917236
8,physicochemical_alpha_structure,no_transform,train,1.8802297115325928
8,physicochemical_alpha_structure,no_transform,test,3.9741427898406982
9,physicochemical_alpha_structure,no_transform,train,1.4249401092529297
9,physicochemical_alpha_structure,no_transform,test,2.3361566066741943
10,physicochemical_alpha_structure,no_transform,train,1.1205016374588013
10,physicochemical_alpha_structure,no_transform,test,1.6085723638534546
11,physicochemical_alpha_structure,no_transform,train,0.942190945148468
11,physicochemical_alpha_structure,no_transform,test,1.4408131837844849
12,physicochemical_alpha_structure,no_transform,train,0.8793139457702637
12,physicochemical_alpha_structure,no_transform,test,1.563141942024231
13,physicochemical_alpha_structure,no_transform,train,0.9057827591896057
13,physicochemical_alpha_structure,no_transform,test,1.7415850162506104
14,physicochemical_alpha_structure,no_transform,train,0.9747664928436279
14,physicochemical_alpha_structure,no_transform,test,1.807267665863037
15,physicochemical_alpha_structure,no_transform,train,1.0201412439346313
15,physicochemical_alpha_structure,no_transform,test,1.6789469718933105
16,physicochemical_alpha_structure,no_transform,train,0.9865280389785767
16,physicochemical_alpha_structure,no_transform,test,1.3714711666107178
17,physicochemical_alpha_structure,no_transform,train,0.8566271066665649
17,physicochemical_alpha_structure,no_transform,test,0.9722297191619873
18,physicochemical_alpha_structure,no_transform,train,0.656355082988739
18,physicochemical_alpha_structure,no_transform,test,0.5953195691108704
19,physicochemical_alpha_structure,no_transform,train,0.4411337375640869
19,physicochemical_alpha_structure,no_transform,test,0.3323899209499359
20,physicochemical_alpha_structure,no_transform,train,0.2686408460140228
20,physicochemical_alpha_structure,no_transform,test,0.21864467859268188
21,physicochemical_alpha_structure,no_transform,train,0.17386479675769806
21,physicochemical_alpha_structure,no_transform,test,0.23161379992961884
22,physicochemical_alpha_structure,no_transform,train,0.15870031714439392
22,physicochemical_alpha_structure,no_transform,test,0.31308016180992126
23,physicochemical_alpha_structure,no_transform,train,0.19669944047927856
23,physicochemical_alpha_structure,no_transform,test,0.4001784324645996
24,physicochemical_alpha_structure,no_transform,train,0.2509188652038574
24,physicochemical_alpha_structure,no_transform,test,0.4501989483833313
25,physicochemical_alpha_structure,no_transform,train,0.29073286056518555
25,physicochemical_alpha_structure,no_transform,test,0.4500139057636261
26,physicochemical_alpha_structure,no_transform,train,0.3024788498878479
26,physicochemical_alpha_structure,no_transform,test,0.41051408648490906
27,physicochemical_alpha_structure,no_transform,train,0.28819388151168823
27,physicochemical_alpha_structure,no_transform,test,0.35322582721710205
28,physicochemical_alpha_structure,no_transform,train,0.2587200999259949
28,physicochemical_alpha_structure,no_transform,test,0.2963995635509491
29,physicochemical_alpha_structure,no_transform,train,0.22479286789894104
29,physicochemical_alpha_structure,no_transform,test,0.24926850199699402
30,physicochemical_alpha_structure,no_transform,train,0.19247525930404663
30,physicochemical_alpha_structure,no_transform,test,0.21177709102630615
31,physicochemical_alpha_structure,no_transform,train,0.16247457265853882
31,physicochemical_alpha_structure,no_transform,test,0.17942079901695251
32,physicochemical_alpha_structure,no_transform,train,0.1334284096956253
32,physicochemical_alpha_structure,no_transform,test,0.14912763237953186
33,physicochemical_alpha_structure,no_transform,train,0.10562432557344437
33,physicochemical_alpha_structure,no_transform,test,0.1217731311917305
34,physicochemical_alpha_structure,no_transform,train,0.08220456540584564
34,physicochemical_alpha_structure,no_transform,test,0.10100416839122772
35,physicochemical_alpha_structure,no_transform,train,0.06742165237665176
35,physicochemical_alpha_structure,no_transform,test,0.08988317847251892
36,physicochemical_alpha_structure,no_transform,train,0.06367620080709457
