Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_betha_structure,no_transform,train,0.4992934465408325
1,physicochemical_betha_structure,no_transform,test,6348.0341796875
2,physicochemical_betha_structure,no_transform,train,181.822021484375
2,physicochemical_betha_structure,no_transform,test,270.642578125
3,physicochemical_betha_structure,no_transform,train,31.99370574951172
3,physicochemical_betha_structure,no_transform,test,22.77596664428711
4,physicochemical_betha_structure,no_transform,train,3.6731204986572266
4,physicochemical_betha_structure,no_transform,test,30.768047332763672
5,physicochemical_betha_structure,no_transform,train,3.4145963191986084
5,physicochemical_betha_structure,no_transform,test,24.738222122192383
6,physicochemical_betha_structure,no_transform,train,3.0772390365600586
6,physicochemical_betha_structure,no_transform,test,15.186108589172363
7,physicochemical_betha_structure,no_transform,train,2.3388218879699707
7,physicochemical_betha_structure,no_transform,test,8.063085556030273
8,physicochemical_betha_structure,no_transform,train,1.654820442199707
8,physicochemical_betha_structure,no_transform,test,4.067586421966553
9,physicochemical_betha_structure,no_transform,train,1.2388252019882202
9,physicochemical_betha_structure,no_transform,test,2.270249128341675
10,physicochemical_betha_structure,no_transform,train,1.0792580842971802
10,physicochemical_betha_structure,no_transform,test,1.6835726499557495
11,physicochemical_betha_structure,no_transform,train,1.0711745023727417
11,physicochemical_betha_structure,no_transform,test,1.6054902076721191
12,physicochemical_betha_structure,no_transform,train,1.10219144821167
12,physicochemical_betha_structure,no_transform,test,1.628147006034851
13,physicochemical_betha_structure,no_transform,train,1.0940489768981934
13,physicochemical_betha_structure,no_transform,test,1.597756028175354
14,physicochemical_betha_structure,no_transform,train,1.0282065868377686
14,physicochemical_betha_structure,no_transform,test,1.507660984992981
15,physicochemical_betha_structure,no_transform,train,0.9230092763900757
15,physicochemical_betha_structure,no_transform,test,1.3975417613983154
16,physicochemical_betha_structure,no_transform,train,0.8128722310066223
16,physicochemical_betha_structure,no_transform,test,1.287528395652771
17,physicochemical_betha_structure,no_transform,train,0.7230368256568909
17,physicochemical_betha_structure,no_transform,test,1.1812494993209839
18,physicochemical_betha_structure,no_transform,train,0.6632153391838074
18,physicochemical_betha_structure,no_transform,test,1.0642484426498413
19,physicochemical_betha_structure,no_transform,train,0.6223424673080444
19,physicochemical_betha_structure,no_transform,test,0.9318704605102539
20,physicochemical_betha_structure,no_transform,train,0.5897996425628662
20,physicochemical_betha_structure,no_transform,test,0.7912171483039856
21,physicochemical_betha_structure,no_transform,train,0.5550466179847717
21,physicochemical_betha_structure,no_transform,test,0.6582527756690979
22,physicochemical_betha_structure,no_transform,train,0.5139505863189697
22,physicochemical_betha_structure,no_transform,test,0.5473002195358276
23,physicochemical_betha_structure,no_transform,train,0.4659336507320404
23,physicochemical_betha_structure,no_transform,test,0.4633611738681793
24,physicochemical_betha_structure,no_transform,train,0.4110899269580841
24,physicochemical_betha_structure,no_transform,test,0.4018421471118927
25,physicochemical_betha_structure,no_transform,train,0.35085004568099976
25,physicochemical_betha_structure,no_transform,test,0.35518679022789
26,physicochemical_betha_structure,no_transform,train,0.28856801986694336
26,physicochemical_betha_structure,no_transform,test,0.3183906674385071
27,physicochemical_betha_structure,no_transform,train,0.2305063158273697
27,physicochemical_betha_structure,no_transform,test,0.2902887165546417
28,physicochemical_betha_structure,no_transform,train,0.18387219309806824
28,physicochemical_betha_structure,no_transform,test,0.27226555347442627
29,physicochemical_betha_structure,no_transform,train,0.15414677560329437
29,physicochemical_betha_structure,no_transform,test,0.26461517810821533
30,physicochemical_betha_structure,no_transform,train,0.1424184888601303
30,physicochemical_betha_structure,no_transform,test,0.26483848690986633
31,physicochemical_betha_structure,no_transform,train,0.14528578519821167
31,physicochemical_betha_structure,no_transform,test,0.2684458792209625
32,physicochemical_betha_structure,no_transform,train,0.1564754694700241
32,physicochemical_betha_structure,no_transform,test,0.27101048827171326
33,physicochemical_betha_structure,no_transform,train,0.16953375935554504
33,physicochemical_betha_structure,no_transform,test,0.2695739269256592
34,physicochemical_betha_structure,no_transform,train,0.17968931794166565
34,physicochemical_betha_structure,no_transform,test,0.26303723454475403
35,physicochemical_betha_structure,no_transform,train,0.18452274799346924
35,physicochemical_betha_structure,no_transform,test,0.2512663006782532
36,physicochemical_betha_structure,no_transform,train,0.18308429419994354
36,physicochemical_betha_structure,no_transform,test,0.23488441109657288
37,physicochemical_betha_structure,no_transform,train,0.17536039650440216
37,physicochemical_betha_structure,no_transform,test,0.21486100554466248
38,physicochemical_betha_structure,no_transform,train,0.16199450194835663
38,physicochemical_betha_structure,no_transform,test,0.19279813766479492
39,physicochemical_betha_structure,no_transform,train,0.14455737173557281
39,physicochemical_betha_structure,no_transform,test,0.1710270494222641
40,physicochemical_betha_structure,no_transform,train,0.12557698786258698
40,physicochemical_betha_structure,no_transform,test,0.15205301344394684
41,physicochemical_betha_structure,no_transform,train,0.10785714536905289
41,physicochemical_betha_structure,no_transform,test,0.13777871429920197
42,physicochemical_betha_structure,no_transform,train,0.09359593689441681
42,physicochemical_betha_structure,no_transform,test,0.12891420722007751
43,physicochemical_betha_structure,no_transform,train,0.08383382856845856
43,physicochemical_betha_structure,no_transform,test,0.12494949251413345
44,physicochemical_betha_structure,no_transform,train,0.07846475392580032
44,physicochemical_betha_structure,no_transform,test,0.12464014440774918
45,physicochemical_betha_structure,no_transform,train,0.07673076540231705
45,physicochemical_betha_structure,no_transform,test,0.1265135109424591
46,physicochemical_betha_structure,no_transform,train,0.07765131443738937
46,physicochemical_betha_structure,no_transform,test,0.1291329562664032
47,physicochemical_betha_structure,no_transform,train,0.08018400520086288
47,physicochemical_betha_structure,no_transform,test,0.1312021017074585
48,physicochemical_betha_structure,no_transform,train,0.08315695077180862
48,physicochemical_betha_structure,no_transform,test,0.13156770169734955
49,physicochemical_betha_structure,no_transform,train,0.08527801185846329
49,physicochemical_betha_structure,no_transform,test,0.12943702936172485
50,physicochemical_betha_structure,no_transform,train,0.0855003297328949
50,physicochemical_betha_structure,no_transform,test,0.12463308870792389
51,physicochemical_betha_structure,no_transform,train,0.0834025889635086
51,physicochemical_betha_structure,no_transform,test,0.1176663190126419
52,physicochemical_betha_structure,no_transform,train,0.07936397939920425
52,physicochemical_betha_structure,no_transform,test,0.10946919769048691
53,physicochemical_betha_structure,no_transform,train,0.07430858165025711
53,physicochemical_betha_structure,no_transform,test,0.1010371670126915
54,physicochemical_betha_structure,no_transform,train,0.06920899450778961
54,physicochemical_betha_structure,no_transform,test,0.09314259886741638
55,physicochemical_betha_structure,no_transform,train,0.06470857560634613
55,physicochemical_betha_structure,no_transform,test,0.08623857796192169
56,physicochemical_betha_structure,no_transform,train,0.0610773041844368
56,physicochemical_betha_structure,no_transform,test,0.08054798096418381
57,physicochemical_betha_structure,no_transform,train,0.058361612260341644
57,physicochemical_betha_structure,no_transform,test,0.07617363333702087
58,physicochemical_betha_structure,no_transform,train,0.05656292289495468
58,physicochemical_betha_structure,no_transform,test,0.07309041172266006
59,physicochemical_betha_structure,no_transform,train,0.055613335222005844
59,physicochemical_betha_structure,no_transform,test,0.07110878080129623
60,physicochemical_betha_structure,no_transform,train,0.05527850612998009
60,physicochemical_betha_structure,no_transform,test,0.069910429418087
61,physicochemical_betha_structure,no_transform,train,0.055159326642751694
61,physicochemical_betha_structure,no_transform,test,0.06915679574012756
62,physicochemical_betha_structure,no_transform,train,0.05484814941883087
62,physicochemical_betha_structure,no_transform,test,0.06862753629684448
63,physicochemical_betha_structure,no_transform,train,0.054118864238262177
63,physicochemical_betha_structure,no_transform,test,0.06826162338256836
64,physicochemical_betha_structure,no_transform,train,0.05298866704106331
64,physicochemical_betha_structure,no_transform,test,0.06807976216077805
65,physicochemical_betha_structure,no_transform,train,0.05161423608660698
65,physicochemical_betha_structure,no_transform,test,0.0680718719959259
66,physicochemical_betha_structure,no_transform,train,0.05013594403862953
66,physicochemical_betha_structure,no_transform,test,0.0681690126657486
67,physicochemical_betha_structure,no_transform,train,0.04862154275178909
67,physicochemical_betha_structure,no_transform,test,0.06827962398529053
68,physicochemical_betha_structure,no_transform,train,0.04711150750517845
68,physicochemical_betha_structure,no_transform,test,0.06832919269800186
69,physicochemical_betha_structure,no_transform,train,0.04567481577396393
69,physicochemical_betha_structure,no_transform,test,0.06826853007078171
70,physicochemical_betha_structure,no_transform,train,0.044401172548532486
70,physicochemical_betha_structure,no_transform,test,0.06802976876497269
71,physicochemical_betha_structure,no_transform,train,0.04333765059709549
71,physicochemical_betha_structure,no_transform,test,0.06752368062734604
72,physicochemical_betha_structure,no_transform,train,0.042448315769433975
72,physicochemical_betha_structure,no_transform,test,0.06666898727416992
73,physicochemical_betha_structure,no_transform,train,0.041641559451818466
73,physicochemical_betha_structure,no_transform,test,0.06543688476085663
74,physicochemical_betha_structure,no_transform,train,0.04083860665559769
74,physicochemical_betha_structure,no_transform,test,0.06386744976043701
75,physicochemical_betha_structure,no_transform,train,0.040015511214733124
75,physicochemical_betha_structure,no_transform,test,0.062045156955718994
76,physicochemical_betha_structure,no_transform,train,0.03918891400098801
76,physicochemical_betha_structure,no_transform,test,0.06005750596523285
77,physicochemical_betha_structure,no_transform,train,0.038379039615392685
77,physicochemical_betha_structure,no_transform,test,0.05797785893082619
78,physicochemical_betha_structure,no_transform,train,0.03758992999792099
78,physicochemical_betha_structure,no_transform,test,0.05587320774793625
79,physicochemical_betha_structure,no_transform,train,0.036819763481616974
79,physicochemical_betha_structure,no_transform,test,0.053811728954315186
80,physicochemical_betha_structure,no_transform,train,0.03607306629419327
80,physicochemical_betha_structure,no_transform,test,0.051855023950338364
81,physicochemical_betha_structure,no_transform,train,0.03535451367497444
81,physicochemical_betha_structure,no_transform,test,0.050046101212501526
82,physicochemical_betha_structure,no_transform,train,0.034654468297958374
82,physicochemical_betha_structure,no_transform,test,0.048411015421152115
83,physicochemical_betha_structure,no_transform,train,0.03394977003335953
83,physicochemical_betha_structure,no_transform,test,0.04696997255086899
84,physicochemical_betha_structure,no_transform,train,0.03322349488735199
84,physicochemical_betha_structure,no_transform,test,0.045744895935058594
85,physicochemical_betha_structure,no_transform,train,0.032479215413331985
85,physicochemical_betha_structure,no_transform,test,0.04475637897849083
86,physicochemical_betha_structure,no_transform,train,0.031738005578517914
86,physicochemical_betha_structure,no_transform,test,0.04400449991226196
87,physicochemical_betha_structure,no_transform,train,0.031020499765872955
87,physicochemical_betha_structure,no_transform,test,0.04346398264169693
88,physicochemical_betha_structure,no_transform,train,0.030335118994116783
88,physicochemical_betha_structure,no_transform,test,0.043092165142297745
89,physicochemical_betha_structure,no_transform,train,0.029681941494345665
89,physicochemical_betha_structure,no_transform,test,0.04283902049064636
90,physicochemical_betha_structure,no_transform,train,0.029062045738101006
90,physicochemical_betha_structure,no_transform,test,0.04265054315328598
91,physicochemical_betha_structure,no_transform,train,0.028477942571043968
91,physicochemical_betha_structure,no_transform,test,0.042465101927518845
92,physicochemical_betha_structure,no_transform,train,0.027925288304686546
92,physicochemical_betha_structure,no_transform,test,0.04221762716770172
93,physicochemical_betha_structure,no_transform,train,0.027389278635382652
93,physicochemical_betha_structure,no_transform,test,0.041854552924633026
94,physicochemical_betha_structure,no_transform,train,0.026852315291762352
94,physicochemical_betha_structure,no_transform,test,0.041350238025188446
95,physicochemical_betha_structure,no_transform,train,0.02630426548421383
95,physicochemical_betha_structure,no_transform,test,0.04070759937167168
96,physicochemical_betha_structure,no_transform,train,0.02574683353304863
96,physicochemical_betha_structure,no_transform,test,0.03994882106781006
97,physicochemical_betha_structure,no_transform,train,0.02518734149634838
97,physicochemical_betha_structure,no_transform,test,0.03910384699702263
98,physicochemical_betha_structure,no_transform,train,0.024632100015878677
98,physicochemical_betha_structure,no_transform,test,0.03820417448878288
99,physicochemical_betha_structure,no_transform,train,0.02408549189567566
99,physicochemical_betha_structure,no_transform,test,0.03728015720844269
100,physicochemical_betha_structure,no_transform,train,0.023553643375635147
100,physicochemical_betha_structure,no_transform,test,0.03635917231440544
