Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_hydropathy,no_transform,train,0.26249629259109497
1,physicochemical_hydropathy,no_transform,test,216.85789489746094
2,physicochemical_hydropathy,no_transform,train,3.7560558319091797
2,physicochemical_hydropathy,no_transform,test,4.916560649871826
3,physicochemical_hydropathy,no_transform,train,0.39973005652427673
3,physicochemical_hydropathy,no_transform,test,3.959198236465454
4,physicochemical_hydropathy,no_transform,train,0.3753208518028259
4,physicochemical_hydropathy,no_transform,test,2.107485771179199
5,physicochemical_hydropathy,no_transform,train,0.2743816375732422
5,physicochemical_hydropathy,no_transform,test,0.9022519588470459
6,physicochemical_hydropathy,no_transform,train,0.19906167685985565
6,physicochemical_hydropathy,no_transform,test,0.39039963483810425
7,physicochemical_hydropathy,no_transform,train,0.16788750886917114
7,physicochemical_hydropathy,no_transform,test,0.23499344289302826
8,physicochemical_hydropathy,no_transform,train,0.16152656078338623
8,physicochemical_hydropathy,no_transform,test,0.22192932665348053
9,physicochemical_hydropathy,no_transform,train,0.16398945450782776
9,physicochemical_hydropathy,no_transform,test,0.24427245557308197
10,physicochemical_hydropathy,no_transform,train,0.16578848659992218
10,physicochemical_hydropathy,no_transform,test,0.2549223303794861
11,physicochemical_hydropathy,no_transform,train,0.16263419389724731
11,physicochemical_hydropathy,no_transform,test,0.24307891726493835
12,physicochemical_hydropathy,no_transform,train,0.15392959117889404
12,physicochemical_hydropathy,no_transform,test,0.21462924778461456
13,physicochemical_hydropathy,no_transform,train,0.1414201408624649
13,physicochemical_hydropathy,no_transform,test,0.18036283552646637
14,physicochemical_hydropathy,no_transform,train,0.12780502438545227
14,physicochemical_hydropathy,no_transform,test,0.1494482010602951
15,physicochemical_hydropathy,no_transform,train,0.11539696156978607
15,physicochemical_hydropathy,no_transform,test,0.1267629712820053
16,physicochemical_hydropathy,no_transform,train,0.10548098385334015
16,physicochemical_hydropathy,no_transform,test,0.11313217133283615
17,physicochemical_hydropathy,no_transform,train,0.09825870394706726
17,physicochemical_hydropathy,no_transform,test,0.10678526014089584
18,physicochemical_hydropathy,no_transform,train,0.09317334741353989
18,physicochemical_hydropathy,no_transform,test,0.10471416264772415
19,physicochemical_hydropathy,no_transform,train,0.08927255123853683
19,physicochemical_hydropathy,no_transform,test,0.10406836867332458
20,physicochemical_hydropathy,no_transform,train,0.08556263893842697
20,physicochemical_hydropathy,no_transform,test,0.10290706157684326
21,physicochemical_hydropathy,no_transform,train,0.08143272995948792
21,physicochemical_hydropathy,no_transform,test,0.10044727474451065
22,physicochemical_hydropathy,no_transform,train,0.07674121856689453
22,physicochemical_hydropathy,no_transform,test,0.09688860923051834
23,physicochemical_hydropathy,no_transform,train,0.07172839343547821
23,physicochemical_hydropathy,no_transform,test,0.0929015651345253
24,physicochemical_hydropathy,no_transform,train,0.06683181971311569
24,physicochemical_hydropathy,no_transform,test,0.08927164226770401
25,physicochemical_hydropathy,no_transform,train,0.06253062933683395
25,physicochemical_hydropathy,no_transform,test,0.08649498224258423
26,physicochemical_hydropathy,no_transform,train,0.05914248898625374
26,physicochemical_hydropathy,no_transform,test,0.08465345948934555
27,physicochemical_hydropathy,no_transform,train,0.05673413351178169
27,physicochemical_hydropathy,no_transform,test,0.08348279446363449
28,physicochemical_hydropathy,no_transform,train,0.05512210726737976
28,physicochemical_hydropathy,no_transform,test,0.0824674442410469
29,physicochemical_hydropathy,no_transform,train,0.05394744500517845
29,physicochemical_hydropathy,no_transform,test,0.081070177257061
30,physicochemical_hydropathy,no_transform,train,0.052809033542871475
30,physicochemical_hydropathy,no_transform,test,0.07889970391988754
31,physicochemical_hydropathy,no_transform,train,0.05138599872589111
31,physicochemical_hydropathy,no_transform,test,0.07584941387176514
32,physicochemical_hydropathy,no_transform,train,0.04952019825577736
32,physicochemical_hydropathy,no_transform,test,0.07207383960485458
33,physicochemical_hydropathy,no_transform,train,0.0472395196557045
33,physicochemical_hydropathy,no_transform,test,0.06790687143802643
34,physicochemical_hydropathy,no_transform,train,0.044719405472278595
34,physicochemical_hydropathy,no_transform,test,0.0637437179684639
35,physicochemical_hydropathy,no_transform,train,0.04219376668334007
35,physicochemical_hydropathy,no_transform,test,0.0599234513938427
36,physicochemical_hydropathy,no_transform,train,0.039887215942144394
36,physicochemical_hydropathy,no_transform,test,0.056651901453733444
37,physicochemical_hydropathy,no_transform,train,0.0379447303712368
37,physicochemical_hydropathy,no_transform,test,0.0539785735309124
38,physicochemical_hydropathy,no_transform,train,0.036406438797712326
38,physicochemical_hydropathy,no_transform,test,0.051818396896123886
39,physicochemical_hydropathy,no_transform,train,0.03521643951535225
39,physicochemical_hydropathy,no_transform,test,0.05001639202237129
40,physicochemical_hydropathy,no_transform,train,0.03425529971718788
40,physicochemical_hydropathy,no_transform,test,0.04839589446783066
41,physicochemical_hydropathy,no_transform,train,0.033385537564754486
41,physicochemical_hydropathy,no_transform,test,0.0468168668448925
42,physicochemical_hydropathy,no_transform,train,0.03249097615480423
42,physicochemical_hydropathy,no_transform,test,0.04520402476191521
43,physicochemical_hydropathy,no_transform,train,0.0315001979470253
43,physicochemical_hydropathy,no_transform,test,0.04354855418205261
44,physicochemical_hydropathy,no_transform,train,0.030397385358810425
44,physicochemical_hydropathy,no_transform,test,0.041886795312166214
45,physicochemical_hydropathy,no_transform,train,0.029210370033979416
45,physicochemical_hydropathy,no_transform,test,0.04027670621871948
46,physicochemical_hydropathy,no_transform,train,0.027992885559797287
46,physicochemical_hydropathy,no_transform,test,0.03877099230885506
47,physicochemical_hydropathy,no_transform,train,0.02680392935872078
47,physicochemical_hydropathy,no_transform,test,0.037398453801870346
48,physicochemical_hydropathy,no_transform,train,0.02569037489593029
48,physicochemical_hydropathy,no_transform,test,0.036159805953502655
49,physicochemical_hydropathy,no_transform,train,0.02467924915254116
49,physicochemical_hydropathy,no_transform,test,0.035033222287893295
50,physicochemical_hydropathy,no_transform,train,0.023775633424520493
50,physicochemical_hydropathy,no_transform,test,0.03398403152823448
51,physicochemical_hydropathy,no_transform,train,0.02296692691743374
51,physicochemical_hydropathy,no_transform,test,0.03297539800405502
52,physicochemical_hydropathy,no_transform,train,0.02222885750234127
52,physicochemical_hydropathy,no_transform,test,0.031980615109205246
53,physicochemical_hydropathy,no_transform,train,0.021533502265810966
53,physicochemical_hydropathy,no_transform,test,0.03098273277282715
54,physicochemical_hydropathy,no_transform,train,0.020855890586972237
54,physicochemical_hydropathy,no_transform,test,0.02997838892042637
55,physicochemical_hydropathy,no_transform,train,0.020177491009235382
55,physicochemical_hydropathy,no_transform,test,0.028971871361136436
56,physicochemical_hydropathy,no_transform,train,0.019488317891955376
56,physicochemical_hydropathy,no_transform,test,0.027974596247076988
57,physicochemical_hydropathy,no_transform,train,0.01878795027732849
57,physicochemical_hydropathy,no_transform,test,0.02700103633105755
58,physicochemical_hydropathy,no_transform,train,0.018083836883306503
58,physicochemical_hydropathy,no_transform,test,0.026065275073051453
59,physicochemical_hydropathy,no_transform,train,0.017388973385095596
59,physicochemical_hydropathy,no_transform,test,0.025179363787174225
60,physicochemical_hydropathy,no_transform,train,0.016718681901693344
60,physicochemical_hydropathy,no_transform,test,0.024350520223379135
61,physicochemical_hydropathy,no_transform,train,0.01608641818165779
61,physicochemical_hydropathy,no_transform,test,0.02358044497668743
62,physicochemical_hydropathy,no_transform,train,0.01549991499632597
62,physicochemical_hydropathy,no_transform,test,0.022864947095513344
63,physicochemical_hydropathy,no_transform,train,0.014959502033889294
63,physicochemical_hydropathy,no_transform,test,0.02219417132437229
64,physicochemical_hydropathy,no_transform,train,0.014458435587584972
64,physicochemical_hydropathy,no_transform,test,0.021555252373218536
65,physicochemical_hydropathy,no_transform,train,0.013985048048198223
65,physicochemical_hydropathy,no_transform,test,0.02093496173620224
66,physicochemical_hydropathy,no_transform,train,0.013527033850550652
66,physicochemical_hydropathy,no_transform,test,0.020322654396295547
67,physicochemical_hydropathy,no_transform,train,0.013074846006929874
67,physicochemical_hydropathy,no_transform,test,0.019712204113602638
68,physicochemical_hydropathy,no_transform,train,0.012624109163880348
68,physicochemical_hydropathy,no_transform,test,0.019102688878774643
69,physicochemical_hydropathy,no_transform,train,0.012176127173006535
69,physicochemical_hydropathy,no_transform,test,0.018497217446565628
70,physicochemical_hydropathy,no_transform,train,0.011736028827726841
70,physicochemical_hydropathy,no_transform,test,0.01790113002061844
71,physicochemical_hydropathy,no_transform,train,0.011310282163321972
71,physicochemical_hydropathy,no_transform,test,0.017319578677415848
72,physicochemical_hydropathy,no_transform,train,0.010903916321694851
72,physicochemical_hydropathy,no_transform,test,0.01675618439912796
73,physicochemical_hydropathy,no_transform,train,0.010518831200897694
73,physicochemical_hydropathy,no_transform,test,0.01621215231716633
74,physicochemical_hydropathy,no_transform,train,0.010153557173907757
74,physicochemical_hydropathy,no_transform,test,0.015686850994825363
75,physicochemical_hydropathy,no_transform,train,0.0098043754696846
75,physicochemical_hydropathy,no_transform,test,0.015178569592535496
76,physicochemical_hydropathy,no_transform,train,0.009466884657740593
76,physicochemical_hydropathy,no_transform,test,0.01468532532453537
77,physicochemical_hydropathy,no_transform,train,0.009137841872870922
77,physicochemical_hydropathy,no_transform,test,0.014205513522028923
78,physicochemical_hydropathy,no_transform,train,0.00881589762866497
78,physicochemical_hydropathy,no_transform,test,0.01373794861137867
79,physicochemical_hydropathy,no_transform,train,0.008501638658344746
79,physicochemical_hydropathy,no_transform,test,0.013281784020364285
80,physicochemical_hydropathy,no_transform,train,0.008196743205189705
80,physicochemical_hydropathy,no_transform,test,0.012835978530347347
81,physicochemical_hydropathy,no_transform,train,0.007902909070253372
