Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_index,no_transform,train,0.8510099649429321
1,physicochemical_index,no_transform,test,738.5477294921875
2,physicochemical_index,no_transform,train,19.48670196533203
2,physicochemical_index,no_transform,test,44.08401870727539
3,physicochemical_index,no_transform,train,3.198392868041992
3,physicochemical_index,no_transform,test,12.121231079101562
4,physicochemical_index,no_transform,train,1.1872062683105469
4,physicochemical_index,no_transform,test,5.284178256988525
5,physicochemical_index,no_transform,train,0.9493846893310547
5,physicochemical_index,no_transform,test,3.536452054977417
6,physicochemical_index,no_transform,train,0.8816022872924805
6,physicochemical_index,no_transform,test,2.619325876235962
7,physicochemical_index,no_transform,train,0.7996511459350586
7,physicochemical_index,no_transform,test,1.7228206396102905
8,physicochemical_index,no_transform,train,0.6650480628013611
8,physicochemical_index,no_transform,test,0.9514158368110657
9,physicochemical_index,no_transform,train,0.5087363123893738
9,physicochemical_index,no_transform,test,0.5002992153167725
10,physicochemical_index,no_transform,train,0.3945128917694092
10,physicochemical_index,no_transform,test,0.38863667845726013
11,physicochemical_index,no_transform,train,0.35907137393951416
11,physicochemical_index,no_transform,test,0.4863419830799103
12,physicochemical_index,no_transform,train,0.3866535425186157
12,physicochemical_index,no_transform,test,0.6199610233306885
13,physicochemical_index,no_transform,train,0.42692312598228455
13,physicochemical_index,no_transform,test,0.6721460223197937
14,physicochemical_index,no_transform,train,0.43503063917160034
14,physicochemical_index,no_transform,test,0.6158053278923035
15,physicochemical_index,no_transform,train,0.39654430747032166
15,physicochemical_index,no_transform,test,0.4907189607620239
16,physicochemical_index,no_transform,train,0.3271612226963043
16,physicochemical_index,no_transform,test,0.35539570450782776
17,physicochemical_index,no_transform,train,0.254345566034317
17,physicochemical_index,no_transform,test,0.2539583444595337
18,physicochemical_index,no_transform,train,0.20079520344734192
18,physicochemical_index,no_transform,test,0.20122985541820526
19,physicochemical_index,no_transform,train,0.17449112236499786
19,physicochemical_index,no_transform,test,0.18780432641506195
20,physicochemical_index,no_transform,train,0.16950014233589172
20,physicochemical_index,no_transform,test,0.19431497156620026
21,physicochemical_index,no_transform,train,0.17371174693107605
21,physicochemical_index,no_transform,test,0.20367293059825897
22,physicochemical_index,no_transform,train,0.17702369391918182
22,physicochemical_index,no_transform,test,0.2076936662197113
23,physicochemical_index,no_transform,train,0.1753678321838379
23,physicochemical_index,no_transform,test,0.2061271369457245
24,physicochemical_index,no_transform,train,0.1701859086751938
24,physicochemical_index,no_transform,test,0.2020360380411148
25,physicochemical_index,no_transform,train,0.1647302359342575
25,physicochemical_index,no_transform,test,0.19728772342205048
26,physicochemical_index,no_transform,train,0.1604474037885666
26,physicochemical_index,no_transform,test,0.19113175570964813
27,physicochemical_index,no_transform,train,0.1560196876525879
27,physicochemical_index,no_transform,test,0.18137021362781525
28,physicochemical_index,no_transform,train,0.14871257543563843
28,physicochemical_index,no_transform,test,0.16690897941589355
29,physicochemical_index,no_transform,train,0.13690467178821564
29,physicochemical_index,no_transform,test,0.14908920228481293
30,physicochemical_index,no_transform,train,0.12168294191360474
30,physicochemical_index,no_transform,test,0.13119852542877197
31,physicochemical_index,no_transform,train,0.10613343119621277
