Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_secondary_structure,no_transform,train,0.4918992519378662
1,physicochemical_secondary_structure,no_transform,test,1428.116455078125
2,physicochemical_secondary_structure,no_transform,train,42.81999969482422
2,physicochemical_secondary_structure,no_transform,test,146.10662841796875
3,physicochemical_secondary_structure,no_transform,train,6.996456146240234
3,physicochemical_secondary_structure,no_transform,test,39.064117431640625
4,physicochemical_secondary_structure,no_transform,train,4.031485557556152
4,physicochemical_secondary_structure,no_transform,test,10.827347755432129
5,physicochemical_secondary_structure,no_transform,train,2.0025928020477295
5,physicochemical_secondary_structure,no_transform,test,4.7647223472595215
6,physicochemical_secondary_structure,no_transform,train,1.1527422666549683
6,physicochemical_secondary_structure,no_transform,test,3.7257463932037354
7,physicochemical_secondary_structure,no_transform,train,1.0239005088806152
7,physicochemical_secondary_structure,no_transform,test,3.421900987625122
8,physicochemical_secondary_structure,no_transform,train,1.1560564041137695
8,physicochemical_secondary_structure,no_transform,test,3.029707193374634
9,physicochemical_secondary_structure,no_transform,train,1.3075820207595825
9,physicochemical_secondary_structure,no_transform,test,2.533973455429077
10,physicochemical_secondary_structure,no_transform,train,1.3540866374969482
10,physicochemical_secondary_structure,no_transform,test,1.9817732572555542
11,physicochemical_secondary_structure,no_transform,train,1.2617475986480713
11,physicochemical_secondary_structure,no_transform,test,1.47632896900177
12,physicochemical_secondary_structure,no_transform,train,1.0661052465438843
12,physicochemical_secondary_structure,no_transform,test,1.0787155628204346
13,physicochemical_secondary_structure,no_transform,train,0.8409101366996765
13,physicochemical_secondary_structure,no_transform,test,0.8332135081291199
14,physicochemical_secondary_structure,no_transform,train,0.652697741985321
14,physicochemical_secondary_structure,no_transform,test,0.7268480658531189
15,physicochemical_secondary_structure,no_transform,train,0.5319422483444214
15,physicochemical_secondary_structure,no_transform,test,0.7045535445213318
16,physicochemical_secondary_structure,no_transform,train,0.4702390134334564
16,physicochemical_secondary_structure,no_transform,test,0.7059230804443359
17,physicochemical_secondary_structure,no_transform,train,0.44147175550460815
17,physicochemical_secondary_structure,no_transform,test,0.6913301944732666
18,physicochemical_secondary_structure,no_transform,train,0.4223426878452301
18,physicochemical_secondary_structure,no_transform,test,0.6481583118438721
19,physicochemical_secondary_structure,no_transform,train,0.4013393223285675
19,physicochemical_secondary_structure,no_transform,test,0.5835012197494507
20,physicochemical_secondary_structure,no_transform,train,0.3779497742652893
20,physicochemical_secondary_structure,no_transform,test,0.5092071890830994
21,physicochemical_secondary_structure,no_transform,train,0.3542511463165283
21,physicochemical_secondary_structure,no_transform,test,0.43539780378341675
22,physicochemical_secondary_structure,no_transform,train,0.330400675535202
22,physicochemical_secondary_structure,no_transform,test,0.3694744110107422
23,physicochemical_secondary_structure,no_transform,train,0.3051791191101074
23,physicochemical_secondary_structure,no_transform,test,0.3168099522590637
24,physicochemical_secondary_structure,no_transform,train,0.2788863182067871
24,physicochemical_secondary_structure,no_transform,test,0.28123795986175537
25,physicochemical_secondary_structure,no_transform,train,0.2549230754375458
25,physicochemical_secondary_structure,no_transform,test,0.26346561312675476
