Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,bepler,no_transform,train,19.244802474975586
1,bepler,no_transform,test,5.100319862365723
2,bepler,no_transform,train,17.04210090637207
2,bepler,no_transform,test,6.733479976654053
3,bepler,no_transform,train,16.279455184936523
3,bepler,no_transform,test,7.886301517486572
4,bepler,no_transform,train,15.642574310302734
4,bepler,no_transform,test,8.848082542419434
5,bepler,no_transform,train,15.045849800109863
5,bepler,no_transform,test,10.161286354064941
6,bepler,no_transform,train,14.462796211242676
6,bepler,no_transform,test,11.679828643798828
7,bepler,no_transform,train,13.968632698059082
7,bepler,no_transform,test,13.3012056350708
8,bepler,no_transform,train,13.643531799316406
8,bepler,no_transform,test,15.092326164245605
9,bepler,no_transform,train,13.505545616149902
9,bepler,no_transform,test,16.95305633544922
10,bepler,no_transform,train,13.505019187927246
10,bepler,no_transform,test,18.266170501708984
11,bepler,no_transform,train,13.53699779510498
11,bepler,no_transform,test,18.733051300048828
12,bepler,no_transform,train,13.515769004821777
12,bepler,no_transform,test,18.504329681396484
13,bepler,no_transform,train,13.459503173828125
13,bepler,no_transform,test,17.95773696899414
14,bepler,no_transform,train,13.410265922546387
14,bepler,no_transform,test,17.407243728637695
15,bepler,no_transform,train,13.375321388244629
15,bepler,no_transform,test,17.006301879882812
16,bepler,no_transform,train,13.346293449401855
16,bepler,no_transform,test,16.784852981567383
17,bepler,no_transform,train,13.322059631347656
17,bepler,no_transform,test,16.67296600341797
18,bepler,no_transform,train,13.305371284484863
18,bepler,no_transform,test,16.537466049194336
19,bepler,no_transform,train,13.294966697692871
19,bepler,no_transform,test,16.205467224121094
20,bepler,no_transform,train,13.28256607055664
20,bepler,no_transform,test,15.625702857971191
21,bepler,no_transform,train,13.262216567993164
21,bepler,no_transform,test,14.852080345153809
22,bepler,no_transform,train,13.235755920410156
22,bepler,no_transform,test,14.004502296447754
23,bepler,no_transform,train,13.21148681640625
23,bepler,no_transform,test,13.218040466308594
24,bepler,no_transform,train,13.195270538330078
24,bepler,no_transform,test,12.60560131072998
25,bepler,no_transform,train,13.185232162475586
25,bepler,no_transform,test,12.215797424316406
26,bepler,no_transform,train,13.175535202026367
26,bepler,no_transform,test,12.028383255004883
27,bepler,no_transform,train,13.16386604309082
27,bepler,no_transform,test,11.956552505493164
28,bepler,no_transform,train,13.151646614074707
28,bepler,no_transform,test,11.90247631072998
29,bepler,no_transform,train,13.138672828674316
