Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,fasttext,no_transform,train,20.49397087097168
1,fasttext,no_transform,test,3.997920513153076
2,fasttext,no_transform,train,18.87794303894043
2,fasttext,no_transform,test,4.049839496612549
3,fasttext,no_transform,train,18.533954620361328
3,fasttext,no_transform,test,3.9602508544921875
4,fasttext,no_transform,train,18.0748233795166
4,fasttext,no_transform,test,3.8770930767059326
5,fasttext,no_transform,train,17.70220184326172
5,fasttext,no_transform,test,3.763376235961914
6,fasttext,no_transform,train,17.318723678588867
6,fasttext,no_transform,test,3.467832565307617
7,fasttext,no_transform,train,16.91866111755371
7,fasttext,no_transform,test,3.3397793769836426
8,fasttext,no_transform,train,16.50786781311035
8,fasttext,no_transform,test,3.391993999481201
9,fasttext,no_transform,train,15.890560150146484
9,fasttext,no_transform,test,3.472233295440674
10,fasttext,no_transform,train,15.24997329711914
10,fasttext,no_transform,test,3.612974166870117
11,fasttext,no_transform,train,14.587754249572754
11,fasttext,no_transform,test,3.9038801193237305
12,fasttext,no_transform,train,14.14985179901123
12,fasttext,no_transform,test,4.007427215576172
13,fasttext,no_transform,train,13.770030975341797
13,fasttext,no_transform,test,4.212251663208008
14,fasttext,no_transform,train,13.579736709594727
14,fasttext,no_transform,test,4.307255744934082
15,fasttext,no_transform,train,13.452693939208984
15,fasttext,no_transform,test,4.323843955993652
16,fasttext,no_transform,train,13.362594604492188
16,fasttext,no_transform,test,4.590163707733154
17,fasttext,no_transform,train,13.293225288391113
17,fasttext,no_transform,test,4.96951150894165
18,fasttext,no_transform,train,13.228986740112305
18,fasttext,no_transform,test,5.250732898712158
19,fasttext,no_transform,train,13.164703369140625
19,fasttext,no_transform,test,5.683330535888672
20,fasttext,no_transform,train,13.094457626342773
20,fasttext,no_transform,test,6.120407581329346
21,fasttext,no_transform,train,13.031234741210938
21,fasttext,no_transform,test,6.369933128356934
22,fasttext,no_transform,train,12.979036331176758
22,fasttext,no_transform,test,6.453492164611816
23,fasttext,no_transform,train,12.929194450378418
23,fasttext,no_transform,test,6.362500190734863
24,fasttext,no_transform,train,12.874858856201172
24,fasttext,no_transform,test,6.083785533905029
25,fasttext,no_transform,train,12.817648887634277
25,fasttext,no_transform,test,5.688382148742676
26,fasttext,no_transform,train,12.7599515914917
26,fasttext,no_transform,test,5.225622653961182
27,fasttext,no_transform,train,12.704357147216797
27,fasttext,no_transform,test,4.839768886566162
28,fasttext,no_transform,train,12.65845775604248
28,fasttext,no_transform,test,4.712285041809082
29,fasttext,no_transform,train,12.62375259399414
29,fasttext,no_transform,test,4.6586785316467285
30,fasttext,no_transform,train,12.661386489868164
30,fasttext,no_transform,test,4.977242946624756
31,fasttext,no_transform,train,12.695098876953125
31,fasttext,no_transform,test,4.681275367736816
32,fasttext,no_transform,train,12.545014381408691
32,fasttext,no_transform,test,5.07880163192749
33,fasttext,no_transform,train,12.525196075439453
33,fasttext,no_transform,test,5.949978828430176
34,fasttext,no_transform,train,12.451869010925293
34,fasttext,no_transform,test,6.475358963012695
35,fasttext,no_transform,train,12.425651550292969
35,fasttext,no_transform,test,6.778075218200684
36,fasttext,no_transform,train,12.392579078674316
36,fasttext,no_transform,test,7.2658538818359375
37,fasttext,no_transform,train,12.353909492492676
37,fasttext,no_transform,test,8.00693130493164
38,fasttext,no_transform,train,12.30971908569336
38,fasttext,no_transform,test,8.732454299926758
39,fasttext,no_transform,train,12.255574226379395
39,fasttext,no_transform,test,9.5731840133667
40,fasttext,no_transform,train,12.208969116210938
40,fasttext,no_transform,test,11.566831588745117
41,fasttext,no_transform,train,12.160696029663086
41,fasttext,no_transform,test,12.29459285736084
42,fasttext,no_transform,train,12.131135940551758
42,fasttext,no_transform,test,16.641820907592773
43,fasttext,no_transform,train,12.204694747924805
43,fasttext,no_transform,test,12.679743766784668
44,fasttext,no_transform,train,12.38183307647705
44,fasttext,no_transform,test,18.307512283325195
45,fasttext,no_transform,train,12.063374519348145
45,fasttext,no_transform,test,22.9029598236084
46,fasttext,no_transform,train,11.940834999084473
46,fasttext,no_transform,test,28.564010620117188
47,fasttext,no_transform,train,11.942468643188477
47,fasttext,no_transform,test,33.273902893066406
48,fasttext,no_transform,train,11.870634078979492
48,fasttext,no_transform,test,32.8083381652832
49,fasttext,no_transform,train,11.817413330078125
49,fasttext,no_transform,test,28.234886169433594
50,fasttext,no_transform,train,11.785658836364746
50,fasttext,no_transform,test,28.58062171936035
51,fasttext,no_transform,train,11.688241958618164
51,fasttext,no_transform,test,32.7516975402832
52,fasttext,no_transform,train,11.660076141357422
52,fasttext,no_transform,test,26.453590393066406
53,fasttext,no_transform,train,11.639782905578613
53,fasttext,no_transform,test,32.189735412597656
54,fasttext,no_transform,train,11.59614372253418
54,fasttext,no_transform,test,26.59756088256836
55,fasttext,no_transform,train,11.556069374084473
55,fasttext,no_transform,test,38.34877014160156
56,fasttext,no_transform,train,11.576070785522461
56,fasttext,no_transform,test,24.921741485595703
57,fasttext,no_transform,train,11.623576164245605
57,fasttext,no_transform,test,28.857175827026367
58,fasttext,no_transform,train,11.418161392211914
58,fasttext,no_transform,test,24.480199813842773
59,fasttext,no_transform,train,11.187990188598633
59,fasttext,no_transform,test,24.344623565673828
60,fasttext,no_transform,train,11.172470092773438
60,fasttext,no_transform,test,25.9973201751709
61,fasttext,no_transform,train,11.215561866760254
61,fasttext,no_transform,test,22.97894859313965
62,fasttext,no_transform,train,11.148180961608887
62,fasttext,no_transform,test,26.562410354614258
63,fasttext,no_transform,train,11.014520645141602
63,fasttext,no_transform,test,25.277057647705078
64,fasttext,no_transform,train,10.866538047790527
64,fasttext,no_transform,test,25.42725372314453
65,fasttext,no_transform,train,10.852767944335938
65,fasttext,no_transform,test,32.97733688354492
66,fasttext,no_transform,train,11.119821548461914
66,fasttext,no_transform,test,26.198453903198242
67,fasttext,no_transform,train,12.173657417297363
67,fasttext,no_transform,test,28.932842254638672
68,fasttext,no_transform,train,12.569960594177246
68,fasttext,no_transform,test,27.68440818786621
69,fasttext,no_transform,train,10.919746398925781
69,fasttext,no_transform,test,19.30793571472168
70,fasttext,no_transform,train,11.33503532409668
70,fasttext,no_transform,test,21.66873550415039
71,fasttext,no_transform,train,10.795693397521973
71,fasttext,no_transform,test,38.67446517944336
72,fasttext,no_transform,train,11.12757396697998
72,fasttext,no_transform,test,52.42825698852539
73,fasttext,no_transform,train,11.007266998291016
73,fasttext,no_transform,test,39.872493743896484
74,fasttext,no_transform,train,10.78046989440918
74,fasttext,no_transform,test,33.69227981567383
75,fasttext,no_transform,train,10.906609535217285
75,fasttext,no_transform,test,40.51810836791992
76,fasttext,no_transform,train,10.809056282043457
76,fasttext,no_transform,test,51.29240798950195
77,fasttext,no_transform,train,10.747321128845215
77,fasttext,no_transform,test,41.40915298461914
78,fasttext,no_transform,train,10.696465492248535
78,fasttext,no_transform,test,28.853965759277344
79,fasttext,no_transform,train,10.63912296295166
79,fasttext,no_transform,test,30.36696434020996
80,fasttext,no_transform,train,10.5560302734375
80,fasttext,no_transform,test,36.73987579345703
81,fasttext,no_transform,train,10.502584457397461
81,fasttext,no_transform,test,39.539649963378906
82,fasttext,no_transform,train,10.41543960571289
82,fasttext,no_transform,test,43.077117919921875
83,fasttext,no_transform,train,10.334633827209473
83,fasttext,no_transform,test,60.796348571777344
84,fasttext,no_transform,train,10.252735137939453
84,fasttext,no_transform,test,49.10315704345703
85,fasttext,no_transform,train,10.330068588256836
85,fasttext,no_transform,test,55.41562271118164
86,fasttext,no_transform,train,10.784052848815918
86,fasttext,no_transform,test,31.48064422607422
87,fasttext,no_transform,train,11.607203483581543
87,fasttext,no_transform,test,34.912696838378906
88,fasttext,no_transform,train,10.503284454345703
88,fasttext,no_transform,test,35.95437240600586
89,fasttext,no_transform,train,10.62401008605957
89,fasttext,no_transform,test,26.623231887817383
90,fasttext,no_transform,train,10.453933715820312
90,fasttext,no_transform,test,23.046466827392578
91,fasttext,no_transform,train,10.132401466369629
91,fasttext,no_transform,test,21.981481552124023
92,fasttext,no_transform,train,10.353340148925781
92,fasttext,no_transform,test,22.791980743408203
93,fasttext,no_transform,train,10.128430366516113
93,fasttext,no_transform,test,22.564401626586914
94,fasttext,no_transform,train,9.948216438293457
94,fasttext,no_transform,test,24.490324020385742
95,fasttext,no_transform,train,10.0667724609375
95,fasttext,no_transform,test,29.505508422851562
96,fasttext,no_transform,train,9.986775398254395
96,fasttext,no_transform,test,32.269569396972656
97,fasttext,no_transform,train,9.783114433288574
97,fasttext,no_transform,test,41.457061767578125
98,fasttext,no_transform,train,9.67432689666748
98,fasttext,no_transform,test,45.03577423095703
99,fasttext,no_transform,train,9.524065017700195
99,fasttext,no_transform,test,51.91719055175781
100,fasttext,no_transform,train,9.4197998046875
100,fasttext,no_transform,test,63.14986801147461
